htid,author,title,year,authgender,female_category,clubs
uc1.$b281591,"Astle, M. J.",The principles of golf / | $c: by M.J. Astle ; illustrated by Marjorie Bates.,1923,u,high_male,399.7002248313765
njp.32101068583473,"Lang, Andrew,",A batch of golfing papers,1892,m,high_male,209.0626215480358
umn.31951002071214v,"Hilton, Harold H.",My golfing reminiscences,1907,m,high_male,166.14467955083646
mdp.39015084108151,"Hudson, Robert.",The Kilburn Social Club / | $c: Robert Hudson.,2009,m,mixed,152.5680742001805
uc2.ark:/13960/t03x85w94,"Joad, C. E. M.",The highbrows,1922,u,mixed,147.31244610520264
mdp.39015003941690,"Glanville, Brian.",A bad lot / | $c: Brian Glanville.,1977,m,high_male,133.86427179530628
inu.30000113547149,"Blandy, Mary.",Razor edge: | the story of a youth club.,1967,f,mixed,130.10542186987027
inu.32000003398718,"O'Hara, John,",Pal Joey / | $c: John O'Hara.,1952,m,,122.76504658776128
uc1.$b105363,"Stucley, Elizabeth Florence,",Teddy boys' picnic.,1958,f,high_male,117.65206174606999
mdp.39015003941518,"Glanville, Brian.",The rise of Gerry Logan.,1963,m,high_male,111.92041215135903
mdp.39015033964035,"Valenzuela, Luisa,",Bedside manners / | $c: Luisa Valenzuela.,1994,f,high_female,109.68670734215397
mdp.39015037456459,"Bhattacharya, Nalinaksha,",Hem & Maxine / | $c: Nalinaksha Bhattacharya.,1995,u,high_female,109.24403130338061
mdp.49015000936683,"Lyle, Sandy.",The championship courses of Scotland / | $c: Sandy Lyle with Bob Ferrier ; [paintings by Ken Turner ; photographs by David Pocknell].,1982,u,high_male,107.85106748045199
mdp.39015079340884,"Rogers, John.",Marriage secrets / | $c: John Rogers.,2008,m,,103.32962149256127
njp.32101068599958,"Roberts, S. C.",Doctor Johnson in Cambridge,1922,u,high_male,101.74532362839477
uiuo.ark:/13960/t9086vr6d,"McCarthy, Justin.",Red diamonds,1893,m,,99.26789924308227
nyp.33433075761290,"Dickinson, H. N.",Things that are Caesar's,1906,u,,93.56705777144798
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,91.6474417722719
mdp.39015003941575,"Glanville, Brian.","The director's wife, and other stories.",1963,m,high_male,89.38729075247846
mdp.39015078786285,"Drayson, Nicholas.",A guide to the birds of East Africa : | a novel / | $c: Nicholas Drayson.,2009,m,high_male,87.7141687620607
umn.31951002087402u,"Hutchinson, Horace G.",'Bert Edward the Golf Caddie,1903,m,,80.69467590562232
osu.32435053573192,"Fischer, Leonard.",Let out the beast / | $c: by Leonard Fischer.,1950,m,mixed,80.39662334181965
mdp.39015046013309,"Smith, Rupert.",I must confess / | $c: Rupert Smith.,1998,m,,78.48677497841614
inu.39000004449364,Firdawsī.,A Persian hero,1922,u,high_male,78.28197166192626
mdp.39015003941591,"Glanville, Brian.",The dying of the light / | $c: [by] Brian Glanville.,1976,m,,77.68156771761197
mdp.39015003941732,"Glanville, Brian.","A bad streak, and other stories.",1961,m,,77.33952049497293
uc2.ark:/13960/t9v11ww43,,The story of Jack and the giants,1851,m,high_male,77.04160246533128
uc1.32106007797985,"Allbeury, Ted.",The secret whispers / | $c: Ted Allbeury.,1983,m,high_male,76.32104795737122
inu.32000011401025,"Lyulph,",Shakespeare,1899,u,,75.89256252887218
mdp.39015038922673,"Williams, Allan.",The man who gave the Beatles away / | $c: Allan Williams and William Marshall.,1975,m,high_male,71.85087863360158
mdp.39015064729026,"Yokomori, Rika,",Tokyo tango / | $c: Rika Yokomori,2006,u,,70.24976493347887
uiuo.ark:/13960/t0ks77w06,"Monro, Theodore Russell.",County versus counter,1878,m,,70.06697578567749
mdp.39015049623997,"Padfield, Fiona.",Strip ; Snapshots / | $c: Fiona Padfield.,2000,f,high_female,69.69645990050229
mdp.39015030739778,"De Polnay, Peter,",The moon and the marabou stork.,1973,m,,66.60832995938198
uc1.$b794734,"Forster, Peter,",The primrose path.,1955,m,,65.29826701836085
inu.30000107641973,"Baker, Carleen.",Hate loves games / | $c: Carleen Baker.,2006,f,high_female,63.55679726705772
mdp.39015030701141,"Kersh, Gerald,",Night and the city.,1946,m,,62.75338744436829
uc1.b4381825,"Gill, Brendan,",Ways of loving.,1974,m,mixed,62.19198477238676
inu.30000125114375,"Jones, Nina.",Bush town blues : | a '70s African tale / | $c: Nina Jones.,2007,f,mixed,62.19039996538969
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,61.00536847242557
uc1.b3346916,"Fitzgerald, Kevin.","Kill him gently, nurse : | a story for a journey / | $c: Kevin Fitzgerald.",1966,m,high_male,60.96455817172233
mdp.49015000927757,"Squire, Roger.",Wizards and wampum; | legends of the Iroquois. | $c: Retold by Roger Squire. Illustrated by Charles Keeping.,1973,m,high_male,59.64045326744483
inu.30000011401092,"Johnson, B. S. (Bryan Stanley),",Travelling people / | $c: B.S. Johnson.,1963,m,,59.62792176816664
uc1.$b312587,"Stewart, Leone.",Sins of the son.,1954,f,,59.39571317896186
mdp.39015049548467,"Edric, Robert,",The sword cabinet / | $c: Robert Edric.,1999,m,,59.03950111621557
mdp.39015014603172,"Chodzko, Alexander,",Fairy tales of the Slav peasants and herdsmen,1896,f,mixed,58.69640617913076
uiuo.ark:/13960/t00z7tx5j,"Wilkins, W. H.",The holy estate,1895,m,high_female,57.00101130826515
mdp.39015037447334,"Mount, Ferdinand,",The liquidator / | $c: Ferdinand Mount.,1995,m,,56.86756295668408
inu.30000039204940,"Moorhouse, Frank.",Grand days / | $c: Frank Moorhouse.,1993,m,high_female,55.171008907995976
mdp.39015049862678,"Kennaway, James,",Silence.,1972,m,mixed,55.16614745586708
uc1.32106015673079,"Karason, Einar",Devil's island / | $c: Einar Karason,2000,m,,55.06607929515418
mdp.39015008975206,"Boyd, William,",A good man in Africa / | $c: by William Boyd.,1981,m,,55.015864163570456
uc2.ark:/13960/t6pz5f120,"Meredith, George,",Farina,1865,m,,54.72854640980736
mdp.39015076550535,"Richards, Cecil John,",Wind over Fowlmere : | and other stories.,1953,m,,54.54587656384189
mdp.39015003203067,"(John Henry Charles) Colson, John H. C.","Progressive exercise therapy in rehabilitation and physical education, | $c: by John H. C. Colson; with a foreword by J. M. P. Clark.",1969,m,high_male,54.429890789057836
mdp.39015008629449,"Collis, Maurice,",Sanda Mala | $c: [by] Maurice Collis.,1939,m,,54.22882517854585
uc1.b4974559,"Plater, Alan,",Misterioso / | $c: Alan Plater.,1987,m,,53.98217271661993
inu.30000092859432,"Nisbet, Robert,",Downtrain / | $c: Robert Nisbet.,2004,m,,53.793212562297285
uc1.32106008092287,"Block, Lawrence.",The topless tulip caper / | $c: Lawrence Block.,1984,m,,53.416489814774714
mdp.39015062885085,"Craig, Mervyn.",Pedigree / | $c: Mervyn Craig.,2005,m,,53.409466099555246
uc2.ark:/13960/t5v69fb7n,"Smart, Hawley,",A false start,1887,m,,53.20133234641007
uc1.b3940922,"Remizov, Alekseĭ,","The fifth pestilence : | together with The history of the tinkling cymbal and sounding brass, Ivan Semyonovitch Stratilatov / | $c: by Alexei Remizov ; translated from the Russian, with a preface, by Alec Brown.",1927,u,high_male,53.03554854962507
wu.89073510208,"Glavinic, Thomas.",Carl Haffner's love of the draw / | $c: Thomas Glavinic ; translated from the German by John Brownjohn.,1999,m,,52.770448548812666
uc1.32106010943360,"Darvas, Robert.",Right through the pack : | a bridge fantasy / | $c: by Robert Darvas and Norman de V. Hart ; introduction by Guy Ramsey.,1978,m,,52.652727549846894
mdp.39015055894474,"Houellebecq, Michel.",Platform / | $c: Michel Houellebecq ; translated from the French by Frank Wynne.,1999,m,high_female,52.52875258035978
inu.30000087206896,"Morgan, Philippa.",Chaucer and the doctor of physic / | $c: Philippa Morgan.,2006,f,,52.22649807586586
mdp.39015048776424,"Mina, V. K.",The splintered day / | $c: V.K. Mina.,1999,u,high_female,51.80598057878123
nnc1.1002386461,"Slow, Edward.",Humorous West Countrie tales,1899,m,,51.749532263843
uc1.$b105031,"Royde-Smith, Naomi Gwladys.",Love and a birdcage.,1960,f,high_female,51.60254572558913
nyp.33433074813605,"Carleton, Henry Guy,",The Thompson Street Poker Club,1884,m,high_male,51.3663447709061
mdp.39015030750593,"Hergesheimer, Joseph,",Love in the United States : | and the big shot / | $c: by Joseph Hergesheimer.,1932,m,,51.3542300669507
mdp.39015047764249,"Elms, Robert,",In search of the crack / | $c: Robert Elms.,1988,m,high_male,51.074386195323044
mdp.39015016414727,"Maugham, W. Somerset (William Somerset),",Ah king; | six stories.,1953,m,mixed,50.7769836555596
uc1.$b245052,"Thirkell, Angela Mackail,","Coronation summer, | by Angela Thirkell.",1937,f,mixed,50.6404527852249
uc1.b3327257,,The World of thought;,1886,u,mixed,49.885263893045995
mdp.39015033263883,"Headley, Victor.",Excess.,1994,m,,49.7486833753624
uc1.$b322782,"Borden, Mary.",Action for slander; | a novel | $c: by Mary Borden.,1936,f,,48.94141531322506
mdp.39015009341259,"Hanley, Gerald.",Noble descents : | a novel / | $c: by Gerald Hanley.,1982,m,,48.81769641495042
uc1.$b243522,"Maxwell, W. B. (William Babington),",The day's journey / | $c: by W. B. Maxwell.,1923,m,,48.67829730270078
mdp.39015028467465,"Beattie, Geoffrey.",We are the people : | journeys through the heart of Protestant Ulster / | $c: Geoffrey Beattie.,1992,m,,48.28876682561719
mdp.39015045695635,"King, John,",England away / | $c: John King.,1998,m,high_male,48.18211258816932
njp.32101068166360,"Church, Alfred John,",Stories of the magicians;,1887,m,high_male,47.719298245614034
mdp.39015028443581,"Salkey, Andrew",Escape to an autumn pavement.,1960,m,mixed,47.38325949442062
mdp.39015064790234,"Nielsen, Torben.",A gallowsbird's song / | $c: Torben Nielsen ; translated by Marianne Helweg.,1976,u,,46.887631366208566
uiuo.ark:/13960/t9q24f21r,"Lillie, Arthur,",The cobra diamond,1890,m,mixed,46.77487253847233
uc1.$b396485,"Glanville, Brian.","The king of Hackney Marshes, and other stories / | $c: by Brian Glanville.",1965,m,,46.203219240518976
dul1.ark:/13960/t3cz3xx41,"Flecker, James Elroy,",The last generation,1908,m,high_male,45.833715280960675
uc1.31822004671095,"Fison, Lorimer,",Tales from old Fiji,1904,u,high_female,45.65167769915544
mdp.39015082746945,"Ingrams, Rachel,",Blood tender / | $c: Rachel Ingrams.,2008,f,mixed,45.2333797892369
mdp.39015016446802,"Comyn, Kenneth Fitzwilliam,",Dawn behind the tamarisks.,1950,m,,45.095828635851184
mdp.39015000550783,"Houghton, Claude,","Transformation scene, | $c: by Claude Houghton [pseud.]",1947,m,mixed,44.92573214904112
mdp.39015065648167,"Gamow, George,",Puzzle-math | $c: [by] George Gamow & Marvin Stern.,1958,m,high_male,44.235331966059434
uiuo.ark:/13960/t3gx4tt8b,"Martineau, Harriet,",Forest and game-law tales,1845,f,,44.112502091541046
mdp.39015080858528,"Burston, Paul,",The gay divorcee / | $c: Paul Burston.,2009,m,mixed,44.06442781871707
mdp.39015051351131,"Burns, Alan,",The day Daddy died : | a novel / | $c: by Alan Burns ; photo-collages by Ian Breakwell.,1981,m,,43.50077679958571
uc1.31822038204798,"Macaulay, Rose,",The making of a bigot,1914,f,mixed,43.44677769732078
mdp.39015040054002,"D'Aguiar, Fred,",Feeding the ghosts / | $c: Fred D'Aguiar.,1997,m,high_male,43.41275313465614
mdp.39015005881043,"Hewison, Rowan.",Salt pan / | $c: by Rowan Hewison.,1980,m,,43.36583093750502
mdp.39015013102531,"Theroux, Paul.",Saint Jack. -,1973,m,high_male,43.35404693353491
wu.89002447233,"Bennett, Arnold,",The card,1912,m,,42.82510452706434
mdp.39015000643042,"Croft-Cooke, Rupert,",Nasty piece of work.,1973,m,,42.72363150867824
mdp.39015002742404,"Rolfe, Frederick,","The desire and pursuit of the whole; | a romance of modern Venice, | $c: by Frederick Rolfe. With an introd. by A.J.A. Symons.",1934,m,high_male,42.66410682025745
mdp.39015056908281,"OakGrove, Artemis,",Warclouds / | $c: Artemis OakGrove.,1998,f,high_female,42.64004809238211
uc1.b4093341,"Forster, E. M. (Edward Morgan),",A passage to India / | $c:  E. M. Forster; introduction by Peter Burra; notes by the author.,1957,m,,42.604141416367334
uc1.b4949097,"Hewison, Rowan.",Salt pan / | $c: by Rowan Hewison.,1980,m,,42.34596654668643
mdp.39015014513736,"Hamilton, Patrick,",Hangover square; | a story of darkest Earl's Court. With an introd. by J. B. Priestley.,1972,m,high_male,42.19939663841402
mdp.39015037443770,"Bracewell, Michael,",Saint Rachel / | $c: Michael Bracewell,1995,m,mixed,41.69955470832651
mdp.39015016414412,"Martin, David,",The young wife.,1962,m,high_female,41.45440476080808
uc1.b3741279,"Sinclair, Andrew,",A patriot for hire / | $c: [by] Andrew Sinclair,1978,m,mixed,41.241875350555944
uc2.ark:/13960/t04x54s82,"Stockton, Frank Richard,",A borrowed month,1887,m,,40.9874830532522
mdp.39015049991089,"Meek, James,",The museum of doubt / | $c: James Meek.,2000,m,,40.97749962747728
mdp.39015003686220,"Fraser, George MacDonald,","McAuslan in the rough, and other stories / | $c: [by] George MacDonald Fraser.",1974,m,high_male,40.88469198000607
mdp.39015016424528,"Hickling, R. H.",Festival of hungry ghosts.,1957,u,mixed,40.79355961271094
mdp.39015002716788,"Richards, Alun.",The former Miss Merthyr Tydfil : | stories / | $c: by Alun Richards.,1976,u,high_male,40.44430963007901
uc1.$b169792,"Carson, Anthony",The golden kiss.,1966,m,mixed,40.427100425673586
uiuo.ark:/13960/t0rr27b5r,"Gore,",The diary of a désennuyée,1836,f,,40.381850780985
inu.30000107600995,"Berry, Eleanor.",The house of the weird doctors / | $c: Eleanor Berry.,2005,f,high_male,40.271545276723046
mdp.39015016444716,"Cotterell, Geoffrey,","Go, said the bird.",1966,m,mixed,39.86595793852554
nyp.33433074942453,"Cartwright, Fairfax L.,",Olga Zanelli,1890,m,high_male,39.82760337396697
mdp.39015078569715,"Ballantyne, R. M.",The coral island,1887,m,high_male,39.34338403328283
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,39.32514219395927
inu.39000005835983,"O'Donnell, Elliott,",The dead riders / | $c: Elliot O'Donnell.,1952,m,,39.13273400317293
uc2.ark:/13960/t72v2rk89,"Hawke, Jonathan.",Under the street lamp,1910,m,high_male,39.07585600547062
mdp.39015040376280,"Reed, Jeremy",Dorian / | $c: Jeremy Reed,1997,m,high_male,38.89257007864942
uc1.32106014295098,"Reed, Jeremy",Dorian / | $c: Jeremy Reed,1997,m,high_male,38.87017362010884
mdp.39015008274535,"Desai, Anita,",Fire on the mountain / | $c: Anita Desai.,1977,f,high_female,38.84928420193858
uiuo.ark:/13960/t06w9vs2n,"Lillie, Arthur,",The cobra diamond,1890,m,mixed,38.72310559306857
inu.39000003106015,"Mortimer, John,",Like men betrayed.,1953,m,high_female,38.68317148650091
inu.30000110622598,"Bostock, Pete.",The lantern club / | $c: Pete Bostock.,2009,m,,38.63857810032591
uc1.b3477908,"Beaver, Harold Lowther.","Pardoner's tale, | $c: by Harold Beaver.",1966,m,high_male,38.4339896228228
mdp.39015000651573,"Niebuhr, Barthold Georg,",The Greek heroes,1910,u,mixed,38.311240517967974
uc1.32106011414247,"Simenon, Georges,",Maigret on the defensive; | $c: translated from the French by Alastair Hamilton,1968,m,mixed,38.2262996941896
mdp.39015079238658,"Blandford, Richard,",Flying saucer rock & roll / | $c: Richard Blandford.,2008,m,high_male,38.14648249277224
nyp.33433082525878,"Avery, Harold,",Mobsley's Mohicans;,1902,m,high_male,37.81211291479236
mdp.39015042925084,"Granelli, Roger.",Status zero / | $c: Roger Granelli.,1999,m,mixed,37.666134557781646
mdp.39015010487109,"Cooper, William,",Scenes from married life / | $c: by William Cooper [pseud.],1961,m,mixed,37.445958673278334
mdp.39015050556292,"Herbert, A. P. (Alan Patrick),","The old flame, | $c: by A. P. Herbert.",1925,m,high_female,37.16297824107624
uc1.32106011542344,,The Dedalus book of Dutch fantasy / | $c: edited and translated by Richard Huijing.,1993,u,high_male,37.11081398204492
uc1.b2802533,"Greer, Herb,",The trip / | $c: Herb Greer.,1963,m,,36.82845612042905
uc1.b3796844,"Beerbohm, Max, Sir,",Yet again.,1951,m,,36.6325215385659
mdp.39015004035013,"Beerbohm, Max, Sir,",Yet again.,1951,m,,36.60222866903452
mdp.39015000550460,"Houghton, Claude,","The enigma of Conrad Stone, | $c: by Claude Houghton [pseud.]",1952,m,mixed,36.58685312411074
uc1.$b273068,"Peterson, Alice Onions.","Siftings, | $c: by Alice Onions Peterson.",1926,f,high_female,36.33390862021982
uiuo.ark:/13960/t9183kc4c,"Burrard, W. Dutton",A great platonic friendship,1887,u,high_female,36.29612050312007
mdp.39015001057093,,Gon̈gu-Hrolfs saga / | $c: translated [from the Icelandic] by Hermann Pálsson and Paul Edwards.,1980,u,high_male,36.02377569195669
mdp.39015080847570,"Gowers, Rebecca.",The twisted heart / | $c: Rebecca Gowers.,2009,f,mixed,36.01313420188539
uc1.31822022095780,"Mathews, Basil,",The ships of peace. | $c: Rev. and edited by Joyce Reason,1947,m,high_male,35.85385966799326
uiuo.ark:/13960/t2q530s7d,"Hamilton, Rowan.",Betwixt two lovers,1891,m,mixed,35.45560451805703
mdp.39015034348261,"Pasolini, Pier Paolo,",A dream of something / | $c: Pier Paolo Pasolini ; translated from the Italian and with an introduction by Stuart Hood.,1988,m,high_female,35.33747286586905
uc1.31822006734099,"Kelman, Janet Harvey",The story of Chalmers of New Guinea;,1906,f,high_male,35.21436746192447
uc1.$b396489,"Glanville, Brian.","The things he loves, and other stories.",1973,m,,35.18878129520781
inu.32000013013430,"Trollope, Anthony,",The way we live now,1895,m,,35.10197604891196
uc1.$b437190,"Abramov, Fedor,","The dodgers, | $c: by Fyodor Abramov. Translated by David Floyd.",1963,u,,35.02626970227671
mdp.39015058795504,,The Dedalus book of Dutch fantasy / | $c: edited and translated by Richard Huijing.,1993,u,high_male,34.98261801167545
uc2.ark:/13960/t4rj4bm4w,"Mathews, Basil,",The ships of peace,1919,m,high_male,34.94263583949682
mdp.39015030728268,"Caspary, Vera,",Evvie.,1973,f,mixed,34.91046492525054
mdp.39015077636275,"Green, James,",Bad Catholics / | $c: James Green.,2008,m,,34.75158409304157
inu.30000109858310,"McCall Smith, Alexander,",Dream Angus : | the Celtic god of dreams / | $c: Alexander McCall Smith.,2006,m,high_male,34.69349630380828
uc1.b4373823,,Gemmo : | a novel / | $c: Kemel Bilbasar ; translated from the Turkish by Esin B. Rey with Mariana Fitzpatrick.,1976,u,,34.6155993523533
uc1.32106001621934,,Gemmo : | a novel / | $c: Kemel Bilbasar ; translated from the Turkish by Esin B. Rey with Mariana Fitzpatrick.,1976,u,,34.59551151137746
nyp.33433075722755,"Dudeney, Henry,",The maternity of Harriott Wicken,1899,f,high_female,34.42735827404177
mdp.39015015341681,"Sciascia, Leonardo.",To each his own / | $c: Leonardo Sciascia ; translated by Adrienne Foulke.,1989,m,high_male,34.40288066787459
uc1.b3295296,"Wain, John.",Strike the father dead; | a novel.,1962,m,,34.37848608372915
mdp.39015030945680,"Andrew, Prudence,",A man with your advantages.,1970,f,,34.28718373644585
uc1.$b244281,"Baron, Dunsany, Edward John Moreton Drax Plunkett,","Jorkens has a large whiskey, | $c: by Lord Dunsany.",1940,m,,34.11688444611238
njp.32101064710419,"Parry, Edward Abbott,",Butterscotia,1896,m,high_female,33.99369228154331
uc1.b3326058,"Vachell, Horace Annesley,","A woman in exile, | $c: by Horace Annesley Vachell.",1926,m,,33.78749355925904
uiuo.ark:/13960/t0tq6f34d,"Madden, Daniel Owen,","Wynville, or, Clubs and coteries",1852,m,,33.75456214003924
mdp.39015077129032,"Fache, Abdulaziz Anako.",The preordained / | $c: Abdulaziz Anako Fache.,2008,u,,33.60591464097681
uc1.b3126903,"Lamprey, Louise,","Children of ancient Greece, | $c: by L. Lamprey; with illustrations by Edna F. Hart-Hubon.",1928,u,,33.566058002148225
uc1.b3324270,"Deale,",Life in the West;,1828,m,high_male,33.538825182866454
umn.31951002108018v,"Waugh, Alec,",So lovers dream.,1973,m,mixed,33.49148758024002
mdp.39015039762904,"Shapcott, Thomas W.",Limestone and lemon wine : | stories / | $c: by Thomas Shapcott.,1988,m,,33.286057483574055
uc1.$b322783,"Booth, Pat,",Footsteps in the sea | $c: [by] Pat Booth.,1964,u,high_male,33.2354139417201
mdp.39015059376528,,The New British novelist;,1830,u,high_male,32.97554863069034
uc2.ark:/13960/t5t72927s,"O'Donovan, Gerald,",Father Ralph,1913,m,,32.867609269861
mdp.39015066794523,"Diome, Fatou,",The belly of the Atlantic / | $c: Fatou Diome ; translated by Lulu Norman and Ros Schwartz.,2006,u,high_male,32.760266070334865
umn.31951002009585y,"Maugham, W. Somerset (William Somerset),",The complete short stories of W. Somerset Maugham.,1952,m,mixed,32.64332106394714
uc1.b2829780,"Christian, Carol.",Into strange country; | a novel / | $c: by Carol Christian.,1958,f,mixed,32.50934643710067
uc2.ark:/13960/t59c7659g,"Dickinson, Humphrey Neville,",Thomson's friend,1917,m,high_male,32.43067942273391
mdp.39015019061426,"Lovelace, Earl,",A brief conversation & other stories / | $c: Earl Lovelace.,1988,m,mixed,32.41386016660724
inu.32000000353864,"Maugham, W. Somerset (William Somerset),",The complete short stories of W. Somerset Maugham.,1952,m,mixed,32.4071249923748
nyp.33433074929310,"Brebner, Percy James,",The crucible of circumstance,1906,m,,32.33920229967661
mdp.39015073951637,"Trollope, Joanna.",Friday nights / | $c: Joanna Trollope.,2008,f,,32.33841716558143
uc2.ark:/13960/t8nc5zj9p,"Smart, Hawley,","Cecile; or, Modern idolaters",1871,m,,32.29742338333453
mdp.39015009131411,"Ėrenburg, Ilʹi͡a,",The thaw.,1961,u,,32.23974085389256
uc1.32106008523448,"Wodehouse, P. G. (Pelham Grenville),",Lord Emsworth and others.,1956,m,,32.20790759662372
mdp.39076005077875,"Maugham, W. Somerset (William Somerset),",Complete short stories.,1951,m,mixed,32.13047187475764
mdp.39015034521925,"Rees, David,",The estuary / | $c: David Rees.,1983,m,,32.03351198176554
mdp.39015003507715,"Maugham, W. Somerset (William Somerset),",Complete short stories.,1951,m,mixed,31.899243425003004
uiuo.ark:/13960/t4jm2m046,"Croker, B. M.",Mr. Jervis,1894,f,,31.871663435234122
mdp.39015046392869,"Ilʹf, Ilʹi͡a,",Diamonds to sit on : | a Russian comedy of errors / | $c: by Ilya Ilf and Eugene Petrov ; translated from the Russian by Elizabeth Hill and Doris Mudie.,1940,u,high_male,31.76359686872413
mdp.39015013278679,"Anthony, Michael,",The games were coming / | $c: Michael Anthony ; introductin by Kenneth Ramchand ; study questions by Jean D'Costa.,1977,m,mixed,31.71023888379959
inu.39000005769273,"St. Johnston, Thomas Reginald.",The Lau Islands (Fiji) and their fairy tales and folklore,1918,m,,31.489751517233483
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,31.325867334951838
mdp.39015051123217,"Meredith, Christopher,",Shifts / | $c: Christopher Meredith.,1988,m,,31.30275352435466
inu.30000126983992,"Forsyth, Neil.",Let them come through / | $c: Neil Forsyth.,2009,m,high_male,31.216669701620667
inu.32000002907394,"Baron, Dunsany, Edward John Moreton Drax Plunkett,",The fourth book of Jorkens / | $c: Lord Dunsany.,1948,m,high_male,31.19221085934541
mdp.39015043786907,"McCabe, John (C. John)",Stickleback / | $c: John McCabe.,1998,m,high_male,31.170574977221502
uc1.b3314284,"Kingsley, Henry,",Old Margaret,1871,m,,30.88913177778834
mdp.39015001159428,"Burrowes, John.",Frontline report : | a journalist's notebook / | $c: John Burrowes.,1984,m,high_male,30.763123945618737
uc1.32106017921815,"Dickson, Jack",Oddfellows / | $c: Jack Dickson,1997,m,high_male,30.69838833461243
uiuo.ark:/13960/t52f8115k,"Cartwright, Fairfax L.,",Olga Zanelli,1890,m,,30.62688395634863
mdp.39015046820653,"Lodge, David,",Therapy : | a novel / | $c: David Lodge.,1995,m,,30.601587291027748
mdp.39015078786319,"De Bernières, Louis.",A partisan's daughter / | $c: Louis de Bernières.,2009,m,,30.5508880587688
uc1.b4097323,"Baron, Dunsany, Edward John Moreton Drax Plunkett,","The last revolution, a novel.",1951,m,high_female,30.339805825242717
uc1.$b243589,"Houghton, Claude,",Birthmark / | $c: by Claude Houghton.,1950,m,,30.335817499721923
wu.89052341955,"Blanc, Henri-Frédéric,",The empire of sleep / | $c: Henri-Frédéric Blanc ; translated from the French by Nina Rootes.,1993,u,high_male,30.266780046985573
uc2.ark:/13960/t4rj49j8h,"Tallentyre, S. G.",The starry pool,1918,u,high_female,30.172738930376404
uc1.$b255853,"Ellis, Royston,",The rush at the end / | $c: Royston Ellis.,1967,m,,30.133812963189666
uiuo.ark:/13960/t0xp7p672,"Brookfield, Arthur Montagu,",The autobiography of Thomas Allen,1882,m,mixed,30.1065308012969
inu.30000110565540,"Bowen, Jim W.",Just another mzungu passing through / | $c: Jim Bowen.,2008,m,mixed,30.075911600880623
uiuo.ark:/13960/t5v702w95,,Spoken in anger,1877,u,high_female,30.04233237744094
inu.32000009614910,"Wilson, Colin,",The world of violence.,1963,m,,29.9667999400664
uc1.32106016999176,"Lott, Tim",White city blue / | $c: Tim Lott,1999,m,,29.95975675916404
mdp.39015047616373,"Norman, Frank.","The lives of Frank Norman: | told in extracts from his autobiographical books Banana boy, Stand on me, Bang to rights, The guntz; | $c: with an introduction by C. H. Rolph.",1972,m,,29.82070302307377
njp.32101033250323,"Kay-Shuttleworth, James,",Scarsdale,1860,m,,29.720994167254894
uc1.b3475436,"Hughes, David,",The man who invented tomorrow / | $c: by David Hughes.,1968,m,,29.71370841937928
uiuo.ark:/13960/t1bk1w12k,"Jephson, R. Mounteney",The girl he left behind him,1876,m,,29.599560235105077
uiuo.ark:/13960/t7mp5kq6f,,Memoirs of a man of fashion,1821,u,mixed,29.515938606847698
mdp.39015000613615,"Middleton, Stanley,",Blind understanding / | $c: Stanley Middleton.,1982,m,,29.475918174851145
mdp.39015050971004,"Vronskaya, Jeanne.",The Americans.,1984,f,high_male,29.456045035019965
mdp.39015048403920,"Campbell, Patrick,",The Campbell companion : | the best of Patrick Campbell / | $c: edited and introduced by Ulick O'Connor.,1987,m,mixed,29.43665599587887
pst.000017803342,"Auchincloss, Louis.",Skinny island : | more tales of Manhattan / | $c: Louis Auchincloss.,1987,m,,29.358828710381538
mdp.39015016435300,"Kee, Robert.",A sign of the times.,1955,m,,29.356012950195428
mdp.39015030745015,"Farmer, Philip José.",Hadon of ancient Opar / | $c: Philip José Farmer.,1977,m,high_male,29.27278049596454
uiuo.ark:/13960/t0vq39k46,"Farjeon, B. L.",Toilers of Babylon,1888,m,high_male,29.25565261002215
wu.89092582386,"Birmingham, George A.,",Good intentions / | $c: by George A. Birmingham.,1945,m,high_female,29.181202000238756
mdp.39015024905294,"Thubron, Colin,",Turning back the sun / | $c: Colin Thubron.,1991,m,,29.176944908623113
uc1.$b182896,"Bernstein, Hillel.","Choose a bright morning, | $c: by Hillel Bernstein ...",1936,u,high_male,29.013539651837526
mdp.39015032316997,"Hudson, Mark.",Coming back brockens : | a year in a mining village / | $c: Mark Hudson.,1994,m,,28.944652790012835
nyp.33433074877477,"Lowis, C. C.",Four blind mice,1920,u,,28.882951837677812
mdp.39015079152578,"McLean, Russel D.",The good son / | $c: Russel D. McLean.,2008,m,mixed,28.88152494451707
mdp.39015047748093,"Trollope, Anthony,",An old man's love,1884,m,,28.83890145969209
uc1.b4089222,"Milne, A. A.",Lovers in London,1905,m,high_female,28.77421830040284
uiuo.ark:/13960/t9q247n69,"Croker, B. M.",Mr. Jervis,1894,f,,28.76663070837828
mdp.39015059377971,"George, Walter Lionel,",Israel Kalisch,1913,m,,28.76397107166338
