htid,author,title,year,authgender,female_category,england_as_such_intensity
uiuo.ark:/13960/t0000gm33,"Curling, Henry,",John of England,1846,m,mixed,559.0496156533892
uiuo.ark:/13960/t5db8cm5d,"Curling, Henry,",John of England,1846,m,mixed,514.5989484282358
uiuo.ark:/13960/t1jh3wp5g,"Curling, Henry,",John of England,1846,m,mixed,494.78341166255495
uc2.ark:/13960/t4nk3bv1m,"James, G. P. R.",Dark scenes of history,1849,m,high_male,292.3345237106553
nnc1.0035530944,"Hudson, W. H.",The purple land that England lost,1885,m,,259.02864259028644
wu.89095872966,"Brown, Beatrice Curtis.","Anne Stuart, queen of England, | $c: by Beatrice Curtis Brown ...",1929,f,high_female,251.032162699424
nnc1.0022575324,"Hudson, W. H.",The purple land that England lost,1885,m,,219.8876129978011
inu.30000007177755,"Plaidy, Jean,",The bastard king / | $c: Jean Plaidy [i.e. E. Hibbert].,1974,f,high_male,209.29323285213775
inu.32000009470826,"De Polnay, Peter,",Death and to-morrow.,1942,m,,205.35537026007543
uc1.$b80840,"Delarue-Mardrus, Lucie,",William the Conqueror; | $c: translated by Colin Shepherd.,1933,u,high_male,199.8947922146239
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,197.36257736894672
inu.32000011265255,"Coryn, M. S.,","The acquirer, 1027-1087, | $c: by M. Coryn.",1934,u,high_male,194.46398278786876
uc2.ark:/13960/t19k49671,"O'Donovan, Gerald,",Conquest,1920,m,,190.7571591856909
uc1.b4091228,"Lewis, Hilda Winifred,",Wife to the Bastard | $c: [by] Hilda Lewis.,1966,f,,190.49774609102397
mdp.39015070310894,,John Bull and his wonderful lamp,1849,u,high_male,189.07715802487093
njp.32101065836619,"Michel,","Henry of Monmouth, or, The field of Agincourt",1841,m,mixed,188.6527697656652
nyp.33433074879838,"De Longueville, Thomas,",The prigment;,1892,m,high_male,183.2022041071378
uc1.32106005651358,"Westlake, Donald E.",The handle / | $c: Richard Stark.,1985,m,high_male,180.4160181123532
uc2.ark:/13960/t5w66c784,"Lytton, Edward Bulwer Lytton,","Harold, the last of the Saxon kings;",1848,m,,178.4703782701432
uiuo.ark:/13960/t9q24kd0d,"Tupper, Martin Farquhar,",Stephan Langton,1858,m,,175.82932833196577
mdp.39015059246887,"Hawes, J. M. (James M.)",Speak for England / | $c: James Hawes.,2005,m,high_male,175.4284820082855
njp.32101065836593,"Michel,","Henry of Monmouth, or, The field of Agincourt",1841,m,mixed,172.0416653633207
uc2.ark:/13960/t1xd0z54b,"Capes, Bernard Edward Joseph,",Where England sets her feet;,1918,m,high_male,168.1887750811511
mdp.39015063974300,"White, Richard Grant,",Mr. Washington Adams in England,1883,m,,165.99478302110504
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,165.16129032258064
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,163.91203387515367
mdp.39015045695635,"King, John,",England away / | $c: John King.,1998,m,high_male,161.92349312417556
nnc1.1002331357,"Neele, Henry,",The romance of history,1833,m,,160.4336570365959
mdp.39015031299079,"Morier, James Justinian,","The adventures of Hajji Baba of Ispahan, | $c: by James Morier.",1925,m,high_male,159.517497550267
uc2.ark:/13960/t1wd3tw5d,"Trowbridge, W. R. H.",Court beauties of old Whitehall,1906,m,mixed,155.45096862034586
njp.32101068177532,"Edgar, John G.",Runnymede and Lincoln Fair,1866,m,high_male,154.19277090397384
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,153.37771819400578
uc2.ark:/13960/t3pv6jb2s,"Sampson, George,",A day with Felix Mendelssohn Bartholdy,1910,m,high_male,152.65056897030252
uc1.b3322745,"Herbert, Henry William,",Oliver Cromwell,1840,m,high_male,151.4594515109183
mdp.39015038538826,"Hope, Christopher.",Darkest England / | $c: Christopher Hope.,1996,m,mixed,150.97937939528785
uc2.ark:/13960/t2988792t,"Maclean, Donald.","The luck of the ""Gold Moidore""",1920,m,high_male,148.29676800279148
uiuo.ark:/13960/t8jd5541b,"Charles, Elizabeth Rundle,",Against the stream,1873,f,high_female,145.8592188428502
uc2.ark:/13960/t4sj1d82f,"Hales, A. G.",The watcher on the tower,1904,m,,136.65293897416697
mdp.49015001034512,"(Gilbert Keith), Chesterton, G. K.","The sword of wood, | a story | $c: by G.K. Chesterton.",1928,u,high_male,136.56538067599865
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,135.99313234681648
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,135.75605680868838
mdp.39015078569764,"Ross, Joseph Carne-","Quintura, its singular people and remarkable customs;",1886,m,,133.29687606808395
nnc1.1002331250,"Neele, Henry,",The romance of history,1833,m,,133.08954314215703
hvd.hwe4lw,"Ritchie, Leitch,",The romance of history,1831,m,high_male,131.7491206652726
mdp.39015051144783,"Byrne, Donn,","The power of the dog, | $c: by Donn Byrne.",1929,m,,131.25284702866716
mdp.39015059427495,"Williamson, A. M.",What I found out in the house of a German prince,1915,f,,130.4666416456669
uc2.ark:/13960/t5w66cv1t,"Ghosh, Sarath Kumar,",The prince of destiny,1909,m,mixed,129.73792938264705
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,128.25348924933988
mdp.39015063239969,"Knight, Margaret,",Ginger Lily / | $c: Margaret Knight.,2004,f,mixed,128.08662353096528
njp.32101065836601,"Michel,","Henry of Monmouth, or, The field of Agincourt",1841,m,mixed,126.30914162412505
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,124.68257418041226
dul1.ark:/13960/t01z4w03g,"Ford, Douglas Morey.",The raid of Dover,1910,m,mixed,124.47680841463225
mdp.39015003929703,"Gibbs, Philip,","The middle of the road; | a novel, | $c: by Philip Gibbs.",1920,m,mixed,124.33392539964476
mdp.39015009035422,"Lyly, John,",Euphues. | The anatomy of wit.,1928,m,high_female,124.16100409367662
inu.32000002425082,"Bowen, Marjorie,",The governor of England,1913,f,,124.12889241742592
mdp.39015048890829,"Lyly, John,",Euphues. | The anatomy of wit.,1928,m,,123.91897685800036
uc1.$b56315,"Barclay, Hubert, Mrs.,","The queen's cause, | Scottish narrative, 1561-1587.",1938,f,,122.92969214703976
uc2.ark:/13960/t2q52jk6g,"Wood, Eric Erskine.",A bachelor in Japan,1916,m,high_female,122.88564406534624
njp.32101067627628,"Appleton,",Edgar,1816,f,high_male,121.4710563793248
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,120.58420636298742
njp.32101067627636,"Appleton,",Edgar,1816,f,high_male,120.0463434721311
uiuo.ark:/13960/t51g16t79,"McCarthy, Justin H.",The Waterdale neighbours,1867,m,mixed,118.28639020794404
mdp.39015073316781,"Carlyle, Thomas,",[Works],1885,m,high_male,117.34649092412673
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,116.83018467134872
njp.32101062933443,"West, Jane,",Alicia de Lacy,1814,f,,116.41631768719584
uc2.ark:/13960/t87h1gw05,"Lytton, Edward Bulwer Lytton,","Harold, the last of the Saxon kings;",1848,m,,114.32405900115567
uc2.ark:/13960/t1bk1cf94,"Grier, Sydney C.,",England hath need of thee,1916,m,,113.8499625594083
uc1.$b582056,"Macdonald, Mina",Some experiences in Hungary,1916,f,mixed,113.35994143069692
uiuo.ark:/13960/t02z1xk64,E. C. A.,Geraldine,1837,u,high_female,113.3452723686895
mdp.39015056477196,"Ramsay, Paulette.",Aunt Jen / | $c: Paulette Ramsay.,2002,f,mixed,113.01513877207738
njp.32101073695114,"Kennedy, Bart,",The German danger,1914,m,high_male,112.38002672822256
uc1.b3324303,"Croly, George,","Marston, or, The soldier and statesman",1846,m,,112.28637517123671
mdp.39015014862935,"Millin, Sarah Gertrude Liebson,",The Wizard Bird.,1962,f,mixed,112.28222681009817
wu.89095839858,"Higgs, Dorothy Pickard.","Guernsey diary, 1940-1945; | a human record of the occupation years.",1947,f,,112.02584410170904
mdp.39015052962811,,From across the shores : | Punjabi short stories by Asians in Britain / | $c: translated into English & critical introduction by Rana Nayar.,2002,u,mixed,110.04969254158064
njp.32101062933435,"West, Jane,",Alicia de Lacy,1814,f,,109.74468222458928
mdp.39015050937476,"Sladen, Douglas Brooke Wheelton,",His German wife;,1915,m,high_female,109.4347069482069
mdp.39015030850195,"Ashton, John,",Varia,1894,m,,109.22233696083882
njp.32101068168051,"Crake, A. D.",The Andreds-weald,1878,u,high_male,109.06705717249376
uc2.ark:/13960/t2k64ct0h,"Young, Stuart.",Merely a negress,1904,u,mixed,108.92359061017572
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,108.75040981312522
mdp.39015066896856,"Markham, E. A. (Edward Archibald),",At home with Miss Vanesa / | $c: E.A. Markham.,2006,m,,108.4634346754314
uc1.$b322918,"Almedingen, E. M. (Edith Martha),",The almond tree.,1947,f,high_female,108.45655627520468
mdp.39015026486327,"Simpson, Alyse.",An innocent in England.,1961,f,,108.10152407923384
uc1.32106018651312,"Markham, E. A. (Edward Archibald),",Meet me in Mozambique / | $c: E.A. Markham.,2005,m,high_male,107.74221503940788
mdp.39015031233144,"Duggan, Alfred Leo,",Leopards and Lilies.,1954,m,,107.2551951735162
dul1.ark:/13960/t5bc4sx44,,The affecting history of Caroline;,1805,u,,106.3327032136106
uiuo.ark:/13960/t8rb7b28t,"Black, William,",Kilmeny,1870,m,high_female,105.48865591223344
mdp.39015002755885,"Larg, David Class.",John Ruskin.,1932,m,,105.4010029065125
hvd.hwadv9,"Scott, Walter,",The Waverley novels,1829,m,high_male,104.65724751439038
uc1.$b242795,"Johnston, Mary,",Croatan / | $c: by Mary Johnston.,1924,f,,104.6566180274032
uc2.ark:/13960/t9q242h30,"Makino, Yoshio,",My idealed John Bullesses,1912,m,high_male,104.41749952053188
uc2.ark:/13960/t6c24sp9w,"Lytton, Edward Bulwer Lytton,",The last of the barons,1843,m,high_male,104.06592944540218
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,,104.03507468232146
inu.32000007466461,"Mackworth, Cecily.",I came out of France.,1942,u,,103.26627399984702
njp.32101067646032,"Hofland,",William and his Uncle Ben,1829,f,high_male,103.2483519974585
njp.32101068551629,"Hugo, Victor,",By order of the king,1870,m,mixed,102.51996607981368
uc2.ark:/13960/t89g5h85q,"Henty, G. A.",St. George for England;,1884,m,high_male,102.42026975923358
uc1.b4974557,"Phillips, Caryl.",A state of independence / | $c: Caryl Phillips.,1986,f,high_male,101.6880211511084
uc1.$b686215,"Bennett, M. R.","Challenge! | Christ or compromise,",1938,u,high_male,99.88195768637064
uc2.ark:/13960/t1gh9f65g,"Littlefair, Mary.",An English girl's adventures in hostile Germany,1915,f,mixed,99.23011120615912
mdp.39015031045274,"Lawrence, James Henry,",The empire of the Nairs;,1811,m,,98.89892529834508
uiuo.ark:/13960/t08w3ph7r,Blue Tunic,From the peasantry to the peerage,1860,u,,98.60459557175726
uc1.$b299643,"Baring, Maurice,","Robert Peckham, | $c: by Maurice Baring.",1930,m,,98.2844889206576
mdp.39015003929737,"Gibbs, Philip,","The long alert, | a novel by Philip Gibbs.",1941,m,,97.68997740302542
uva.x001240922,"Devereux, W. A.",Sir Walter Ralegh,1909,u,,97.2821791208123
uiuo.ark:/13960/t7br9226f,"Allen, Grant,",In all shades,1886,m,,97.28056599602034
nyp.33433082132113,"Hugo, Victor,",The man who laughs,1889,m,,97.0850796808032
mdp.39015030138427,"Schumacher, Heinrich Vollrat,",Nelson's last love.,1929,u,,96.83958276911966
mdp.39015063869997,"Gaspey, Thomas,",The Lollards,1822,m,mixed,95.80349290111825
njp.32101067173177,"Scott, Walter,",Tales and romances,1833,m,high_male,95.3384129229681
mdp.39015017000772,"Emecheta, Buchi.",Gwendolen / | $c: Buchi Emecheta.,1989,f,high_female,95.3165450694281
uiuo.ark:/13960/t3805gj3d,"Gore,",The diary of a désennuyée,1836,f,,94.87987530073532
uc1.$b753692,"Meynell, Mrs. Esther Hallam (Moorhouse)",Nelson's Lady Hamilton,1911,f,high_female,94.85973731149669
uc1.$b294580,"Lester, Muriel,","My host the Hindu,",1931,f,,93.84670014711104
nyp.33433076079007,"Scott, Walter,",The handy volume  Waverly,1877,m,high_male,93.6681396025719
mdp.39015073484456,"Henty, G. A.",Friends though divided,1883,m,high_male,93.6513451052067
njp.32101037979414,"Gresley, W.","Coniston Hall, or, The Jacobites",1849,u,high_male,93.42883836810962
uc2.ark:/13960/t51g0x38p,"Perrin, Alice Robinson,",The Anglo-Indians,1913,f,high_female,93.19825339569564
mdp.39015010528738,"Druon, Maurice,",The lily and the lion; | a novel. | $c: Translated from the French by Humphrey Hare.,1961,m,,92.6276449219914
uc2.ark:/13960/t6zw1br9t,"Coulevain, Pierre de.",The unknown isle,1911,m,high_female,92.17533797623923
uiuo.ark:/13960/t9t15ck9g,"Farjeon, B. L.",Basil and Annette,1890,m,,91.95872075201798
uc1.b4027911,"Hume, Martin Andrew Sharp,",True stories of the past,1910,m,,91.9405729569342
uiuo.ark:/13960/t4sj2299h,"Kingsley, Charles,",Hereward the Wake,1866,m,,91.61924968656572
nyp.33433082132105,"Hugo, Victor,",The man who laughs,1889,m,,91.53841752960696
njp.32101072759879,"Scott, Walter,",The talisman,1868,m,,91.4024859410583
mdp.39015031045266,"Lawrence, James Henry,",The empire of the Nairs;,1811,m,,91.29511677282376
uc1.$b174673,"Lord, Derek Rowland,","""Germany quivers,"" | $c: edited by Peter Rance ...",1942,m,high_male,90.7182291801664
uc2.ark:/13960/t3fx7fk0m,"Faber, M. A.",Recollections of Indian life,1910,u,,90.6305295412369
mdp.39015062996734,"Converse, Florence,",Long Will.,1933,f,high_male,90.32127361437036
inu.32000005542370,"Baring, Maurice,",Darby and Joan / | $c: by Maurice Baring.,1935,m,high_female,90.24984958358402
uc1.$b174765,"Reyburn, Wallace.","Rehearsal for invasion ; | an eyewitness story of the Dieppe raid, | $c: by Wallace Reyburn.",1943,m,high_male,89.96212121212122
uiuo.ark:/13960/t8mc9h99c,"Kingsley, Charles,",Hereward the Wake,1866,m,,89.78496057462375
coo.31924070489962,"Barbour, John,","The Bruce, the history of Robert, the Bruce, King of Scots / | $c: John Barbour ; translated by George Eyre-Todd.",1996,m,high_male,89.61533591139771
mdp.39015048892288,"Lerner, Laurence.",My grandfather's grandfather / | $c: Laurence Lerner.,1985,m,mixed,89.59426596697811
uc1.b3326058,"Vachell, Horace Annesley,","A woman in exile, | $c: by Horace Annesley Vachell.",1926,m,,89.53685793203645
uiuo.ark:/13960/t2697pp25,"Middleton, Colin.",Innes of Blairavon,1893,m,high_male,89.05176990392684
uc1.b2828899,"Treece, Henry,",Hounds of the king / | $c: by Henry Treece ; with two radio plays by the author ; illustrated by Stuart Tresilian.,1965,m,high_male,88.65719807791194
dul1.ark:/13960/t6834jn51,E. W.,The island of anarchy,1887,f,high_male,87.88890841975743
uc1.$b322812,"Boyd, Martin,",The montforts / | $c: by Martin Mills.,1928,m,,87.26438615737509
uc2.ark:/13960/t0vq2sn8f,"Henty, G. A.",The dragon and the raven,1885,m,high_male,86.66150385367114
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,86.60150934059136
mdp.39015062273449,,Only a ghost,1870,m,high_male,86.44702718278744
uiuo.ark:/13960/t7pn9d76w,"Collins, Mortimer,",Miranda,1873,m,mixed,86.40179715738088
uc1.$b302231,"Harrison, Grace Elizabeth Simon,",Son to Susanna : | the private life of John Wesley / | $c: by G. Elsie Harrison.,1937,f,high_female,86.267670958406
mdp.39015064708343,"Fane, Olivia,",The glorious flight of Perdita Tree / | $c: Olivia Fane.,2005,f,mixed,86.2217623728229
uiuo.ark:/13960/t0ft92w8v,"Marryat, Florence,",Véronique,1869,f,,86.14244384487858
uc2.ark:/13960/t6rx96z9c,"George, Walter Lionel,",The making of an Englishman,1914,m,high_female,86.00248178590296
njp.32101064790221,"Robinson, Emma.",Owen Tudor;,1849,f,high_male,85.72875940093782
mdp.39015073316773,"Carlyle, Thomas,",[Works],1885,m,high_male,85.62791643061328
uc2.ark:/13960/t7qn63c7m,"Sidgwick, Cecily Ullman,",Karen,1918,u,,84.88461614386955
nyp.33433074952213,"Curling, Henry,",The Hall of Chavenlay;,1852,m,,84.86344699891991
uc2.ark:/13960/t48p60h65,"Maurois, André,",General Bramble,1921,m,high_male,84.7457627118644
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,84.45153420287136
uc2.ark:/13960/t6f191d5f,"Cooper, Arthur Nevile.",Quaint talks about long walks,1907,m,,84.4070010033285
mdp.39015019589970,"Mannin, Ethel,","The living lotus, | $c: by Ethel Mannin.",1970,f,high_female,84.38508952157324
uiuo.ark:/13960/t6c25fn5r,,Memoirs of a man of fashion,1821,u,mixed,83.93369238301742
uc2.ark:/13960/t9g44m417,"Cannan, Gilbert,",Time and eternity,1919,m,mixed,83.73901812452985
mdp.39015001068413,"Walker, David Esdaile,",Operation Amsterdam.,1980,m,,83.73664116720362
uiuo.ark:/13960/t88g9646w,"O'Keeffe, Adelaide,",Dudley,1819,f,mixed,83.36147222691204
uc1.32106006909912,"Kay, Susan.",Legacy / | $c: Susan Kay.,1985,f,,83.323664975583
mdp.39015054151553,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,83.19116485715836
uc1.32106019365136,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,83.13703755022863
inu.39000005593822,"Dixon, Geoffrey M.",Folktales and legends of Kent / | $c: by Geoffrey M. Dixon ; and illustrated by Susy-Jane Tanner.,1984,m,mixed,82.83717318146519
mdp.39015059447808,"Frey, Albert R.",Sobriquets and nicknames,1895,m,high_male,82.74874945020537
njp.32101067265460,"Noyes, Alfred,","Mystery ships (Trapping the ""U"" boat)",1916,m,mixed,81.9177373458653
mdp.39015084102659,"Pullinger, Kate.",The mistress of nothing / | $c: Kate Pullinger.,2009,f,,81.86140234879254
njp.32101074206598,"Hargrave, John,",At Suvla Bay;,1916,m,,81.42848833827722
njp.32101068169414,"Fullerton, Georgiana,",Mrs. Gerald's niece,1869,f,high_female,81.20881315316515
uiuo.ark:/13960/t8tb1rt9g,"Price, Eleanor C.",Gerald,1885,f,mixed,81.12155753390465
uiuo.ark:/13960/t6zw1tg53,"Finch, Emily.",The last days of Mary Stuart,1841,f,mixed,80.82576994965228
uiuo.ark:/13960/t52f8cg9g,"Sturgis, Julian,",John Maidment,1885,m,,80.58667096462246
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,80.57672361326601
uc1.b3321968,"Cobbold, Richard,",Mary Anne Wellington,1846,m,,80.50940496230696
njp.32101068551611,"Hugo, Victor,",By order of the king,1870,m,mixed,80.22852975141312
uc2.ark:/13960/t6057gp7z,"Loomis, Laura Hibbard,","Three Middle English romances: King Horn, Havelok, Beves of Hampton",1911,f,,79.9794338598646
njp.32101067300663,"Bowen, Marjorie,",God's playthings,1912,f,,79.84166610440141
mdp.39015040053863,"Brownjohn, Alan,",The long shadows / | $c: Alan Brownjohn.,1997,m,mixed,79.2978413365414
mdp.39015077123803,"Rhys, Jean.",Wide Sargasso Sea / | $c: Jean Rhys ; introduction by Francis Wyndham.,2001,f,high_female,78.95528373771806
nyp.33433067304075,"Yates, Edmund Hodgson,",The impending sword,1874,m,mixed,78.76651635389796
inu.39000005534958,"Sheffield, John.",The original Robin Hood : | a translation of the early tales / | $c: John Sheffield ; illustrated by John Clark.,1982,m,high_male,78.70297497245396
inu.32000006722955,"Buchanan, Meriel,","Petrograd, the city of trouble, 1914-1918",1918,u,high_male,78.58861267040898
mdp.39015039927457,"Hegedus, Adam de,",The struggle with the angels : | a novel / | $c: by Adam de Hegedus.,1956,m,mixed,78.14779310632268
uc1.$b100785,"Harwood, Alice.",Merchant of the ruby / | $c: Alice Harwood.,1951,f,mixed,77.89368397293194
inu.30000110620394,"Drake, John,",Flint and Silver / | $c: John Drake.,2008,m,,77.75013328594278
inu.30000066054192,"Praed, Campbell,",The head station;,1885,f,,77.7067863926783
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,77.69779953967719
uc2.ark:/13960/t87h1t00n,"Blackmore, R. D.",Springhaven,1887,m,,77.42161061924801
nyp.33433075731376,"Erskine, Thomas Erskine,",The second part of Armata,1817,m,high_male,77.36896399272977
hvd.32044020392437,"Hatton, Ann Julia,","Guilty or not guilty, or, A lesson for husbands",1822,f,high_female,77.34087992828391
mdp.39015002264037,"Orwell, George,",Animal farm : | a fairy story / | $c: by George Orwell ; illustrated by Joy Batchelor & John Halas.,1954,m,high_male,77.31652194599738
mdp.39015022200417,"Macaulay, Rose,",Orphan Island.,1961,f,,77.15905921725388
mdp.39015073428784,"Henty, G. A.",In freedom's cause,1885,m,high_male,76.92965210701769
njp.32101068970126,"Jennings, Louis J.",The millionaire,1883,m,,76.88471448757377
mdp.39015011559567,,The surprising adventures of Baron Munchausen,1895,m,,76.70304734815193
uc1.$b101965,"Plaidy, Jean,","Royal road to Fotheringay, | $c: by Jean Plaidy.",1956,f,,76.38261275181482
uc2.ark:/13960/t7np1zc9r,"Joseph, E. L.",Warner Arundell,1838,m,,76.2258502647116
nyp.33433075769681,"Porter, Jane,","Duke Christian of Luneburg, or, Tradition from the Hartz",1824,f,mixed,76.15637442214681
uiuo.ark:/13960/t2z32g92m,"Robinson, Emma,","Whitefriars, or, The days of Charles the Second",1844,f,high_male,76.13294559614593
uc1.$b245191,"Wellard, James Howard,",Woman returning.,1951,m,high_female,76.0926825597244
uc1.b4948999,"Wilson, Barbara Ker,",Jane Austen in Australia / | $c: Barbara Ker Wilson.,1984,f,high_female,76.02207455794571
uc2.ark:/13960/t51g0m15m,"Bridges, Roy,",Dead men's gold,1916,m,,76.01325671197057
mdp.39015054476059,"Napier, Charles James,",William the Conqueror,1858,m,,75.92565202386234
mdp.39015002968793,"Achebe, Chinua.",No longer at ease.,1960,m,,75.81893060844692
nyp.33433006640944,"Kirby, Mary,",Aunt Martha's corner cupboard,1875,f,high_female,75.66522342259027
mdp.39015056946067,"Markham, E. A. (Edward Archibald),",Taking the drawing room through customs : | selected stories (1972-2002) / | $c: E.A. Markham.,2002,m,,75.64060574868604
uc2.ark:/13960/t7br8ph3w,"Bunbury, Selina,","Evelyn, or, A journey from Stockholm to Rome in 1847-48",1849,f,high_female,75.41188951519102
uc1.b3321966,"Cobbold, Richard,",Mary Anne Wellington,1846,m,,75.26342197691922
mdp.39015008823133,"Emecheta, Buchi.",Adah's story : | a novel.,1983,f,high_female,75.08699984116211
uiuo.ark:/13960/t9d51845m,"Roberts,",Delmore,1806,f,mixed,74.9695436229032
uc1.b3540934,"Barbour, John,","The Bruce, | an epic poem written around the year A. D. 1375.",1964,m,high_male,74.80639594685346
uc2.ark:/13960/t0ns0qv2g,"Fischer, Henry W.",The secret memoirs of Bertha Krupp,1916,m,,74.79606385713952
uc1.$b149289,"Priestley, J. B. (John Boynton),",The world of J. B. Priestley; | $c: chosen and introduced by Donald G. MacRae.,1967,m,,74.76373491583239
uc2.ark:/13960/t7tm73t7d,"Howitt, William,","The year-book of the country; or, The field, the forest, and the fireside",1850,m,,74.75942081122403
uc2.ark:/13960/t3qv3k86d,"Bailey, H. C.",The fool,1921,m,high_male,74.64400551217271
uc1.$b42205,"Gray, Bernard.",War reporter.,1942,m,high_male,74.59865921343173
uc1.b4101372,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,74.50613079019074
uc2.ark:/13960/t4kk9997k,"Gilbert, William,","The landlord of 'The Sun,'",1871,m,mixed,74.4955495331184
uiuo.ark:/13960/t78s50s86,"Burke, Ulick Ralph,",Beating the air,1879,m,mixed,74.48467001558981
nnc1.50207065,"Oliver, Nathan.","A few remarkable events in the life of Rev. Josiah Thompson, a Secession minister",1836,m,high_male,74.39173814108173
mdp.39015059177504,"Isalāma, Saiẏada Manajurula.",Burrow / | $c: Manzu Islam.,2004,u,,74.34426039077202
uc1.$b299927,"Darbyshire, Shirley,","Henrietta Condon, M.D., | $c: by Shirley Darbyshire.",1936,u,high_female,74.16986801567076
inu.32000011204346,"Newbolt, Henry John, Sir,",Sea-life in English literature from the fourteenth to the nineteenth century.,1925,m,high_male,74.02315867392798
dul1.ark:/13960/t3611qf54,"Farningham, Marianne,",Nineteen hundred?,1892,f,,74.00185591956115
uiuo.ark:/13960/t6pz5tk74,"Roberts,",Delmore,1806,f,mixed,73.78712414683638
uiuo.ark:/13960/t8rb7q577,"Shelley, Mary Wollstonecraft,",Lodore,1835,f,high_female,73.76703667275538
uc2.ark:/13960/t3fx78s5n,"Russell, Percy.",A journey to Lake Taupo and Australian and New Zealand tales and sketches,1889,m,mixed,73.69927859744604
mdp.39015030735503,"Belloc, Hilaire,","But soft-we are observed! / | $c: by Hilaire Belloc, with thirty-seven drawings by G. K. Chesterton.",1928,m,,73.32914309658494
mdp.39015029544437,"Dabydeen, David.",Disappearence.,1993,m,,73.31714246437245
uc1.$b243829,"Lamming, George,",The emigrants.,1954,m,mixed,73.2329595565075
njp.32101064912049,"Marks, Mary A. M.",Thorough,1894,f,,73.06889352818371
njp.32101035036027,"Blessington, Marguerite,",Two friends,1835,f,,73.0648558043581
uc2.ark:/13960/t6k07959p,"Osmond, Sophie.",An Australian wooing,1916,f,,72.8972703141714
uiuo.ark:/13960/t0ft8v02f,"Blessington, Marguerite,","Grace Cassidy, or, The repealers",1833,f,,72.7802037845706
uc2.ark:/13960/t3hx1bm1n,"Mackay, Charles,",Luck;,1881,m,,72.75879684815084
uiuo.ark:/13960/t0xp7815w,"Allen, Grant,",In all shades,1886,m,,72.61388633791086
mdp.39015037403378,"Bryher,",West.,1925,u,high_female,72.57983782160376
uc2.ark:/13960/t6736pk76,"Tallents, Stephen George,",The dancer,1922,m,mixed,72.46376811594203
mdp.39015000635394,"Leslie, Shane,","The Anglo-Catholic; | a sequel to ""The Cantab.""",1929,u,mixed,72.44091803949307
njp.32101064912031,"Marks, Mary A. M.",Thorough,1894,f,,72.30787084564501
inu.32000009540487,"Jarman, Rosemary Hawley.",The King's grey mare.,1973,f,mixed,72.2168539897269
uc1.32106008724053,"Riley, Joan.",Waiting in the twilight / | $c: Joan Riley.,1987,f,high_female,72.17610970768675
uiuo.ark:/13960/t3hx1z78j,"Reid, Mayne,",The child wife,1868,m,,71.92807192807193
mdp.39015059376221,,The New British novelist;,1830,u,,71.83347127441948
mdp.39015030760378,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,high_male,71.64606842199534
mdp.39015002716614,"Rhys, Stella.",Five stories.,1952,f,,71.58196134574088
mdp.39015004935352,"Waugh, Alec,",The fatal gift: | a novel. -,1973,m,high_female,71.04947174717756
inu.32000006900049,"Collins, Mortimer,",You play me false,1878,m,high_female,71.04719255942129
uiuo.ark:/13960/t3bz6wf26,"Helme, Elizabeth,",St. Margaret's cave,1801,f,mixed,70.85990579800759
mdp.39015031442786,"Rawson, Geoffrey.",The strange case of Mary Bryant / | $c: by Geoffrey Rawson.,1938,m,mixed,70.77286014667419
uiuo.ark:/13960/t6057tb45,"Allen, Grant,",In all shades,1886,m,,70.66986465650163
uiuo.ark:/13960/t5r78kz01,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,70.60943244625162
mdp.39015063928512,"Disraeli, Benjamin,",Lothair,1870,m,,70.46132954123269
