htid,author,title,year,authgender,female_category,gb_intensity
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,1088.7046888531486
wu.89014636112,"Lynch, Conor.",Equal citizenship and the end of sectarian politics.,1987,u,high_male,1086.9565217391305
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1067.5048136821838
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,1066.7135786081549
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1064.502226691567
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1055.6844547563803
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,840.7635689067082
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,834.0863279349413
uiuo.ark:/13960/t0000gm33,"Curling, Henry,",John of England,1846,m,mixed,768.6932215234101
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,745.9483762849726
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,727.1239973641757
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,725.9402654867255
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,717.1441023812355
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,710.9644807161737
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,708.0465287718907
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,702.3403719887443
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,,694.8056773426471
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,694.3792812236089
njp.32101069186110,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,694.2859936764562
uiuo.ark:/13960/t13n2j57j,"Gore,",The birthright and other tales,1844,f,,685.2436602753996
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,684.0016708437761
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,664.4885526186499
mdp.39015025923064,"Ramsay, James Henry,","Bamff charters, A. D. 1232-1703",1915,m,high_male,653.5770461571839
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,645.8966565349543
wu.89095872966,"Brown, Beatrice Curtis.","Anne Stuart, queen of England, | $c: by Beatrice Curtis Brown ...",1929,f,high_female,630.7660940924616
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,604.7893189612936
mdp.39015064746129,"Charles, Edward.",In the shadow of Lady Jane : | a novel of Tudor England / | $c: Edward Charles.,2006,m,high_female,603.2361331910538
uc1.$b56315,"Barclay, Hubert, Mrs.,","The queen's cause, | Scottish narrative, 1561-1587.",1938,f,,601.4302142677751
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,596.9915795510829
uc1.b3322565,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,594.7681456918785
mdp.39015048416500,"Newby, P. H. (Percy Howard),","A guest and his going, | a novel.",1959,m,mixed,593.0551771830926
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,590.8378136200719
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,589.0202544771489
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,582.2759909511163
uiuo.ark:/13960/t1jh3wp5g,"Curling, Henry,",John of England,1846,m,mixed,580.2334716154197
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,576.1492500914522
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,573.5299974775301
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,572.173839875468
mdp.39015068053472,"Parker, Katherine Borradaile (Kensit) Mrs.","""My Lady Dundie"" | being a very true accompt of her life death & burial, & of the finding of her body so perfect one hundred years later, | $c: all faithfully told by her biographer & scribe Katherine Parker ... With a foreword by Professor Charles Sanford Terry.",1928,f,,572.1094455006614
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,571.0979168763208
inu.32000001703182,"Wilson, Violet A.",Queen Elizabeth's maids of honour and ladies of the privy chamber,1922,f,high_female,570.9634281062852
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,570.3855806525211
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,570.1846780422724
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,569.3880133278972
uiuo.ark:/13960/t5db8cm5d,"Curling, Henry,",John of England,1846,m,mixed,568.9354833554407
inu.30000004380105,"Holland, Richard.",Supernatural Clwyd : | the folk tales of North-East Wales / | $c: Richard Holland.,1989,m,,564.9569743415374
umn.31951002082062h,"Frankland, Edward Percy,",The bear of Britain.,1940,m,high_male,560.9113428738226
inu.30000039146844,"Whitaker, Terence W.",Scotland's ghosts and apparitions / | $c: Terence Whitaker.,1991,m,mixed,556.4073396310403
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,549.5593623131002
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,549.2359517648782
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,546.3734462505121
inu.39000005593822,"Dixon, Geoffrey M.",Folktales and legends of Kent / | $c: by Geoffrey M. Dixon ; and illustrated by Susy-Jane Tanner.,1984,m,mixed,543.6189490033652
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,543.5037982614142
njp.32101075688935,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,543.2311484432958
njp.32101068177532,"Edgar, John G.",Runnymede and Lincoln Fair,1866,m,high_male,540.4232067605296
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,539.4808391288173
inu.30000118485758,"Maddock, Llywelyn W.,","West Country folk tales, | $c: by Llywelyn W. Maddock. Illus. by Harold W. Hailstone.",1965,u,mixed,536.8417073078523
inu.30000114945995,"Lane, Jane,",Heirs of Squire Harry / | $c: Jane Lane.,1974,f,mixed,535.6692023139153
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,534.6147445498417
uiuo.ark:/13960/t4xh06r8n,"Prickett,",Warwick Castle,1815,f,mixed,521.7627434246256
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,518.4653425859456
uc1.b4027911,"Hume, Martin Andrew Sharp,",True stories of the past,1910,m,,518.2105021209019
uiuo.ark:/13960/t9s18j533,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,518.0342401241066
mdp.39015030746641,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,514.4245682969703
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,512.7718165416389
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,510.204081632653
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,509.0926891352766
mdp.39015073428784,"Henty, G. A.",In freedom's cause,1885,m,high_male,508.9192370156555
uiuo.ark:/13960/t41r72858,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,508.71229229562374
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,506.4986350291022
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,503.8396943628928
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,500.01497050809905
uc1.$b807355,"Crawshay-Williams, Eliot,",The wolf from the west.,1947,u,,497.2460220318237
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,496.9914268978861
njp.32101065836593,"Michel,","Henry of Monmouth, or, The field of Agincourt",1841,m,mixed,495.792799274297
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,495.54545779813225
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,493.8569019513371
nnc1.1002331357,"Neele, Henry,",The romance of history,1833,m,,492.2396295441011
mdp.39015030850195,"Ashton, John,",Varia,1894,m,,490.5075859877671
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,488.2432230043433
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,483.3902740423058
umn.31951002375620f,"Griffith, George Chetwynd.",The world peril of 1910,1907,m,high_male,483.1573518634131
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,482.2472722888661
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,478.7564351675648
uiuo.ark:/13960/t9d516b21,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,478.5689394819375
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,477.6605384816232
mdp.39015073484456,"Henty, G. A.",Friends though divided,1883,m,high_male,476.5645061402051
mdp.39015031233144,"Duggan, Alfred Leo,",Leopards and Lilies.,1954,m,,476.4605785592739
uc1.b3321304,"Crake, A. D.",The last abbot of Glastonbury,1886,u,mixed,476.3880345059442
uc1.$b100785,"Harwood, Alice.",Merchant of the ruby / | $c: Alice Harwood.,1951,f,mixed,474.0007700852846
wu.89042045070,"Wardle, C      Francis.","All dogs, | $c: by C. Francis Wardle.",1935,u,high_male,472.34215284696865
njp.32101062933443,"West, Jane,",Alicia de Lacy,1814,f,,470.5159506524164
inu.39000001190797,"McGonagall, William.","Further poetic gems / | $c: William McGonagall, poet and tragedian ; died in Edinburgh 29th September, 1902.",1980,m,high_male,470.4498676859747
mdp.39015054456663,"Harrison, Paul,",Sea serpents and lake monsters of the British Isles / | $c: Paul Harrison.,2001,m,high_male,470.3536322354802
inu.30000094851403,"Pugh, Jane.",Welsh ghostly encounters / | $c: Jane Pugh.,1990,f,,470.1649665774034
uc2.ark:/13960/t6m048z3v,"Middleton, Thomas.",Legends of Longdendale;,1906,m,high_male,464.92173549331574
njp.32101065853366,"Reid, Mayne,",No quarter!,1888,m,,464.06170537379217
nyp.33433074870076,"Holt, Emily Sarah,",The White Rose of Langley: a story of the court of England in the olden time,1875,f,,463.8472032742157
nyp.33433075909915,"Borrow, George Henry,",Wild Wales,1862,m,high_male,463.5453855133568
wu.89092530534,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,463.3786557208825
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,460.8015390381445
mdp.39015028467465,"Beattie, Geoffrey.",We are the people : | journeys through the heart of Protestant Ulster / | $c: Geoffrey Beattie.,1992,m,,460.4678836585639
mdp.39015000596570,"pseud. Oliver, Jane,",Not peace but a sword.,1939,f,,457.152577330548
mdp.39015031305421,"Simpson, Evelyn Blantyre,",Robert Louis Stevenson's Edinburgh days,1898,f,,455.8035982911126
njp.32101067627453,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,455.4701970667721
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,455.28553337755534
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,455.0518970269161
njp.32101067301786,"Munford, George Frederick.",Ghosts and legends of South Somerset,1922,m,mixed,454.8317122664614
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,452.3696807111672
mdp.39015029992768,"Tennant, Emma.",Tess / | $c: Emma Teennant.,1993,f,high_female,451.6318729785357
mdp.39015059376221,,The New British novelist;,1830,u,,451.3015912675485
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,449.26034986440715
uc2.ark:/13960/t12n5226r,"Buchanan, Robert Williams,",Andromeda; an idyll of the great river,1901,m,,445.6933369311362
inu.30000060903774,"Ainsworth, William Harrison,",Windsor castle ;,1863,m,mixed,445.3664386891835
uc2.ark:/13960/t4nk3bv1m,"James, G. P. R.",Dark scenes of history,1849,m,high_male,445.1457520139523
wu.89080114168,"Brown, John,",The Enterkin,1865,m,high_male,443.21993291806416
inu.39000005534958,"Sheffield, John.",The original Robin Hood : | a translation of the early tales / | $c: John Sheffield ; illustrated by John Clark.,1982,m,high_male,440.73665984574217
mdp.39015073316773,"Carlyle, Thomas,",[Works],1885,m,high_male,440.6810446605805
uc1.b4501323,"Birch-Reynardson, Charles Thomas Samuel,",'Down the road';,1875,m,high_male,440.03017349761126
njp.32101068168051,"Crake, A. D.",The Andreds-weald,1878,u,high_male,431.6919885288914
uc2.ark:/13960/t8x926w87,"Baring-Gould, S.",The vicar of Morwenstow,1886,m,high_male,431.0385129638807
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,430.9677419354839
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,430.6031077166183
mdp.39015063587425,"Burke, Barbara, 1867-1941.",Barbara goes to Oxford,1907,f,mixed,429.7683825299755
inu.30000125237242,,A Rhondda anthology / | $c: edited by Meic Stephens ; introduced by Dai Smith.,1993,u,,428.2720286729642
uc1.b4104570,"Simpkinson, John Nassau,",The Washingtons,1860,m,mixed,428.0492085370135
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,427.9198483062574
uiuo.ark:/13960/t3708fq32,"Grant, James,",The white cockade =,1867,m,high_male,427.3452243258051
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,426.596661060749
uiuo.ark:/13960/t1zc8db1h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,425.6810897435897
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,425.30296431041984
mdp.39015030931433,,England invaded : | a collection of fantasy fiction / | $c: edited and introduced by Michael Moorcock.,1977,u,high_female,425.07568113017146
inu.39000005886747,"Robertson, R. MacDonald.","Selected Highland folk tales; | gathered orally | $c: by R. MacDonald Robertson, edited by Jeremy Bruce Watt.",1961,m,high_male,425.0344046473677
mdp.39015051293119,"Sinclair, Iain.","Landor's tower, or The imaginary conversations / | $c: Iain Sinclair.",2001,m,high_male,424.841250339485
mdp.39015005719573,"Mackenzie, Compton, Sir,","The north wind of love, | being volume four of ""The four winds of love.""",1949,m,,424.2164252786686
uc2.ark:/13960/t3rv0kp5g,"Tearle, Christian",The pilgrim from Chicago,1913,m,high_male,422.95900987850575
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,420.2977487291213
inu.32000009540487,"Jarman, Rosemary Hawley.",The King's grey mare.,1973,f,mixed,420.0783196867212
uc1.b3322564,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,418.59122401847577
wu.89097347694,"Shute, Nerina,","We mixed our drinks; | the story of a generation, | $c: by Nerina Shute.",1945,u,high_female,417.12383186409886
hvd.hwe4lw,"Ritchie, Leitch,",The romance of history,1831,m,high_male,417.00409751852345
mdp.39015051144783,"Byrne, Donn,","The power of the dog, | $c: by Donn Byrne.",1929,m,,416.9208082087074
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,415.8600415860041
mdp.39015064739819,"Drabble, Margaret,",The sea lady : | a late romance / | $c: Margaret Drabble.,2006,f,high_female,412.6169800516165
inu.30000108972955,"Williams, Alfred Rowberry,","Legends of the Severn Valley, | $c: collected and arranged by Alfred Rowberry Williams.",1925,m,,410.71899071620095
nnc1.1002331250,"Neele, Henry,",The romance of history,1833,m,,410.4630769804844
nyp.33433075909907,"Borrow, George Henry,",Wild Wales,1862,m,high_male,410.3331406354497
uc2.ark:/13960/t6f191d5f,"Cooper, Arthur Nevile.",Quaint talks about long walks,1907,m,,409.2943256199137
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,408.86841347538154
mdp.39015056426698,"Hawes, James.","White powder, green light / | $c: James Hawes.",2002,m,high_female,407.9495841482447
inu.39000005770560,"Mackintosh, William R.",Around the Orkney peat-fires,1914,m,high_male,407.3590294228343
uiuo.ark:/13960/t8mc9h99c,"Kingsley, Charles,",Hereward the Wake,1866,m,,407.1436826057195
uc2.ark:/13960/t9k35vq9k,"Newbigging, Thomas.",Lancashire humour,1901,m,high_male,406.76127632649377
mdp.39015063064987,,"The life and adventures of Bampfylde Moore Carew, commonly called the King of the beggars",1835,u,high_male,406.57439446366783
uc2.ark:/13960/t2w37sp12,"Bell, May.",What of the night?,1918,f,high_female,406.2365899013017
mdp.39015077129032,"Fache, Abdulaziz Anako.",The preordained / | $c: Abdulaziz Anako Fache.,2008,u,,406.0714685784699
uc2.ark:/13960/t3zs2pc7k,"Roper, Edward.",A sportsman's memories,1921,m,high_male,402.02072303047765
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,401.3761467889907
nyp.33433074895818,"Markham, Clements R.",The paladins of Edwin the Great,1908,u,,400.6430704060019
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,399.9757590449064
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,399.3492086969384
mdp.39015077129537,"Frewin, Anthony,",The Reich stuff / | $c: Anthony Frewin.,2008,m,mixed,398.8148214909365
nyp.33433075876734,"Thurston, E. Temple","The ""Flower of Gloster,""",1911,f,high_male,397.8417511866953
nyp.33433082227798,"Smollett, T.",The works of Tobias Smollett,1895,m,,396.52697067067754
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,395.09443442117527
uc2.ark:/13960/t1wd3tw5d,"Trowbridge, W. R. H.",Court beauties of old Whitehall,1906,m,mixed,394.5238376019812
uiuo.ark:/13960/t2j67qd9f,"Lyall, Edna,",To right the wrong,1894,f,high_male,393.9699801387035
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,393.8912307373367
uc1.b3578457,"Gore,","Cecil, a peer",1841,f,,392.8878168229082
nyp.33433071388346,"Mackintosh, W. R.",Around the Orkney peat-fires,1905,u,high_male,391.3959419004324
uc1.b3322533,"Gore,",Peers and parvenus,1846,f,,390.7435508345979
uiuo.ark:/13960/t4cn7h270,"Grant, James,",The white cockade =,1867,m,high_male,389.94585465202925
njp.32101068584737,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,389.4907061257845
mdp.39015020062736,"Colman, George,",Random records;,1830,m,high_male,388.80150990877627
uc2.ark:/13960/t3qv3dp2s,"Temple, Dorothy Osborne,","Letters from Dorothy Osborne to Sir William Temple, 1652-54",1888,f,,387.4779406122918
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,387.08459214501505
hvd.32044086790011,"Little, Thomas,",Holly-grove,1828,m,,386.8797308662742
mdp.39015005291011,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,,385.9623644802914
njp.32101067644656,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,385.8741767344135
uc2.ark:/13960/t56d5w74w,"Matheson, Annie,",A plain friend,1920,f,high_female,385.74183870276454
mdp.39015002752197,"Ruskin, John,",Praeterita;,1899,m,,384.5342793703561
inu.32000002425082,"Bowen, Marjorie,",The governor of England,1913,f,,384.3584993636032
wu.89006594758,"McKee, Alexander,",The Coal-Scuttle Brigade / | $c: by Alexander McKee.,1957,m,high_male,384.1271593355042
uc1.b4101598,"Belloc, Hilaire,",The Great Inquiry (only authorised version),1903,m,high_male,383.35596198386713
mdp.39015059587298,"Drummond, Andrew.","An abridged history of the construction of the railway line between Garve, Ullapool and Lochinver; And other pertinent matters : | being the professional journal and regular chronicle of Alexander Auchmuty Seth Kininmonth / | $c: edited by Andrew Drummond ; with a foreword by Alfred Marjoribanks.",2004,m,high_male,383.0834762405266
njp.32101067644664,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,379.9972577517481
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,379.92846027928783
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,379.3535727911921
uc1.b3164053,"Raven, Simon,",The rich pay late / | $c: by Simon Raven.,1964,m,,378.37564222621546
uc1.32106018651312,"Markham, E. A. (Edward Archibald),",Meet me in Mozambique / | $c: E.A. Markham.,2005,m,high_male,378.26886367096466
mdp.39015078576058,"Purves, William Laidlaw,","The ""O"" edition of 'Robeson Cruso'",1903,m,high_male,377.28643983656013
uiuo.ark:/13960/t2x35cg1z,"Parker, Hastings,",Bentley Priory,1859,f,high_female,377.154130321258
wu.89042484659,"Breeze, David John.","The Roman fort at Bearsden, 1973 excavations : | an interim report / | $c: by David J. Breeze.",1974,m,high_male,376.6851704996035
njp.32101065853358,"Reid, Mayne,",No quarter!,1888,m,,376.50767243832496
mdp.39015063239969,"Knight, Margaret,",Ginger Lily / | $c: Margaret Knight.,2004,f,mixed,376.33698666314547
uiuo.ark:/13960/t8ff4f989,"Vincent, Francis,",Arundel,1840,m,mixed,376.30949635222566
mdp.39015014550514,"King, Alison.",Golden wings : | the story of some of the women ferry pilots of the Air Transport Auxiliary / | $c: by Alison King.,1975,f,high_female,375.9123553761317
njp.32101063882664,"Norris, W. E.",Adrian Vidal,1885,f,high_female,375.8672170018442
uiuo.ark:/13960/t9k36fx9p,"Wilbraham, Frances M.",For and against,1858,f,mixed,375.8063222539213
uc2.ark:/13960/t1vd6rn1b,"Cooper, Arthur Nevile.",Round the home of a Yorkshire parson;,1910,m,,375.683627840484
mdp.39015057606397,"Ferris, Paul,",Cora Crane / | $c: Paul Ferris.,2003,m,,374.5677143705634
mdp.39015002755885,"Larg, David Class.",John Ruskin.,1932,m,,373.6944648503625
uc1.$b469407,"Meek, George,",George Meek,1910,m,high_female,372.9288681984281
umn.319510021396669,"Dilnot, Frank,",I warmed both hands.,1933,m,mixed,371.8307557153656
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,371.6865429887515
hvd.hwadc2,"Scott, Walter,",The Waverley novels,1829,m,mixed,370.12845634661454
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,369.9060849550975
mdp.39015032316997,"Hudson, Mark.",Coming back brockens : | a year in a mining village / | $c: Mark Hudson.,1994,m,,369.35893886385946
mdp.39015020062504,"Colman, George,",Random records;,1830,m,high_male,368.4783518968261
uc2.ark:/13960/t9t14vp4t,"Miles, Hamish,",The Oxford circus;,1922,u,,368.36682122617214
uiuo.ark:/13960/t5x645x9n,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,367.43853419151185
uc1.32106006909912,"Kay, Susan.",Legacy / | $c: Susan Kay.,1985,f,,367.3975945125917
uc2.ark:/13960/t7br8pf30,"Russell, George William Erskine,","""For better? For worse?""",1902,m,,366.0350020970755
inu.30000026046338,"Janaway, John.",Ghosts of Surrey / | $c: John Janaway.,1991,m,high_male,365.7395594114144
njp.32101007059759,"James, G. P. R.",Forest days;,1843,m,,365.4789813183453
njp.32101037979414,"Gresley, W.","Coniston Hall, or, The Jacobites",1849,u,high_male,364.9563998754282
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,364.92314497401304
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,364.3396905361641
mdp.39015028701145,"Tongue, Ruth L.","Forgotten folk tales of the English counties; | $c: collected by Ruth L. Tongue, with an introduction by Katharine Briggs.",1970,f,mixed,364.2509925184419
uc1.b3457588,"Farrington, Robert,",The killing of Richard the Third.,1971,m,,363.8408361723944
nyp.33433074947924,"Ashby-Sterry, J.",A tale of the Thames,1896,u,high_female,363.83420041483896
uc1.b4091143,"Hopkins, Kenneth.",The girl who died / | $c: Kenneth Hopkins.,1955,m,mixed,362.9482909340386
mdp.39015082679484,"Ripley, Mike.",Angels unaware / | $c: Mike Ripley.,2008,m,high_female,362.7417952193295
uiuo.ark:/13960/t1bk1zz7x,"Ponsonby, Emily,",Violet Osborne,1865,f,high_female,362.29646555095826
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,361.4022406938923
inu.32000011265255,"Coryn, M. S.,","The acquirer, 1027-1087, | $c: by M. Coryn.",1934,u,high_male,360.9996276221607
inu.32000005542370,"Baring, Maurice,",Darby and Joan / | $c: by Maurice Baring.,1935,m,high_female,360.99939833433615
mdp.39015060667410,"Gavron, Jeremy,",An acre of barren ground / | $c: Jeremy Gavron / with artwork by Temple Clark.,2005,m,,360.9247477320269
njp.32101068179009,"Hardy, Elizabeth,","Owen Glendower, or, The prince in Wales",1849,f,mixed,360.62650538278314
nyp.33433075909923,"Borrow, George Henry,",Wild Wales,1862,m,high_male,360.15701668302256
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,360.0943849878664
njp.32101062933435,"West, Jane,",Alicia de Lacy,1814,f,,359.89800200122653
mdp.39015003929737,"Gibbs, Philip,","The long alert, | a novel by Philip Gibbs.",1941,m,,359.1833512596087
inu.32000006980835,"McGonagall, William.","The railway bridge of the silvery Tay, and other disasters; | $c: selected from the works of William McGonagall.",1972,m,,359.14407130232036
uc1.$b80840,"Delarue-Mardrus, Lucie,",William the Conqueror; | $c: translated by Colin Shepherd.,1933,u,high_male,358.6629046913108
mdp.39015059447808,"Frey, Albert R.",Sobriquets and nicknames,1895,m,high_male,357.4596879403016
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,357.326415232874
mdp.39015045695635,"King, John,",England away / | $c: John King.,1998,m,high_male,357.02155557135296
mdp.39015001159428,"Burrowes, John.",Frontline report : | a journalist's notebook / | $c: John Burrowes.,1984,m,high_male,356.256822467004
uiuo.ark:/13960/t0zp4jn9c,"Madden, Daniel Owen,","Wynville, or, Clubs and coteries",1852,m,,356.2137282369422
uc1.$b101965,"Plaidy, Jean,","Royal road to Fotheringay, | $c: by Jean Plaidy.",1956,f,,355.674761668756
