htid,author,title,year,authgender,female_category,walking
uc1.b3331888,,The brother and sister,1852,u,high_male,485.43689320388347
uc1.b4098088,"Anderson, Sherwood,",Alice | and The lost novel / | $c: by Sherwood Anderson.,1929,m,high_female,389.75501113585744
uc1.b3346079,"Blight, Leslie,",Love and idleness.,1958,m,,374.9470840808757
uc1.32106014786138,"Wurlitzer, Rudolph",Quake / | $c: Rudolph Wurlitzer,1995,m,mixed,338.5197645079899
mdp.39015030140290,"Booth, Martin.",On the death of Archdeacon Broix.,1971,m,high_male,317.25888324873097
mdp.39015034434301,"Jordan, Neil,",Sunrise with sea monster / | $c: Neil Jordan,1994,m,high_male,292.71862422246613
mdp.39015032979653,"MacKenna, John.",Clare : | a novel / | $c: John MacKenna.,1993,m,high_male,291.91321499013804
uc1.$b117555,"Chiang, Yee,",The silent traveller; | a Chinese artist in Lakeland ... | $c: by Chiang Yee ... With a preface by Herbert Read.,1938,m,high_male,284.0800030711352
uc1.32106017921815,"Dickson, Jack",Oddfellows / | $c: Jack Dickson,1997,m,high_male,281.70285765879646
uc1.32106013744492,"Jordan, Neil,",Collected fiction / | $c: Neil Jordan,1997,m,,264.02932348017197
inu.30000043459589,"Adyeeri, Mugarra,",Cherished dreams / | $c: Mugarra Adyeeri.,1994,u,,250.56851680282995
mdp.39015048860822,"Thomas, Ruth,",The dance settee and other stories / | $c: Ruth Thomas.,1999,f,high_female,248.271184798537
uc1.b3347023,"Powys, Theodore Francis,",The dewpond : | a story / | $c: by T. F. Powys.,1928,m,,243.20457796852648
mdp.39015019131450,"Hoffman, Alice.",Property of : | a novel / | $c: by Alice Hoffman.,1978,f,high_male,242.51177529397816
mdp.39015038071356,"Minco, Marga.",The glass bridge / | $c: Marga Minco.,1988,f,high_female,233.0097087378641
uc1.$b302082,"Muir, Edwin,",The marionette / | $c: by Edwin Muir.,1927,m,high_male,232.17152029351067
uc1.$b137097,"Rytter, Jørgen.",Autumn crocus; | a novel. | $c: [Translated from the Danish by Maurice Michael],1963,u,high_male,229.00763358778627
mdp.39015030737657,"Dick, Kay.",They : | a sequence of unease / | $c: Kay Dick.,1977,f,,226.8771755345599
mdp.39015061380930,"Hart, Maarten 't,",Bearers of bad tidings : | a story of father and son / | $c: by Martin Hart ; translated by J. W. Arriens.,1984,m,high_male,223.93407380867072
mdp.39015002711391,"Powys, Theodore Francis,",Uriah on the hill / | $c: by T.F. Powys.,1930,m,mixed,223.6802863107665
uc1.$b120267,"Blake, Katherine.",Are you trying to annoy me? | $c: [by] Katherine Blake.,1969,f,high_female,221.73693935830673
inu.30000116104005,"Urpeth, Peter.",Far inland / | $c: Peter Urpeth.,2006,m,mixed,221.40651401270173
mdp.39015005324507,"Marlowe, Derek.",Nightshade / | $c: Derek Marlowe.,1975,m,,219.32749447976408
mdp.39015000676653,"Silkin, Jon.",The peaceable kingdom.,1954,m,high_male,218.95527056615578
uc1.32106014173949,"Petterson, Per,",To Siberia / | $c: Per Petterson ; translated from the Norwegian by Anne Born,1998,m,mixed,218.94445724821387
mdp.39015064708210,"Collins, Richard,",Overland / | $c: Richard Collins.,2006,m,mixed,217.81984120933575
mdp.39015019480444,"Wings, Mary,",She came too late / | $c: Mary Wings.,1986,f,high_female,217.21021942449835
uc1.$b383948,"Hurd, David.",Kidnap at Kiunga.,1965,m,high_male,211.55127945054628
inu.30000110590472,"Astaire, Simon.",Private privilege / | $c: Simon Astaire.,2008,m,mixed,211.14395572644634
wu.89080350002,"Enquist, Anna.",The secret / | $c: Anna Enquist ; translated by Jeannette K. Ringold.,2000,f,high_female,211.0631064522983
mdp.39015061161256,"Minco, Marga.",An empty house / | $c: Marga Minco ; translated from the Dutch by Margaret Clegg.,1990,f,high_male,210.9619051482819
mdp.39015080822862,"Fitch, Stona.",Printer's devil / | $c: Stona Fitch.,2009,u,mixed,208.95623810818157
inu.30000107317632,"Haskell, John,",I am not Jackson Pollock / | $c: John Haskell.,2006,m,mixed,208.58993205927928
inu.30000114131257,"Peel, C. V. A. (Charles Victor Alexander)","Somaliland : | being an account of two expeditions into the far interior together with a complete list of every animal and bird known to inhabit that country, and a list of the reptiles collected by the author / | $c: by C.V.A. Peel.",1986,m,high_male,207.56545561380617
uc2.ark:/13960/t45q4tq9w,"Ransome, Arthur,",The soldier and death,1920,m,high_male,206.64441265299635
mdp.39015030005758,"Wolkers, Jan,",A rose of flesh; | $c: translated from the Dutch by John Scott.,1967,u,,204.48932723011342
uc1.32106013836728,"Vassanji, M. G.",Uhuru Street : | short stories / | $c: M.G. Vassanji.,1991,u,,203.8411908813794
uc1.b4951407,"Plante, David.",Figures in bright air / | $c: by David Plante.,1976,m,high_male,203.29101300295346
mdp.39015048693306,"Norris, Leslie,",The girl from Cardigan / | $c: Leslie Norris.,1988,m,,202.31054115305955
uc1.b2800726,"Ohlsson, Berndt.",Noah / | $c: Berndt Ohlsson ; translated from the Swedish by Joan Tate ; drawings by Douglas Hall.,1964,u,mixed,202.16502975123666
mdp.49015001269712,"Head, Bessie,",Maru / | $c: Bessie Head.,1987,f,high_female,200.3121142244893
mdp.39015064983318,"Crofts, Lewis,",The pornographer of Vienna / | $c: Lewis Crofts.,2007,m,,200.2664258701308
mdp.39015041543888,"Warner, Alan.",These demented lands / | $c: Alan Warner.,1997,m,,198.91017283455355
inu.30000021351303,"Williamson, Duncan,",May the devil walk behind ye! : | Scottish traveller tales / | $c:  Duncan Williamson.,1989,m,,198.47004643813708
mdp.39015049863890,"Katiyo, Wilson.",A son of the soil / | $c: Wilson Katiyo.,1976,m,high_male,196.42286809326094
uc2.ark:/13960/t09w0bw7q,"Pawlowska, Yoï.",In a grain of sand,1922,u,mixed,196.256038647343
mdp.39015066053508,"Bowles, Paul,",A little stone; | stories.,1950,m,mixed,195.02752055012206
inu.30000093786220,"Lash, Jennifer.",The climate of belief.,1962,f,,194.65471960451106
mdp.39015030855608,"Bates, H. E. (Herbert Ernest),",Sally go round the moon.,1932,m,,194.13507714314906
mdp.39015037755173,"Cooper, John.",A breeze that lingers : | a collection of stories / | $c: by John Cooper.,1992,m,high_female,194.10532768044132
uc1.b2857393,"Kollek, Amos.",Don't ask me if I love : | a novel / | $c: by Amos Kollek.,1971,m,,193.45170519049998
inu.39000005890012,"Gillham, Charles Edward.","Medicine men of Hooper Bay : | or, The Eskimo's Arabian nights / | $c: by C. E. Gillham. [Illustrations by Chanimun]",1955,m,high_male,192.7063563899676
uc1.$b322780,"Bolitho, Hector,",The flame on Ethirdova / | $c: Hector Bolitho.,1930,m,high_male,192.64287680029355
mdp.39015030712361,"Shuttle, Penelope,",Rainsplitter in the zodiac garden / | $c: Penelope Shuttle.,1977,f,high_female,192.64023298850225
mdp.39015064702064,"Tóibín, Colm,",The use of reason / | $c: Colm Tóibín.,2006,m,high_male,192.01483149043236
mdp.39015018913940,"Bolger, Dermot,",The journey home / | $c: Dermot Bolger.,1990,m,mixed,191.75952319253693
mdp.39015067683691,"Fletcher, Susan,",Oystercatchers / | $c: Susan Fletcher.,2007,f,high_female,190.5966826318773
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,190.32600125071372
mdp.39015079338557,"Clarke, Carole Patti.",I wish you weren't my mummy / | $c: Carole Patti Clarke.,2008,f,,190.22582172656467
uc1.32106018078417,"Dantzig, Rudi van",For a lost soldier / | $c: Rudi van Dantzig ; translated from the Dutch by Arnold J. Pomerans,1996,m,high_male,188.908905009981
inu.30000103141283,"Kotting, Mark.",Nappy rash / | $c: Mark Kotting.,2005,m,,188.3840480219675
inu.30000025839428,"Birch, Carol,",The fog line / | $c: Carol Birch.,1991,f,high_female,188.294495880544
uc1.b3473209,"Sotabinda, Maurice.",The money-doublers / | $c: Maurice Sotabinda.,1985,m,mixed,187.59921112126605
uc1.b3815024,"Arnott, Kathleen.","Ayo, an African schoolgirl.",1951,f,high_female,186.78657903839502
mdp.39015032471289,,The Lost boat : | avant-garde fiction from China = [Mi chou : Chung-kuo hsien feng hsiao shuo hsüan] / | $c: selected & edited with and introduction by Henry Y H Zhao.,1993,u,high_male,186.68756338158016
uc1.32106010408265,,The Lost boat : | avant-garde fiction from China = [Mi chou : Chung-kuo hsien feng hsiao shuo hsüan] / | $c: selected & edited with and introduction by Henry Y H Zhao.,1993,u,high_male,186.6230444900122
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,185.97641626652344
inu.30000053405951,"Davidow, Shelley,",To have and to hold / | $c: Shelley Davidow.,1998,f,high_female,185.63590610948393
inu.30000045131764,"Meena, Gladstone.",Remember death / | $c: Gladstone Meena.,1994,m,high_male,185.02943650126156
uc1.$b794585,"Fienburgh, Wilfred.",No love for Johnnie.,1959,m,,184.17336853091044
mdp.39015011047738,"Saʻdāwī, Nawāl.",Two women in one / | $c: Nawal el-Saadawi ; translated by Osman Nusairi and Jana Gough.,1985,f,mixed,183.4009247539586
mdp.39015029517003,"Levy, Deborah.",Swallowing geography / | $c: Deborah Leby.,1993,f,mixed,183.22313391221223
inu.30000100600638,"Close, Helena.",Pinhead Duffy / | $c: Helena Close.,2005,f,mixed,183.12395138519457
inu.30000047808401,"Howell, Edward Alexander.",Escape to live. | $c: With a port. by Eric Kennington.,1948,m,high_male,182.8649630730752
nyp.33433074936398,"Barker, Dalgairns Arundel.",The great leviathan,1920,u,,182.83240984309995
uc1.$b63785,"Sitwell, Constance,","White thorn, | $c: by Constance Sitwell.",1932,f,,182.53793710138552
mdp.39015032939251,"Saʻdāwī, Nawāl.",The innocence of the devil / | $c: Nawal el Saadawi ; translated from the Arabic by Sherif Hetata.,1994,f,mixed,182.20708231006893
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,182.03006867060262
inu.30000095371450,"Peltz, Daniel.",Out of the blue / | $c: Daniel Peltz.,2004,m,high_female,181.90897417605936
mdp.39015034275845,"McLean, Duncan,",Blackden / | $c: Duncan McLean.,1994,m,mixed,181.7073591480455
uc1.b4360930,"Watkins, Paul,",In the blue light of African dreams / | $c: Paul Watkins.,1990,m,high_male,181.35827805087578
mdp.39015082751119,"Addonia, Sulaiman S. M. Y.",The consequences of love / | $c: Sulaiman S.M.Y. Addonia.,2008,u,high_male,181.28910498963398
inu.30000043479777,"MacKenna, John,",A year of our lives / | $c: John MacKenna.,1995,m,,180.78634198487683
wu.89007244767,"Klein, Gerda Weissmann,",My tortured years.,1960,f,,180.58161350844279
uc1.b2834747,"Hall, Julian Henry,",The senior commoner / | $c: by Julian Hall.,1933,m,,180.51952666927258
mdp.39015050607830,"Mikdadi, F. J.",Tamra / | $c: Faysal Mikdadi.,1988,u,,179.96090058131256
mdp.39015003494435,"Wolkers, Jan,",Horrible tango.,1970,u,mixed,179.74835230677053
mdp.39015058209993,"Brandmark, Wendy.",The angry gods / | $c: Wendy Brandmark.,2003,f,high_female,179.6145315965389
uc1.b3346922,"Forrest, David,",The last blue sea / | $c: David Forrest.,1959,m,high_male,179.59325224801208
uc1.$b193963,"Askildsen, Kjell,",A sudden liberating thought : | selected stories / | $c: Kjell Askildsen ; translated and with an introduction by Sverre Lyngstad.,1994,u,high_female,179.0964726614502
inu.30000036578213,"Fink, Ida.",The journey / | $c: Ida Fink ; translated by Joanna Weschler and Francine Prose.,1992,f,high_female,179.01806685880427
mdp.39015066086391,"Seiffert, Rachel.",The dark room / | $c: Rachel Seiffert.,2001,f,,178.89791023649911
mdp.39015056304085,"Jarrar, Nada A.","Somewhere, home / | $c: Nada Awar Jarrar.",2003,f,high_female,178.22888818402888
mdp.39015074239040,"Tsutsui, Yasutaka,",Hell / | $c: Yasutaka Tsutsui ; trans. by Evan Emswiler.,2007,u,high_male,177.96473062611227
mdp.39015077632340,"Blaker, Lisa French.",Heart of Darfur / | $c: Lisa French Blaker.,2007,f,,177.84788592991248
mdp.39015053114644,"Nicoll, Ruaridh.",White male heart / | $c: Ruaridh Nicoll.,2001,u,,177.82958247407274
inu.32000007189659,"Abrahams, Peter,","Dark testament, | $c: by Peter Abrahams.",1942,m,,177.52214588769948
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,177.48853719863925
mdp.39015068802589,"Faqir, Fadia,",My name is Salma / | $c: Fadia Faqir.,2007,u,,176.74616695059626
uc1.$b120353,"Luard, Nicholas.",The warm and golden war.,1967,m,high_male,175.88614393125673
mdp.39015010224478,"Callaghan, Morley,",Stories . | $c: Morley Callaghan.,1962,m,,175.25973951591655
mdp.39015008005244,"Pavese, Cesare.","Told in confidence, | and other stories, | $c: edited, translated from the Italian, and with an introduction by A. E. Murch.",1971,m,high_male,174.79830964271994
mdp.39015080838587,"Fitzgerald, Helen.",The Devil's staircase / | $c: Helen FitzGerald.,2009,f,,174.16642942072914
uc1.32106005534992,"Ackroyd, Peter,",Hawksmoor / | $c: by Peter Ackroyd.,1985,m,high_male,174.01634749726009
mdp.39015082746945,"Ingrams, Rachel,",Blood tender / | $c: Rachel Ingrams.,2008,f,mixed,173.5983764884227
mdp.39015046012889,"Carr, Rocky.",Brixton bwoy : | a novel / | $c: Rocky Carr.,1998,m,high_male,173.59675952715548
uc1.b3727919,"Work, George.",White man's harvest : | a novel / | $c: by George Work.,1932,m,mixed,173.4691126111146
inu.30000064961950,"Thomas, Ruth,","Sea monster tattoo, | and other stories / | $c: Ruth Thomas.",1997,f,high_female,173.29455553713777
mdp.39015041189070,"Tennant, Emma.",Alice fell / | $c: Emma Tennant.,1980,f,high_female,173.1423876041789
mdp.39015052653873,"Kat, Otto de,",The figure in the distance / | $c: Otto de Kat ; translated from the Dutch by Arnold and Erica Pomerans.,1998,m,high_male,173.13973163341598
mdp.39015048693579,"Nyamfukudza, S.,",The non-believer's journey / | $c: S. Nyamfukudza.,1980,u,,173.07829562486617
uc2.ark:/13960/t7rn32t76,"Pawlowska, Yoï.",A year of strangers,1911,u,high_female,172.82350399654354
uc2.ark:/13960/t0wp9vk7h,"Mathews, Basil,",Yarns on African pioneers to be told to boys,1920,m,mixed,172.75600970374182
uc1.$b119742,"Ford, John,",The blue comedian; | a novel.,1968,m,,172.5371788210613
uc1.$b63717,"Russell, William Richard,",A wind is rising.,1946,m,,172.4453269929193
mdp.39015063276706,"Taylor, Chad,",Departure lounge / | $c: Chad Taylor.,2006,m,,172.16882574174676
uc1.b4439332,"Edwards, Page.","The mules that angels ride / | $c: Page Edwards, Jr.",1973,u,,171.18689581095597
uc1.b3977304,"Liksom, Rosa.",One night stands / | $c: Rosa Liksom ; translated by Anselm Hollo.,1993,f,,170.98259838393867
mdp.39015059216492,"Collins, Richard,",The land as viewed from the sea / | $c: Richard Collins,2004,m,,170.4909626970901
mdp.39015034644933,"Hrabal, Bohumil,",I served the King of England / | $c: Bohumil Hrabal ; translated by Paul Wilson.,1989,m,mixed,170.32873445750297
mdp.39015050499410,"Lessing, Doris May,",The old age of El Magnifico / | $c: Doris Lessing.,2000,f,,170.17326732673268
mdp.39015055183647,"Riley, Gwendoline,",Cold water / | $c: Gwendoline Riley.,2002,f,,169.99575010624736
mdp.39015041544001,"Adisa, Opal Palmer,",It begins with tears / | $c: by Opal Palmer Adisa.,1997,f,high_female,169.90291262135923
mdp.39015010309220,"McEwan, Ian.",The comfort of strangers / | $c: Ian McEwan.,1981,m,high_female,169.8780601321791
mdp.39015024076401,"Carter, Peter.",Under Goliath / | $c: Peter Carter ; ill. by Ian Ribbons.,1977,m,high_male,169.69535008017104
uc1.32106011707913,"Minco, Marga.",The other side / | $c: Marga Minco ; translated from the Dutch by Ruth Levitt.,1994,f,,169.53941791466517
uc1.b2838252,"Bray, Christopher.",The Scarecrow Man.,1969,m,high_male,169.29640414437597
inu.39000004510439,"Esfandiary, F. M.",The day of sacrifice / | $c: Fereidoun Esfandiary.,1960,u,high_male,169.28989751098098
mdp.39015034649288,"Borowski, Tadeusz,","This way for the gas, ladies and gentlemen: and other stories; | $c: selected and translated by Barbara Vedder.",1967,m,,169.24831671511092
mdp.39015016440474,"Dayan, Yaël,",Death had two sons: | a novel.,1967,u,,169.22634822312335
mdp.39015019820920,"Bedford, William.",Happiland / | $c: William Bedford.,1990,m,,169.2177524805784
mdp.39015022266798,"Bedford, William.",All shook up / | $c: William Beford.,1992,m,mixed,169.10521285199619
mdp.39015058730436,"Riley, Gwendoline,",Sick notes / | $c: Gwendoline Riley.,2004,f,,168.93570505813375
mdp.39015061327717,"North, Sam.",Unnumbered / | $c: Sam North.,2004,m,high_female,168.92669107449208
mdp.39015001171431,"Brown, Michael,",The weaver and the abbey : | the quest for a secret monastery in the Andes / | $c: Michael Brown.,1982,m,,168.6606764180812
mdp.39015066017982,"Abrahams, Peter,",Mine boy.,1956,m,high_female,168.62972259767008
uc1.32106013111692,"Balle, Solvej,",According to the law : | four accounts of mankind / | $c: Solvej Balle ; translated from the Danish by Barbara Haveland,1996,u,mixed,168.1306615426846
uc1.32106018011129,"Paling, Chris",A town by the sea / | $c: Chris Paling,2005,m,high_male,167.6765367173507
mdp.39015011039743,"Ghose, Zulfikar,",Don Bueno / | $c: Zulfikar Ghose.,1983,u,,167.44615739938794
mdp.39015029242545,"McKenzie, Earl,",Two roads to Mount Joyful / Earl McKenzie.,1992,m,,167.28990356229087
mdp.39015050478109,"Spinney, Laura.",The doctor / | $c: Laura Spinney.,2001,f,mixed,167.01306413301663
mdp.39015008364864,"Bates, H. E. (Herbert Ernest),",The fallow land.,1953,m,high_female,166.7349485979973
inu.30000044867673,"Abrahams, Peter,",Mine boy / | $c: Peter Abrahams ; illustrated by Ruth Yudelowitz.,1975,m,high_female,166.71120782906374
uc1.$b322889,"Abrahams, Peter,",Mine boy / | $c: by Peter Abrahams.,1954,m,high_female,166.6903565106152
mdp.39015005177657,"Bjarnhof, Karl.",The good light / | $c: Karl Bjarnhof ; translated by Naomi Walford.,1960,m,mixed,166.28365375632904
mdp.39015063348794,"Ma, Jian,",Stick out your tongue / | $c: Ma Jian ; translated from the Chinese by Flora Drew.,2006,u,high_male,165.65204787344183
pst.000049733785,"Laurie, Peter.",Mauby's big adventure / | $c: by Peter Laurie ; illustrated by H. Ann Dodson.,2000,m,high_male,165.5324627551959
uc1.b3880650,"Quinn, Niall.",Stolen air,1988,u,,165.42597187758477
inu.30000111254946,"Mengestu, Dinaw,",Children of the revolution / | $c: Dinaw Mengestu.,2008,u,high_female,164.97213803890898
uc1.32106005301624,"Williams, Raymond.",Border country : | a novel / | $c: by Raymond Williams.,1978,m,,164.74234576346907
mdp.39015048891561,"Roe, Sue.","Estella, her expectations : | a novel / | $c: by Sue Roe.",1982,f,high_female,164.6790568052263
mdp.39015082728679,"Tomkinson, Roy.",Anger child / | $c: Roy Tomkinson.,2008,m,high_male,164.66863420493686
mdp.39015002777806,"Steinbeck, John,",To a God unknown.,1970,m,,164.59891611053882
mdp.39015041920052,"O'Grady, Timothy.","I could read the sky : | a novel / | $c: Timothy O'Grady, Steve Pyke ; with a preface by John Berger.",1997,m,mixed,164.45594737409684
mdp.39015022004801,"Buchan, James.",Slide / | $c: James Buchan.,1991,m,high_female,164.0051791109193
uc1.b3472748,"Levine, Norman,","I don't want to know anyone too well, and other stories.",1971,m,,163.75545851528383
mdp.39015012187459,"Banville, John.",Mefisto / | $c: John Banville.,1986,m,,163.70244998751423
uc1.b3473203,"Schlee, Ann.",The proprietor : | a novel / | $c: Ann Schlee.,1983,f,high_female,163.63310320093248
mdp.39015016437520,"Mackay, Shena.",Old crow.,1967,f,high_female,163.58220616241027
mdp.39015021924884,"Kiely, Benedict.","The cards of the gambler, | a folktale.",1953,m,mixed,163.5482175191293
uc1.b3868735,"FitzGibbon, Constantine,","The holiday, | a novel.",1953,m,,163.27882817861283
uc1.$b392292,"Bourne, John,",Computer takes all.,1967,m,,163.08225461217
uc1.$b244264,"Baron, Dunsany, Edward John Moreton Drax Plunkett,",His fellow men : | a novel / | $c: Lord Dunsany.,1952,m,,162.80579290677505
mdp.39015049678868,"Vasudevan Nair, M. T.,",The demon seed and other writings / | $c: M.T. Vasudevan Nair ; translated by V. Abdulla and Gita Krishnankutty.,1998,u,mixed,162.74959312601717
mdp.39015053748094,"Kenworthy, Christopher.",The quality of light / | $c: Christopher Kenworthy.,2001,m,,162.69195666838618
uc1.$b397607,"Rey, Henri François.",The mechanical pianos. | $c: Translated from the French by Peter Wiles.,1965,u,,162.1996664108844
uc2.ark:/13960/t59c7659g,"Dickinson, Humphrey Neville,",Thomson's friend,1917,m,high_male,162.15339711366954
mdp.39015001533713,"Bates, H. E. (Herbert Ernest),",Cut and come again; | Fourteen stories.,1951,m,,161.76571389402974
uc1.b4097694,"Durrell, Lawrence.",White eagles over Serbia.,1957,m,high_male,161.71503806743374
uc1.$b322948,"Barrett, Michael.",The reward.,1955,m,high_male,161.5383420574393
uc1.32106018939691,"Vlautin, Willy",The motel life : | a novel / | $c: Willy Vlautin,2006,m,,161.45307769929363
mdp.39015064948204,"Matar, Hisham,",In the country of men / | $c: Hisham Matar,2006,u,high_male,161.43199677136008
mdp.39015001012916,"Maugham, Robin,",The deserters : | a novel / | $c: Robin Maugham.,1981,m,high_male,161.32381363106362
mdp.39015070756153,"Doyle, Roddy,",The deportees and other stories / | $c: Roddy Doyle.,2007,m,,161.1792078821832
mdp.39076002819055,"Tahta, Haig.",April 1915 / | $c: Haig Tahta.,2005,m,mixed,161.06132115178485
mdp.39015012077965,"Okpi, Kalu,",Biafra Testament/ | $c: Kalu Okpi.,1982,u,high_male,161.01408104033555
inu.30000124594304,"Davies, Deborah Kay.","Grace, Tamar & Laszlo the beautiful / | $c: Deborah Kay Davies.",2008,f,high_female,160.9231493837821
mdp.39015004743541,"Kazakov, I͡Uriĭ,","The smell of bread, and other stories",1965,u,mixed,160.76985794834695
mdp.39015058009500,"Kuper, Jack.",Child of the holocaust.,1967,m,,160.6760823442729
mdp.39015027548745,"Lukash, Ivan,",The flames of Moscow. | $c: by Ivan Lukash; translated from the Russian by Natalie Duddington.,1930,m,high_male,160.67567908608348
mdp.39015058095087,"Kramer, Frederick Mark.",Thickets of qualia / | $c: Frederick Mark Kramer.,2003,m,,160.57901534809574
wu.89096955281,"Price, Nancey.",A vagabond's way : | haphazard wanderings on the fells / | $c: by Nancy Price ; with illustrations by A.S. Hartrick.,1936,u,high_male,160.43134530779662
uc1.b3481020,"Meynell, Laurence.",Airmen on the run; | true stories of evasion and escape by British airmen of World War II. | $c: Told by Laurence Meynell. Illustrated by Richard Kennedy.,1963,m,high_male,160.34206306787814
mdp.39015034015555,"Birch, Carol,",Songs of the west / | $c: Carol Birch.,1994,f,,160.19402940383867
mdp.39015003929547,"Ghose, Zulfikar,",Crump's terms : | a novel / | $c: by Zulfikar Ghose.,1975,u,,160.13676545373886
uiuo.ark:/13960/t55d96b1q,"Garvice, Charles,",Maurice Durant,1875,m,,160.07948774563923
uc1.b3905643,"Vijayan, O. V.,",After the hanging and other stories / | $c: O. V. Vijayan ; translated from the Malayalam by the author.,1989,u,,160.0486759609534
mdp.39015000550429,"Okri, Ben.",The landscapes within / | $c: Ben Okri.,1981,m,high_male,159.7753908955734
mdp.39015024989447,"Bolger, Dermot,",The woman's daughter / | $c: Dermot Bolger.,1991,m,high_female,159.38354960969855
mdp.39015029578146,"Josipovici, Gabriel,",In a hotel garden / | $c: Gabriel Josipovici.,1993,m,mixed,159.13109371053295
mdp.39015001533705,"Bates, H. E. (Herbert Ernest),","The woman who had imagination and other stories, | $c: by H. E. Bates.",1934,m,mixed,159.12012933284112
mdp.39015059973035,"Enquist, Anna.",The ice carriers / | $c: Anna Enquist ; translated by Jeannette K. Ringold.,2003,f,,159.00584652266446
mdp.39015056801189,"DeMarco, Gordon.",Murder at the Fringe / | $c: by Gordon DeMarco.,1987,m,,158.82100443554157
uc1.b2831241,"Levene, Ralph.",The camel's back.,1967,m,high_male,158.5592054089631
uc1.32106018091402,"Gemmell, David",Troy : | lord of the silver bow / | $c: David Gemmell. Lord of the silver bow,2005,m,,158.44906328641997
mdp.39015062825537,"Gemmell, David",Troy : | lord of the silver bow / | $c: David Gemmell. Lord of the silver bow,2005,m,,158.3735203857957
inu.39000005925479,"Amadu, Malum.",Amadu's bundle: Fulani tales of love and djinns; | $c: collected by Gulla Kell and translated into English by Ronald Moody. -,1972,u,high_male,157.93010752688173
nyp.33433074892724,"Maugham, W. Somerset",Orientations,1899,m,mixed,157.87811809283232
inu.39000005880096,"Strindberg, Gert.","Norwegian fairy tales, | $c: chosen and illus. by Gert Strindberg.",1962,u,high_female,157.67896562598548
uc1.32106002042221,"Head, Bessie,",When rain clouds gather: | a novel.,1969,f,,157.44632223167466
uc1.32106016633726,"Glass, Suzanne",The sculptors / | $c: Suzanne Glass,2002,f,high_female,157.3490760112592
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,157.08216145054155
mdp.39015011812263,"Upward, Edward.",The night walk and other stories.,1987,m,mixed,156.73143712041605
mdp.39015082679369,"Donovan, Gerard,",Country of the grand : | a collection of stories / | $c: Gerard Donovan.,2008,m,mixed,156.63395076808115
uc1.b4974557,"Phillips, Caryl.",A state of independence / | $c: Caryl Phillips.,1986,f,high_male,156.59955257270693
inu.30000003963828,"Priest, Christopher,",The glamour / | $c: Christopher Priest.,1985,m,,156.47590637067404
mdp.39015055583572,"Baker, Jo.",Offcomer / | $c: Jo Baker.,2001,f,high_female,156.45311583282523
uc1.b3739439,"Zwi, Rose.",Exiles : | a novel / | $c: by Rose Zwi.,1984,f,,156.41538280606844
mdp.39015050775017,"Rice, Ben,",Pobby and Dingan / | $c: Ben Rice.,2000,m,high_male,156.21244893054555
mdp.39015002719360,"Schreiner, Olive,",From man to man;,1926,f,high_female,156.1107253485406
uc1.b4392665,"Verma, Nirmal,",The world elsewhere : | and other stories / | $c: by Nirmal Verma.,1988,u,,156.04415282094573
mdp.39015002188111,"Nin, Anaïs,",A spy in the house of love.,1971,f,high_female,155.50180184627536
mdp.39076002819253,"Mouradian, Kay,",A gift in the sunlight : | an Armenian story : a novel / | $c: by Kay Mouradian.,2005,f,high_female,155.48410899699573
mdp.39015011709352,"Mvungi, Martha Mlagala.",Three solid stones / | $c: Martha Mvungi.,1975,f,,155.46519971298733
mdp.39015014458619,"Berberova, Nina Nikolaevna.",The accompanist / | $c: Nina Berberova ; translated from the Russian by Marian Schwartz.,1987,f,,155.38204560463038
mdp.39015001731531,"Kocan, Peter,",The cure / | $c: Peter Kocan.,1983,m,mixed,155.21844409031644
mdp.39015014163953,"Yeats, Jack Butler,","The Amaranthers,",1936,m,high_male,154.96868341189384
inu.30000117470645,"Clare, Jai.",The cusp of something : | stories / | $c: Jai Clare.,2007,u,,154.91160925824676
mdp.39015065134689,"Mrabet, Mohammed,",Love with a few hairs;,1967,m,mixed,154.79201186012034
uc1.b4362249,"Grynberg, Henryk.","Child of the shadows, | including The grave.",1969,u,,154.62290943515305
mdp.39015008442041,"Wain, John.",The smaller sky / | $c: John Wain.,1967,m,high_male,154.29510616174153
uc1.32106012744022,"Gee, Sue",The hours of the night / | $c: Sue Gee,1996,f,,154.27868340356625
mdp.39015082701932,"Billingham, Mark.",In the dark / | $c: Mark Billingham.,2008,m,mixed,154.02560114846273
uc1.32106017320273,"Dawes, Kwame Senu Neville,",A place to hide / | $c: Kwame Dawes,2002,m,,154.02525297752305
mdp.39015015473195,"Bourdouxhe, Madeleine,","A nail, a rose and other stories / | $c: Madeleine Bourdouxhe ; translated and introduced by Faith Evans.",1989,f,,153.90330626757947
mdp.39015002713280,"Quin, Ann,",Passages : | a novel.,1969,f,high_female,153.81043589297116
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,153.81005761359785
