htid,author,title,year,authgender,female_category,farm
umn.31951000442949l,"Stevens, Frank,",Adventures in hiveland,1903,m,high_female,624.4520005987896
coo.31924003427071,"McNicol, Harry B.",The young beekeeper.,1953,m,high_male,601.3654533234285
mdp.39015002264037,"Orwell, George,",Animal farm : | a fairy story / | $c: by George Orwell ; illustrated by Joy Batchelor & John Halas.,1954,m,high_male,544.18936600452
coo.31924003055195,"Browning, George Henry,","The children's story-book of bees, | $c: by Gareth H. Browning.",1933,m,,538.0577427821522
pst.000049733785,"Laurie, Peter.",Mauby's big adventure / | $c: by Peter Laurie ; illustrated by H. Ann Dodson.,2000,m,high_male,441.41990068052235
uc1.$b70107,"Fleuron, Svend,",The wild horses of Iceland / | $c: by Svend Fleuron ; translated from the Danish by E. Gee Nash.,1933,u,high_male,409.08874688823
wu.89047405857,"Homewood, Robert A.",Three farms.,1947,m,,374.7795414462081
uc1.b3553254,"Prewett, Frank,",The collected poems of Frank Prewett. / | $c: Introd. by Robert Graves.,1964,m,high_male,343.9192155714913
uc1.$b244866,"Street, A. G. (Arthur George),","Holdfast, | $c: a novel by A.G. Steet.",1946,m,high_female,310.54242596810934
mdp.39015065613286,"Truepeney, Charlotte.",Our African farm.,1965,f,mixed,305.6957462148522
mdp.39015005319200,"Sholokhov, Mikhail Aleksandrovich,","Virgin soil upturned,",1935,m,high_male,278.35686534634704
mdp.39015065155890,"Potrč, Ivan.",The land and the flesh: | a novel; | $c: translated from the Slovene by H. Leeming.,1969,m,high_female,270.7419307487809
mdp.39015043042426,"North, Sam.",The lie of the land / | $c: Sam North.,1998,m,high_female,266.8410997591162
uc1.$b437190,"Abramov, Fedor,","The dodgers, | $c: by Fyodor Abramov. Translated by David Floyd.",1963,u,,238.1786339754816
mdp.39015079208693,"Davis-Cooke, Graham.",Dawning gold / | $c: Graham Davis-Cooke.,2008,m,mixed,233.95143981853505
uc2.ark:/13960/t7dr2tf8d,"Bairnsfather, Bruce,",Bullets & billets,1916,m,high_male,224.9334197077665
mdp.39015000655095,"Gordimer, Nadine.",The conservationist / | $c: Nadine Gordimer.,1974,f,high_male,224.80148967167403
uc1.$b164984,"Soler, Bartolomé,","Marcos Villarí, | $c: by Bartolemé Soler, tr. from the Spanish by William Stirling.",1948,u,high_male,217.08096884180225
inu.39000005880096,"Strindberg, Gert.","Norwegian fairy tales, | $c: chosen and illus. by Gert Strindberg.",1962,u,high_female,210.23862083464732
umn.31951002102922y,"Goddard, Constance Felicity.","Come wind, come weather.",1945,f,,209.17353879491964
wu.89047148226,"Porteous, Crichton.",Teamsman; | $c: with wood engraving by Kingsley Cook.,1939,u,,205.69437593795587
mdp.39015024086293,"Heathcote, Violet M",Fiander's horses. | $c: Illustrated by Jenefer Peter.,1953,f,high_male,204.3693511546322
mdp.39015008364864,"Bates, H. E. (Herbert Ernest),",The fallow land.,1953,m,high_female,202.94025172213384
mdp.39015024534706,"Potter, Beatrix,",The roly-poly pudding,1908,f,mixed,201.1494252873563
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,200.6823198876179
inu.30000094851403,"Pugh, Jane.",Welsh ghostly encounters / | $c: Jane Pugh.,1990,f,,200.33115967211103
wu.89047240379,"Kitchen, Fred.",The farming front / | $c: by Fred Kitchen; thirty-seven photographs by Harold Burdekin.,1943,m,,199.33554817275748
wu.89047148200,"Porteous, Crichton.",Farmer's creed.,1938,u,high_male,189.0424939691965
uc1.32106015471367,"Nicolson, Adam,",Perch Hill : | a new life / | $c: Adam Nicolson,1999,m,mixed,188.67924528301887
uc2.ark:/13960/t54f1xw7g,"Blackburn, Douglas,",Prinsloo of Prinsloosdorp,1899,m,high_male,186.37458424131208
inu.39000002591076,"Hanson, S. E.",Underground out of Holland / | $c: S. E. Hanson.,1977,u,high_male,184.84288354898337
uc1.b2800726,"Ohlsson, Berndt.",Noah / | $c: Berndt Ohlsson ; translated from the Swedish by Joan Tate ; drawings by Douglas Hall.,1964,u,mixed,182.09190622983726
uc1.$b243193,"Grove, Frederick Philip,","Fruits of the earth, | $c: by Frederick Philip Grove.",1933,m,mixed,180.1982954633339
uc1.32106014491903,"Guðbergur Bergsson,",The Swan / | $c: Gudbergur Bergsson ; translated from the Icelandic by Bernard Scudder,1997,u,high_female,179.15145832635704
uc1.b4363372,"Stadni͡uk, Ivan,",People are not angels / | $c: by Ivan Stadnyuk. Translated from the Russian by P. A. Spalding and I. Antonenko.,1963,m,high_male,177.93822087381747
mdp.39015066634745,"Sanzara, Rahel.","The lost child, | $c: by Rahel Sanzara, translated from the German by Winifred Katzin.",1929,f,,176.246947151094
inu.30000110600941,"Schreiber, Claudia,",Emma's luck / | $c: Claudia Schreiber ; translated from the German by Anthea Bell.,2008,f,,176.18040873854827
mdp.49015002584614,"Swinfen, Ann.",A running tide / | $c: Ann Swinfen.,1998,f,high_female,175.08448844500543
mdp.39076002159908,"Hogner, Dorothy Childs.",Old Hank Weatherby / | $c: by Dorothy Hogner ; pictures by Nils Hogner.,1939,f,mixed,171.2612562841832
uc1.b3176600,"Henries, A. Doris Banks.","Liberian folklore; | a compilation of ninety-nine folktales with some proverbs, | $c: by A. Doris Banks Henries.",1966,f,,169.86473733878577
uc1.32106013451924,"Gavron, Jeremy,",Moon / | $c: Jeremy Gavron,1996,m,high_male,168.93263811055343
uc1.$b787167,"Doyle, Lynn,","Love and Roberta, | $c: by Lynn Doyle [pseud.]",1951,m,,168.03162948319684
wu.89009176827,"Beckett, Samuel,",Ill seen ill said / | $c: by Samuel Beckett ; translated from French by the author.,1982,m,high_female,165.47729858310063
uc1.$b267541,"Stephensen, P. R. (Percy Reginald),","The bushwhackers; | sketches of life in the Australian outback, | $c: by P. R. Stephensen.",1929,m,high_male,163.1321370309951
mdp.39015019800492,"Williamson, Henry,",A solitary war.,1966,m,,162.73771330264566
uc1.b3481020,"Meynell, Laurence.",Airmen on the run; | true stories of evasion and escape by British airmen of World War II. | $c: Told by Laurence Meynell. Illustrated by Richard Kennedy.,1963,m,high_male,162.39773054310734
uc2.ark:/13960/t2f76cm34,"Mills, Arthur,",With my regiment from the Aisne to La Bassée,1915,m,high_male,161.54134079312857
wu.89034614867,"Hockin, Olive.",Two girls on the land,1918,f,,159.49726462191174
mdp.39015082698401,"Holt, Hazel,",A time to die / | $c: Hazel Holt.,2008,f,high_female,156.51336383337346
uc2.ark:/13960/t0js9k52b,"Jackson, Murray Cosby.","A soldier's diary, South Africa 1899-1901",1913,m,high_male,156.45954403218596
mdp.39015031228409,"Crane, Stephen,",The Little Regiment,1897,m,high_male,156.3901474207125
mdp.39015066796650,"Lawson, Mary,",The other side of the bridge / | $c: Mary Lawson,2006,f,high_male,153.42396419053043
uc1.$b106424,"Ollivier, Sally T.",Petticoat farm.,1965,f,high_female,152.60017050298381
inu.39000005766469,"Potter, Frederick Felix.","The adventures of Kwaku; | Ashanti folk tales, | $c: by F. F. Potter and Harold Cooper, illus. by Elizabeth Quayle.",1938,m,high_male,151.92950470981464
uc1.$b244386,"Wilson, Phillip.",Beneath the thunder.,1963,m,,151.59428782532262
mdp.39015048908076,"Cooper, Dominic,",Men at Axlir : | a fiction concerning the case of Sunnefa Jónsdóttir / | $c: Dominic Cooper.,1978,m,high_male,151.47528959683655
mdp.39015011238428,"Čapek, Karel,",Hordubal / | $c: by Karel Cǎpek ; translated by M. and R. Weatherall.,1934,u,mixed,149.65259219668627
uc1.$b787118,"McNellie, John.",A Galloway childhood,1967,m,,149.57868669913077
coo.31924003656406,"Phythian, Dorothy.",The bee-garden.,1933,f,,148.0735177382915
uc1.$b137254,"Bojer, Johan,","Folk by the sea | $c: [by] Johan Bojer, translated from the Norwegian by Arna Heni, Louise Rourke and C. Archer.",1931,m,mixed,146.71696962768186
mdp.39015010695230,"Babaevskiĭ, Semen Petrovich,",Cavalier of the Gold Star. | $c: [Translated by Ruth Kisch],1956,u,,144.7221038232408
uiuo.ark:/13960/t7br93d5v,"Collins, Wilkie,",The frozen deep,1874,m,,144.28807427699127
uiuo.ark:/13960/t4gm84m9j,"Bjørnson, Bjørnstjerne,",Ovind;,1869,m,high_male,143.59252235166622
uc1.b4091175,"Lessing, Doris May,",This was the old chief's country : | stories / | $c: by Doris Lessing.,1951,f,high_female,141.56953423623236
mdp.39015070739738,"Hall, Sarah,",The Carhullan army / | $c: Sarah Hall,2007,f,high_female,141.29157118601807
nyp.33433075903710,"Merritt, Anna Lea,",A hamlet in old Hampshire,1902,f,high_male,141.25259152940103
uiuo.ark:/13960/t2k64rc26,Blue Tunic,From the peasantry to the peerage,1860,u,,141.06646245616864
mdp.39015050980534,"Toulmin, David.",Hard shining corn / | $c: David Toulmin.,1982,m,mixed,139.48747295194835
njp.32101066122829,"Henderson, Mary.",Some wild flowers of Tuscany,1913,f,high_female,139.40861398488516
inu.30000042059158,"Brink, Andr ̌Philippus,",Rumours of rain.,1994,u,mixed,137.9374960961086
uc1.b3272213,"Farrar, C.D.",Birdroom and aviary: | trials and triumphs of a Yorkshire parson | $c: by C.D. Farrar.,1927,u,high_male,137.9121573251358
mdp.39015062219939,"Craigie, William A.",Scandinavian folk-lore;,1896,m,high_male,137.06605856238326
uc2.ark:/13960/t15m6714c,"Ransome, Arthur,",The hoofmarks of the faun,1911,m,high_male,134.97806606426457
mdp.39015040132519,"Gould, Andre.",A summer's exile / | $c: Andre Gould.,1996,m,high_male,134.72032742155525
inu.39000005751412,"Rowley, Richard.",Tales of Mourne / | $c: by Richard Rowley.,1937,m,,134.59386706017804
mdp.39015030018512,"Bojer, Johan,",God and woman,1921,m,mixed,134.52634213490177
mdp.39015058009500,"Kuper, Jack.",Child of the holocaust.,1967,m,,134.04468748058127
uc1.$b299552,"Aldington, Richard,",Two stories / | $c: Richard Aldington.,1930,m,,131.84705741340045
wu.89067966598,,Icelandic legends / | $c: collected by Jón Arnason ; translated by George  E. J. Powell and Eiríkur Magnússon.,1995,u,,131.66188108410952
inu.30000043484876,"Brink, Andr ̌Philippus,",A chain of voices / | $c: Andr ̌Brink.,1995,u,,131.3428240150491
mdp.39015059405590,"Kaye-Smith, Sheila.","The ploughman's progress, | $c: by Sheila Kaye-Smith.",1933,f,,130.29212447664673
uc1.$b245076,"Wallace, Doreen Eileen Agnew,",The interloper.,1956,f,mixed,130.22148879084858
mdp.39015002241712,"Dipoko, Mbella Sonne,",Because of women.,1969,u,high_male,129.84956452889944
mdp.39015039762805,"Sharp, Margery,",The gipsy in the parlour.,1953,f,high_female,126.84816411151726
mdp.39015053110972,"Woodward, Gerard,",August / | $c: Gerard Woodward.,2001,m,high_female,126.64279184453969
uc1.$b301161,"Lobb, Frances.",The strangers.,1947,f,,126.55824843384167
uc1.$b399772,"Storm, Julie.",Madeleine. | $c: Translated by Peter Wiles.,1964,f,high_female,126.48897543929894
uc1.32106007731786,"Naipaul, V. S. (Vidiadhar Surajprasad),",The enigma of arrival : | a novel in five sections / | $c: V.S. Naipaul.,1987,m,mixed,125.5977048135161
uc2.ark:/13960/t9b56fb83,"Frost, Robert,",North of Boston,1914,m,,125.06948304613674
mdp.39015002334954,"Christiansen, Reidar Thoralf,",Folktales of Norway. | $c: edited by Reidar Thorwald Christiansen. Translated by Pat Shaw Iversen.,1964,m,high_male,124.972104440973
coo.31924000005664,"McDonnell, Virginia B.","Dixie Cline; | animal doctor.  The complete life story of a girl who fought to make her way in the ""man's world"" of veterinary medicine.",1966,f,mixed,124.32656444260257
nyp.33433074917042,"Martineau, Harriet,",Forest and game-law tales,1845,f,,123.94578719047234
uc1.$b251901,"Stern, Rhona.",The cactus land.,1964,f,,123.31513988226085
uc1.$b188543,"Gascar, Pierre,",The fugitive. | $c: Translated by Merloyd Lawrence.,1964,m,,122.1289176008827
wu.89075347252,"Lloyd, Jack Ivester.",Come hunting! / | $c: J. Ivester Lloyd.,1952,m,mixed,120.52560924225648
mdp.39015030945557,"Appiah, Peggy.",A smell of onions / | $c: Peggy Appiah.,1979,f,,119.66774602280726
uva.x030788437,"Watson, John Reay,",The mystery of the downs,1918,m,high_male,119.60949117475917
uc2.ark:/13960/t0000c64z,"Holme, Constance.",Beautiful end,1918,f,,119.58560441082061
uc2.ark:/13960/t74t6jf5c,"Murray, John Wilson,",Memoirs of a great detective,1904,m,high_male,119.02419830808577
njp.32101033250315,"Kay-Shuttleworth, James,",Scarsdale,1860,m,,117.34418966652697
mdp.39015064952289,"Sheers, Owen,",Resistance / | $c: Owen Sheers.,2007,m,high_female,117.14269444467041
mdp.39015058718951,"Basham, A. L. (Arthur Llewellyn)",Golden furrow : | a novel / | $c: by A.L. Basham.,2004,m,,116.24357137824954
inu.30000107354841,"Güntekin, Reşat Nuri,","Afternoon sun, | $c: translated by Sir Wyndham Deedes.",1951,u,high_male,115.6450081181264
uc1.$b396001,"Seignolle, Claude.",The accursed: two diabolical tales; | $c: translated from the French by Bernard Wall; foreword by Lawrence Durrell.,1967,m,,115.40988263702704
mdp.39015024534573,"Nesbit, E.",Pussy and doggy tales,1899,f,mixed,115.34025374855824
uc1.b4097894,"Bates, H. E. (Herbert Ernest),",The day of the tortoise / | $c: by H.E. Bates ; illustrated by Peter Farmer.,1961,m,,114.64603038119805
coo.31924001199532,"Mallinson, Jeremy.",Okavango adventure; | in search of animals in Southern Africa. | $c: Foreword by Gerald Durrell.,1973,m,high_male,114.05997885717466
nyp.33433082289962,,The toy book of birds and beasts,1876,u,high_male,113.28693963424503
uc1.$b803386,"Kaye-Smith, Sheila,",The history of Susan Spray : | the female preacher / | $c: by Sheila Kaye-Smith.,1931,f,high_female,113.20030698388335
uc2.ark:/13960/t2n58f90d,,Dorothy,1880,u,high_female,112.85620238878961
uc1.$b809259,"Sandström, Flora.",The midwife of Pont Clery.,1954,f,high_female,112.66900350525789
uc1.$b189156,"Pélégri, Jean,",The olive-trees of justice / | $c: by Jean Pelegri ; translated from the French by Anthony Burgess and Lynne Wilson.,1962,f,mixed,112.24725147997232
nnc1.0038562081,"Hálek, Vítězslav,",Three stories,1886,m,,111.91436745819006
uc1.b3475462,"Konadu, Asare,",A woman in her prime | $c: [by] S. A. Konadu.,1967,u,high_male,111.62098474513209
wu.89095863064,"MacDermott, W. R.",The green republic,1902,u,high_male,111.31796633591156
uiuo.ark:/13960/t72v2t052,"Armstrong, F. C.",The pirates of  The Foam,1863,m,,110.23429161344508
mdp.39015014317757,"Kernan, Thomas Dickenson,","Now with the morning star, | a novel | $c: by Thomas Kernan.",1945,m,high_male,110.1029396158336
mdp.39015082722045,"Hill, Susan,",The beacon / | $c: Susan Hill.,2008,f,,109.94609959507656
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,109.8738563610624
uc1.$b243365,"Hood, Stuart Clink,",The circle of the Minotaur.,1950,m,high_male,109.71077496948669
mdp.39015047764322,"Ewing, Juliana Horatia Gatty,","Lob Lie-by-the fire; or, The luck of Lingborough",1885,f,mixed,109.37072770594898
uc1.$b243864,"Porteous, Crichton.",Wild acres.,1951,u,,109.25525643544901
hvd.hn2gic,"Sandham, Elizabeth.",The adopted daughter,1815,f,high_female,109.08524232507402
uc1.b4389739,"Criddle, Russell,",Love is not blind.,1954,m,high_female,108.92548215544306
wu.89052496320,"Ball, Richard,",Broncho / | $c: by Richard Ball.,1930,m,high_male,108.45986984815619
mdp.39015020692649,"McMurtry, Larry.","Horseman, pass by / | $c: Larry McMurtry.",1979,m,high_male,108.393919365499
wu.89001126705,"Howarth, David Armine,",A near run thing: | the day of Waterloo | $c: [by] David Howarth.,1968,m,high_male,108.21395444707822
uc1.b3741341,"Sankawulo, Wilton.","Why nobody knows when he will die, and other tales from Liberia / | $c: Wilton Sankawulo",1979,m,high_male,107.97429685031075
inu.30000121037307,"Phelan, James Leo,",Turf-fire tales / | $c: by Jim Phelan.,1947,m,high_male,107.73418008618735
mdp.39015025098750,"Mottram, R. H. (Ralph Hale),","The Spanish farm trilogy, 1914-1918.",1930,m,,107.43862626113581
mdp.39015025814123,"Jolley, Elizabeth,",Woman in a lampshade / | $c: Elizabeth Jolley.,1986,f,high_female,107.41687979539643
uc1.$b784248,"Henriques, Robert David Quixano,","A stranger here, | a novel.",1953,m,,107.39260739260739
mdp.39015039630242,"Farnol, Jeffery,",Portrait of a gentleman in colours; | the romance of Mr. Lewis Berger.,1935,m,high_male,107.36813850489867
nyp.33433075728547,"Fletcher, J. S.",The making of Matthias,1898,m,high_male,107.29007849116269
mdp.39015004106822,"Berger, John.",Pig Earth / | $c: John Berger.,1979,m,,107.10187428279995
uiuo.ark:/13960/t8pc3d497,"Harris, Alexander,",The emigrant family ;,1849,m,mixed,105.79826077981059
uc1.b3472873,"Williams, Raymond.",The fight for Manod / | $c: by Raymond Williams.,1979,m,mixed,105.28271505542826
wu.89075347286,"Kearley, B. L. (Bernard Leslie)",Let's go hunting / | $c: B. L. Kearley; illustrated by Graham Smith.,1950,m,,105.25512928075662
mdp.39015021991370,"Virtue, Noel,",Always the islands of memory / | $c: Noel Virtue.,1991,m,,104.86318438648868
mdp.39015018850514,"(Maurice S), Power, M. S.",Crucible of fools / | $c: M.S. Power.,1990,u,mixed,104.77587487855524
uc1.b3331927,,Grettir the outlaw,1890,u,high_male,104.41112127600334
mdp.39015039920825,"Botha, W. P. B.,",A duty of memory / | $c: W.P.B. Botha.,1997,u,high_female,104.37241874663314
inu.30000055840536,"Mousley, K. M. (Keith M.),",The baobab tree / | $c: K.M. Mousley.,1997,m,high_male,104.08316309379121
uc2.ark:/13960/t3ws8kw5r,"Wedmore, Frederick,",Pastorals of France,1877,m,mixed,103.21356839991073
uc1.$b117512,"Bateson, J. K.",Moorland mysteries / | $c: by J. K. Bateson ; with 20 ill. from photographs taken by C. W. Bateson.,1925,u,high_female,102.96428764970466
inu.30000110569674,"Allnatt, Judith.",A mile of river / | $c: Judith Allnatt.,2008,f,mixed,102.46092512900762
uc1.b4076279,"Langstaff,","Diary of a driver, | $c: by Langstaff, illustrated by the author.",1943,u,high_male,102.19375936776127
inu.30000117926539,"Jünger, Ernst,",On the marble cliffs; | $c: translated from the German by Stuart Hood.,1970,m,high_male,102.1677327647477
mdp.39015012082031,"Jones, Eirwen",Folk tales of Wales / | $c: Eirwen Jones ; drawings by A. E. Bestall.,1978,u,mixed,101.76754151044456
mdp.39015077641952,"West, Clare.","Tess of the d'Urbervilles / | $c: Thomas Hardy, retold by Clare West.",1989,f,high_female,101.70958666955204
uiuo.ark:/13960/t2k65444z,"Somers, Robert,",The martyr of Glencree,1878,m,high_female,101.53962406725229
mdp.39015013142420,"Gore,",Polish tales,1833,f,high_male,101.35687428478012
mdp.39015013125623,"Carr, Emily,",The house of all sorts. | $c: With a foreword by Ira Dilworth.,1946,u,mixed,101.00177268417364
inu.30000092821648,"Petley, Dexter,",White lies / | $c: Dexter Petley.,2004,m,,100.59649470805763
mdp.39015030709318,"Moorman, Frederic William,",Tales of the Ridings,1920,m,mixed,100.39787305246719
inu.30000111192989,"Medtia, Vijay.",The house of Subadar / | $c: Vijay Medtia.,2006,m,,100.3281320082151
uc1.32106017520823,"Alcoe, Tony",The gardener's boy / | $c: Tony Alcoe,2004,m,high_female,100.30537413904554
mdp.39015030735487,"Beer, Patricia.",Moon's Ottery / | $c: Patricia Beer.,1978,f,,100.2707309736288
mdp.39015077108242,"Anthony, Peter,",A town called Immaculate / | $c: Peter Anthony.,2007,m,mixed,99.40673216230793
uc1.b2801278,"Klein-Haparash, Jacob,",He who flees the lion. | $c: Translated from the German by Richard and Clara Winston.,1963,m,mixed,99.17224980137377
uc1.32106013217986,"Hocking, Mary.",The meeting place / | $c: Mary Hocking,1996,f,high_female,99.09630089778291
wu.89005896576,"Gotthelf, Jeremias,","Ulric, the farm servant",1886,f,,98.8866724634716
uc1.b3346916,"Fitzgerald, Kevin.","Kill him gently, nurse : | a story for a journey / | $c: Kevin Fitzgerald.",1966,m,high_male,98.86144568387405
uc2.ark:/13960/t2v40kt46,"Rees, Alfred Wellesley,",Creatures of the night;,1905,u,high_male,98.6653652740351
uc1.$b251002,"Turpin, Allan.",Ladies: | an episode of the revolution.,1966,m,high_female,98.58206135090285
mdp.39015032539309,"(André Philippus), Brink, André P.","On the contrary : | being the life of a famous rebel, soldier, traveller, explorer, reader, builder, scribe, latinist, lover and liar / | $c: André Brink.",1993,u,,98.16005254884016
uc2.ark:/13960/t09w0ft2n,"Rodziewiczówna, Maria,",Devaytis,1901,f,,98.0363888007843
mdp.39015030739778,"De Polnay, Peter,",The moon and the marabou stork.,1973,m,,97.95342641085585
inu.30000027212327,"Power, M. S.,",Crucible of fools / | $c: M.S. Power.,1991,u,mixed,97.76457538212789
uiuo.ark:/13960/t62527r5q,"Robinson, F. W.","Slaves of the ring; or, Before and after",1862,m,,97.0332967961043
mdp.39015037374256,"Brown, George Mackay.","Andrina, and other stories / | $c: George Mackay Brown.",1983,m,mixed,96.74180888929452
mdp.39015030015229,"Moberg, Vilhelm,","The emigrants, a novel; | $c: translated from the Swedish by Gustaf Lannestock.",1956,u,mixed,96.66824778293476
mdp.39015063080595,"(John Desmond), Bernal, J. D.","Science for peace and socialism,",1949,u,mixed,96.27516758456966
uc1.b3148801,"Jellinek, Oskar,",Uproar in the village / | $c: by Oskar Jellinek; translated by Evelyn B.G. Stamper and E.N. Hodgson.,1933,u,high_male,96.20670698185816
mdp.39015004706431,"Chatwin, Bruce,",On the black hill / | $c: Bruce Chatwin.,1982,m,mixed,96.20108072703455
mdp.39015005709558,"Thomas, Helen.","World without end, | $c: by Helen Thomas.",1931,f,,96.17574852572702
inu.30000022286425,"Williamson, Duncan,",Don't look back Jack : | Scottish traveller tales / | $c: Duncan Williamson.,1990,m,high_male,95.78544061302682
uiuo.ark:/13960/t3nv9vv41,"Harris, Alexander,",The emigrant family ;,1849,m,mixed,95.39367778400486
mdp.39015047487361,"Heiss, Lisa,",Askania-Nova: | animal paradise in Russia: adventure of the Falz-Fein family | $c: [by] L. Heiss. [Translated from the German],1970,f,high_male,95.12057175176102
uva.x002037437,"Martineau, Harriet,",Illustrations of taxation,1824,f,,94.80188690020674
inu.30000037323825,"James, Siân.",A small country / | $c: Siân James.,1989,u,,94.79032380374612
uc1.b3791840,"Sales, Herberto.","The werewolf, and other tales / | $c: [retold by] Herberto Sales ; translated [from the Portuguese] by Richard Goddard.",1978,u,,94.78442618966606
uc1.$b787173,"Moore, John,",September moon.,1957,m,mixed,94.78216167587713
mdp.39015024387402,"Abushwesha, Redwan.",The king of the dead and other Libyan tales / | $c: Redwan Abushwesha ; with a foreword by Pearse Hutchinson.,1977,u,high_male,94.68202619536058
mdp.39015029266619,"Faldbakken, Knut.",Insect summer / | $c: Knut Faldbakken ; translated from the Norwegian by Hal Sutcliffe and Torbjørn Støverud.,1991,m,high_female,94.60839649518894
uc2.ark:/13960/t05x2601c,"Rowe, Richard,",The boys of Axleford,1880,m,high_male,94.26804313337779
uiuo.ark:/13960/t2x35fw6k,"Woodgate, Walter Bradford,","The O.V.H., or, How Mr. Blake became an M.F.H",1869,m,high_male,94.03885410215831
coo.31924003623588,"Crowder, Dorothy Elizabeth.",The flying nation. | $c: Illustrated by Helen Haywood.,1952,f,high_female,93.78582097328841
mdp.39015024086392,"Harnett, Cynthia.",The wool-pack / | $c: written and illustrated by Cynthia Harnett.,1951,f,high_male,93.63980862364113
umn.31951002074823r,"Creighton, Basil.","The leaden cupid, or, The egoist revisited.",1950,m,high_female,92.52363866134091
nyp.33433074866587,"Kingston, William Henry Giles,",In the Rocky mountains,1889,m,mixed,92.05118564520102
mdp.39015057606355,"Thomas, David N.",The Dylan Thomas murders / | $c: David N. Thomas.,2002,m,mixed,91.63769654831343
mdp.39015027330433,"[Woodward, William Arthur]",The countryman's jewel; | days in the life of a sixteenth century squire.,1934,m,,91.60398579120398
uiuo.ark:/13960/t2n59214k,"Kettle, Rosa Mackenzie,",Lewell pastures,1854,f,,91.34775553191261
mdp.39015062819795,"Brown, George Mackay.",Beside the ocean of time / | $c: George Mackay Brown.,2005,m,,91.23217908740587
uc2.ark:/13960/t16m3420t,"Tregarthen, John Coulson,",The story of a hare,1912,m,,91.21192893401015
mdp.39015018943913,"Treherne, John.",The walk to Acorn Bridge.,1989,m,high_female,91.09976483549077
njp.32101072577735,"Martineau, Harriet,",Illustrations of taxation,1824,f,,90.58381267267539
uc2.ark:/13960/t7cr5r04n,"Fønhus, Mikkjel,",The trail of the elk,1922,u,high_male,90.53870529651427
uc1.$b242805,"Kaye-Smith, Sheila,",The treasures of the snow / | $c: by Sheila Kaye-Smith.,1950,f,mixed,90.40613975609996
uc1.a0008656316,"Kaye-Smith, Sheila,","Little England, | $c: by Sheila Kaye-Smith.",1923,f,,90.21439184886437
uc1.$b252099,"Mackenzie, Kenneth Theodore,",The deserter | $c: [by] Kenneth Mackenzie.,1965,m,high_male,90.0013378577249
mdp.39015063320173,"Kirkwood, Gwen.",Home to the glen / | $c: Gwen Kirkwood.,2006,f,,89.67547629521843
yale.39002031044390,"Harbord, Maurice Assheton,",Froth and bubble,1915,m,high_male,89.35969715186275
inu.30000042813174,"Ricci, Nino.",In a glass house / | $c: Nino Ricci.,1994,m,,89.25397891078552
wu.89092951961,"Grand, Gordon.",The silver horn; | sporting tales of John Weatherford | $c: by Gordon Grand. With an appreciation by E. OE. Somerville. Drawings by K.F. Barker.,1934,m,,88.8742175894773
uc1.b4104693,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,,88.54360058267402
inu.32000009139116,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,,88.49557522123894
mdp.39015015477014,"Berger, John.",Once in Europa / | $c: John Berger.,1989,m,mixed,88.27065609448005
uc2.ark:/13960/t52f7qb22,"Clarke, Forester.",The ivory cross,1918,u,,87.96596726512365
wu.89002214708,"Weiss, Reska.",Journey through hell ; | a woman's account of her experiences at the hands of the Nazis / | $c: Reska Weiss.,1961,u,high_female,87.79543663264593
mdp.39015029206599,"Germain, Sylvie,",The book of nights / | $c: Sylvie Germain ; translated from the French by Christine Donougher.,1992,f,high_female,87.32032164584413
inu.30000107389342,"Devenish, Alison,",The last act / | $c: Alison Devenish.,1996,f,mixed,87.27838650655114
mdp.39015014139235,"Jones, Gwyn,","Shepherd's hey, | and other stories.",1953,u,,87.19303496831118
nyp.33433075746705,"Hodges, R.",The settler in South Africa and other tales,1860,u,high_female,86.90095846645367
mdp.39015015373189,"Żeromski, Stefan,",The faithful river.,1943,u,high_female,86.70475482682274
mdp.39015016444054,"Courage, James.",Fires in the distance.,1952,m,,86.61501406010845
inu.30000025996715,"Koranteng, Kwasi.",The legacy / | $c: Kwasi Koranteng.,1991,u,high_male,86.51828780308438
inu.30000036433526,"Osoba, Funmi.","Benin folklore : | [a collection of classic folktales and legends]  / | $c: retold by Funmi Osoba, illustrations by Tam Joseph.",1993,u,high_male,86.13718665400977
inu.30000101132029,"Bailey, Jane.",Tommy Glover's sketch of heaven / | $c: Jane Bailey.,2005,f,,85.98817397212285
mdp.39015065785639,"Howison, John.",Tales of the colonies,1830,m,,85.94757198109153
mdp.39015082743819,"Weisgarber, Ann.",The personal history of Rachel DuPree / | $c: Ann Weisgarber.,2008,f,,85.84958782966703
uc1.32106012773187,"Benzie, Alex",The year's midnight / | $c: Alex Benzie,1995,m,,85.8091554638047
inu.30000008735916,"Ngumy, James.",Poisoned bait / | $c: James Ngumy.,1992,m,mixed,85.42424061823311
uc2.ark:/13960/t1td9v03v,"MacGill, Patrick,",The red horizon,1916,m,high_male,85.19877423699
uc1.32106002042221,"Head, Bessie,",When rain clouds gather: | a novel.,1969,f,,85.07180314130808
uc1.$b300957,"Hurst, Fannie,",A president is born / | $c: by Fannie Hurst.,1928,f,,85.01874004622145
