htid,author,title,year,authgender,female_category,gb_england_suba1_intensity
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,976.8711392041376
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,975.4785366406162
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,828.9001608313745
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,806.2834503371099
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,797.2364601741607
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,675.5418201988987
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,642.9756637168142
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,637.3047693136257
uiuo.ark:/13960/t13n2j57j,"Gore,",The birthright and other tales,1844,f,,636.4139457664637
njp.32101069186110,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,555.7547508067406
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,524.7547342003194
mdp.39015048416500,"Newby, P. H. (Percy Howard),","A guest and his going, | a novel.",1959,m,mixed,516.5657285358035
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,,516.4598350300959
mdp.39015064746129,"Charles, Edward.",In the shadow of Lady Jane : | a novel of Tudor England / | $c: Edward Charles.,2006,m,high_female,509.592978941179
mdp.39015030746641,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,493.74418364181577
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,491.69559913671753
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,491.0461342994008
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,490.7677356656948
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,488.1165799889952
uiuo.ark:/13960/t9s18j533,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,476.4806914510499
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,472.11566833874303
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,464.41399190135206
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,456.72162015985265
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,452.6886965004268
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,441.955054647913
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,430.1467712922651
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,429.2343387470998
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,427.6944751937205
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,425.7847311615011
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,419.860372015818
inu.30000114945995,"Lane, Jane,",Heirs of Squire Harry / | $c: Jane Lane.,1974,f,mixed,417.1194608182128
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,416.34193363140406
uiuo.ark:/13960/t41r72858,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,413.62588252074073
inu.32000001703182,"Wilson, Violet A.",Queen Elizabeth's maids of honour and ladies of the privy chamber,1922,f,high_female,411.6518402232687
uc2.ark:/13960/t12n5226r,"Buchanan, Robert Williams,",Andromeda; an idyll of the great river,1901,m,,409.4051529221293
uc1.b3321304,"Crake, A. D.",The last abbot of Glastonbury,1886,u,mixed,406.2888942933578
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,398.21551543459384
uiuo.ark:/13960/t1zc8db1h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,398.1370192307692
njp.32101075688935,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,397.2527341039078
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,391.4719344736208
uiuo.ark:/13960/t9d516b21,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,390.28923219886167
inu.30000118485758,"Maddock, Llywelyn W.,","West Country folk tales, | $c: by Llywelyn W. Maddock. Illus. by Harold W. Hailstone.",1965,u,mixed,389.3992665683718
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,389.3964355249363
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,388.8118632828983
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,382.4806847254213
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,379.3719558459995
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,378.6444528587657
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,378.0241935483871
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,375.3743198976507
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,374.9736675795239
mdp.39015059376221,,The New British novelist;,1830,u,,373.22173118665773
uc1.b4104570,"Simpkinson, John Nassau,",The Washingtons,1860,m,mixed,370.6906145930537
uc2.ark:/13960/t2w37sp12,"Bell, May.",What of the night?,1918,f,high_female,369.0459161779431
uc2.ark:/13960/t9k35vq9k,"Newbigging, Thomas.",Lancashire humour,1901,m,high_male,367.5916719394981
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,367.0858472050593
inu.30000060903774,"Ainsworth, William Harrison,",Windsor castle ;,1863,m,mixed,364.9800654759976
mdp.39015029992768,"Tennant, Emma.",Tess / | $c: Emma Teennant.,1993,f,high_female,363.4225227874155
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,361.8163179159381
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,354.03522988173114
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,353.9863429785096
njp.32101067301786,"Munford, George Frederick.",Ghosts and legends of South Somerset,1922,m,mixed,349.870547897278
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,349.28342078471286
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,348.3023583526096
uiuo.ark:/13960/t1bk1zz7x,"Ponsonby, Emily,",Violet Osborne,1865,f,high_female,345.8284443895511
mdp.39015030931433,,England invaded : | a collection of fantasy fiction / | $c: edited and introduced by Michael Moorcock.,1977,u,high_female,345.61049445005034
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,345.2717449640417
uiuo.ark:/13960/t4xh06r8n,"Prickett,",Warwick Castle,1815,f,mixed,345.2556443478936
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,342.641768031523
njp.32101068584737,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,342.54316565526585
mdp.39015032316997,"Hudson, Mark.",Coming back brockens : | a year in a mining village / | $c: Mark Hudson.,1994,m,,341.67274923862976
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,339.3733713108296
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,339.07472125145625
uc1.b4027911,"Hume, Martin Andrew Sharp,",True stories of the past,1910,m,,336.41891468332744
njp.32101065853366,"Reid, Mayne,",No quarter!,1888,m,,334.80250889981363
uc2.ark:/13960/t8x926w87,"Baring-Gould, S.",The vicar of Morwenstow,1886,m,high_male,333.79772045142164
uc2.ark:/13960/t3zs2pc7k,"Roper, Edward.",A sportsman's memories,1921,m,high_male,333.753053081906
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,333.1112591605596
wu.89042045070,"Wardle, C      Francis.","All dogs, | $c: by C. Francis Wardle.",1935,u,high_male,332.1155762205248
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,332.08561282272774
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,330.5065204580974
wu.89092530534,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,330.29758850692656
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,330.2154848024083
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,327.50861030701293
uc1.b3322533,"Gore,",Peers and parvenus,1846,f,,326.25189681335365
uiuo.ark:/13960/t8ff4f989,"Vincent, Francis,",Arundel,1840,m,mixed,325.32562910450474
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,324.0393683650521
uc1.b3164053,"Raven, Simon,",The rich pay late / | $c: by Simon Raven.,1964,m,,321.4294753359824
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,high_female,321.3343962715398
inu.39000005593822,"Dixon, Geoffrey M.",Folktales and legends of Kent / | $c: by Geoffrey M. Dixon ; and illustrated by Susy-Jane Tanner.,1984,m,mixed,320.9940460781775
mdp.39015059376056,,The New British novelist;,1830,u,high_female,320.93412314993424
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,320.6867429079678
hvd.hwadc2,"Scott, Walter,",The Waverley novels,1829,m,mixed,319.884774489608
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,317.8326394182842
uc1.$b675574,"Lubbock, Percy,",Earlham.,1963,m,high_female,315.6310786508606
njp.32101062933443,"West, Jane,",Alicia de Lacy,1814,f,,313.6773004349443
uiuo.ark:/13960/t5x645x9n,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,313.1858647135706
uva.x004061217,"Marshall, Emma,",The white king's daughter;,1895,f,,310.8964684575913
mdp.39015031233144,"Duggan, Alfred Leo,",Leopards and Lilies.,1954,m,,310.42128603104214
uiuo.ark:/13960/t2j67qd9f,"Lyall, Edna,",To right the wrong,1894,f,high_male,307.6872985380783
inu.32000009540487,"Jarman, Rosemary Hawley.",The King's grey mare.,1973,f,mixed,303.1073589991354
mdp.39015028701145,"Tongue, Ruth L.","Forgotten folk tales of the English counties; | $c: collected by Ruth L. Tongue, with an introduction by Katharine Briggs.",1970,f,mixed,302.66899018618733
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,302.6105983542639
njp.32101063882664,"Norris, W. E.",Adrian Vidal,1885,f,high_female,302.09888469307106
mdp.39015063933876,"Letts, E. F.","Nicholas Mosley, loyalist;",1903,u,mixed,301.0702735540586
wu.89095872966,"Brown, Beatrice Curtis.","Anne Stuart, queen of England, | $c: by Beatrice Curtis Brown ...",1929,f,high_female,299.45461032672415
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,297.4481180191841
mdp.39015063064987,,"The life and adventures of Bampfylde Moore Carew, commonly called the King of the beggars",1835,u,high_male,295.5594002306806
njp.32101068177532,"Edgar, John G.",Runnymede and Lincoln Fair,1866,m,high_male,293.415369875523
uc1.b4091143,"Hopkins, Kenneth.",The girl who died / | $c: Kenneth Hopkins.,1955,m,mixed,293.23566188268364
inu.30000026046338,"Janaway, John.",Ghosts of Surrey / | $c: John Janaway.,1991,m,high_male,292.0246094525247
mdp.39015014513736,"Hamilton, Patrick,",Hangover square; | a story of darkest Earl's Court. With an introd. by J. B. Priestley.,1972,m,high_male,291.8043384571182
uc2.ark:/13960/t3qv3dp2s,"Temple, Dorothy Osborne,","Letters from Dorothy Osborne to Sir William Temple, 1652-54",1888,f,,291.56755927261577
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,289.30619115249067
uc1.b3457588,"Farrington, Robert,",The killing of Richard the Third.,1971,m,,288.5919359640128
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,286.9672412747812
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,286.7649987387651
mdp.39015030850195,"Ashton, John,",Varia,1894,m,,285.96393677019614
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,285.64969893754756
nyp.33433076078959,"Scott, Walter,",The handy volume  Waverly,1877,m,,284.41049461116955
njp.32101067647816,"James, G. P. R.",The woodman,1849,m,,284.1139702897962
mdp.39015042826951,"Tennant, Emma.",Elinor and Marianne : | a sequel to Sense and sensibility / | $c: Emma Tennant ; with illustrations by Nicola Leader.,1996,f,high_female,284.0109510528874
uiuo.ark:/13960/t59c7m55h,"Vincent, Francis,",Arundel,1840,m,mixed,283.9730290456431
uc1.$b298774,"Poole, R. Heber.","The Davenham heritage, | $c: by R. Heber Poole.",1928,m,,283.6675334285744
nyp.33433074870076,"Holt, Emily Sarah,",The White Rose of Langley: a story of the court of England in the olden time,1875,f,,283.413281696959
uc1.b3321849,"Disraeli, Benjamin,",Henrietta Temple,1837,m,mixed,281.03129419443735
njp.32101007059759,"James, G. P. R.",Forest days;,1843,m,,281.0256708941858
uiuo.ark:/13960/t9k36fx9p,"Wilbraham, Frances M.",For and against,1858,f,mixed,280.70899070795946
mdp.39015024086392,"Harnett, Cynthia.",The wool-pack / | $c: written and illustrated by Cynthia Harnett.,1951,f,high_male,279.456303861179
uc2.ark:/13960/t56d5w74w,"Matheson, Annie,",A plain friend,1920,f,high_female,278.5913279519967
uc1.$b469407,"Meek, George,",George Meek,1910,m,high_female,277.8194924162787
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,277.8084409611069
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,276.6282835552357
umn.31951002375620f,"Griffith, George Chetwynd.",The world peril of 1910,1907,m,high_male,275.0558707237408
nyp.33433075876734,"Thurston, E. Temple","The ""Flower of Gloster,""",1911,f,high_male,273.196052317044
inu.39000005534958,"Sheffield, John.",The original Robin Hood : | a translation of the early tales / | $c: John Sheffield ; illustrated by John Clark.,1982,m,high_male,272.836979904507
mdp.39015077129537,"Frewin, Anthony,",The Reich stuff / | $c: Anthony Frewin.,2008,m,mixed,272.63612090623343
njp.32101067643617,"Conway, Hugh,",Living or dead,1886,m,mixed,272.1150139458945
mdp.39015062281574,"Baring, Maurice,",A triangle : | passages from three notebooks / | $c: by Maurice Baring.,1923,m,,271.12714551218977
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,271.0516805204192
uc2.ark:/13960/t83j3g41n,"Hicks, William Robert,",Tales and sayings,1903,m,high_male,270.6135748605512
njp.32101067643609,"Conway, Hugh,",Living or dead,1886,m,mixed,270.59060312632784
nyp.33433076093479,"Disraeli, Benjamin,",Collected edition of the novels and tales,1871,m,mixed,270.46197673680996
uiuo.ark:/13960/t8mc9d00r,"Harwood, John Berwick.",Plain John Orpington,1866,m,,269.32293007505393
njp.32101063882656,"Norris, W. E.",Adrian Vidal,1885,f,high_female,269.17410836076607
mdp.39015014550514,"King, Alison.",Golden wings : | the story of some of the women ferry pilots of the Air Transport Auxiliary / | $c: by Alison King.,1975,f,high_female,269.13569412143283
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,high_male,269.05829596412553
njp.32101038064893,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,268.61089792785873
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,268.47696851148703
uiuo.ark:/13960/t70v94t43,"Vincent, Francis,",Arundel,1840,m,mixed,268.2366847764315
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,268.10693192415295
uc1.b3548775,"Thackeray, William Makepeace,",Works,1883,m,mixed,265.0132047307384
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,264.2184855532151
mdp.39015024482492,"Radcliffe, Ann Ward,",The posthumous works of Anne Radcliffe,1833,f,,264.0095384091296
uc1.32106001932869,"Darton, F. J. Harvey (Frederick Joseph Harvey),","Vincent Crummles, | his theatre and his times, | $c: arranged by F. J. Harvey Darton ... With an historical introductory note and appendices from Nicholas Nickleby by Charles Dickens.",1926,m,,262.38298749957033
uiuo.ark:/13960/t0dv26d55,"Turner, Edward.","The intriguers, or, Pevensel",1873,m,,261.36388386731426
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,261.2130479102956
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,260.9840232389252
njp.32101067644664,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,260.51358392259027
mdp.39015073484456,"Henty, G. A.",Friends though divided,1883,m,high_male,259.80695738863795
uc2.ark:/13960/t1vd6rn1b,"Cooper, Arthur Nevile.",Round the home of a Yorkshire parson;,1910,m,,259.32144222617484
mdp.39015057606397,"Ferris, Paul,",Cora Crane / | $c: Paul Ferris.,2003,m,,258.6528973914376
njp.32101067644656,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,258.5963069214918
njp.32101068584745,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,258.3691146675588
uc1.b3575696,"Radcliffe, Ann Ward,",Gaston de Blondeville,1826,f,mixed,256.8925824021562
uc1.$b396610,"Pereira, W. D. (Wilfred Dennis),",An uncertainty of marriages | $c: [by] W. D. Pereira.,1969,m,high_female,255.9199055064964
uc2.ark:/13960/t9s18647f,"Thackeray, William Makepeace,",The Newcomes,1869,m,mixed,255.77775552743924
mdp.39015021319069,"Webster, Henry Charles,",2750: | legend of a locomotive. | $c: Illustrated by R. Barnard Way.,1953,m,high_male,255.34897693514463
mdp.39015068802886,"Walsh, John,",Sunday at the cross bones : | a novel / | $c: John Walsh.,2007,m,,255.34801463284643
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,255.0825748078705
uiuo.ark:/13960/t1sf3bm7d,"Warden, Florence,",Scheherazade,1887,f,mixed,254.13196312304063
uiuo.ark:/13960/t0bv8241n,"Warden, Florence,",Scheherazade,1887,f,mixed,252.5441484585453
uiuo.ark:/13960/t60587q7w,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,251.72796313678643
uiuo.ark:/13960/t16m3w71n,"Smart, Hawley,",From post to finish,1884,m,mixed,251.6862981979261
mdp.39015082679484,"Ripley, Mike.",Angels unaware / | $c: Mike Ripley.,2008,m,high_female,251.49053189072316
uiuo.ark:/13960/t88g8zn9s,"Curling, Henry,",Shakespeare,1848,m,high_male,250.89246032314952
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,250.6265664160401
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,250.50044173068972
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,250.19752436133788
mdp.39015048898160,"Sillitoe, Alan.",Down from the hill / | $c: Alan Sillitoe.,1984,m,mixed,249.89162863044083
hvd.32044086790011,"Little, Thomas,",Holly-grove,1828,m,,249.5093916456406
mdp.39015038896026,"Barne, Kitty,",Elizabeth Fry; | $c: illustrated by Ruth Gervis.,1953,f,high_female,249.1138663895571
inu.30000110620030,"Tombs, Kerry.",The Worcester whisperers : | a Victorian crime story / | $c: Kerry Tombs.,2008,u,mixed,248.87278331406912
mdp.39015080903142,,Whoosh! : | a Queer Writing South anthology / | $c: edited by Maria Jastrzebska & John McCullogh.,2008,u,high_female,248.07416111763945
njp.32101067643625,"Conway, Hugh,",Living or dead,1886,m,mixed,246.9089616729953
umn.31951002134460i,,The crisis in the cotton industry; | report of the proceedings of the Provisional Emergency Cotton Committee.,1923,u,high_male,246.45618556701032
mdp.39015000599061,"Raven, Simon,",Friends in low places.,1965,m,,246.41041369917133
uc1.b4501323,"Birch-Reynardson, Charles Thomas Samuel,",'Down the road';,1875,m,high_male,246.05768885376628
mdp.39015073446109,"Fay, Edward Francis.",Unsentimental journeys,1907,m,high_male,245.92198181531035
uiuo.ark:/13960/t7cr6gh6d,"Smart, Hawley,",Long odds,1889,m,high_male,244.96406518878433
uiuo.ark:/13960/t84j13q2r,"Prickett,",Warwick Castle,1815,f,mixed,244.87120160419565
uiuo.ark:/13960/t83j44b8z,"Turner, Edward.","The intriguers, or, Pevensel",1873,m,,244.77307496175416
mdp.39015005291011,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,,244.64763479358555
dul1.ark:/13960/t75t4760n,"Gore,",The sketch book of fashion,1833,f,high_female,244.36373374395367
uiuo.ark:/13960/t0zp4jn9c,"Madden, Daniel Owen,","Wynville, or, Clubs and coteries",1852,m,,244.14648789273568
wu.89004189460,"Wilkinson, Tim",Hold on a minute.,1965,m,,243.26584395509715
mdp.39015053482330,"Rees, David,",Out of the winter gardens / | $c: David Rees.,1984,m,,242.88539248559889
uiuo.ark:/13960/t6xw51f3c,"Ponsonby, Emily,",Violet Osborne,1865,f,high_female,242.703211633016
uiuo.ark:/13960/t8ff4947x,"McCarthy, Justin H.",A London legend,1895,m,,242.24314248828676
mdp.39015057014048,"Smith, Frederick E. (Frederick Escreet),",Saffron's trials / | $c: Frederick E. Smith.,1997,m,,240.98236316330156
mdp.39015073480447,"Henty, G. A.",When London burned,1895,m,high_male,240.74002825122705
nnc1.1002331357,"Neele, Henry,",The romance of history,1833,m,,240.65048555489383
uc2.ark:/13960/t7br8pf30,"Russell, George William Erskine,","""For better? For worse?""",1902,m,,240.21047012620585
uc1.b3321850,"Disraeli, Benjamin,",Henrietta Temple,1837,m,mixed,240.03083607821148
uc1.b4101598,"Belloc, Hilaire,",The Great Inquiry (only authorised version),1903,m,high_male,239.59747623991697
mdp.39015031332862,"Beresford, J. D.",Goslings,1913,m,high_female,239.2269193238692
uc1.32106006909912,"Kay, Susan.",Legacy / | $c: Susan Kay.,1985,f,,239.0721189172846
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,238.0952380952381
uc1.b3475523,,Writers of East Anglia / | $c: selected and edited by Angus Wilson ; poetry adviser John Holloway.,1977,u,mixed,238.0694730007575
uiuo.ark:/13960/t7sn0vg3g,"West,",Alicia de Lacy;,1814,f,high_female,237.9915380786461
uc1.b3578457,"Gore,","Cecil, a peer",1841,f,,237.56007528827004
wu.89006594758,"McKee, Alexander,",The Coal-Scuttle Brigade / | $c: by Alexander McKee.,1957,m,high_male,237.31994039406143
uc1.$b302196,"Parry, Edward Abbott, Sir,","Berrington; | or, Two hundred years ago, | $c: by His Honour Sir Edward Abbott Parry.",1928,m,,236.9531711392478
uc1.$b100785,"Harwood, Alice.",Merchant of the ruby / | $c: Alice Harwood.,1951,f,mixed,236.33651841787307
uiuo.ark:/13960/t6g16fv9b,"Hatton, Joseph,",Three recruits and the girls they left behind them,1880,m,mixed,236.2957484803117
uiuo.ark:/13960/t8df71192,"Lyall, Edna,",To right the wrong,1894,f,high_male,235.78769350852087
mdp.39015002752197,"Ruskin, John,",Praeterita;,1899,m,,235.68230025925052
uc1.31822038204657,"Firbank, Ronald,",Odette D'Antrevernes;,1905,m,high_female,235.26155549404928
uc2.ark:/13960/t6m048z3v,"Middleton, Thomas.",Legends of Longdendale;,1906,m,high_male,234.8739563391838
uc1.b3321851,"Disraeli, Benjamin,",Henrietta Temple,1837,m,mixed,234.756986044102
wu.89006961346,"Richards, Grant,",Double life,1920,m,high_female,233.3819545738696
uc1.b3553822,"Corry, John,",The history of Henry Thomson,1803,m,high_male,232.62178434592232
uc2.ark:/13960/t6f191d5f,"Cooper, Arthur Nevile.",Quaint talks about long walks,1907,m,,232.5173989903012
nyp.33433082305537,,"Holidays at Brighton, or, Sea-side amusements",1834,u,mixed,232.35280449835028
mdp.39015066080386,"Littlewood, Joan.",Joan's book : | Joan Littlewood's peculiar history as she tells it.,1994,f,,231.8652612001934
mdp.39015022061835,"Rayner, Richard,",The elephant / | $c: Richard Rayner.,1991,m,mixed,230.01381576490795
inu.30000118485907,"Grice, Frederick.",Folk tales of the West Midlands / Frederick Grice ; drawings by N.J.P. Turnbull.,1952,m,high_male,229.81018041003924
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,229.76988459677975
njp.32101075688976,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,229.66018798111685
mdp.39015034521925,"Rees, David,",The estuary / | $c: David Rees.,1983,m,,229.1628164849381
uc2.ark:/13960/t5z60fh7d,"Wedmore, Frederick,",English episodes,1894,m,,228.8007321623429
mdp.39015019996829,"Burgess, Anthony,",The worm and the ring.,1961,m,,228.76496627944977
uiuo.ark:/13960/t58d0d94q,,Eustace Fitz-Richard,1826,u,,228.12556824756584
wu.89092543982,"Harris, J. Henry.",Cornish saints & sinners,1906,m,,227.94449175892993
njp.32101065853358,"Reid, Mayne,",No quarter!,1888,m,,227.6558019394523
nyp.33433074895818,"Markham, Clements R.",The paladins of Edwin the Great,1908,u,,227.11613545308393
uc2.ark:/13960/t3319zd5p,"Fison, Lois A.",Merry Suffolk;,1899,f,high_female,227.09504486057853
mdp.39015063739745,"Kennard, Nina H.,",Mrs. Siddons,1887,f,high_female,226.720821782391
uc1.b3872914,"Earl of, Halsbury, Hardinge Goulburn Giffard,",Nineteen forty-four / | $c: by the Earl of Halsbury.,1926,u,mixed,226.72064777327935
wu.89013740311,"Sims, George R.,",Behind the veil,1913,m,,226.4900662251656
uiuo.ark:/13960/t6ww7wn88,"Kettle, Rosa Mackenzie,",Lewell pastures,1854,f,,224.9539028887523
mdp.39015030851813,"Blackwood, Caroline.",Great Granny Webster / | $c: Caroline Blackwood.,1977,f,,224.86672225169912
uc1.$b271443,"Wood, Frederick F.",Sport and nature in Sussex Downs.,1928,m,,224.70183794580265
mdp.39015077682931,"Esler, Gavin.",A scandalous man / | $c: Gavin Esler.,2008,m,,223.8266162601848
mdp.39015065866504,"Bloom, Ursula.",Rosemary for Stratford-on-Avon.,1966,f,,223.79920395473025
uc1.$b675277,"Hill, Constance,",Juniper Hall,1904,u,,223.3421984512982
mdp.39015034864994,"Norquay, Glenda,",Voices and votes : | a literary anthology of writings of the women's suffrage campaign / | $c: Glenda Norquay.,1995,f,high_female,223.14455304146023
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,222.24189835310784
