htid,author,title,year,authgender,female_category,urban_intensity
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,938.347118926809
uc1.$b102383,"King-Hall, Stephen, Sir,","Men of destiny : | or, The moment of no return / | $c: Stephen King- Hall.",1960,m,,624.2246680919576
uiuo.ark:/13960/t8sb4qd43,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,620.9465985925211
uiuo.ark:/13960/t04x5xf7m,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,582.7300017658486
uc1.32106018775459,"Platonov, Andreĭ","Happy Moscow / | $c: Andrey Platonov ; translated from the Russian by Robert and Elizabeth Chandler with Angela Livingstone, Nadya Bourova and Eric Naiman ; with an introduction by Eric Naiman",2001,u,,575.6513741099604
uiuo.ark:/13960/t8gf1fc8c,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,568.5377017586123
uc2.ark:/13960/t3125v37k,"Grant, Marjorie.",Verdun days in Paris,1918,f,,529.0907065681506
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,504.8325044571643
uiuo.ark:/13960/t84j0w803,"Gore,","Greville, or, A Season in Paris",1841,f,,503.5469977197872
uc2.ark:/13960/t2b854q62,"Nicholson, John Gambril,",In Carrington's duty-week,1910,m,high_male,484.3975806883263
mdp.39015069768946,"Ėrenburg, Ilʹi͡a,",A soviet writer looks at Vienna / | $c: Ilya Ehrenburg ; translated by Ivor Montagu.,1934,u,high_male,480.637937626304
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,471.0006677477822
uc2.ark:/13960/t3gx46g5z,"Morison, Margaret Cotter.",A lonely summer in Kashmir,1904,u,high_male,466.92718809263835
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,450.7121251577493
mdp.39015048917853,"Ali, Tariq.",Fear of mirrors / | $c: Tariq Ali.,1998,u,,443.6989787487192
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,442.3310848169856
uiuo.ark:/13960/t13n2sh8d,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,429.1677025135097
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,426.2542436816296
uc1.$b322835,"Blair, Andrew James Fraser,","1957, | $c: by Hamish Blair.",1930,m,high_male,424.6681218627642
uc1.$b193205,"Morris, Ira J.",My East was gorgeous,1958,m,,422.6332537788385
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,418.392879117273
uiuo.ark:/13960/t22b9d63x,"Gore,",The ambassador's wife,1842,f,high_female,411.3192225537099
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,397.5424647632815
uc1.32106012238371,"Stangerup, Henrik",Snake in the heart : | a novel / | $c: Henrik Stangerup ; translated from the Danish by Anne Born,1996,u,mixed,396.916793342239
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,396.82539682539687
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,392.0905507234124
uiuo.ark:/13960/t7hq4mf5t,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,391.8495297805643
mdp.39015032138300,"Nayman, Michele.",Jetlag : | a novel / | $c: Michèle Nayman.,1994,f,,391.82565835017857
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,390.25310701512126
inu.30000042624605,"Mullen, Michael.",The midnight country / | $c: Michael Mullen.,1995,m,mixed,388.6682099342953
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,387.7847794474067
uiuo.ark:/13960/t0zp4pz92,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,387.6318398990354
uc2.ark:/13960/t8jd4zv1w,"Martin, Frederick Townsend,",Things I remember,1913,m,,386.7791842475387
uc1.32106010943360,"Darvas, Robert.",Right through the pack : | a bridge fantasy / | $c: by Robert Darvas and Norman de V. Hart ; introduction by Guy Ramsey.,1978,m,,385.1962699699325
uiuo.ark:/13960/t0bv84w96,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,385.08439766382133
inu.30000100855364,"Plivier, Theodor,",Berlin | $c: [by] Theodor Plievier; [translated from the German by Louis Hagen],1969,m,high_male,385.0395588587869
mdp.39015030130374,"Sharp, William,",Life of Heinrich Heine,1888,m,high_male,384.29104927117214
njp.32101072790544,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,383.9091971290269
uiuo.ark:/13960/t3xs6cp6m,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,381.89300411522635
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,376.1721305517192
wu.89099400848,"Klimov, Grigoriĭ Petrovich.","The terror machine; | the inside story of the Soviet administration in Germany, | $c: by Gregory Klimov.  Translated from the German by H. C. Stevens.  Introduced by Edward Crankshaw and Ernst Reuter.",1953,u,,373.1910825257486
mdp.39015053140938,"Campbell, Naomi.",Swan / | $c: Naomi Campbell.,1994,f,high_female,371.5928524677848
uc1.$b389725,"Langley, Noel,",The loner.,1967,m,mixed,371.5300282070709
uiuo.ark:/13960/t3805gj3d,"Gore,",The diary of a désennuyée,1836,f,,371.0480837653757
uc1.b4253908,"Tilden, William A.","Sir William Ramsay, K. C. B., F. R. S;",1918,m,high_male,367.6613624868692
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,366.3003663003663
mdp.39015005498665,"Cooper, William,",Scenes from provincial life | $c: [by] William cooper [pseud.],1961,m,high_male,365.01959578882656
uc1.b4374032,"Vaphopoulou-Richardson, C. E.",Greek terracottas / | $c: by C.E. Vafopoulou-Richardson.,1981,u,mixed,364.9102320829076
uc1.32106017112365,"James, Richard",Red / | $c: Richard James,2002,m,high_male,364.5618379419452
mdp.39015060860080,"Archibald, Malcolm.",Whales for the wizard / | $c: Malcolm Archibald.,2005,m,high_male,363.96137402329344
mdp.39015002235896,"O'Faoláin, Seán,",And again : | a novel / | $c: by Seán O'Faoláin.,1979,m,,363.7424902479998
uc1.$b86445,"Elvin, Harold,",A cockney in Moscow.,1958,m,high_male,363.6363636363636
mdp.39015017721922,"De Rosa, Peter,",Rebels : | the Irish rising of 1916 / | $c: Peter De Rosa.,1990,m,high_male,362.0968191187119
uc2.ark:/13960/t2p55g671,"Lytton, Edward Bulwer Lytton,",Rienzi,1835,m,,361.7505334407281
uc1.$b435114,"Vinogradov, Anatoliĭ,","The condemnation of Paganini,",1946,u,,361.3881895535231
mdp.39015062110344,"Follett, Ken.",On wings of eagles / | $c: by Ken Follett.,1983,m,high_male,359.9026145866413
nyp.33433082397815,"Sherard, Robert Harborough,","Oscar Wilde, the story of an unhappy friendship",1902,m,high_male,358.63967138597553
uiuo.ark:/13960/t7pn9qw7m,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,358.60506983361887
nyp.33433040405569,"Balzac, Honoré de,",A distinguished provincial at Paris=,1897,f,high_male,358.4328595745857
mdp.39015061187673,"Zhou, Weihui,",Marrying Buddha / | $c: Wei Hui.,2005,u,,357.7258361407287
uc1.b3553822,"Corry, John,",The history of Henry Thomson,1803,m,high_male,355.7744937055282
uiuo.ark:/13960/t56d67c46,"Gore,",The ambassador's wife,1842,f,high_female,355.2049121804941
uc2.ark:/13960/t4qj78t14,"Thayer, John Adams,",Getting on;,1911,m,high_male,351.72665813995985
pst.000049849950,,The Time Out book of Paris short stories / | $c: edited by Nicholas Royle.,1999,u,,350.6460387623257
uc2.ark:/13960/t27943x5w,"Enfield, D. E.",A lady of the salons;,1922,u,high_female,350.3231854739231
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,349.33131729190023
uc1.b3782596,"Duncan, Dorothy.",Portrait of Jan.,1948,f,,348.7186235483765
mdp.39015058097034,"Tirumurti, T. S.,",Clive Avenue / | $c: T.S. Tirumurti.,2002,u,,347.0557582073997
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,344.32168627803225
uiug.30112052905566,"Richards, Grant,",Caviare / | $c: by Grant Richards.,1912,m,high_male,344.2707316640344
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,344.07027818448023
mdp.39015047753259,"Kirst, Hans Hellmut,","No one will escape, | a novel;",1959,m,,342.73895700989806
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,340.5871360540117
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,340.2836458309544
inu.39000003654576,"Barber, Noel,",A handful of ashes; | a personal testament of the battle of Budapest.,1957,m,,340.2049329715281
mdp.39015003929836,"Gibbs, Philip,",Cities of refuge ...,1936,m,mixed,339.98471209683856
mdp.39015038922673,"Williams, Allan.",The man who gave the Beatles away / | $c: Allan Williams and William Marshall.,1975,m,high_male,339.7520118246018
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,338.4918847179437
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,338.47536318706
njp.32101072790536,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,335.93044263775977
uiuo.ark:/13960/t4hm5ts3b,"McCarthy, Justin,",The riddle ring,1896,m,mixed,335.4980948501042
mdp.39015027548745,"Lukash, Ivan,",The flames of Moscow. | $c: by Ivan Lukash; translated from the Russian by Natalie Duddington.,1930,m,high_male,334.81110092283353
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,334.25680558901473
uc1.32106019093969,"Stanley, Oliver",Hotel Victoire / | $c: Oliver Stanley,2007,m,,333.50733716141747
hvd.hn21hl,"Porter, Jane,",Thaddeus of Warsaw,1805,f,,333.4122050377509
mdp.39015033413835,"Balch, Elisabeth,",An author's love;,1889,f,,333.3295922604684
wu.89002047405,"Leasor, James.","Boarding party / | $c: James Leasor ; with a foreword by Admiral of the Fleet, the Earl Mountbatten of Burma.",1978,m,high_male,333.24505649717526
inu.32000009470826,"De Polnay, Peter,",Death and to-morrow.,1942,m,,329.4371649791542
mdp.39015032814538,"Higgins, Aidan,",Lions of the Grunewald / | $c: Aidan Higgins.,1993,m,,327.46414216636407
uc1.$b582056,"Macdonald, Mina",Some experiences in Hungary,1916,f,mixed,325.9098316132537
njp.32101063606022,"Cobbold, Richard,","Zenon, the martyr;",1847,m,high_male,325.24213798875996
uc1.$b769365,"Onstott, Kyle,","Child of the sun, | $c: by Kyle Onstott & Lance Horner.",1966,u,,323.39280288231976
uc1.32106007762690,"Roy, Namba.",Black Albino / | $c: Namba Roy.,1986,u,mixed,322.3248581461687
uc1.$b783870,"Greenwall, Harry J. (Harry James),",Such is life / | $c: Harry J. Greenwall.,1948,m,mixed,319.4187456134754
mdp.39015010944059,"Barea, Arturo,",The clash. | $c: Translated from the Spanish by Ilsa Barea.,1946,u,high_male,319.3428082983993
hvd.hn21hm,"Porter, Jane,",Thaddeus of Warsaw,1805,f,,319.113201209271
uc1.$b285039,"Farrell, James T. (James Thomas),",The girls at the Sphinx.,1959,m,mixed,318.07623271037903
mdp.39015001143810,"Schirach, Henriette von,",The price of glory. | $c: Translated and adapted by Willi Frischauer.,1960,f,,316.9478744462249
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,316.78475564046136
hvd.hn21hk,"Porter, Jane,",Thaddeus of Warsaw,1805,f,,316.5689950818745
mdp.39015068635419,"Pitcairn, Frank.",Reporter in Spain / | $c: Frank Pitcairn ; with introd. by Ralph Bates.,1936,m,high_male,316.000250297228
mdp.39015025198402,"(Christian Karlson), Stead, C. K.",Sister Hollywood / | $c: C.K. Stead.,1991,u,high_female,315.9716407078658
uiuo.ark:/13960/t6rx9ws21,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,315.7041879697148
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,314.48123176008863
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,314.16473159404455
mdp.39015000545247,"Perrin, Robert,",Jewels / | $c: Robert Perrin.,1977,m,high_male,313.9163864353719
mdp.39015022430345,"Birabongse Bhanudej, Prince,","Blue wings to Bangkok, | $c: by H.H. Prince Birabongse (B. Bira)",1954,m,high_male,313.2315605526064
uc1.b4088954,"Sharp, Margery,","Martha, Eric, and George.",1964,f,high_female,313.1234059745966
uiuo.ark:/13960/t5w66tq0x,"Eaton, Charlotte A.",Vittoria Colonna,1827,f,high_male,312.9420842800188
njp.32101072795097,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,312.8224974200206
loc.ark:/13960/t5m90wb3j,"Moore, G. Greville","Memories of an old Etonian, 1860-1912",1919,u,,311.31961572293426
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,311.11725663716817
mdp.39015029213868,"Modiano, Patrick,",Honeymoon / | $c: Patrick Modiano ; translated from the French by Barbara Wright.,1992,m,high_female,310.62528157826097
mdp.39015027338147,"Kuncewiczowa, Maria Szczepańska,","The keys; | a journey through Europe at war, translated from the Polish.",1945,f,,309.3301853795033
mdp.39015003931790,"Golding, Louis,","Adventures in living dangerously, | $c: by Louis Golding.",1930,m,mixed,308.80877016907283
mdp.39015016975818,"Endō, Shūsaku,",Foreign studies / | $c: Shusaku Endo ; translated from the Japanese by Mark Williams.,1989,m,high_male,306.0900366730515
uc1.31822010874279,"Harsányi, Zsolt,",Hungarian melody; | $c: translated  from the Hungarian by Lynton Hudson,1936,u,,305.8462560705108
uc1.$b114284,"Young, Miriam,","Mother wore tights | $c: [by] Miriam Young, illustrated by Howard Williamson.",1944,f,high_female,304.97497792169565
uc1.b3845908,"Jacobsen, Ernst Ludwig Harthern,","Man into woman; | an authentic record of a change of sex. The true story of the miraculous transformation of the Danish painter, Einar Wegener (Andreas Sparre) | $c: edited by Niels Hoyer [pseud.] Translated from the German by H. J. Stenning; introduction by Norman Haire.",1933,m,high_female,304.6503633281571
mdp.39015010455700,"Maugham, Robin,",The last encounter.,1972,m,,304.5557116030992
mdp.39015061750611,"Clarke, Lindsay.",The war at Troy / | $c: Lindsay Clarke.,2004,u,,304.46068992155597
uiuo.ark:/13960/t9x06bv3q,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,304.36587149435735
coo.31924013604990,"Deeping, Warwick,",The lame Englishman.,1928,m,high_male,303.84379666635016
uc1.32106007059766,"Deighton, Len,",Mexico set / | $c: Len Deighton.,1984,m,,303.51041288869374
mdp.39015025250260,"Barillé, Elisabeth.","Anaïs Nin, naked under the mask / | $c: Elisabeth Barillé ; translated by Elfreda Powell.",1992,f,,302.81880403458223
hvd.hn21hn,"Porter, Jane,",Thaddeus of Warsaw,1805,f,,301.8252268787601
uc1.b3347084,"Kenyon, F. W. (Frank Wilson),","I, Eugenia.",1962,m,mixed,301.40206531777346
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,301.3673983447284
mdp.39015049523544,"Ali, Tariq.",The stone woman / | $c: Tariq Ali.,2000,u,,301.2164138886751
mdp.39015014583184,"Baring, Maurice,","Cat's cradle, | $c: by Maurice Baring ; illustrated by Daphne Baring.",1926,m,high_female,301.10520608209447
mdp.39015066901128,"McCullough, Colleen,",Antony and Cleopatra / | $c: Colleen McCullough.,2007,f,mixed,300.8968176102367
uc1.31158003738555,"Elbe, Lili,","Man into woman : | an authentic record of a change of sex / | $c: [ed. by Niels Hoyer, i.e. E. Harthern] ; translated from the German by H. J. Stenning ; introduction by Norman Haire.",1937,u,high_female,300.0706048481996
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,298.49846228064894
mdp.39015018913122,"Culverwell, David.",Days of yellow / | $c: David Culverwell.,1987,m,,298.392814937367
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,297.5333525290335
uc2.ark:/13960/t72v2fs3v,"Mühlbach, L.",Queen Hortense,1870,f,high_female,296.9269845812615
mdp.39015032226394,"Gee, Sue.",Letters from Prague / | $c: Sue Gee.,1994,f,high_female,296.8721080880992
uc1.b3234350,"Jesse, F. Tennyson (Fryniwyd Tennyson),",The dragon in the heart; | a love story.,1956,f,high_female,296.82969396308874
uc2.ark:/13960/t1td9v90f,"Richards, Grant,",Bittersweet,1915,m,,296.11694165187447
uiuo.ark:/13960/t2s475k5m,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,295.6059051626702
uc1.32106007797985,"Allbeury, Ted.",The secret whispers / | $c: Ted Allbeury.,1983,m,high_male,295.5706039076376
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,295.3902479613913
uc1.$b322918,"Almedingen, E. M. (Edith Martha),",The almond tree.,1947,f,high_female,294.8185262128804
nyp.33433057525093,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,294.57904828307477
umn.31951002108018v,"Waugh, Alec,",So lovers dream.,1973,m,mixed,294.24664088353734
mdp.39015073390778,"Mannin, Ethel,",Red Rose : | a novel based on the life of Emma Goldman ('Red Emma') / | $c: Ethel Mannin.,1941,f,,293.2618159440219
mdp.39015050488306,"Faulks, Sebastian.",On green dolphin street / | $c: Sebastian Faulks.,2001,m,,292.9768094412809
nyp.33433082290879,"Yonge, Charlotte M.",Aunt Charlotte's stories of German history for the little ones,1878,f,high_male,292.15065117916225
mdp.39015030703824,"Marshall, Bruce,",Urban the Ninth.,1973,m,,291.9878533053025
uc1.b3296373,"Turquan, Joseph,",The Empress Josephine,1913,m,high_female,291.2593905232301
mdp.39015001068413,"Walker, David Esdaile,",Operation Amsterdam.,1980,m,,289.5300813238905
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,288.86691302763757
mdp.39015027233769,"Lartéguy, Jean,",Yellow fever / | $c: Jean Lartéguy ; translated from the French by Xan Fielding.,1965,f,high_male,287.71905882888115
uc1.b4402151,,The ninth wave.,1955,u,mixed,287.18017216499027
mdp.39015065646914,,The ninth wave.,1955,u,mixed,286.67076652125746
uc1.b3945613,"Baroness, Orczy, Emmuska Orczy,",The turbulent duchess (H. R. H. Madame la Duchesse de Berri),1935,f,high_female,286.4212341606059
mdp.39015056943023,"Colquhoun, Keith.",Killing Stalin / | $c: Keith Colquhoun.,2002,m,,286.11092300399537
mdp.39015058467526,"Marotta, Giuseppe,",Return to Naples. | $c: Translated from the Italian by Frances Frenaye. With illustrations by Laboccetta.,1951,u,,285.9925807721799
uiuo.ark:/13960/t7wm1sj6z,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,285.10704473588726
uc1.32106005043234,"Allbeury, Ted.",Consequence of fear / | $c: Ted Allbeury.,1979,m,high_male,283.5216055338667
mdp.39015026262207,"Stevens, C.L. McCluer",Queens of frailty,1912,u,high_female,283.20942920805476
mdp.39015002758228,"Viscount Samuel, Samuel, Edwin,",A coat of many colors.,1960,m,,281.47311109969695
uiuo.ark:/13960/t3vt21j1g,"Gore,",The ambassador's wife,1842,f,high_female,281.0810810810811
pst.000032008142,"Brook, Peter.",Peter Brook.,1994,m,high_male,281.0567734682406
uc1.b4937384,,The water house / | $c: Antonio Olinto ; translated by Dorothy Heapy.,1982,u,high_female,280.4116019523114
uc2.ark:/13960/t74t6jf5c,"Murray, John Wilson,",Memoirs of a great detective,1904,m,high_male,280.3462522132599
mdp.39015066080386,"Littlewood, Joan.",Joan's book : | Joan Littlewood's peculiar history as she tells it.,1994,f,,280.19601485405946
uc1.$b528548,"Lyall, Archibald,",Russian roundabout : | a non-political pilgrimage / | $c: by Archibald Lyall.,1933,m,mixed,279.10889070146817
uc1.$b453987,"Soldati, Mario,",The Capri letters; | $c: translated by Archibald Colquhoun.,1955,m,,279.00812611167305
mdp.39015030847415,"Balchin, Nigel,",The Borgia testament.,1948,m,mixed,278.5056277912361
inu.32000009137540,"Isherwood, Christopher,",Goodbye to Berlin.,1940,m,mixed,277.441240610613
mdp.39015060112565,"Haylock, John.",Loose connections / | $c: by John Haylock.,2003,m,mixed,277.2963604852687
mdp.39015002699091,"Williams, Gordon M.,","Walk, don't walk / | $c: Gordon Williams.",1972,m,high_male,277.19192527869836
mdp.39015050246027,"Teran, Iseult,",Dolce vita : | a novel / | $c: Iseult Teran.,1999,u,mixed,276.31674624912137
mdp.39015022004801,"Buchan, James.",Slide / | $c: James Buchan.,1991,m,high_female,276.21924902891675
wu.89013740311,"Sims, George R.,",Behind the veil,1913,m,,275.49668874172187
mdp.39015001610214,"Cid,",The poem of the Cid (El poema del mio Cid),1959,u,high_male,274.58272074721094
wu.89092582881,"Bibesco, Marthe,",Prince imperial / | $c: Princess Marthe Bibesco ; translated by Roland Grant.,1949,u,,274.0381478501055
inu.30000092668809,"Mulrine, Stephen.",Moscow stations : | a play / | $c: by Stephen Mulrine ; translated and adapted from Moscow-Petushki by Venedikt Yerofeev.,1993,m,,273.9533576847429
mdp.39015056498143,"Youngblood, Shay.",Black girl in Paris / | $c: Shay Youngblood.,2000,f,mixed,273.5083786956986
uiuo.ark:/13960/t0bv8241n,"Warden, Florence,",Scheherazade,1887,f,mixed,273.12181981442683
mdp.39015039402428,"Johnson, Samuel,","Rasselas, prince of Abyssinia",1884,m,high_female,272.0044636629935
njp.32101063606048,"Cobbold, Richard,","Zenon, the martyr;",1847,m,high_male,271.7281912966467
nyp.33433074895842,"Marks, Mary A. M.",A great treason;,1883,f,mixed,270.7340888244519
mdp.39015026940091,"Unsworth, Barry,",Sacred hunger / | $c: Barry Unsworth.,1992,m,high_male,269.85236176571163
nnc1.1002266598,"Cobbold, Richard,",Zenon,1847,m,,269.41037614820135
mdp.39015012334887,"Miller, Joaquin,",The one fair woman,1876,m,,268.8328218995758
uc1.32106019815320,"Serna, Enrique,",Fear of animals / | $c: [Enrique Serna ; translated by Georgina Jiménez Reynoso],2008,m,,267.6438705716451
uc1.31822035047430,"Bilbo, Jack,",I can't escape adventure | $c: [by] Jack Bilbo [pseud.],1937,m,high_male,267.5913013982588
uc2.ark:/13960/t1gh9f65g,"Littlefair, Mary.",An English girl's adventures in hostile Germany,1915,f,mixed,266.8947818648418
uiuo.ark:/13960/t1kh13n2m,"Roosevelt, Blanche,",The copper queen,1886,f,high_female,266.2820370575835
mdp.39015030703774,"Marshall, Bruce,",Peter the Second / | $c: Bruce Marshall.,1976,m,high_male,266.0539363889225
mdp.39015073316922,"Carlyle, Thomas,",[Works],1885,m,high_male,265.91688533116434
uc1.$b684798,"Baring, Maurice,","C,",1924,m,,265.09559843779783
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,264.07424068242784
uiuo.ark:/13960/t9s18h03f,"Roosevelt, Blanche,",The copper queen,1886,f,high_female,263.23782525058215
wu.89100064526,"Ellison, Wallace.",Escaped! adventures in German captivity,1918,m,,263.1867529334357
mdp.39015014233541,"Deighton, Len,",Spy hook / | $c: Len Deighton.,1988,m,mixed,262.89216198335595
uiuo.ark:/13960/t2x35587p,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,262.54375729288216
uiuo.ark:/13960/t55d9b38m,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,262.51730227674096
uc2.ark:/13960/t7rn32t76,"Pawlowska, Yoï.",A year of strangers,1911,u,high_female,262.3213899947536
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,262.2785203605843
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,high_male,262.2638945508901
mdp.39015045695635,"King, John,",England away / | $c: John King.,1998,m,high_male,262.23707179134783
mdp.39015031238739,"Handl, Irene.",The Gold Tip Pfitzer: | a novel.,1973,f,,261.9214235729281
njp.32101067301109,"Hamilton, Cosmo,",The infinite capacity,1910,m,,261.6575901974132
uva.x030825961,"Hardy, Robina F.",The story of a coral necklace,1893,f,high_female,261.1405947266448
mdp.39015003666040,"Goddard, Donald.",Easy money / | $c: Donald Goddard.,1980,m,high_male,260.49899467620986
uc1.$b753692,"Meynell, Mrs. Esther Hallam (Moorhouse)",Nelson's Lady Hamilton,1911,f,high_female,260.2562023674396
mdp.39015080879938,"Stock, Jon.",Dead spy running / | $c: Jon Stock.,2009,m,,260.00989589902304
mdp.39015014681624,"Johnson, Uwe,",An absence; | $c: translated from the German by Richard and Clara Winston.,1969,u,high_male,259.9915351593204
inu.30000120306380,"Cullup, Michael.","The stomach and his friends, and other stories; | $c: edited by Michael Cullup; illustrated by Pedro Guedes.",1973,m,high_male,259.97858999847074
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,259.4105309636825
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,258.88850535036244
mdp.39015069313578,"Woodward, Gerard,",A curious Earth / | $c: Gerard Woodward.,2007,m,,258.7202974027497
uc1.b3148809,"Kellermann, Bernhard,",The tunnel / | $c: by Bernhard Kellerman.,1936,u,mixed,258.6152329797719
njp.32101067173235,"Scott, Walter,",Tales and romances,1833,m,,257.6166602391053
wu.89095837944,"McMillan, Richard.","Miracle before Berlin, | $c: by Richard McMillan.",1946,m,high_male,257.55570752329106
mdp.39015002204744,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,257.3134140361768
mdp.39015063201548,"Moorcock, Michael,",The vengeance of Rome / | $c: Michael Moorcock.,2006,m,,256.45566688690747
mdp.39015013095552,"Eagleton, Terry,",Saints and scholars / | $c: Terry Eagleton.,1987,m,high_male,256.34158472663273
mdp.39015049645867,"Spark, Muriel.",Aiding and abetting / | $c: by Muriel Spark.,2000,f,mixed,256.2776791133692
njp.32101068551595,"Hugo, Victor,",History of a crime,1877,m,high_male,256.05318718835633
mdp.39015068635559,"(Cecil Ernest Lucas), Phillips, C. E. Lucas",The Spanish pimpernel.,1960,m,high_male,255.9156983581879
nyp.33433057525101,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,255.50058586121597
uc2.ark:/13960/t0pr7q82g,"St. Clair, William.",Prince Baber and his wives,1901,m,,255.29893724395893
mdp.39015013157121,"Dressler, Friedrich August.",Moltke in his home,1907,m,high_male,255.25126296197817
mdp.39015066580484,"Murciaux, Christian,","The unforsaken, | a novel. | $c: Translated from the French by Peter Wiles.",1963,m,high_male,254.87090234728933
njp.32101068178886,"Hatton, Joseph,",A modern Ulysses,1883,m,mixed,254.48400822492312
mdp.39015030138427,"Schumacher, Heinrich Vollrat,",Nelson's last love.,1929,u,,254.40907337650088
uc1.$b600760,"Ėrenburg, Ilʹi͡a,",The love of Jeanne Ney. | $c: Translated from the Russian by Helen Chrouschoff Matheson.,1929,f,,254.37656305823504
uc2.ark:/13960/t3mw29z63,"Hutton, Catherine,",Oakwood Hall,1819,f,mixed,254.2352164666194
wu.89092529890,"Falls, Alicia Maria.",On the banks of the Seine,1901,u,,253.59947643979055
uc1.32106007020925,"Battye, Evelyn.",Costumes and characters of the British Raj / | $c: Evelyn Battye ; illustrated by Cecil Elgee ; introduction by M.M. Kaye.,1982,f,mixed,253.5456778385231
inu.30000005016724,"Wodehouse, P. G. (Pelham Grenville),","Bring on the girls! : | the improbable story of our life in musical comedy, with pictures to prove it / | $c: by P. G. Wodehouse and Guy Bolton.",1954,m,mixed,253.27726935443977
