htid,author,title,year,authgender,female_category,vertical
uc1.b3888656,"Williamson, Henry,","Salar the salmon, | $c: by Henry Williamson.",1935,m,high_male,1284.0105886526758
inu.32000014254751,"Richter, Hans Werner,",The odds against us / | $c: Hans Werner Richter ; translated by Robert Kee.,1950,m,,1203.1867149735242
uc1.b4356098,"Woolf, Douglas,","Spring of the lamb; | $c: a tale by Douglas Woolf. Broken field runner; a Douglas Woolf notebook, by Paul Metcalf. With two photos. by Ralph Eugene Meatyard",1972,m,high_male,1186.145816859086
mdp.39015010389347,"O'Connor, John J. (John Joseph),","Come day, go day.",1984,m,,1180.7298309129058
mdp.39015018022502,"Macfie, Harry,",Wasa-wasa; | a tale of trails & treasure by Harry Macfie and Hans G. Westerlund. | $c: Translated from the Swedish by F.H. Lyon & illustrated by Jack Robinson.,1953,m,high_male,1175.609804328696
uc1.32106002182878,"Padgett, Ron,",The adventures of Mr. and Mrs. Jim and Ron | $c: [by] Jim Dine and Ron Padgett.,1970,m,high_male,1169.5906432748538
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,1163.9574553481839
mdp.39015003931675,"Golding, William,",Pincher Martin.,1956,m,high_male,1152.8158683589515
mdp.39015019205106,"Tregenza, L. A.",The Red Sea mountains of Egypt.,1955,u,high_male,1152.710919096081
uc1.b4087141,"Bagnold, Enid.","Alice and Thomas [and] Jane, | $c: by Enid Bagnold; illustrated by the author and Laurian Jones.",1930,f,mixed,1149.3663092000616
uc1.b3296224,"Macfie, Harry,","Wasa-wasa, | a tale of trails and treasure,",1951,m,high_male,1146.808984628498
uc1.32106014786138,"Wurlitzer, Rudolph",Quake / | $c: Rudolph Wurlitzer,1995,m,mixed,1137.5105130361649
uc1.$b188443,"Frison-Roche, Roger,","First on the rope, | a novel, | $c: tr. by Janet Adam Smith.",1949,m,high_male,1127.7466400325816
uc1.31822013422639,"(Leonard Harrison) Matthews, L. Harrison",Wandering albatross; | adventures among the albatrosses and petrels in the Southern Ocean. | $c: Illustrated by the author,1951,m,high_male,1107.2948172450915
mdp.39015041543888,"Warner, Alan.",These demented lands / | $c: Alan Warner.,1997,m,,1093.1701935613278
wu.89098657877,"Percy, Cyril Heber.",Hym : | the life story of a famous fox / | $c: by Cyril Heber Percy ; illustrated by Michael Lyne.,1959,m,,1082.089552238806
mdp.39015048881596,"Salisbury, Ray.",Birds of the air : | a novel / | $c: by Ray Salisbury.,1988,m,,1070.8459296257065
coo.31924003394628,"Lidman, Hans Gustav Otto,",People of the forest.,1963,m,high_male,1052.0047637951568
uc2.ark:/13960/t7rn33g2q,"Taylor, Neville.",Ibex shooting on the Himalayas,1903,u,high_male,1045.3295825075122
mdp.39015031237665,"Hanley, James,",No directions. | $c: With an introd. by Henry Miller.,1946,m,,1037.125115603118
uc1.b4340672,"Wightman, Frank Armstrong.",The wind is free.,1949,m,high_male,1035.1928116810184
uc1.b4457279,"Tomkies, Mike.",Golden eagle years / | $c: Mike Tomkies.,1982,m,,1034.6719619575158
uc1.$b174673,"Lord, Derek Rowland,","""Germany quivers,"" | $c: edited by Peter Rance ...",1942,m,high_male,1031.5958632487493
pst.000049733785,"Laurie, Peter.",Mauby's big adventure / | $c: by Peter Laurie ; illustrated by H. Ann Dodson.,2000,m,high_male,1029.9797682545523
mdp.39015022430865,"Nünlist, Hugo.",Spitzbergen; | the story of the 1962 Swiss-Spitzbergen Expedition; | $c: translated from the German by Oliver Coburn.,1966,m,,1027.103115903994
mdp.39015000519630,"Kennett, John.",Two eggs on my plate | $c: [by] Oluf Reed Olsen; retold by John Kennett.,1972,m,high_male,1018.3007285870002
uc1.32106019834404,"Beard, G. S",Lieutenant Fury / | $c: G.S. Beard,2007,u,high_male,1011.0831791806985
uc1.b4949097,"Hewison, Rowan.",Salt pan / | $c: by Rowan Hewison.,1980,m,,1008.1597420153423
inu.30000035441025,"Bolger, Dermot,",Night shift / | $c: Dermot Bolger.,1993,m,,1007.8368296772869
mdp.39015008451562,"Thomas, Dylan,","A prospect of the sea, | and other stories and prose writings. | $c: Edited by Daniel Jones.",1955,m,mixed,1006.5552971029816
uc1.$b119622,"Watkins, Griffith,",The pleasure bird.,1967,m,high_male,1005.8048264028331
uc1.$b322847,"Boden, Frederick C.","Flo; | a novel, | $c: by F. C. Boden.",1933,m,,1001.9757267852103
mdp.39015011573626,"Weiss, Peter,","The conversation of the three walkers; | and, The shadow of the coachman's body; | $c: translated by S. M. Cupitt.",1972,m,high_male,999.7137833749028
mdp.39015005881043,"Hewison, Rowan.",Salt pan / | $c: by Rowan Hewison.,1980,m,,997.4141115626154
uc1.$b322948,"Barrett, Michael.",The reward.,1955,m,high_male,997.188611546885
uc1.$b70107,"Fleuron, Svend,",The wild horses of Iceland / | $c: by Svend Fleuron ; translated from the Danish by E. Gee Nash.,1933,u,high_male,994.1807918562798
mdp.39015030727252,"Comfort, Alex,",Letters from an outpost.,1947,m,high_male,984.0367373715285
uc1.$b119613,"Greig, Desmond.","The angel upstairs, | and other stories.",1969,m,,981.795868275721
nyp.33433081639761,"Stephens, Ann S.",High life in New York,1844,f,,979.3008715422509
uc1.b4975997,"Pearce, Donn",Cool hand Luke / | $c: Don Pearce,1988,m,high_male,979.1735072001501
wu.89040821183,"Parland, Oscar,",The year of the bull / | $c: Oscar Parland ; translated from the Swedish by Joan Tate.,1991,m,,978.4708993983911
wu.89038451712,"Mason, Gertrude.","New life for old clothes, | $c: by Gertrude Mason...With 190 drawings by Kathleen Mann.",1943,f,high_male,977.6818825433214
mdp.39015024534706,"Potter, Beatrix,",The roly-poly pudding,1908,f,mixed,977.0114942528736
mdp.39015032939251,"Saʻdāwī, Nawāl.",The innocence of the devil / | $c: Nawal el Saadawi ; translated from the Arabic by Sherif Hetata.,1994,f,mixed,974.4117880060207
mdp.39015019360232,"Jones, Glyn,",Selected short stories.,1971,m,,973.1710109529444
uc1.$b391306,"Fisher, Roy,",The ship's orchestra.,1966,m,mixed,970.1321518600565
mdp.39015013979623,"Brown, Christy,",Down all the days.,1970,u,high_female,968.5893079911153
uc1.$b243365,"Hood, Stuart Clink,",The circle of the Minotaur.,1950,m,high_male,955.8551269216528
mdp.39015059168487,"Baker, Jo.",The mermaid's child / | $c: Jo Baker.,2004,f,mixed,950.290884246703
mdp.39015027551616,"B B,","The little grey men, | a story for the young in heart, by 'BB' [pseud.] | $c: Illustrated by Denys Watkins Pitchford.",1962,u,high_male,948.4770133064262
mdp.39015018860497,"Dawkins, Cecil,",Charleyhorse / | $c: Cecil Dawkins.,1986,m,high_female,944.9425332754058
inu.30000056656303,,Little / | $c: by David Treuer.,1995,u,mixed,943.1255141277524
mdp.39015052824714,"Skoczylas, Adam.","Stefano, we shall come tomorrow.",1962,m,high_male,942.3097057899696
mdp.39015080841920,"Laguna, Sofie,",One foot wrong / | $c: Sofie Laguna.,2009,f,,930.6798616389273
mdp.39015014855475,"Wilson, Erle.",Coorinna : | a novel of the Tasmanian uplands / | $c: Erle Wilson ; drawings by Alison Forbes.,1963,m,high_male,930.3476432017815
mdp.39015064983318,"Crofts, Lewis,",The pornographer of Vienna / | $c: Lewis Crofts.,2007,m,,928.9143592815442
mdp.39015082746945,"Ingrams, Rachel,",Blood tender / | $c: Rachel Ingrams.,2008,f,mixed,927.8955475684002
uc1.31822029821618,"(Francis Downes), Ommanney, F. D.","South latitude, | $c: by F. D. Ommanney; with 16 illustrations",1938,u,high_male,922.535153053211
uc1.$b286494,"Wilson, Erle.",Coorinna : | a novel of the Tasmanian uplands / | $c: Erle Wilson ; drawings by Alison Forbes.,1963,m,high_male,922.0016358093538
mdp.39015062194017,"(Francis Downes), Ommanney, F. D.","Below the roaring forties; | an Antarctic journal, | $c: by F. D. Ommanney; with 16 illustrations.",1938,u,high_male,920.7830358685724
mdp.39015037461632,"Irish, William.",After-dinner story / | $c: William Irish.,1940,m,,920.5141570641143
mdp.39015066608921,"Biert, Cla,","Only a game, | and other stories; | $c: translated from the German by Alan Brown.",1969,u,,917.2530939092453
uc1.$b703635,"Ramuz, C. F. (Charles Ferdinand),",The triumph of death.,1946,m,high_male,916.2038350833097
mdp.39015080826236,"Yarwood, Michael.",Voices of yesterday / | $c: by Michael Yarwood.,2009,m,high_male,914.9012699788798
uc1.$b236080,"Comfort, Alex,",The almond tree : | a legend / | $c: by Alex Comfort.,1942,m,,913.4663844370527
mdp.39015064952289,"Sheers, Owen,",Resistance / | $c: Owen Sheers.,2007,m,high_female,911.1098456807699
mdp.39015055583572,"Baker, Jo.",Offcomer / | $c: Jo Baker.,2001,f,high_female,911.1093216146882
mdp.39015079338557,"Clarke, Carole Patti.",I wish you weren't my mummy / | $c: Carole Patti Clarke.,2008,f,,909.4916970102705
mdp.39015055183647,"Riley, Gwendoline,",Cold water / | $c: Gwendoline Riley.,2002,f,,908.4147896302593
uc2.ark:/13960/t00z71j53,"Miller, Joaquin,",First fam'lies in the Sierras,1875,m,mixed,905.5152521632724
uc1.$b120353,"Luard, Nicholas.",The warm and golden war.,1967,m,high_male,904.9409237379163
mdp.39015000630155,"Lash, Jennifer.",The dust collector / | $c: Jennifer Lash.,1979,f,mixed,904.1401482842333
mdp.39015053683051,"Giono, Jean,",To the slaughterhouse: | a novel; | $c: translated from the French by Norman Glass.,1969,f,mixed,904.0940368560234
uc2.ark:/13960/t39z91j6z,"Donald, Charles H.",In nature's garden,1922,m,high_male,903.9188531646518
uc1.b4091319,"Lawrence, D. H. (David Herbert),",The spirit of place; | an anthology compiled from the prose of D.H.Lawrence. | $c: Edited with an introd. by Richard Aldington.,1935,m,high_female,903.6177729839197
uc1.$b556597,"Simpson, Myrtle.",Home is a tent. | $c: With an appendix by Hugh Simpson.,1964,f,,903.4008571516665
uc1.b3915819,"Moreland, A. Maud.",Through south Westland,1911,f,mixed,901.6167975793882
uc2.ark:/13960/t3vt1jm0q,"Baillie, W. W.,",Days and nights of shikar,1921,f,,900.3494273981687
mdp.39015030005758,"Wolkers, Jan,",A rose of flesh; | $c: translated from the Dutch by John Scott.,1967,u,,899.753039812499
mdp.39015032088463,"O'Brian, Patrick,",Collected short stories / | $c: Patrick O'Brian.,1994,m,high_male,899.6931791361812
uc1.b3435552,"Summers, John,","Dylan, | $c: by John Summers.",1970,m,high_male,897.8825201626976
inu.32000007265780,"Lawrence, D. H. (David Herbert),",Sun. | $c: by D. H. Lawrence.,1926,m,high_female,897.2365115444431
mdp.39015030074853,"Lie, Jonas Lauritz Idemil,","Weird tales from northern seas, from the Danish of Jonas Lie",1893,m,high_male,896.2676320059918
mdp.39015024989447,"Bolger, Dermot,",The woman's daughter / | $c: Dermot Bolger.,1991,m,high_female,893.551868677995
inu.39000003404220,"Cullen, Seamus.",Astra and Flondrix / | $c: [by] Seamus Cullen.,1976,u,high_male,887.8067452047803
mdp.39015003976985,"Andrews, Kevin.",The flight of Ikaros; | a journey into Greece.,1959,m,mixed,887.623513649305
coo.31924001193220,"Brandon-Cox, Hugh.",Summer of a million wings; | arctic quest for the sea eagle. | $c: Illustrated with photographs and sketches by the author.,1974,m,high_male,887.3872957075693
mdp.39015002762105,"Mais, Roger.",The hills were joyful together / | $c: Roger Mais ; introduction by Daphne Morris.,1981,m,high_male,887.0241862895967
mdp.39015030846748,"Boyle, Kay,","Wedding day, | and other stories, | $c: by Kay Boyle.",1932,f,high_female,884.1833636915604
uc1.b3854664,"Haig-Brown, Roderick Langmere,","The tall trees fall, | a novel of Pacific coast loggers, | $c: by Roderick L. Haig-Brown.",1943,m,,883.5537564992846
mdp.49015000752734,"Wideman, John Edgar.",Hiding place / | $c: John Edgar Wideman.,1981,m,mixed,880.3858901515151
uc1.$b23608,"Grant, George H. (George Hook),","The half deck, | $c: by Captain George H. Grant; with illustrations by Gordon Grant.",1934,m,high_male,879.1187628786565
mdp.39015055796539,"Warner, Alan",The man who walks / | $c: Alan Warner,2002,m,,877.6908846283216
mdp.39015002201716,"Chandler, Raymond,",Killer in the rain. | $c: With an introduction by Philip Durham.,1964,m,mixed,875.8964252477144
mdp.39015046356104,"Johnston, Jennifer,",Shadows on our skin / | $c: Jennifer Johnston.,1977,f,,875.752599890531
mdp.39015046879600,"Warner, Alan.",The Sopranos / | $c: Alan Warner.,1998,m,,874.9271703243348
uc1.b2800163,"Abraham, Parappillil John.",Last hours on Dara / | $c: by P. J. Abraham.,1963,m,high_male,874.7295723082044
mdp.39015014861671,"Kamāl, Aḥmad,",Full fathom five.,1951,u,,873.8538150302857
mdp.39015034275845,"McLean, Duncan,",Blackden / | $c: Duncan McLean.,1994,m,mixed,872.8853518567502
mdp.39015064868196,"Hardy, Justine.",The wonder house / | $c: Justine Hardy.,2005,f,mixed,871.7543445140581
njp.32101067631331,"Brown, Oliver Madox,",Gabriel Denver,1875,m,high_female,871.2991460401405
inu.30000110625906,"Rusbridge, Jane.",The devil's music / | $c: Jane Rusbridge.,2009,f,,868.8191554407211
mdp.39015073918511,"Gallas, John,",The book with twelve tales / | $c: John Gallas.,2008,m,high_male,865.4765287932415
mdp.39015020923200,"Ewart, Ernest Andrew,",Front lines,1918,m,high_male,865.3719117452767
mdp.39015065630033,"Holmsen, Sverre,",The island beyond the horizon;,1952,u,high_female,865.3411658382287
inu.30000055840536,"Mousley, K. M. (Keith M.),",The baobab tree / | $c: K.M. Mousley.,1997,m,high_male,864.9892684440537
uc1.32106014173949,"Petterson, Per,",To Siberia / | $c: Per Petterson ; translated from the Norwegian by Anne Born,1998,m,mixed,862.9740595631354
inu.30000118997760,"Bates, H. E. (Herbert Ernest),","The spring song ; and, In view of the fact that : | two stories / | $c: by H.E. Bates.",1927,m,mixed,862.5435859790788
mdp.39015008274535,"Desai, Anita,",Fire on the mountain / | $c: Anita Desai.,1977,f,high_female,862.4541092830365
mdp.39015024675343,"Scurfield, George,",The bamboo house / | $c: George Scurfield.,1950,m,high_male,861.8678714810131
uc1.32106018078417,"Dantzig, Rudi van",For a lost soldier / | $c: Rudi van Dantzig ; translated from the Dutch by Arnold J. Pomerans,1996,m,high_male,861.7751594527484
uc1.b4095440,"Mais, Roger.",The three novels of Roger Mais / | $c: with an introduction by Norman W. Manley.,1966,m,,861.5697628922451
uc1.$b252076,"Gandolfi, Simon.",Even with the shutters closed.,1965,m,high_male,860.1149822122818
mdp.39015037030908,"Arkless, David C.",The secret war : | Dhofar 1971/1972 / | $c: David C. Arkless.,1988,m,high_male,860.0559704818096
uc1.b3295234,"Taylor, Bevis James,",The steam trawler Uganda : | a novel / | $c: by B. J. Taylor.,1954,m,high_male,858.4129231648956
mdp.39015020731942,"Eiselin, Max.",The ascent of Dhaulagiri / | $c: by Max Eiselin ; translated from the German by E. Joel Bowman.,1961,m,high_male,856.8088836937463
mdp.39015047519601,"Petley, Dexter,",Joyride.,1999,m,,855.873082857482
mdp.39015065985817,"Talbot, Daniel,",A treasury of mountaineering stories.,1955,m,,855.5022482599085
mdp.39015068802647,"Riley, Gwendoline,",Joshua Spassky / | $c: Gwendoline Riley.,2007,f,mixed,854.7458117455225
mdp.39015041920052,"O'Grady, Timothy.","I could read the sky : | a novel / | $c: Timothy O'Grady, Steve Pyke ; with a preface by John Berger.",1997,m,mixed,854.6317265178475
mdp.49015001417410,"Longden, Deric.",The cat who came in from the cold / | $c: Deric Longden ; [text illustrations by Michael Foster].,1992,m,,854.2237558780744
mdp.39076005051995,"Thomas, Dylan,",Adventures in the skin trade.,1955,m,,854.1907568353911
uc2.ark:/13960/t5w66bj6s,"Streuvels, Stijn,",The path of life,1915,u,high_female,852.3729278520202
mdp.39015014445582,"Ferlet, René,",Aconcagua: | south face. | $c: Translated from the French by E. Noel Bowman.,1956,u,high_male,852.1743761817262
mdp.39015041912760,"Steven, Kenneth C.,",The summer is ended / | $c: Kenneth C Steven.,1997,m,high_male,851.7985611510792
uc1.b3834442,"Garnett, David,","The grasshoppers come, | $c: by David Garnett.",1931,m,mixed,850.4369370877557
mdp.39015002713280,"Quin, Ann,",Passages : | a novel.,1969,f,high_female,847.4084392593883
wu.89096232681,"Bewick, Harry",A wild taste / | $c: by Harry Bewick [pseud.],1958,m,,846.3490362338256
mdp.39015019872459,"Thomas, Paul,",Fur seal island : | an environment in peril / | $c: Paul Thomas.,1990,m,,845.7829420599162
inu.30000111288217,"Clough, Lara.",Facing into the west wind / | $c: by Lara Clough.,2006,f,,845.3707460208135
uc2.ark:/13960/t4dn4205x,"Jørgensen, Johannes,",Pilgrim walks in Franciscan Italy,1908,u,high_male,843.4864104967198
mdp.39015053763754,"Carr, Simon,",The hop quad dolly / | $c: Simon Carr.,1993,m,,842.5353504332849
uc1.b3338160,"Dautert, Erich,","Big game in Antarctica, | $c: by Erich Dautert.",1937,m,high_male,842.0988164683906
mdp.39015082682702,"Smith, Joseph.",The wolf / | $c: Joseph Smith.,2008,m,high_male,841.4964568570238
mdp.39015055608288,"Marsden, Philip,",The main cages / | $c: Philip Marsden.,2002,m,,841.24737466898
mdp.39015016437520,"Mackay, Shena.",Old crow.,1967,f,high_female,837.4432345329362
wu.89018081877,"Gibson, Ronald.","Nine days, 17th to 25th September, 1944. | $c: Illustrated by Gordon C. Power.",1956,m,high_male,835.754189944134
uc1.b3578831,"Housman, Laurence,",The house of joy,1895,m,high_male,832.9657212548979
uc1.32106012744022,"Gee, Sue",The hours of the night / | $c: Sue Gee,1996,f,,832.594878202717
uc1.$b244386,"Wilson, Phillip.",Beneath the thunder.,1963,m,,831.8577306717283
inu.30000110569674,"Allnatt, Judith.",A mile of river / | $c: Judith Allnatt.,2008,f,mixed,831.7964194563982
uc1.$b322848,"Boden, Frederick C.",Miner / | $c: by F. C. Boden.,1932,m,high_male,831.6418028102398
mdp.39015009110720,"Healy, Dermot,","Banished misfortune, and other stories / | $c: by Dermot Healy.",1982,m,,831.2073080404905
mdp.39015058730436,"Riley, Gwendoline,",Sick notes / | $c: Gwendoline Riley.,2004,f,,830.7661731094107
uc1.$b243907,"Mais, Roger.",Brother man. | With drawings by the author.,1954,m,,829.4001741282134
uc1.b3917861,"Powell, Patricia,",Me dying trial / | $c: Patricia Powell.,1993,f,high_female,829.2205326992627
uc1.$b783866,"Hanley, James,","Hollow sea, | a novel | $c: [by] James Hanley.",1938,m,high_male,828.9395158861823
mdp.39015082663785,"Irvine, Susan.",Muse / | $c: A.S. Irvine.,2008,f,,828.7210395190285
inu.30000038771923,"Harrison, M. John (Michael John),",Climbers / | $c: M. John Harrison.,1993,m,,828.4432171211598
inu.39000004507955,"Cleary, Jon,",North from Thursday.,1960,m,mixed,827.7078151935046
mdp.39015003449231,"Bradbury, Ray,",The small assassin.,1976,m,,827.4927326877463
mdp.39015053114644,"Nicoll, Ruaridh.",White male heart / | $c: Ruaridh Nicoll.,2001,u,,827.1317134403299
mdp.39076001621874,"Hemingway, Ernest,","The essential Hemingway. | Containing one complete novel, extracts from three others, twenty-three short stories and a chapter from Death in the afternoon.",1947,m,high_male,826.5837464711943
mdp.39015080892956,"Bilton, Alan.",The sleepwalkers' ball / | $c: Alan Bilton.,2009,m,,825.9821939067222
mdp.39015041189070,"Tennant, Emma.",Alice fell / | $c: Emma Tennant.,1980,f,high_female,824.6273036741402
uc1.32106010089206,"Banks, Iain.",Canal dreams.,1989,m,high_female,823.0925749232662
inu.30000047574516,"Finlay, Ian Hamilton.","The sea-bed, | and other stories / | $c: Ian H. Finlay ; illustrations by Zeliko Kujundzic.",1958,m,high_female,822.6448474126493
uc1.$b119982,"Forbes, Colin,",Night of the hawk | $c: [by] Richard Raine.,1968,m,,817.6973926252953
njp.32101068178399,"Henty, G. A.",Tales of daring and danger,1890,m,,816.9036210823973
mdp.39015073429212,"Henty, G. A.",In the heart of the Rockies,1895,m,high_male,815.9505595369529
mdp.39015031305611,"Strathern, Paul,",One man's war.,1973,m,high_male,815.4803040774016
inu.30000113283562,"Tovey, Doreen.",Cats in the belfry / | $c: written by Doreen Tovey ; illustrated by Maurice Wilson ; introd. by Michael Joseph.,1957,f,,815.136423615545
mdp.39015049831566,"Elsner, Gisela,",The giant dwarfs : | a contribution / | $c: Gisela Elsner ; translated from the German by Joel Carmichael.,1965,f,high_male,814.7644157169586
inu.30000007196417,"Gysin, Brion.",The process : | a novel / | $c: Brion Gysin.,1969,u,mixed,813.2626982380718
mdp.39015017901540,"Yaşar Kemal,",The undying grass / | $c: Yashar Kemal ; translated from the Turkish by Thilda Kemal.,1989,u,,812.3661873453087
uc1.b2799084,"Smith, Anthony,",Throw out two hands.,1963,m,high_male,812.0207437613581
uc1.b3862883,"Delany, Samuel R.",The Einstein intersection / | $c: by Samuel R. Delany.,1967,m,high_male,811.9106699751861
umn.31951002103586j,"De la Mare, Walter,","The three royal monkeys; or, The three Mulla-Mulgars / | $c: by Walter de la Mare, with illustrations by J.A. Shepherd.",1927,m,high_male,809.5937465862332
yale.39002060802312,"Safroni-Middleton, A.",Sailor and beachcomber,1915,m,high_male,809.3197154842239
mdp.39015034015555,"Birch, Carol,",Songs of the west / | $c: Carol Birch.,1994,f,,809.2044195586429
mdp.39015020642511,"O'Faoláin, Seán,",Teresa and other stories.,1947,m,,807.6685643734138
mdp.39015020692649,"McMurtry, Larry.","Horseman, pass by / | $c: Larry McMurtry.",1979,m,high_male,805.0231328486451
mdp.39015074279566,"Roberts, Bethan,",The pools / | $c: Bethan Roberts.,2007,u,mixed,804.1304080009855
mdp.39015014621661,"Bowman, Gerald.",The man who bought a navy; | the story of the world's greatest salvage achievement at Scapa Flow.,1964,m,high_male,802.8075840649421
uc1.$b785374,"Joseph, M. K.",The hole in the zero:,1967,u,high_male,802.6596378759983
mdp.39015053111772,"Francis, David,",Agapanthus tango / | $c: David Francis.,2001,m,high_female,802.3970341780508
uc1.31822028616142,"Palmer, Robert,",Deep into blue holes : | the story of the Andros Project / | $c: Robert Palmer,1989,m,high_male,802.2185986169466
inu.32000000353294,"Shute, Nevil,",So disdained. | $c: Original illus. by Graham Byfield.,1970,m,,802.0383936068564
uc2.ark:/13960/t3gx46g5z,"Morison, Margaret Cotter.",A lonely summer in Kashmir,1904,u,high_male,801.678064479053
mdp.39015031918447,"Grant, Douglas.",The fuel of the fire.,1960,m,high_male,801.4484007242004
mdp.39015054153757,"King, Martin.",The estate : | a novel / | $c: Martin King.,2001,m,,800.6854576611712
mdp.39015024090469,"Peyton, K. M.",Windfall. | $c: Illustrated by Victor G. Ambrus.,1962,f,high_male,799.8656122396237
mdp.39015057639034,"Beirne, Gerard,",The eskimo in the net / | $c: by Gerard Beirne.,2003,m,,799.6505728589187
mdp.39015021991370,"Virtue, Noel,",Always the islands of memory / | $c: Noel Virtue.,1991,m,,799.427570381702
mdp.39015025234355,"Sorel-Cameron, James.",Mag / | $c: James Sorel-Cameron.,1990,m,,798.546696366099
mdp.39015063920857,"Knocker, Gratiana Longworth.",The witch of Withyford;,1896,f,high_female,797.355605460372
uc1.32106018330834,"Dickson, Jack",Out of this world / | $c: Jack Dickson,2002,m,high_male,797.1082625547164
mdp.39015029565507,"Salkey, Andrew.","Anancy, traveller / | $c: Andrew Salkey.",1992,m,high_male,796.7696578577352
uc1.$b311939,"Ramuz, C. F. (Charles Ferdinand),","Beauty on earth, translated from the French.",1929,m,high_female,796.1067110159903
uc1.$b313689,"Alverdes, Paul,","Changed men, | $c: by Paul Alverdes...",1933,m,high_male,796.0915602616008
uc1.$b119734,"Coulter, Stephen,",A stranger called the blues.,1968,m,high_male,795.8367157601763
mdp.39015008226790,"Truman, Nevil.",Historic costuming / | $c: by Nevil Truman; with a foreword by C.B. Cochran.,1936,u,,795.5188749515836
mdp.39015053378181,"Griffiths, Niall,",Sheepshagger / | $c: Niall Griffiths.,2001,m,high_male,795.2179701391185
inu.30000110593211,"McNicoll, Andrea.",Moonshine in the morning / | $c: Andrea McNicoll.,2008,f,high_female,795.1158890457402
mdp.39015062822005,"Grenville, Kate,",The secret river / | $c: Kate Grenville.,2006,f,high_male,795.1027300872502
mdp.39015021319069,"Webster, Henry Charles,",2750: | legend of a locomotive. | $c: Illustrated by R. Barnard Way.,1953,m,high_male,794.4190393537835
mdp.39015050047417,"Elderkin, Susan.",Sunset over chocolate mountains / | $c: Susan Elderkin.,2000,f,,793.9168472261968
mdp.39015019820920,"Bedford, William.",Happiland / | $c: William Bedford.,1990,m,,793.7850934543496
uc1.$b119620,"Rathbone, Julian,",Hand out.,1968,m,,793.4718268173747
uc1.$b299549,"Aldington, Richard,","At all costs, | $c: by Richard Aldington.",1930,m,high_male,793.4408886537952
uc2.ark:/13960/t0js9k52b,"Jackson, Murray Cosby.","A soldier's diary, South Africa 1899-1901",1913,m,high_male,792.8160088353625
uc1.$b106363,"Mitchell, James Leslie,",A Scots quair | $c: [by] Lewis Grassic Gibbon; a trilogy of novels. Foreword [by] Ivor Brown.,1966,m,,792.6439618347284
uc1.b5034661,"St. Mars, F.,",The prowlers,1913,u,high_male,792.3505406451998
mdp.39015058230056,"Mortier, Erwin,",My fellow skin / | $c: Erwin Mortier ; translated from the Dutch by Ina Rilke.,2000,m,high_male,792.0864359760549
uc1.b4948777,"Mais, Roger",Brother man / | $c: Roger Mais ; introduction by Edward Brathwaite ; with drawings by the author,1974,m,,791.97614224623
uc1.b3407022,"Household, Geoffrey,",The Spanish cave.,1960,m,high_male,791.3700870949202
mdp.39015016423157,"Church, Richard,",The crab-apple tree.,1959,m,mixed,791.1476987224033
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,791.0482107927742
mdp.39015016435698,"Higgins, Aidan,","Langrishe, go down.",1966,m,high_female,790.460740449891
mdp.39015057018791,"Elderkin, Susan.",The voices / | $c: Susan Elderkin.,2003,f,,790.1831365622386
mdp.39015073907191,"Kuyper, Sjoerd.",Josie / | $c: Dutch Cooper ; translated by Patricia Crampton.,2000,u,high_female,790.0776836158192
mdp.39015039590446,"Mitchell, James Leslie,",Cloud howe.,1933,m,,789.7192216311886
mdp.39015062883080,"Cleave, Chris.",Incendiary / | $c: Chris Cleave.,2005,m,mixed,789.6993912515951
mdp.39015008720362,"Strachey, Julia.",Cheerful weather for the wedding and An integrated man : | two short novels / | $c: by Julia Strachey.,1978,f,mixed,789.0516411846467
uc1.$b198089,"Donald, Charles H.","Companions feathered, furred and scaled",1920,m,,788.7958789439793
uc1.32106010156203,"Saʻdāwī, Nawāl.",The well of life and the thread : | two short novels / | $c: Nawal el Saadawi ; translated from the Arabic by Sherif Hetata.,1993,u,high_male,787.7865913289145
mdp.39015062115574,"Wharton, William.",A midnight clear / | $c: William Wharton.,1982,m,high_male,787.7843702697029
mdp.39015017962575,"Virtue, Noel,",In the country of salvation / | $c: Noel Virtue.,1990,m,high_male,786.8017134792872
wu.89056085640,"Jensen, Carsten,",Earth in the mouth : | a story / | $c: Carsten Jensen ; translated from the Danish by Anne Born.,1994,m,high_male,786.7971598541546
uc2.ark:/13960/t1dj5bx7t,"O'Kelly, Seumas,",The golden barque and The weaver's grave,1919,u,,786.787040161998
uc2.ark:/13960/t0ns0ns2r,"Smithes, M. F.",Children of the desert,1910,u,high_female,786.7132867132867
uc1.$b301223,"MacColla, Fionn.","The Albannach, | $c: by Fionn Mac Colla ...",1932,u,high_male,785.5094705383466
uc1.b3472683,"Davis, John Gordon.","Hold my hand, I'm dying.",1967,m,,784.021801117046
uc1.b3157742,"Imog, Jo.",The demon flower: | a novel; | $c: translated from the German by Catherine Hanf Noren.,1972,f,,783.9788124208344
mdp.39015051324393,"Bates, H. E. (Herbert Ernest),",The stories of Flying Officer 'X'.,1952,m,high_male,783.7816266262272
mdp.39015082675789,"Swainston, Steph.",The modern world / | $c: Steph Swainston.,2008,f,high_female,782.3155023488407
mdp.39015058014138,"Fleming, Ian,","A James Bond omnibus: | containing Live and let die, Diamonds are forever [and] Dr No.",1973,m,high_male,782.2948608112142
