docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
7406,nyp.33433006838928,A. E.,,1877,,u,,A month in the coasting trade
3327,uc1.b3326092,"A. L. O. E.,",,1874,,f,,The young pilgrim
1327,inu.39000002909047,"A. L. O. E.,",,1878,,f,,The crown of success
5247,uc2.ark:/13960/t4cn73h9t,"A. L. O. E.,",,1889,,f,,Pictures of St. Peter in an English home
5552,mdp.39015011236208,"A. L. O. E.,",,1876,,f,,A wreath of Indian stories
7465,nyp.33433082289871,"A. L. O. E.,",,1861,,f,,"The giant killer, or, The battle which all must fight"
8522,uc2.ark:/13960/t55d8t254,"A. L. O. E.,",,1888,,f,,Pride and his prisoners
5584,uc2.ark:/13960/t1hh6dj28,"A. L. O. E.,",,1864,,f,,The rambles of a rat
11242,inu.30000000704563,"A. L. O. E.,",,1860,,f,,Idols in the heart
11244,inu.39000000258256,"A. L. O. E.,",,1870,,f,,Claudia
11950,uc2.ark:/13960/t6f18vg3x,"A. L. O. E.,",,1890,,f,,Beyond the black waters
12274,mdp.39015063972924,"A. L. O. E.,",,1871,,f,,The golden fleece
12907,nyp.33433075765119,"A. L. O. E.,",,1866,,f,,The triumph over Midian
11240,inu.39000003450728,"A. L. O. E.,",,1893,,f,,The blacksmith of Boniface Lane
7144,nyp.33433074918602,"Abbott, Charles T.",,1899,,m,,The cliff dweller's daughter
3601,uc2.ark:/13960/t8df6n879,"Abbott, Edwin Abbott,",,1878,,m,,Philochristus
1099,uc2.ark:/13960/t6d224v2f,"Ackworth, John.",,1896,,m,,Clog shop chronicles
1599,uc2.ark:/13960/t0bv7pr85,"Ackworth, John.",,1897,,m,,Beckside lights
8887,uc2.ark:/13960/t5q81j02d,"Ackworth, John.",,1898,,m,,The scowcroft critics
11344,njp.32101068162740,"Adams, F. Colburn",,1855,,m,vol.1,"Our world, or, The democrat's rule"
11344,njp.32101068162732,"Adams, F. Colburn",,1855,,m,vol.2,"Our world, or, The democrat's rule"
10916,mdp.39015030849429,"Adams, Francis William Lauderdale,",,1899,,m,,Essays in modernity criticisms and dialogues
4992,nyp.33433074918818,"Adams, Francis William Lauderdale,",,1891,,m,,John Webb's end
1612,mdp.39015064364675,"Adams, William,",,1867,,m,,Sacred allegories
10102,nyp.33433068198245,Aesop.,,1871,,f,,Three hundred Æsop's fables
11840,nyp.33433006640308,"Agnew, Charles,",,1865,,f,,Holmdale rectory
11238,uc2.ark:/13960/t7fr03d2x,"Aguilar, Grace,",,1876,,f,,Home scenes and heart studies
13681,uc1.b3122092,"Aimard, Gustave,",,1885,,m,v.3,Collected novels
13683,uc1.b3122094,"Aimard, Gustave,",,1885,,m,v. 6,Collected novels
13680,uc1.b3750786,"Aimard, Gustave,",,1885,,m,v.2,Collected novels
7100,nyp.33433075812424,"Aimard, Gustave,",,1862,,m,,The pirates of the prairies
12688,njp.32101073045302,"Aimard, Gustave,",,1861,,m,,The gold-seekers
685,nyp.33433075812325,"Aimard, Gustave,",,1868,,m,,The bee hunters;
688,nyp.33433075812374,"Aimard, Gustave,",,1879,,m,,The Border Rifles
13679,uc1.b3122091,"Aimard, Gustave,",,1885,,m,v.1,Collected novels
13682,uc1.b3122093,"Aimard, Gustave,",,1885,,m,v.4,Collected novels
13991,uiuo.ark:/13960/t9w099z3g,"Ainsworth, William Harrison,",,1865,,m,v.3,The Spanish match
13991,uiuo.ark:/13960/t9x06bv3q,"Ainsworth, William Harrison,",,1865,,m,v.2,The Spanish match
13991,uiuo.ark:/13960/t78s50349,"Ainsworth, William Harrison,",,1865,,m,v.1,The Spanish match
14234,uiuo.ark:/13960/t5n87h69q,"Ainsworth, William Harrison,",,1870,,m,v.1,Hilary St. Ives
