htid,author,title,year,authgender,female_category,political_content
wu.89014636112,"Lynch, Conor.",Equal citizenship and the end of sectarian politics.,1987,u,high_male,1796.8056787932564
mdp.39015077120015,"Stewart, John,",The President / | $c: John Stewart.,2008,m,,830.6492625868791
uc1.$b391277,"Clark, William,",Special relationship.,1968,m,high_male,774.8720077487201
uiuo.ark:/13960/t1wd47091,"Disraeli, Isaac,","Despotism: or, The fall of the Jesuits",1811,m,high_male,765.404890252256
mdp.39015060544296,"Srinivasan, Krishnan,",The ugly ambassador / | $c: Krishnan Srinivasan.,2003,u,high_male,657.079387349468
mdp.39015031020616,"Dobrée, Bonamy,","The unacknowledged legislator; | conversation on literature and politics in a wardens' post, 1941,",1942,u,,564.7231389805647
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,547.0967741935484
inu.32000001390089,"Vidal, Gore,","Washington, D.C.",1967,m,mixed,528.6891618721817
uc1.$b787327,"Reed, Douglas,",Galanty show.,1947,m,high_female,514.9536360086098
uc1.$b102383,"King-Hall, Stephen, Sir,","Men of destiny : | or, The moment of no return / | $c: Stephen King- Hall.",1960,m,,500.17156280518384
mdp.39015030703824,"Marshall, Bruce,",Urban the Ninth.,1973,m,,480.52858143958355
uc1.b3548239,"Disraeli, Isaac,","Despotism: or, The fall of the Jesuits",1811,m,high_male,466.05987498629236
uc2.ark:/13960/t1td9pw00,"Delagreve, C. J.",The curious friends,1918,u,,462.69024387631606
mdp.39015059377252,"Duffus, R. L. (Robert Luther),","To-morrow never comes, | $c: by R. L. Duffus.",1931,m,high_male,454.22920186860154
mdp.39015001755993,"Sembène, Ousmane,",The Last of the Empire : | a Senegalese novel / | $c: Sembene Ousmane ; translated from the French by Adrian Adams.,1983,u,high_male,438.515741376136
mdp.39015073316773,"Carlyle, Thomas,",[Works],1885,m,high_male,437.6537950898012
mdp.39015031299079,"Morier, James Justinian,","The adventures of Hajji Baba of Ispahan, | $c: by James Morier.",1925,m,high_male,426.89920772976217
mdp.39015069768946,"Ėrenburg, Ilʹi͡a,",A soviet writer looks at Vienna / | $c: Ilya Ehrenburg ; translated by Ivor Montagu.,1934,u,high_male,426.0199901687695
umn.31951002090654w,"Oppenheim, E. Phillips (Edward Phillips),",The man and his kingdom.,1927,m,high_male,416.010427415413
inu.30000039942168,"Conton, Paul,",The price of liberty / | $c: Paul Conton.,1992,m,mixed,411.15132624498875
njp.32101063606022,"Cobbold, Richard,","Zenon, the martyr;",1847,m,high_male,408.9441587946909
nyp.33433074936968,"Barrie, J. M.",Better dead,1888,m,high_male,406.7431147701656
mdp.39015056943023,"Colquhoun, Keith.",Killing Stalin / | $c: Keith Colquhoun.,2002,m,,402.9254418636148
uc1.32106015511279,"Archer, Jeffrey,",The eleventh commandment / | $c: Jeffrey Archer,1998,m,mixed,401.91326632126004
mdp.39015068635419,"Pitcairn, Frank.",Reporter in Spain / | $c: Frank Pitcairn ; with introd. by Ralph Bates.,1936,m,high_male,400.47556473312056
mdp.39015079170901,"Miller, Karen,",Wild space / | $c: Karen Miller.,2008,f,high_male,381.11769367193693
mdp.39015059246754,"Jarrett-Macauley, Delia,","Moses, Citizen & me / | $c: Delia Jarrett-Macauley.",2005,f,mixed,379.3346136870609
dul1.ark:/13960/t13n2vj19,"Vogel, Julius,",Anno domini 2000,1889,m,high_female,376.89948775933254
mdp.39015032814553,"Moyano, Daniel.",The devil's trill / | $c: Daniel Moyano ; translated by Giovanni Pontiero.,1988,m,high_male,373.92455327597617
uc1.$b472851,"Neumann, Alfred,",Look upon this man : | a novel / | $c: by Alfred Neumann ;  translated ... by Ransom T. Taylor].,1950,m,high_male,373.31796847803906
mdp.39015018988801,,The Walden interviews / | $c: edited by David Cox.,1990,u,high_male,372.80863969228494
mdp.39015047753259,"Kirst, Hans Hellmut,","No one will escape, | a novel;",1959,m,,371.6944895848722
umn.319510020589366,"Moore, William Henry,",Polly Masson,1919,m,mixed,370.094300374428
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,369.5170845550835
uc1.b3327356,"Scargill, William Pitt,",Truckleborough hall;,1827,m,,365.14713704518334
uc1.$b322835,"Blair, Andrew James Fraser,","1957, | $c: by Hamish Blair.",1930,m,high_male,364.3652485582517
mdp.39015030707965,"Mulaisho, Dominic,",The smoke that thunders / | $c: Dominic Mulaisho.,1979,m,,363.30346652057636
mdp.39015041621841,"Karagiōrgas, Geōrgios,",The fall of a dictator / | $c: George Karagiorgas.,1997,u,high_male,361.90129597056267
uc1.b3473215,"Roland, Nicholas.",The Great One.,1967,m,,347.3658993401137
mdp.39015018936255,"King, Francis Henry,",Visiting cards / | $c: Francis King.,1990,m,,333.62072197023656
njp.32101068174885,"Jenkins, Edward,",Lord Bantam,1872,m,,332.75619521696785
njp.32101068551587,"Hugo, Victor,",History of a crime,1877,m,high_male,324.14910858995137
uc1.$b242598,"Diebold, Janet.",Castle in Denmark.,1947,f,high_female,318.6432643817399
inu.30000026313316,"Crosland, Susan.",Dangerous games / | $c: Susan Crosland.,1992,f,mixed,316.5286471725214
uc1.b4358582,"Hindus, Maurice Gerschon,",We shall live again,1939,m,high_male,315.00080084949366
inu.30000092626054,"Biles, Timothy,",Su'n Dan : | a tribute to the Sudanese who survive and to the unknown numbers who do not / | $c: by Timothy Biles.,1993,m,high_male,312.77926720285967
nyp.33433082123674,"Dilke, Charles Wentworth,",The fall of Prince Florestan of Monaco,1874,m,high_male,311.98930322388946
mdp.39015073316781,"Carlyle, Thomas,",[Works],1885,m,high_male,308.6120312492781
uc2.ark:/13960/t2p55g671,"Lytton, Edward Bulwer Lytton,",Rienzi,1835,m,,306.6401006118671
inu.30000041655147,"Tacitus, Cornelius.","The reign of Nero, | $c: translated by G. G. Ramsay with an introduction by Dr. A. S. Osley and illustrations by Eric Fraser.",1952,m,high_male,305.5202688578366
mdp.39015047457992,"Preston, Peter,",51st state / | $c: Peter Preston.,1998,m,,305.3059438966152
uc1.32106018995610,"Delalande, Arnaud",The Dante trap / | $c: Arnaud Delalande ; translated from the French by Frank Wynne,2007,u,high_male,300.45899263196037
mdp.39015018983885,"Lynn, Jonathan.","The complete Yes, Minister : | the diaries of a cabinet minister / | $c: by the Right Hon. James Hacker, MP ; edited by Jonathan Lynn and Antony Jay.",1989,m,high_male,294.025291884331
ien.35558005344532,"Hooper, Henry,","Wash. Boltor, M.D.; or, The life of an orator",1872,u,mixed,293.1645336646224
mdp.39015018982614,"Lynn, Jonathan.",The Complete Yes Prime Minister : | the diaries of the Right Hon. James Hacker / | $c: edited by Jonathan Lynn & Antony Jay.,1989,m,high_male,290.84679715553716
uc1.$b137820,"Lauring, Palle.",The Roman / | $c: Palle Lauring ; translated from the Danish by Reginald Spink.,1956,u,high_female,290.0477370233851
mdp.39015005538304,"Mackenzie, Compton, Sir,",Mezzotint : | a novel / | $c: by Compton Mackenzie.,1961,m,,289.2375416219877
nyp.33433074879234,"Lymburner, A. L.",The fall of the Nan Soung;,1846,u,,287.6641062521039
mdp.39015016432844,"Ahmed, Zahir,",Dusk and dawn in village India; | twenty fateful years.,1965,u,high_male,284.24770946020533
uc1.b3324303,"Croly, George,","Marston, or, The soldier and statesman",1846,m,,284.0845291832289
mdp.39015063749637,"Crawford, F. Marion",An American politician,1884,m,mixed,279.92754816400463
mdp.39015066973192,"Stancu, Zaharia.",A gamble with death: | $c: a novel transisted from the Romanian by Richard A. Hillard.,1969,u,,279.7830079876981
mdp.39015030703774,"Marshall, Bruce,",Peter the Second / | $c: Bruce Marshall.,1976,m,high_male,278.1472971338735
uc2.ark:/13960/t7kp7zz8j,"Wren, Percival Christopher,",The young stagers;,1917,m,,274.43025891898344
uc1.b3739050,"Noone, Peter.",John Dum : | a frolic / | $c: Peter Noone.,1979,m,high_male,274.1046417060755
mdp.39015005349884,"Mphahlele, Es'kia,",Chirundu / | $c: Es'kia Mphahlele.,1979,u,mixed,272.86791487495583
uc1.b3327358,"Scargill, William Pitt,",Truckleborough hall;,1827,m,,271.4871085779809
njp.32101064908955,"Stradling, Matthew,","The misadventures of Mr. Catlyne, Q.C",1873,m,,269.83007997666334
uc1.b2800312,"Asturias, Miguel Angel.",The president / | $c: by Miguel Angel Asturias ; translated from the Spanish by Frances Partridge.,1963,m,,269.036711047696
mdp.39015034934896,"Métellus, Jean,",The Vortex family / | $c: Jean Métellus ; translated from the French with an introduction by Michael Richardson.,1995,f,,268.9917447361098
uc1.32106013457244,"Métellus, Jean,","The Vortex family / | $c: translated from the French, with an introduction by Michael Richardson ; Jean Métellus",1995,f,,268.86704987947337
uc1.$b299687,"Brennan, Frederick Hazlitt.","God got one vote, | $c: by Frederick Hazlitt Brennan.",1928,m,mixed,265.25404667540505
uc1.$b39839,"(Petr), Nikiforov, P.","The strike of the dredging fleet, 1905 / | $c: by Peter Nikiforov.",1931,u,high_male,264.94808449695665
uc1.32106018190436,"Dobbs, Michael,",Churchill's hour / | $c: Michael Dobbs,2004,m,,264.3310518552891
uc2.ark:/13960/t54f1xw7g,"Blackburn, Douglas,",Prinsloo of Prinsloosdorp,1899,m,high_male,263.79171923385707
uc1.$b119539,"Giles, Norman","The ridge of white waters, | $c: by Norman Giles.",1934,m,,263.36904127544113
inu.32000006722955,"Buchanan, Meriel,","Petrograd, the city of trouble, 1914-1918",1918,u,high_male,263.03127506014437
uc1.b3139348,"Ustinov, Peter.",The frontiers of the sea: short stories.,1966,m,,262.608736429928
mdp.39015000631559,"Laumer, Keith,","Envoy to new worlds, | $c: by Keith Laumer.",1972,m,high_male,261.40819457862136
uc2.ark:/13960/t03x85w56,"Gretton, R. H.",Ingram,1911,u,,260.507914260904
njp.32101064912072,"Marks, Mary A. M.",Five-chimney farm,1877,f,high_female,260.1415800841913
njp.32101064908922,"Stradling, Matthew,","The misadventures of Mr. Catlyne, Q.C",1873,m,,260.06756394444744
uc1.32106019568176,"Horne, Anthony",In the shadow of Caesar / | $c: Anthony Horne,2007,m,high_male,258.99989442939085
uc1.b3378150,"Chiang, Yee,",The men of the Burma road / | $c: written and illustrated by Chiang Yee.,1943,m,high_male,256.36330342428124
mdp.39015050154411,"Leitao, Lino.",The gift of the holy cross / | $c: Lino Leitão.,1999,m,,256.3361026396046
uc2.ark:/13960/t55d8qw45,"Tagore, Rabindranath,",The king of the dark chamber,1914,m,high_female,255.6658144472852
mdp.39015034934185,"Mo, Timothy.",Brownout on Breadfruit Boulevard / | $c: Timothy Mo.,1995,m,,255.63541326363932
inu.30000041710629,"Weindel, Henri de.",Behind the scenes at the court of Vienna;,1914,m,high_female,255.03577585189032
mdp.39015063938883,"MacArthur, Henry,",Realism and romance,1897,m,high_male,253.13046990709574
mdp.39015018932569,"Vansittart, Peter.",The wall : | a novel / | $c: Peter Vansittart.,1990,m,,252.97861922637506
uc1.$b182896,"Bernstein, Hillel.","Choose a bright morning, | $c: by Hillel Bernstein ...",1936,u,high_male,249.0328820116054
uc2.ark:/13960/t7kp7zc3h,"Weindel, Henri de.",The real Francis-Joseph,1909,m,high_female,248.4645125335253
pst.000065163054,"Bailey, Hilary,",Fifty-first state / | $c: Hilary Bailey.,2008,f,,247.84732604715495
nyp.33433075936462,"Jenkins, Edward,",Ginx's baby,1870,m,mixed,245.832995650647
mdp.39015061210442,"Cameron, Allan,",The Berlusconi bonus / | $c: Allan Cameron.,2005,m,mixed,245.29844644317254
mdp.39015063974300,"White, Richard Grant,",Mr. Washington Adams in England,1883,m,,245.03991779305983
nyp.33433075845457,"Verri, Alessandro.",The Roman nights at the tomb of the Scipios,1825,m,high_male,243.51854601609597
uc1.$b111157,,To the hustings : | election scenes from English fiction / | $c: H.G. Nicholas.,1956,u,high_male,243.3711846194058
uc1.32106019294609,"Wang, Lixiong,",China tidal wave : | a novel / | $c: Wang Lixiong ; translated from the Chinese by Anton Platero,2008,u,high_male,243.0966776787384
uiuo.ark:/13960/t0zp4jn9c,"Madden, Daniel Owen,","Wynville, or, Clubs and coteries",1852,m,,242.14528717230337
uc2.ark:/13960/t0zp44k24,"Castellane, Antione Marie Eugène Philippe Boniface,",Men and things of my time,1911,f,,241.6169426002185
uc1.32106011828453,"Tuma, Hama.",The case of the socialist witchdoctor and other stories / | $c: Hama Tuma.,1993,u,high_male,241.47270807510444
mdp.39076006264886,"Hastings, George Gordon.",The first American king,1904,m,,240.82880137316204
njp.32101076479003,"Balzac, Honoré de,",Comedy of human life,1887,f,high_male,237.37933217281216
uc2.ark:/13960/t1pg1p49w,"James, G. P. R.",Dark scenes of history,1849,m,high_male,237.01957703136253
mdp.39015014858859,"Weintraub, Sidney,",The Siamese coup affair.,1963,m,high_male,236.95602642971065
njp.32101013041064,"Balzac, Honoré de,",Comedy of human life,1887,f,mixed,236.90034599918954
mdp.39015022055332,"Deighton, Len,",MAMista / | $c: Len Deighton.,1991,m,mixed,236.50785285127017
uc1.b3339460,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,236.11553059125728
njp.32101068551595,"Hugo, Victor,",History of a crime,1877,m,high_male,235.8384618840124
mdp.39015022014867,"Head, Bessie,",Tales of tenderness and power / | $c: Bessie Head.,1990,f,mixed,235.35704733886067
mdp.39015081407978,"Quelch, H.",Harry Quelch,1914,u,mixed,232.9485115275256
nyp.33433074937206,"Disraeli, Benjamin,",The voyage of Captain Popanilla,1828,m,high_male,232.8422896926943
nyp.33433075748859,"Orme, Joseph.",The adventures of Gulliver Redivivus,1881,m,high_male,231.77570093457945
uc1.b4101598,"Belloc, Hilaire,",The Great Inquiry (only authorised version),1903,m,high_male,231.61089369858638
uc1.b2801501,"Heym, Stefan,",The Lenz papers / | $c: Stefan Heym.,1964,m,high_male,231.43480270648422
mdp.39015019151714,"Steffens, Lincoln,",The autobiography of Lincoln Steffens ...,1931,m,high_male,231.05814799520186
uc1.b3127428,"Disraeli, Benjamin,",Novels and tales by the Earl of Beaconsfield,1881,m,,230.30502825013966
mdp.39015002753658,"Sahgal, Nayantara,","This time of morning; | a novel, | $c: by Nayantara Sahgal.",1965,u,mixed,229.7843337714814
mdp.39015026305204,"Griffith, George.",Briton or Boer?,1897,m,high_male,229.24817221051887
mdp.39015001669053,"Marsh, Ngaio,",Black as he's painted.,1974,f,,229.11978957967307
mdp.39015066649768,"(Solomon Alexander Amu), Djoleto, S. A. Amu",Money galore / | $c: Amu Djoleto.,1975,u,,228.74749078007562
uc2.ark:/13960/t6h12x84w,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,228.10546734679215
uc1.b3401748,"Disraeli, Benjamin,",Endymion,1880,m,,228.01767136953114
mdp.39015077682931,"Esler, Gavin.",A scandalous man / | $c: Gavin Esler.,2008,m,,227.92100558201744
coo.31924022518090,"Pettingill, Eleanor Rice.","Penguin summer. | $c: Photographs by Olin Sewall Pettingill, Jr.",1962,f,,227.62782177684392
mdp.39015005753077,"Amis, Kingsley.","The Egyptologists; | a novel, | $c: by Kingsley Amis and Robert Conquest.",1965,m,,226.71133218285792
uc1.32106015650531,"Faqīh, Aḥmad Ibrāhīm",Valley of ashes / | $c: Ahmed Fagih ; translated from the Arabic,2000,u,,225.1538551343418
inu.32000001854480,"Mackenzie, Compton, Sir,",Rockets galore.,1957,m,,224.69174064153367
nyp.33433074873179,"Langton, Lionel.",The fall of Lord Paddockslea,1901,u,mixed,224.3491161730383
uc1.32106017509099,"May, Sarah",The internationals / | $c: Sarah May,2003,f,,224.34583773755853
mdp.39015066607188,"Preti, Luigi,","Through the Fascist fire; | $c: translated from the Italian Giovinezza, giovinezza by Isabel Quigly.",1968,m,,224.271118863693
hvd.hwxjuu,"Haliburton, Thomas Chandler,",The clockmaker;,1838,m,high_male,224.24545734524176
mdp.39015046898444,"Salkey, Andrew.",In the border country and other stories / | $c: by Andrew Salkey.,1998,m,mixed,223.817168760034
mdp.39015014681624,"Johnson, Uwe,",An absence; | $c: translated from the German by Richard and Clara Winston.,1969,u,high_male,223.71364653243847
mdp.39015005857837,"Chin, Kee Onn.",The grand illusion.,1961,m,high_male,223.23909741005596
nyp.33433074852835,"Birmingham, George A.,",The seething pot,1905,m,high_male,223.1473771856786
mdp.39015063553161,"Gresley, W.",The siege of Lichfield,1840,u,high_male,222.63870894705727
mdp.39015002320029,"Greene, Graham,",The collected edition.,1970,m,high_male,221.68198880412814
nyp.33433076093446,"Disraeli, Benjamin,",Collected edition of the novels and tales,1871,m,,221.26960768631966
uc1.b2806719,"Wahlöö, Per,",The assignment | $c: [by] Peter Wahlöö.  Translated from the Swedish by Joan Tate.,1965,u,high_male,220.93993489323196
mdp.39015030706744,"Mayo, Katherine,","Slaves of the gods, | $c: by Katherine Mayo ...",1929,f,,220.74638692879515
mdp.39015016424528,"Hickling, R. H.",Festival of hungry ghosts.,1957,u,mixed,220.61823055853876
uc1.b3127426,"Disraeli, Benjamin,",Novels and tales by the Earl of Beaconsfield,1881,m,mixed,219.89317960239075
uc2.ark:/13960/t3fx78s5n,"Russell, Percy.",A journey to Lake Taupo and Australian and New Zealand tales and sketches,1889,m,mixed,219.68054197315647
uc2.ark:/13960/t0xp7069r,"Farley, Anthony.",Letters to my nephew,1917,m,high_male,219.6773996704839
njp.32101063580300,"Hume, Fergus,",The harlequin opal,1893,m,high_male,218.75
mdp.39015078800672,"Haynes, Fredwyn.",The new revolution : | a political thriller / | $c: Fredwyn Haynes.,2008,u,high_male,218.33496976900418
uc1.b3435517,"Evans, Stuart,",Centres of ritual / | $c: Stuart Evans.,1978,m,,217.85104593981706
mdp.39015056224192,"Thapa, Manjushree.",The tutor of history / | $c: Manjushree Thapa.,2001,u,,217.66982168069865
nyp.33433081895868,"Legge, James,",The Chinese classics,1867,m,high_male,216.55979300258747
njp.32101075688935,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,216.1756846228093
mdp.39015059975717,"Wilkins, Christopher,",The poison arrow frog / | $c: Christopher Wilkins.,2002,m,,215.41775657793508
mdp.39015022653938,"Dukes, Paul,",Red dusk and the morrow;,1922,m,,214.8709373043974
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,214.6983813043252
uc1.$b803188,"Butler, William,",Man in a net,1971,m,high_male,212.62396598016545
mdp.39015074280523,"King-Aribisala, Karen.",The hangman's game / | $c: Karen King-Aribisala.,2007,f,,212.6063031515758
uc1.b3868726,"Dillon, Eilís,",Death in the quadrangle.,1956,u,,212.5622906050283
nyp.33433075757942,"Welles, Charles Stuart.",The Ellwoods,1901,m,mixed,211.5520839316141
mdp.39015020452689,"Blair, Dorian.",Russian hazard : | the adventures of a British secret service agent in Russia.,1937,u,,211.09400189406261
uc2.ark:/13960/t72v2fs3v,"Mühlbach, L.",Queen Hortense,1870,f,high_female,211.0685794011376
mdp.39015013008167,"Garibaldi, Giuseppe,",The rule of the monk;,1870,m,,210.8946012925798
uiuo.ark:/13960/t18k7zd3g,"Wilks, John,","The Tory baronet, or Tories, Whigs, and Radicals",1841,m,mixed,210.85794376294606
mdp.39015000683204,"Lambrick, H. T.",The terrorist; | $c: translated and edited from the Sindhi [MSS.] by H. T. Lambrick.,1972,u,high_male,210.68922190554994
inu.30000035081136,"Household, Geoffrey,",The high place.,1972,m,,210.64083423029294
inu.39000005519793,"King, Rosa E. (Rosa Eleanor),",Tempest over Mexico : | a personal chronicle / | $c: by Rosa E. King ; illustrated by Carroll Bill.,1936,f,mixed,210.60669507599084
nyp.33433074879218,"Lymburner, A. L.",The fall of the Nan Soung;,1846,u,,208.7066990313287
wu.89099909343,"Borden, Mary.",For the record.,1950,f,mixed,208.6905318577787
inu.30000056308426,"Abaidoo, Kodwo.",Osimbe / | $c: by Kodwo Abaidoo.,1993,u,high_male,208.40697537410156
uc1.b4392653,"Bhāduṛī, Satinātha,",The vigil / | $f: translated from the Bengali by Lila Ray.,1965,u,,208.21710369012513
inu.30000041110549,"Traven, B.",Government / | $c: B. Traven.,1994,u,high_male,207.46162542686977
mdp.39015016440912,"Haliburton, Thomas Chandler,","The attaché, or, Sam Slick in England",1844,m,high_male,207.40471208951152
uc1.$b245001,"McKenna, Stephen,","To-morrow and to-morrow; | a novel, | $c: by Stephen McKenna.",1924,m,,207.18232044198896
mdp.39015061196617,"MacNeil, Kevin.",The Stornoway way / | $c: Kevin MacNeil.,2005,m,,206.88082361373557
uc1.$b450426,"Fogazzaro, Antonio,",Daniele Cortis,1890,m,high_female,206.64003306240528
uc1.$b794585,"Fienburgh, Wilfred.",No love for Johnnie.,1959,m,,206.27417275461968
mdp.39015073763651,"Knight, Ellis Cornelia,",Marcus Flaminius;,1808,f,,204.88214898609604
uiuo.ark:/13960/t0tq6f34d,"Madden, Daniel Owen,","Wynville, or, Clubs and coteries",1852,m,,204.63703297398789
mdp.39015053230002,"Upward, Edward.",The rotten elements: | a novel of fact.,1969,m,,203.3615916107218
uc1.b3136619,"Wall, Mervyn,",Leaves for the burning : | a novel / | $c: by Mervyn Wall.,1952,m,high_male,203.30857962206005
inu.32000002425082,"Bowen, Marjorie,",The governor of England,1913,f,,202.89087999193478
nyp.33433074859459,"Greer, Tom.",A modern Dædalus,1887,m,high_male,202.67686424474186
uc1.32106009455525,"Davis, Lindsay.",The silver pigs.,1989,u,high_female,202.5535860046557
dul1.ark:/13960/t01z4w03g,"Ford, Douglas Morey.",The raid of Dover,1910,m,mixed,202.2748136737774
mdp.39015022025558,"Gordimer, Nadine.",Crimes of conscience / | $c: Nadine Gordimer.,1991,f,,200.22618142716772
nyp.33433075763965,"Ward, James.",Adolphe Renouard: or peasant life and political clubs in France,1852,m,mixed,200.16263213861262
mdp.39015012309145,"Moorcock, Michael,",The winds of limbo / | $c: Michael Moorcock.,1974,m,,198.57257971681824
mdp.39015078789040,"Cobley, Michael.",The seeds of Earth / | $c: Michael Cobley.,2009,m,high_male,197.75690343797044
inu.32000010020685,"Wyatt, Horace,",Malice in Kulturland,1914,m,high_female,197.34603606668935
uc1.b3322745,"Herbert, Henry William,",Oliver Cromwell,1840,m,high_male,197.04433497536945
mdp.39015065646914,,The ninth wave.,1955,u,mixed,196.45801278293183
mdp.39015084096109,"Oliver, Christian.",The viper of Kerman / | $c: by Christian Oliver.,2009,m,high_male,195.7306918701473
mdp.39015010916305,"Mackenzie, Compton, Sir,","The west wind of love, | being volume three of ""The four winds of love.""",1949,m,,195.58139672297756
nyp.33433057525093,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,195.22398466097263
njp.32101076478997,"Balzac, Honoré de,",Comedy of human life,1887,f,high_male,194.83904600547373
uc1.b4402151,,The ninth wave.,1955,u,mixed,194.63373794570768
nnc1.cu01579681,"Sharp, Jonathan,","Jonathan Sharp; or, The adventures of a Kentuckian",1845,m,high_male,194.52225334578276
inu.39000001323786,"Dark, Eleanor,",Storm of time / | $c: by Eleanor Dark.,1949,f,,194.17851699615238
mdp.39015080887105,"LeBor, Adam.",The Budapest protocol / | $c: by Adam LeBor.,2009,m,,193.44382286819678
inu.30000111282186,"Oakes, Andy,",Citizen one / | $c: Andy Oakes.,2007,m,high_female,193.38836026289607
mdp.39015084102907,"Dobbs, Michael,",The edge of madness / | $c: Michael Dobbs.,2009,m,high_male,192.88197822463982
uc1.$b243195,,The lilies and the bees : | a romance / | $c: by Edward Grierson.,1953,u,mixed,192.82885136543672
nyp.33433075731376,"Erskine, Thomas Erskine,",The second part of Armata,1817,m,high_male,192.80837058505674
uc1.$b783880,"Birmingham, George A.,",Up,1919,m,,191.76029962546818
mdp.39015011361808,"Lewis, Wyndham,",Rotting hill.,1951,m,high_male,191.68531512174246
mdp.39015014862547,"Young, Francis Brett,",The city of gold.,1950,m,,191.29696223540824
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,190.78000875711516
uc2.ark:/13960/t04x58s0v,"Collis, E. T.",Murder by warrant,1898,f,high_male,190.29212814985505
mdp.39015052255737,"Gurung, D. B.",Echoes of the Himalayas / | $c: D.B. Gurung.,2000,u,,190.06119043204154
bc.ark:/13960/t5k93pm4z,"Nankivell, Joice M.",Ireland in travail,1922,u,high_female,189.19558093178824
uc1.b3295239,"Thompson, Edward John,",Burmese silver.,1944,m,,188.6394655954904
mdp.39015047612828,"Ward, R. Plumer",De Vere;,1827,m,mixed,187.40539631436053
mdp.39015047612836,"Ward, R. Plumer",De Vere;,1827,m,mixed,187.3857404021938
uc1.b3347084,"Kenyon, F. W. (Frank Wilson),","I, Eugenia.",1962,m,mixed,187.22189572663925
nyp.33433074875281,"Macdonald, W. A.",The oldest story,1908,u,high_male,187.21774424055337
mdp.39015027233769,"Lartéguy, Jean,",Yellow fever / | $c: Jean Lartéguy ; translated from the French by Xan Fielding.,1965,f,high_male,187.07424971284956
inu.30000011762873,"Green, Peter,",The sword of pleasure.,1957,m,high_male,186.64963898030356
uc1.$b703707,"Boulle, Pierre,",The Chinese executioner. | $c: Translated from the French by Xan Fielding.,1962,m,high_male,186.54761156175982
mdp.39015014863511,"Ship, Reuben.","The investigator, | a narrative in dialogue.",1956,m,high_male,186.1439125123611
mdp.39015027302879,"Bandele-Thomas, Biyi,",The sympathetic undertaker and other dreams / | $c: B̓iyi Bandele-Thomas.,1991,u,,185.61484918793502
uc2.ark:/13960/t19k49671,"O'Donovan, Gerald,",Conquest,1920,m,,185.3510858484446
uc1.b3401746,"Disraeli, Benjamin,",Endymion,1880,m,,184.98465980869878
mdp.39015002168923,"Robinson, Randall,",The emancipation of Wakefield Clay : | a novel / | $c: by Randall Robinson.,1978,m,high_male,184.92525009469065
uc1.b3327536,"Normanby, Constantine Henry Phipps,","Historiettes; or, Tales of continental life",1827,m,mixed,184.92384057618375
mdp.39015037865220,"Tully, Mark.",The heart of India / | $c: Mark Tully.,1995,m,,184.82010842779695
uc1.$b119910,"Heym, Stefan,",Uncertain friend: | a biographical novel.,1969,m,mixed,183.81337814277487
mdp.39015008463690,"Pinget, Robert.",Baga: | a novel; | $c: translated from the French by John Stevenson.,1967,m,high_female,183.73092309971847
mdp.39015073484456,"Henty, G. A.",Friends though divided,1883,m,high_male,183.5264262948809
nyp.33433074859814,"Griffith, George Chetwynd.",The world masters,1903,m,,182.85489579237122
inu.39000004510009,"Feuchtwanger, Lion,",Jew Süss : | a historical romance / | $c: by Lion Feuchtwanger ; translated from the German by Willa and Edwin Muir.,1928,m,,182.27869564756625
mdp.49015001203299,"Feuchtwanger, Lion,",Jew Süss; | a historical romance. | $c: [Translated from the German by Willa and Edwin Muir],1926,m,,182.16190168552714
uc1.b3327072,"Massie, W.",Sydenham;,1830,u,,182.04295670366395
uc1.32106011010102,"Śivaśaṅkarapiḷḷa, Takal̲i,",Scavenger's son / | $c: Thakazhi Sivasankara Pillai ; translated from the Malayalam by R. E. Asher.,1993,u,high_male,180.92964261732448
uc1.b3586723,"Bernhard, Thomas.",Old masters : | a comedy / | $c: Thomas Bernhard ; translated from the German by Ewald Osers.,1989,m,high_male,180.63787750493933
uc1.$b186788,"Neumann, Alfred,","The friends of the people, | $c: by Alfred Neumann. Translated by Countess Nora Wydenbruck.",1940,m,mixed,180.30087078269716
mdp.39015003929539,"Ghose, Zulfikar,",The incredible Brazilian.,1972,u,mixed,180.1082101746614
inu.32000007009816,"Francis, Lucien.",Candide to-day : | a tale of our times (with apologies to Voltaire).,1951,m,high_male,179.9775028121485
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,179.8450879810345
uc1.b3324482,"Leatham, Edward A.",Charmione,1858,m,high_male,179.7473732372502
mdp.39015002204744,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,179.48960174901146
mdp.39015022050424,"Hood, Stuart,",A den of foxes / | $c: Stuart Hood.,1991,m,mixed,179.16360641873095
