docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
uc1.$b111876,uc1.$b111876,"'Edith', pseud.",pseud,1937,1897.0,u,,"Somersaults and strange company, | $c: by 'Edith'."
mdp.39015028106451,mdp.39015028106451,"(Alan Alexander), Milne, A. A.",Milne A. A,1928,1882.0,m,,Once a week. | $c: by A. A. Milne ...
uc1.b4089288,uc1.b4089288,"(Alan Alexander), Milne, A. A.",Milne A. A,1929,1882.0,m,,"Those were the days: | The day's play, The holiday round, Once a week, The sunny side."
mdp.39015064002572,mdp.39015064002572,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1929,1890.0,m,,"Topsy, M. P.,"
mdp.39015008792726,mdp.39015008792726,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1948,1890.0,m,,"Mr. Gay's London, | with extracts from the Proceedings at the Sessions of the Peace, and Oyer and Terminer for the city of London and county of Middlesex in the years 1732 and 1733."
mdp.39015011705624,mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
uc1.$b605193,uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015035775363,mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015014331220,mdp.39015014331220,"(Aleksandr), Tarasov-Rodionov, A.",Tarasov-Rodionov A,1933,1893.0,u,,"Chocolate, | a novel | $c: by Alexander Tarasov-Rodionov; translated from the Russian by Charles Malamuth."
mdp.39015028026352,mdp.39015028026352,"(Alekseĭ Silych), Novikov-Priboĭ, A. S.",Novikov-Priboĭ A. S,1946,1877.0,u,,The captain.
mdp.39015027657256,mdp.39015027657256,"(Alfred Edward), Chamot, A. E.",Chamot A. E,1928,1888.0,u,,Selected Russian short stories / | $c: chosen and translated by A.E.Chamot.
mdp.39015063006624,mdp.39015063006624,"(Audrey Lillian), Barker, A. L.",Barker A. L,1950,1910.0,u,,Apology for a hero.
mdp.39015063025392,mdp.39015063025392,"(Charles Edward), Montague, C. E.",Montague C. E,1926,1867.0,u,,"Rough justice; | a novel,"
mdp.39015010466368,mdp.39015010466368,"(Charles Percy), Snow, C. P.",Snow C. P,1949,1905.0,f,,"Time of hope, | a novel."
mdp.39015062980498,mdp.39015062980498,"(Clive Staples), Lewis, C. S.",Lewis C. S,1942,1898.0,m,,Broadcast talks : | reprinted with some alterations from two series of Broadcast Talks (Right and Wrong : a clue to the Meaning of the Universe and what Christians believe) given in 1941 and 1942.
mdp.39015022221298,mdp.39015022221298,"(Clive Staples), Lewis, C. S.",Lewis C. S,1944,1898.0,m,,"The pilgrim's regress, | an allegorical apology for Christianity, reason and romanticism, | $c: by C. S. Lewis ..."
mdp.39015020080571,mdp.39015020080571,"(Colin Metcalfe), Enriquez, C. M.",Enriquez C. M,1939,1899.0,u,,Khyberie in Burma : | the adventures of a mountain pony / | $c: by C. M. Enriquez ; with twenty-two illustrations by K. F. Barker.
mdp.39015008402094,mdp.39015008402094,"(Colwyn Edward), Vulliamy, C. E.",Vulliamy C. E,1945,1886.0,u,,Edwin & Eleanor : | family documents: 1854-56.
inu.39000004569351,inu.39000004569351,"(David Herbert), Lawrence, D. H.",Lawrence D. H,1930,1885.0,m,,"Love among the haystacks | & other pieces | $c: by D. H. Lawrence, with a reminiscence by David Garnett."
inu.39000005792002,inu.39000005792002,"(Donald Alexander), Mackenzie, Donald A.",Mackenzie Donald A,1931,1873.0,m,,Tales from the moors and the mountains / | $c: by Donald A. Mackenzie.
mdp.39015021317550,mdp.39015021317550,"(Edith Martha), Almedingen, E. M.",Almedingen E. M,1942,1898.0,u,,Tomorrow will come
