htid,author,title,year,authgender,female_category,park
uc1.$b120393,"Forster, Margaret,",The park.,1968,f,high_female,171.5889133375053
mdp.39015062628295,"Haig, Matt,",The last family in England / | $c: Matt Haig.,2005,m,,148.97536788955352
uc1.32106015045849,"Daoud, Hassan",The house of Mathilde / | $c: Hassan Daoud ; translated from the Arabic by Peter Theroux,1999,m,high_female,90.71666162685213
mdp.39015082746192,"Simms, Chris,",Savage moon / | $c: Chris Simms.,2007,m,high_male,84.76111131234832
uc1.b3562480,"Ford, Ford Madox,",Christina's fairy book / | $c: by Ford Madox Ford ; illustrated by Jennetta Vise.,1949,m,mixed,81.9480215406228
uc1.b3550026,"Sherwood,",The heron's plume,1840,f,,80.66684592632429
uiuo.ark:/13960/t5j96nw7d,Lady.,Julia de Vienne,1811,m,high_female,76.23888182973316
mdp.39015040572268,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Guido Waldman.,1997,m,high_male,75.1201923076923
mdp.39015013278679,"Anthony, Michael,",The games were coming / | $c: Michael Anthony ; introductin by Kenneth Ramchand ; study questions by Jean D'Costa.,1977,m,mixed,73.99055739553238
wu.89099048308,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Guido Waldman.,1998,m,high_male,73.88798581350673
uc1.b4392665,"Verma, Nirmal,",The world elsewhere : | and other stories / | $c: by Nirmal Verma.,1988,u,,72.90587467863858
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,72.89538553026597
inu.30000092858632,"Wigley, Anna.",Footprints / | $c: Anna Wigley.,2004,f,,71.80297264306742
uc1.32106018993359,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Ann Goldstein,2006,m,high_male,71.39578764852874
mdp.39015049638961,"Ballard, J. G.,",Super-Cannes / | $c: J.G. Ballard.,2000,m,mixed,70.60302039721259
mdp.39015080896494,"Nicholson, Geoff,",Gravity's Volkswagen / | $c: Geoff Nicholson.,2009,m,high_male,67.0690811535882
uiuo.ark:/13960/t49p3jr5m,Lady.,Julia de Vienne,1811,m,high_female,66.96353835336659
mdp.39015024076401,"Carter, Peter.",Under Goliath / | $c: Peter Carter ; ill. by Ian Ribbons.,1977,m,high_male,65.47300908605024
inu.30000110612037,"Gramich, Johannes,",The bridge over the river / | $c: Johannes Gramich.,2008,m,high_female,63.99122406070025
uc1.32106002184684,"Rechy, John",City of night / | $c: John Rechy,1964,m,,63.595008651212886
mdp.39015015527248,"Ashford, Kent.",The Singalong tribe / | $c: Kent Ashford.,1986,m,,62.75028808086801
mdp.39015000607815,"Raworth, Tom.",A serial biography.,1969,m,high_male,61.9338855771464
mdp.39015028411851,"Salkey, Andrew.",Riot / | $c: Andrew Salkey ; illustrated by William Papas.,1967,m,mixed,59.401663246570905
mdp.39015065250717,"James, G. P. R.",Charles Tyrrell;,1839,m,,58.6928268980841
mdp.39015031886198,"Alverdes, Paul,","The whistlers' room, | $c: by Paul Alverdes.",1929,m,high_male,57.82017924255565
mdp.39015053541481,"Jullian, Philippe.",Chateau-Bonheur / | $c: Philippe Jullian ; translated from the French by Edward Hyams.,1962,m,,57.80005897965202
mdp.39015030051570,"James, G. P. R.",The gipsy;,1835,m,,57.30316958156748
uc1.b3272210,"Dubkin, Leonard,",The murmur of wings | $c: [by] Leonard Dubkin. Illustrations by Susanne Suba.,1944,m,,56.75264998260806
uiuo.ark:/13960/t4sj24q1v,,True to the life,1868,u,,54.417730285940436
mdp.39015064913356,"Tennant, Emma.",Pemberley revisited / | $c: Emma Tennant.,2005,f,high_female,53.90667114586833
njp.32101076479003,"Balzac, Honoré de,",Comedy of human life,1887,f,high_male,53.12775529581986
mdp.39015053499847,"Ballard, J. G.,",The atrocity exhibition / | $c: J. G. Ballard.,1969,m,,52.827470284547964
inu.30000092837644,"Leith, Prue.",A lovesome thing / | $c: Prue Leith.,2004,u,,51.847343387209484
uiuo.ark:/13960/t0dv1sk2m,"Ainsworth, William Harrison,",Hilary St. Ives,1870,m,,51.62089613875697
uc1.32106018777273,"Mason, Simon,",Lives of the dog-stranglers / | $c: Simon Mason,1998,m,,51.003727195448896
uiuo.ark:/13960/t02z1gm85,"Ainsworth, William Harrison,",Hilary St. Ives,1870,m,,50.974635021613246
mdp.39015013157121,"Dressler, Friedrich August.",Moltke in his home,1907,m,high_male,50.51847912789152
wu.89006405088,"Orczy, Emmuska Orczy,",The nest of the sparrowhawk,1909,f,,50.05779399852557
uc1.$b190276,"Bosco, Henri,",The dark bough. | $c: Translated from the French by Mervyn Savill.,1955,m,,49.405699556064725
uc1.32106014861121,"Dunn, Suzannah,",Commencing our descent / | $c: Suzannah Dunn,1999,f,,49.27181936192994
inu.30000055971174,"Scott-Heron, Gil,",The vulture / | $c: Gil Scott-Heron.,1996,m,,49.24415941365094
wu.89018081877,"Gibson, Ronald.","Nine days, 17th to 25th September, 1944. | $c: Illustrated by Gordon C. Power.",1956,m,high_male,49.16201117318436
mdp.39015059415706,"James, G. P. R.",The convict;,1847,m,,48.84120306911818
uc1.$b259846,"Codet, Louis,",The fortunes of Bécot. | $c: Translated from the French by Anthony Bower. With an introd. by Thérèse Mayer.,1954,m,mixed,47.91375524056698
uiuo.ark:/13960/t4fn1v66s,"James, G. P. R.",The fate,1851,m,mixed,47.87634224745229
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,46.403712296983755
inu.32000002543405,"Thomas, Dylan,",Selected writings [of] Dylan Thomas; | $c: edited by J. P. Harries.,1970,m,mixed,46.06172270842929
mdp.39015034275845,"McLean, Duncan,",Blackden / | $c: Duncan McLean.,1994,m,mixed,46.00186307545456
uiuo.ark:/13960/t77s8c83f,"Wilkins, W. H.",The holy estate,1895,m,high_female,45.756538609367276
mdp.39015064708152,"Haig, Matt,",The dead fathers club / | $c: Matt Haig.,2006,m,mixed,45.33502584096473
uc1.b2840598,"Simenon, Georges,",Maigret takes the waters / | $c: Georges Simenon ; translated from the French by Eileen Ellenbogen.,1969,m,high_female,45.328544779372024
uiuo.ark:/13960/t7wm1w549,"Pickering, Percival,",A life awry,1893,f,high_female,45.15152319991501
uc1.$b800681,"Gratus, Jack.",A man in his position.,1968,m,,45.02689764675214
uiuo.ark:/13960/t82j72z1n,"Tabor, Eliza.",Hope Meredith,1874,f,high_female,44.960418774186294
mdp.39015050246019,"Broady, Bill.",Swimmer / | $c: Bill Broady.,2000,m,mixed,44.74539868150225
mdp.39015053531292,"De Bernières, Louis.",Red dog / | $c: Louis De Bernières.,2001,m,,44.24079633433402
mdp.39015030700333,"Kitchin, C. H. B. (Clifford Henry Benn),","A short walk in Williams Park, | $c: by C. H. B. Kitchin; with a foreword by L. P. Hartley.",1971,m,,43.62665845458978
uc1.32106017009819,"Berti, Eduardo,",Agua / | $c: Eduardo Berti ; translated from the Spanish by Alexander Cameron and Paul Buck ; with an afterword by Alberto Manguel,2003,m,,43.6067638935995
mdp.39015073248778,"Harcourt-Smith, Simon.","The last of Uptake, or, The estranged sisters / | $c: by Simon Harcourt-Smith ; illustrated by Rex Whistler.",1942,m,high_female,43.535045711798
nyp.33433074929146,"Bowen, Marjorie,",A moment's madness;,1908,f,high_male,43.48857436546216
mdp.39015059978638,"Ballard, J. G.,",Millennium people / | $c: J.G. Ballard.,2003,m,,43.44355873468109
mdp.39015005572584,"Sandeman, Phyllis Elinor.",Treasure on earth / | $c: by Phyllis Elinor Sandeman ; illustrated by the author.,1981,f,high_female,43.089827927953806
mdp.39015082684104,"Forbes, Elena.",Our lady of pain / | $c: Elena Forbes.,2008,f,,42.932422981310545
mdp.39015011501684,"Desai, Anita,",Games at twilight ; and other stories / | $c: Anita Desai.,1978,f,high_male,42.902443573960085
uc1.b4104570,"Simpkinson, John Nassau,",The Washingtons,1860,m,mixed,42.80492085370134
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,42.667316835304156
njp.32101064382888,"Tharp, Theodore A.",The sword of Damocles,1880,m,mixed,42.289258528333804
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,high_female,41.69988348561967
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,41.606500403827795
uc1.$b675574,"Lubbock, Percy,",Earlham.,1963,m,high_female,41.59479331057854
uc1.$b245051,"Templeton, Edith.",Summer in the country.,1950,f,,41.197167416380886
mdp.39015067686058,"Geoghegan, Peter,",Numen adest : | a novella / | $c: Peter Geoghegan.,2005,m,high_male,40.84049743725878
mdp.39015080866216,"Cartwright, Anthony,",Heartland / | $c: Anthony Cartwright.,2009,m,,40.65791905377934
inu.32000001616095,"Moravia, Alberto,",The fancy dress party / | $c: Alberto Moravia ; translated by Angus Davidson.,1947,m,high_male,40.40827321979108
uc1.$b106363,"Mitchell, James Leslie,",A Scots quair | $c: [by] Lewis Grassic Gibbon; a trilogy of novels. Foreword [by] Ivor Brown.,1966,m,,40.29325937841352
mdp.39015046013465,"English, Lucy.",Selfish people / | $c: Lucy English.,1998,f,,40.260142458965625
uiuo.ark:/13960/t0tq6f34d,"Madden, Daniel Owen,","Wynville, or, Clubs and coteries",1852,m,,40.083542541296595
uc1.b4366034,"Sanza, Silvia.",Alex wants to call it love / | $c: Silvia Sanza.,1991,f,,39.716582467511834
uc1.32106005264780,"Williams, Raymond.",The Volunteers / | $c: [by] Raymond Williams.,1978,m,,39.703218442144966
mdp.39015002384033,"Lessing, Doris May,","The story of a non-marrying man, | and other stories.",1972,f,mixed,39.42406582104902
mdp.39015063240744,"Ridgway, Keith,",Animals / | $c: Keith Ridgway.,2006,m,mixed,39.38598262977176
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,39.37842668039863
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,39.160976087328976
inu.30000110575184,"Hettche, Thomas.",What we are made of / | $c: Thomas Hettche ; translated from the German by Shaun Whiteside.,2008,m,high_male,38.358266206367475
mdp.39015068314387,"Philip, Prince, consort of Elizabeth II, Queen of Great Britain,","The environmental revolution : | speeches on conservation, 1962-1977 / | $c: H.R.H. Prince Philip.",1978,m,high_male,38.299502106472616
uiuo.ark:/13960/t1dj60n41,"Oliphant,",Madam,1885,f,,38.29189771808654
mdp.39015059585300,"McGill, Robert,",The mysteries / | $c: Robert McGill.,2004,m,,38.00442233278054
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,37.92307935404355
mdp.39015027550923,"Lee, Mary.","Rosamond Fane; | or, the prisoners of St. James's | $c: [by] M. and C. Lee. Illustrated by Heather Standring.",1963,f,,37.628564261225854
mdp.39015079203082,"Hinchcliffe, Sally.",Out of a clear sky / | $c: Sally Hinchcliffe.,2008,f,,37.53910323253389
mdp.39015070192151,"James, G. P. R.",The Step-mother,1846,m,mixed,37.518625317568365
uc1.b3730650,"Myśliwski, Wiesław.",The palace / | $c: Wieslaw Mysliwski ; translated from the Polish by Ursula Phillips.,1991,u,high_male,37.449676996535906
mdp.39015024946009,"Myśliwski, Wiesław.",The palace / | $c: Wiesław Myśliwski ; translated from the Polish by Ursula Phillips.,1991,u,high_male,37.401703647601146
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,37.22315280104225
uc2.ark:/13960/t77s7pf8f,"Farjeon, B. L.",The march of fate,1893,m,,37.04237235815858
nyp.33433074897061,"Meredith, George,",The case of General Ople and Lady Camper,1890,m,high_female,37.03398897210106
mdp.39015084109050,"Graham, Robert,",The only living boy / | $c: Robert Graham.,2009,m,mixed,36.963110815406225
uc2.ark:/13960/t04x56936,"Beresford, J. D.",The mountains of the moon,1915,m,,36.83189075094559
uiuo.ark:/13960/t2r49zz22,"Curling, Henry,",Shakespeare,1848,m,high_male,36.82318977199081
mdp.39015061751379,"Sutcliffe, William,",Bad influence / | $c: William Sutcliffe.,2004,m,high_male,36.596523330283624
hvd.hn5bup,"Selwyn, A.","Montague Park, or, Family incidents",1825,m,high_female,36.37862876821963
njp.32101066597426,"Baring-Gould, S.",Arminell,1890,m,,35.945924826131126
uc1.$b794536,"Lincoln, John,",Heaven for horses; | $c: a novel by John Lincoln [pseud.],1957,m,high_male,35.80342894553787
nyp.33433009367628,"Austin, Alfred,",The garden that I love,1896,m,high_female,35.67685686890985
mdp.39015016948328,"Hood, Stuart,",The brutal heart : | a novel / | $c: Stuart Hood.,1989,m,mixed,35.65111272607604
mdp.39015065677034,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,35.60603294014535
mdp.39015005008894,"Leduc, Violette,",In the prison of her skin; | $c: translated from the French by Derek Coltman.,1970,f,,35.585189069728244
mdp.39015063238458,"Roberts, Michael Symmons,",Patrick's alphabet / | $c: Michael Symmons Roberts.,2006,m,high_male,35.58212354113294
uc1.b3468423,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,35.5768002773166
mdp.39015059975840,"Darling, Julia,",The taxi driver's daughter / | $c: Julia Darling.,2003,f,high_female,35.393674185141094
mdp.49015000752700,"Wideman, John Edgar.",Damballah / | $c: John Edgar Wideman.,1981,m,high_female,35.23417172593235
wu.89098013931,"Burnett, Frances Hodgson,",The troubles of Queen Silver-bell,1907,f,high_female,35.189583883170584
njp.32101067708105,"Bennett, William,",The king of the Peak,1823,m,,35.177647117945625
inu.30000100647464,"Scott, Matthew David.",Playing mercy / | $c: Matthew David Scott.,2005,m,,35.07764915973086
uc1.32106016638337,"Hansson, Carola",Steinhof / | $c: Carola Hansson ; translated by Irene Scobbie,2002,f,,34.888357256778306
uiug.30112049092098,"Stuart, Esmè,",Harum scarum : | a poor relation / | $c: by Esmè Stuart [i.e. A. C. Leroy].,1910,u,high_female,34.58973333477457
uc1.b4101374,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,34.57283343577136
uc1.b3634366,"Wellershoff, Hans Dieter.",Winner takes all / | $c: Hans Dieter Wellershoff ; translated by Paul Knight.,1986,m,,34.56750114774906
uiuo.ark:/13960/t66406j9p,"Harwood, John Berwick.",Plain John Orpington,1866,m,,34.51383429524668
njp.32101064790122,"Porter, Anna Maria,",The barony,1830,f,,34.43878738237292
uiuo.ark:/13960/t1hh73g5g,"James, G. P. R.",Russell,1847,m,mixed,34.27645519132494
mdp.39015080884375,"Illis, Mark.",Tender / | $c: Mark Illis.,2009,m,,34.17696472577483
uc2.ark:/13960/t4pk07g42,"Crawford, F. Marion",A tale of a lonely parish,1886,m,,34.10218253968254
uiuo.ark:/13960/t24b3nk0n,"James, G. P. R.",A whim and its consequences,1850,m,,34.07558854467606
mdp.39015051321159,"Bainbridge, Beryl,",Mum and Mr. Armitage : | selected stories / | $c: of Beryl Bainbridge.,1985,f,,34.0013175510551
uc1.b3339459,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,33.884178425515174
mdp.39015064952321,"Liu, Hong,",Wives of the east wind / | $c: Liu Hong.,2007,u,mixed,33.87948314966262
umn.31951002074823r,"Creighton, Basil.","The leaden cupid, or, The egoist revisited.",1950,m,high_female,33.850111705368626
njp.32101067645919,"Hofland,",The Godmother's tales,1842,f,high_female,33.710761664915026
mdp.39015056167979,"Svit, Brina.",Con Brio / | $c: Brina Svit.,2002,u,high_female,33.64624339692473
mdp.39015078786285,"Drayson, Nicholas.",A guide to the birds of East Africa : | a novel / | $c: Nicholas Drayson.,2009,m,high_male,33.62376469212327
mdp.39015064702064,"Tóibín, Colm,",The use of reason / | $c: Colm Tóibín.,2006,m,high_male,33.10600542938489
mdp.39015032980198,"Artmann, Hans Carl.","The Quest for Dr. U : | or, A solitary mirror in which the day reflects / | $c: Hans Carl Artmann ; translated by Malcolm Green & Derk Wynand.",1993,m,,33.064878014217896
mdp.39015000599269,"Purdy, James,","63: dream palace, a novella, and nine stories.",1957,m,,33.05727608045097
uiuo.ark:/13960/t1zc8h33k,"James, G. P. R.","Beauchamp: or, The error",1848,m,,33.02146395156852
inu.30000111288241,"Rhodes, Danny.",Asboville / | $c: Danny Rhodes.,2006,m,,32.99077907724791
uiuo.ark:/13960/t8v98p59r,"St. Aubyn, Alan.",In the face of the world,1894,f,high_female,32.98541573404331
mdp.39015031234910,"Holme, Constance.","The old road from Spain, | $c: by Constance Holme.",1932,f,mixed,32.92490769266951
uc1.b2801775,"Brémond d'Ars, Yvonne de.",The mysterious château / | $c: by Yvonne de Bremond d'Ars ; translated by Barbara Lucas.,1964,f,,32.88010366903274
nyp.33433040405908,"Balzac, Honoré de,",The peasantry =,1896,f,,32.68285375784729
inu.30000035441025,"Bolger, Dermot,",Night shift / | $c: Dermot Bolger.,1993,m,,32.51086547346087
uc2.ark:/13960/t5m90417b,"Gore,",The story of a royal favourite,1845,f,,32.501534794698635
mdp.39015054153757,"King, Martin.",The estate : | a novel / | $c: Martin King.,2001,m,,32.50014772794422
uc1.b4975896,"King, Francis Henry,",Indirect method and other stories / | $c: Francis King.,1980,m,high_female,32.43988483840882
uc2.ark:/13960/t59c7659g,"Dickinson, Humphrey Neville,",Thomson's friend,1917,m,high_male,32.43067942273391
mdp.39015080900411,"Duggan, A. J.,",Scars beneath the skin / | $c: A.J. Duggan.,2009,u,high_male,32.29794295515041
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,32.26401179941003
mdp.39015066411953,"Miller, Miranda,",Loving Mephistopheles / | $c: Miranda Miller.,2007,f,high_female,32.21713030842971
uc1.$b119708,"Rosenberg, John.",A company of strangers / | $c: John Rosenberg.,1959,m,,32.21427092201846
mdp.39015006575974,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,high_male,32.054342340376195
uiuo.ark:/13960/t5s75w58g,"Kettle, Rosa Mackenzie,",The earl's cedars,1860,f,,32.038959374599514
uiuo.ark:/13960/t3tt5928q,"Yates, Edmund Hodgson,",Black sheep,1867,m,,31.956964620977086
mdp.39015002713280,"Quin, Ann,",Passages : | a novel.,1969,f,high_female,31.92292065703175
mdp.39015064948279,"Gardiner, Michael,",Escalator / | $c: Michael Gardiner.,2006,m,mixed,31.883474291851254
mdp.39015062842300,"Drewe, Robert,",Grace / | $c: Robert Drewe.,2005,m,,31.75433353257621
njp.32101038064893,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,31.396078978580896
uiuo.ark:/13960/t51g19j0k,"Reade, Charles,",White lies,1857,m,high_female,31.391190286668834
uiuo.ark:/13960/t3tt5933r,"Austin, Alfred,",Jessie's expiation,1867,m,mixed,31.19356427516007
inu.32000001616103,"Moravia, Alberto,",Conjugal love / | $c: Alberto Moravia ; tr. by Angus Davidson.,1964,m,,31.15810792389632
uiuo.ark:/13960/t52f83289,"Drewry, Edith Stewart.",On dangerous ground,1883,f,,30.890757044195848
mdp.39015039590446,"Mitchell, James Leslie,",Cloud howe.,1933,m,,30.780773559315513
inu.30000087058669,"Booth, Stephen,",One last breath / | $c: Stephen Booth.,2004,m,,30.76870480846481
uc1.$b86344,"Belloc, Hilaire,","Belinda, | a tale of affection in youth and age, | $c: by Hilaire Belloc.",1928,m,,30.70687219799791
uc2.ark:/13960/t47p8wg3g,"Abbott, J. H. M.",Letters from Queer Street ;,1908,u,,30.66191406998582
uc1.$b119741,"De Polnay, Peter,",A winter's promise / | $c: Peter de Polnay.,1967,m,high_female,30.63869903370257
mdp.39015061153113,"Le Sueur, Meridel.",The girl / | $c: Meridel Le Sueur.,1978,f,high_female,30.630726614106116
uc1.$b794766,"Frankland, Edward  Percy,",England growing. / | $c: by Edward Frankland.,1944,m,mixed,30.524657818585855
uc1.b3117370,"Hibben, Frank C. (Frank Cummings),",Hunting in Africa / | $c: by Frank C. Hibben.,1964,m,high_male,30.44683352931295
mdp.39015012979574,"Holme, Constance.","Crump folk going home, | $c: by Constance Holme.",1934,f,,30.432467094894953
mdp.39015050980534,"Toulmin, David.",Hard shining corn / | $c: David Toulmin.,1982,m,mixed,30.401115899783616
mdp.39015048892155,"Levi, Peter.",To the goat / | $c: Peter Levi ; with illustrations by André Yaniw.,1988,m,,30.283656919815606
mdp.39015065251095,"James, G. P. R.",Charles Tyrrell;,1839,m,,30.27734043841589
mdp.39015062864072,Xiaoxiaosheng.,Beyond the golden lotus : | Chin P'ing Mei / | $c: [Hsiao-hsiao-sheng] ; translated by Vladimir Kean.,2004,u,high_female,30.13417368520514
uiuo.ark:/13960/t0dv26t3k,"Wood, Kate,",Sir Cyrus of Stonycleft,1867,f,,29.948614482519467
uiuo.ark:/13960/t3st84v0x,,"Millicent, or, The trials of life",1855,u,high_female,29.755379459391737
mdp.39015033987820,"Trevor, William,",Felicia's journey / | $c: William Trevor.,1994,m,,29.751738272856496
uiuo.ark:/13960/t79s21f9s,"Lyall, Edna,",To right the wrong,1894,f,high_male,29.716287653664487
uiuo.ark:/13960/t7gq7753j,"Clutton-Brock, Ellen.",Marjory,1880,f,high_female,29.62962962962963
mdp.39015078783464,"Griffiths, Elly.",The crossing places / | $c: Elly Griffiths.,2009,f,high_female,29.59877219907915
uc1.32106018341088,"Prinz, Martin,",On the run / | $c: Martin Prinz ; translated by Mike Mitchell,2005,m,high_male,29.529408606480363
uiuo.ark:/13960/t1wd4cf3m,"Le Fanu, Joseph Sheridan,",In a glass darkly,1872,m,high_male,29.480511276295562
njp.32101064918079,"Saunders, John,",A noble wife;,1883,m,high_female,29.300962745918795
njp.32101067708097,"Bennett, William,",The king of the Peak,1823,m,,29.28818447050342
uc1.$b803912,"Stacpoole, H. De Vere","Death, the knight, and the lady",1897,m,,29.263101888800215
uc1.32106014866021,"Parsons, Tony,",Man and boy,1999,m,,29.23484439089645
mdp.39015053483775,"Belben, Rosalind.",Hound music / | $c: Rosalind Belben.,2001,f,high_female,29.09591070200497
uc2.ark:/13960/t2s46nw6j,"Mitford, Mary Russell,","Atherton, and other tales",1854,f,,29.088793542287835
uc1.$b245069,"Malet, Oriel.","The green leaves of summer, | $c: by Oriel Malet [pseud.]",1950,u,,29.070264539407308
mdp.39015078782433,"Macken, John.",Breaking point / | $c: John Macken.,2009,m,,29.033829093769903
uc1.32106020071673,"Vine, Barbara,",Gallowglass / | $c: Barbara Vine.,1990,f,mixed,28.817222528287495
njp.32101067179281,"Trollope, Frances Milton,",The attractive man,1846,f,high_female,28.804007514088916
inu.30000110609967,"Helton, Peter.",Rainstone fall / | $c: Peter Helton.,2008,m,high_male,28.761281364673213
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,28.680002868000287
uiuo.ark:/13960/t4rj5439g,"Young, Mary Julia.",A summer at Brighton,1807,f,,28.524973614399407
njp.32101065853358,"Reid, Mayne,",No quarter!,1888,m,,28.45697524243154
inu.30000092821648,"Petley, Dexter,",White lies / | $c: Dexter Petley.,2004,m,,28.337040762833137
wu.89009593054,"Vik, Bjørg,",Out of season and other stories / | $c: Bjørg Vik ; translated by David McDuff and Patrick Browne.,1983,u,high_female,28.307856262696905
mdp.39015054447555,"Rivas, Manuel,",Vermeer's milkmaid & other stories / | $c: Manuel Rivas ; translated from the Galician by Jonathan Dunne.,2002,m,,28.271881258098716
mdp.39015056804944,,Comma / | $c: Michael Bracewell ... [et al.] ; edited by Ra Page.,2002,u,,28.214581295613574
mdp.39015080872321,"Waters, Sarah,",The little stranger / | $c: Sarah Waters.,2009,f,high_female,28.208081615382806
mdp.39015033319909,"Wilson, Paul.",The fall from grace of Harry Angel / | $c: Paul Wilson.,1994,m,high_male,27.89238189319542
uiuo.ark:/13960/t3rv13t3w,,"Melcombe Lodge; or, traits of family pride!",1819,u,high_female,27.801718146181432
mdp.39015080896411,"Shawn, Wallace.",Grasses of a thousand colours / | $c: Wallace Shawn.,2009,m,mixed,27.684534726788247
mdp.39015056797783,"Funder, Anna.",Stasiland / | $c: Anna Funder.,2003,f,,27.602387606527966
wu.89004098703,"Thackeray, William Makepeace,",The Irish sketch-book,1845,m,high_male,27.56372613640449
uc1.32106013111692,"Balle, Solvej,",According to the law : | four accounts of mankind / | $c: Solvej Balle ; translated from the Danish by Barbara Haveland,1996,u,mixed,27.449903925336262
uc1.b2802929,"Val Baker, Denys,","The flame swallower, and other stories from Cornwall.",1963,m,mixed,27.411597597747264
uc2.ark:/13960/t7kp7xr0k,"Fyleman, Rose,",The rainbow cat,1922,f,high_male,27.399136927186795
wu.89012277034,"Owen, Thomas,","The desolate presence, and other uncanny stories / | $c: by Thomas Owen ; translated from the French by Iain White.",1984,m,,27.39686522184251
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,27.32524852964139
uc1.b3435599,"Kilpatrick, Sarah.",Ladies' Close.,1967,f,high_female,27.20114531138153
uc1.b3321849,"Disraeli, Benjamin,",Henrietta Temple,1837,m,mixed,27.1965768575262
uc1.b4950600,"Zukofsky, Louis,","Ferdinand, | including [the prefatory piece] It was.",1968,m,high_male,27.175759222773287
mdp.39015051293119,"Sinclair, Iain.","Landor's tower, or The imaginary conversations / | $c: Iain Sinclair.",2001,m,high_male,27.15880139156525
mdp.39015012979673,"Holme, Constance.","The wisdom of the simple, | and other stories, | $c: by Constance Holme.",1937,f,,27.124283466845085
mdp.39015078812198,"Owen, Charlie,",Bravo jubilee / | $c: Charlie Owen.,2008,m,high_male,27.08167834187911
mdp.49015001417410,"Longden, Deric.",The cat who came in from the cold / | $c: Deric Longden ; [text illustrations by Michael Foster].,1992,m,,27.06451503772117
uiuo.ark:/13960/t2z32fz8m,"Tabor, Eliza.",Hope Meredith,1874,f,high_female,26.83380292488452
mdp.39015080838587,"Fitzgerald, Helen.",The Devil's staircase / | $c: Helen FitzGerald.,2009,f,,26.794835295496792
uc1.$b100831,"Farrell, James T. (James Thomas),",Fellow countrymen; | collected stories | $c: [by] James T. Farrell.,1937,m,mixed,26.7853238290987
uc2.ark:/13960/t3804xv8v,"Scott, Evelyn,",Bewilderment,1922,f,,26.70385425629766
mdp.39015028358391,"Kossak, Zofia,","The blaze; | reminiscences of Volhynia, 1917-1919, | $c: by Sophia Kossak; translated from the original Polish.",1927,f,,26.703695791497545
mdp.39015066711873,"Rive, Richard,","Modern African prose, | an anthology. | $c: Illustrated by Albert Adams.",1964,m,,26.681964326213695
uiuo.ark:/13960/t6d22jj5t,"Roberts,",Delmore,1806,f,mixed,26.669037247755355
mdp.39015079238781,"Barrington, James.",Timebomb / | $c: James Barrington.,2008,m,high_male,26.650724251438778
njp.32101064789785,"Porter, Anna Maria,",The barony,1830,f,,26.63996545990685
uc1.b3283942,"Kossak, Zofia,","The blaze; | reminiscences of Volhynia, 1917-1919, | $c: by Sophia Kossak; translated from the original Polish.",1927,u,,26.564187932774896
uiuo.ark:/13960/t2794hz6s,"Hopton, Anna Maria,",Dawn and twilight,1858,f,mixed,26.534089322123844
mdp.39015080889481,"Hill, Reginald.",Midnight fugue / | $c: Reginald Hill.,2009,m,mixed,26.45926876202694
uc1.b3321857,"Disraeli, Benjamin,",Venetia,1837,m,,26.43281400628168
uc1.$b800269,"Sully, Kathleen.",Canal in moonlight.,1955,f,,26.356711736643735
mdp.39015004106830,"Ruyslinck, Ward,",Golden Ophelia : | a novel / | $c: Ward Ruyslinck [i.e. R. K. M. de Belser] ; translated from the Dutch by David Smith.,1975,m,high_male,26.335950967247655
mdp.39015019641359,,Green.,1990,u,high_female,26.302605210420843
uc1.b4411990,"Irving, W.",Old Christmas,1908,u,high_male,26.266022273586888
