htid,author,title,year,authgender,female_category,streets
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,859.9742219029307
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,647.2212633759061
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,486.2199013635045
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,417.6334106728538
inu.30000084051147,"Cossu, Antoni,",The Sardinian hostage / | $c: Antonio Cossu ; translated from the Italian by Isabel Quigly.,1971,m,high_male,412.41721181585467
wu.89018081877,"Gibson, Ronald.","Nine days, 17th to 25th September, 1944. | $c: Illustrated by Gordon C. Power.",1956,m,high_male,397.76536312849163
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,382.43560798046354
uc1.b4076279,"Langstaff,","Diary of a driver, | $c: by Langstaff, illustrated by the author.",1943,u,high_male,367.89753372394057
uc1.32106018341088,"Prinz, Martin,",On the run / | $c: Martin Prinz ; translated by Mike Mitchell,2005,m,high_male,367.77536173525544
wu.89100103373,"La Barre, Georges.",Captive of the kaiser in Belgium (with the fall of Namur),1914,u,high_male,350.04850069587957
mdp.39015072453833,,"Coventry constables' presentments, 1629-1742 / | $c: edited by Levi Fox.",1986,u,high_male,346.92552209727586
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,343.4827721922072
inu.39000003654576,"Barber, Noel,",A handful of ashes; | a personal testament of the battle of Budapest.,1957,m,,338.17990360860233
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,329.95558891599427
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,301.02347983142687
uc1.32106010068143,"Miller, David,",True points : | eight prose texts 1981-1987 / | $c: David Miller.,1992,m,mixed,299.11334259160344
wu.89042484659,"Breeze, David John.","The Roman fort at Bearsden, 1973 excavations : | an interim report / | $c: by David J. Breeze.",1974,m,high_male,297.3830293417922
mdp.39015001790107,"Dos Passos, John,",One man's initiation--1917,1920,m,high_male,296.50300863346996
mdp.39015031918884,"Poli͡akov, A. (Aleksandr),","With a Soviet unit through the Nazi lines | $c: [by] A. Polyakov. Published by authority of Soviet war news, issued by the Press department of the Soviet embassy in London.",1941,u,,293.0249594474387
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,289.3857166905817
njp.32101073695114,"Kennedy, Bart,",The German danger,1914,m,high_male,279.4314178107156
mdp.39015038669662,"Sutcliffe, Halliwell,",The open road,1910,m,,276.8408324317444
uc1.b4137344,"Acōkamittiran̲,",Water (Tannir) / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström.,1993,u,high_female,276.576596351823
mdp.39015031918447,"Grant, Douglas.",The fuel of the fire.,1960,m,high_male,276.4031382015691
mdp.39015032967500,"Ashokamitran,",Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström,1993,u,high_female,275.8258356866093
uc1.$b322847,"Boden, Frederick C.","Flo; | a novel, | $c: by F. C. Boden.",1933,m,,275.6609276507668
uc1.b3752397,"Ionesco, Eugène.",The hermit / | $c: Eugène Ionesco ; translated from the French by Richard Seaver.,1983,u,high_female,275.2697643690817
uc1.32106011930507,"Ashokamitran,",Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström,1993,u,high_female,274.28869974094954
mdp.39015030175445,"Keith, Eric A.",My escape from Germany,1918,m,high_male,273.73103293984497
mdp.39015063642733,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,272.50018923624253
uc1.b3929709,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,272.3806065008171
uc1.32106013111692,"Balle, Solvej,",According to the law : | four accounts of mankind / | $c: Solvej Balle ; translated from the Danish by Barbara Haveland,1996,u,mixed,271.0678012626956
inu.32000002882506,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,269.69144126279053
wu.89001126705,"Howarth, David Armine,",A near run thing: | the day of Waterloo | $c: [by] David Howarth.,1968,m,high_male,267.95836339276514
uc2.ark:/13960/t7dr2tf8d,"Bairnsfather, Bruce,",Bullets & billets,1916,m,high_male,264.5217015763334
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,263.5325477842062
uc1.$b243907,"Mais, Roger.",Brother man. | With drawings by the author.,1954,m,,259.6648795613191
uc2.ark:/13960/t4sj1fg8f,"Bashford, H. H.",Vagabonds in Périgord,1914,m,mixed,257.6054955839058
mdp.39015064690574,"Anderson, Martin,",The Hoplite Journals : | I-XXIX / | $c: Martin Anderson.,2006,m,high_male,257.6001515295009
uc1.$b119620,"Rathbone, Julian,",Hand out.,1968,m,,250.86675874510246
mdp.39015066998314,"Wade, Aubrey.","The war of the guns; | western front, 1917 & 1918, | $c: by Aubrey Wade; with an introduction by Edmund Blunden; illustrated from photographs.",1936,m,high_male,250.8129800041514
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,250.4117346791359
uc1.b4948777,"Mais, Roger",Brother man / | $c: Roger Mais ; introduction by Edward Brathwaite ; with drawings by the author,1974,m,,250.39387801035338
uc1.32106012556582,"Özdamar, Emine Sevgi,","Life is a caravanserai : | has two doors, I came in one, I went out the other = ; Das Leben ist eine Karawanserai ; hat Zwei Türen aus einer kam ich rein aus der anderen ging ich raus / | $c: by Emine Sevgi Özdamar ; translated by Luise von Flotow",2000,u,mixed,249.39698043536524
mdp.39015081814736,"Green, Leonard.",The youthful lover and other prose studies,1919,m,high_male,249.00110023741965
uc1.$b119734,"Coulter, Stephen,",A stranger called the blues.,1968,m,high_male,247.88356720398934
uc1.$b185714,"Heinrich, Willi,",The crumbling fortress. | $c: Translated from the German by Michael Glenny.,1963,m,high_male,247.31589513806045
uc1.32106014173949,"Petterson, Per,",To Siberia / | $c: Per Petterson ; translated from the Norwegian by Anne Born,1998,m,mixed,245.8323730506261
uc2.ark:/13960/t4wh2gg7b,"Butler, Patrick Richard,",A galloper at Ypres,1920,m,high_male,241.50422632396067
mdp.39015034348261,"Pasolini, Pier Paolo,",A dream of something / | $c: Pier Paolo Pasolini ; translated from the Italian and with an introduction by Stuart Hood.,1988,m,high_female,238.94862604540023
mdp.39015005201168,"Calvino, Italo.","Marcovaldo, or, The seasons in the city / | $c: Italo Calvino ; translated from the Italian by William Weaver.",1983,m,,238.5238523852385
mdp.39015002206210,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,high_male,236.44291592458393
inu.39000002580509,"Plivier, Theodor,","Moscow, | a novel; | $c: translated from the German by Stuart Hood.",1953,m,mixed,233.7584187747356
uc1.32106015061093,"Garmendia, Salvador",Memories of Altagracia / | $c: Salvador Garmendia ; translated from the Spanish by Jeremy Munday ; with an introduction by Fernando Ainsa,1998,m,high_male,233.7215023782188
mdp.39015021924884,"Kiely, Benedict.","The cards of the gambler, | a folktale.",1953,m,mixed,232.66680944685658
mdp.39015066090047,"Hamilton, Hugo.",Last shot / | $c: Hugo Hamilton.,2006,m,high_female,232.05857911159194
mdp.39015060807727,"Cunliffe, Barry W.",Fishbourne : | a guide to the site / | $c: by Barry Cunliffe ; with the results of recent excavations in the north wing by David J. Rudkin.,1977,m,high_male,231.96810438564697
njp.32101074257377,"Graham, Stephen,",A vagabond in the Caucasus,1915,m,mixed,231.1878312210274
mdp.39015019125452,"pseud. Zeno,",The cauldron | $c: [by] Zeno.,1966,m,high_male,230.99133782483156
mdp.39015064708210,"Collins, Richard,",Overland / | $c: Richard Collins.,2006,m,mixed,230.88903168189591
mdp.39015005019669,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,,230.51529179631174
mdp.39015009195960,"Crisp, Robert.",The gods were neutral.,1960,m,high_male,230.01503450225516
mdp.39015028919572,"Tizón, Héctor.",The man who came to a village / | $c: Héctor Tizón ; translated by Miriam Frank.,1993,u,high_female,229.21176620399848
mdp.39015016915939,"Borden, Mary.","The forbidden zone, | $c: by Mary Borden.",1929,f,high_male,228.7772585669782
mdp.39015024076401,"Carter, Peter.",Under Goliath / | $c: Peter Carter ; ill. by Ian Ribbons.,1977,m,high_male,228.48743987172634
uc1.32106015901462,"Carey, Edward,",Alva & Irva / | $c: Edward Carey,2003,m,mixed,228.02033492822966
mdp.39076001621874,"Hemingway, Ernest,","The essential Hemingway. | Containing one complete novel, extracts from three others, twenty-three short stories and a chapter from Death in the afternoon.",1947,m,high_male,227.3220811983385
mdp.39015015473195,"Bourdouxhe, Madeleine,","A nail, a rose and other stories / | $c: Madeleine Bourdouxhe ; translated and introduced by Faith Evans.",1989,f,,226.4324506005767
uc1.b3378150,"Chiang, Yee,",The men of the Burma road / | $c: written and illustrated by Chiang Yee.,1943,m,high_male,225.84386254043827
mdp.39015011821892,"Sillitoe, Alan.",The ragman's daughter.,1963,m,mixed,225.39221210593433
njp.32101067522902,"Erckman, Emile,",The history of a conscript of 1813 and Waterloo,1909,m,mixed,224.9395369289834
mdp.39015029242545,"McKenzie, Earl,",Two roads to Mount Joyful / Earl McKenzie.,1992,m,,223.05320474972117
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,222.95331575083608
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,222.8396133588007
uc2.ark:/13960/t4th8dq0x,"Childe, Wilfred Rowland,",Dream English,1917,m,high_female,222.52734245537616
mdp.49015001034512,"(Gilbert Keith), Chesterton, G. K.","The sword of wood, | a story | $c: by G.K. Chesterton.",1928,u,high_male,221.91874359849777
inu.32000007466461,"Mackworth, Cecily.",I came out of France.,1942,u,,221.8312552589306
uc1.$b245446,"White, Stanley,","Flamingo Lake, | $c: by James Dillon White [pseud.]",1954,m,high_male,221.25285741249502
mdp.39015018913940,"Bolger, Dermot,",The journey home / | $c: Dermot Bolger.,1990,m,mixed,220.63450931033205
uc2.ark:/13960/t9765ch2n,"Hone, William,","The report at large of the coroner's inquest on Jane Watson, shot at Mr. Robinson's address, &c",1815,m,high_male,220.59229029945402
mdp.39015048898160,"Sillitoe, Alan.",Down from the hill / | $c: Alan Sillitoe.,1984,m,mixed,220.567610985032
mdp.39015029213868,"Modiano, Patrick,",Honeymoon / | $c: Patrick Modiano ; translated from the French by Barbara Wright.,1992,m,high_female,220.5202380670097
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,220.48015678588928
umn.319510021168086,"Tegner, Henry.",The old man hunts / | $c: by a Northumbrian gentleman. Drawings by Peter Biegel.,1959,m,,220.0279059783192
mdp.39015010389347,"O'Connor, John J. (John Joseph),","Come day, go day.",1984,m,,219.41553187696275
inu.39000005765487,"Hall, George,",The gypsy's parson,1915,m,,218.75605282047192
mdp.39015082679369,"Donovan, Gerard,",Country of the grand : | a collection of stories / | $c: Gerard Donovan.,2008,m,mixed,218.42532584172787
mdp.39015022027471,"Shirazi, Manny,",Siege of Azadi Square / | $c: Manny Shirazi.,1991,m,high_female,218.23407822715862
inu.30000057588091,"Royle, Nicholas,",Saxophone dreams / | $c: Nicholas Royle.,1996,m,,218.06075738660007
mdp.39015012077965,"Okpi, Kalu,",Biafra Testament/ | $c: Kalu Okpi.,1982,u,high_male,217.4202877742111
mdp.39015008005244,"Pavese, Cesare.","Told in confidence, | and other stories, | $c: edited, translated from the Italian, and with an introduction by A. E. Murch.",1971,m,high_male,217.05724164425664
uc1.b4027238,"Downing, Rupert,","If I laugh: the chronicle of my strange adventures in the great Paris exodus--June 1940, | $c: [by] Rupert Downing.",1941,m,high_male,216.97259415682362
wu.89004684510,"Thackeray, William Makepeace,",The Irish sketch-book,1845,m,high_male,216.36047987977093
uc1.b4692438,"Vince, Charles.","Barrie Marvell, his dreams and adventures",1922,m,high_male,215.71560055223193
uc1.32106013799215,"Okri, Ben",Songs of enchantment / | $c: Ben Okri,1993,m,,215.04097670224257
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,214.9454652648128
uc1.b3144887,"Cable, Boyd.",The old contemptibles,1919,m,high_male,214.49101282656255
inu.30000081680302,"Webb, Godfrey Edward Charles.","Gypsies, the secret people.",1960,m,mixed,213.90518215573374
mdp.39015064136289,"Baron, Dunsany, Edward John Moreton Drax Plunkett,","The story of Mona Sheehy, | $c: by Lord Dunsany.",1939,m,high_female,213.8974237768849
mdp.39015031305769,"Stuart, Francis,",Redemption / | $c: [by] Francis Stuart.,1974,m,,213.45823057633723
uc1.$b243834,"Niall, Ian.","No resting place, | $c: by Ian Niall [pseud.]",1948,u,,213.15211885868646
mdp.39015019622474,"Renwick, Alistair.",Last night another soldier- / | $c: Aly Renwick.,1989,u,high_male,213.08033284081188
uc2.ark:/13960/t51g0tc9h,"Cunninghame Graham, R. B.",Faith,1909,m,,212.77320078981413
mdp.39015008778725,"Masters, John,",The deceivers.,1971,m,high_male,211.4623946228134
uc1.32106001617320,"Ibrāhīm, Ṣunʻ Allāh.","The smell of it, & other stories, | $c: by Sonallah Ibrahim; translated from the Arabic by Denys Johnson-Davies ; translation of Tilka al-rāʾiḥah.",1971,u,high_male,210.57237399841387
inu.32000003239144,"Forester, C. S. (Cecil Scott),",The gun : | a novel / | $c: by C.S. Forester.,1933,m,high_male,210.53561438120198
pst.000068121068,"Ballard, J. G.,",Crash / | $c: J.G. Ballard.,1975,m,,210.45862441904652
mdp.39015011028365,"Zagórski, Wacław.","Seventy days, | $c: by W. Zagórski (""Lech"") Translated by John Welsh.",1957,u,,209.6725246227274
mdp.39015029497784,"Millar, George Reid.","Maquis, | $c: by George Millar.",1945,m,high_male,209.32917552359268
uc1.$b105433,"Stonier, George Walter,",The memoirs of a ghost / | $c: G. W. Stonier.,1947,m,high_female,208.5567870337266
uc1.b4501323,"Birch-Reynardson, Charles Thomas Samuel,",'Down the road';,1875,m,high_male,208.34081683968535
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,207.37004343561722
mdp.39015055105798,"Béalu, Marcel.",The experience of the night / | $c: Marcel Béalu ; translated from the French by Christine Donougher.,1997,m,high_female,207.17131474103584
mdp.39015019626616,"Marshall, Robert,",In the sewers of Lvov : | the last sanctuary from the Holocaust / | $c: Robert Marshall.,1990,m,mixed,206.7834478168897
mdp.39015064331484,"Williams, Herbert Darkin,","The steel highway, a romance of the railway, | $c: by Herbert D. Williams.",1925,m,high_male,206.2849947758995
uc2.ark:/13960/t12n51x90,"Harvey, T. Edmund",Poor Raoul & other fables,1905,m,high_male,206.18556701030928
uc1.32106009000859,"Okri, Ben.",Stars of the new curfew / | $c: Ben Okri.,1988,m,,206.15573800137437
mdp.39015013790400,"O'Flaherty, Liam,",Insurrection.,1950,m,,205.49992527275444
mdp.39015013254654,"Storey, David,",Pasmore. -,1972,m,high_male,204.7098427525134
mdp.39015018995442,"Muʾalla, Abdul-Ameer.",The long days / | $c: by Abdul-Ameer Muʾalla. Translated from the Arabic by Mohieddin Ismail.,1979,u,high_male,204.5547524887495
uc1.b4098088,"Anderson, Sherwood,",Alice | and The lost novel / | $c: by Sherwood Anderson.,1929,m,high_female,204.15738678544915
uc1.32106013836728,"Vassanji, M. G.",Uhuru Street : | short stories / | $c: M.G. Vassanji.,1991,u,,203.8411908813794
uc1.b3481020,"Meynell, Laurence.",Airmen on the run; | true stories of evasion and escape by British airmen of World War II. | $c: Told by Laurence Meynell. Illustrated by Richard Kennedy.,1963,m,high_male,203.51108004769148
mdp.39015077113721,"Hollywood, Peter,",Luggage / | $c: Peter Hollywood.,2008,m,,203.2286514053453
mdp.39015013248649,"Wells, H. G.",The wheels of chance,1896,m,,202.1084830938985
wu.89096232681,"Bewick, Harry",A wild taste / | $c: by Harry Bewick [pseud.],1958,m,,201.73682800359344
uc1.32106018078417,"Dantzig, Rudi van",For a lost soldier / | $c: Rudi van Dantzig ; translated from the Dutch by Arnold J. Pomerans,1996,m,high_male,201.56774916013438
wu.89004301826,"Crawford, Hew T. M.,",The long green tunnel | $c: [by] Hew T.M. Crawford.,1967,u,high_male,201.52291816005518
uc1.$b745559,"Clarke, Basil.",My round of the war;,1917,m,high_male,201.46835948489442
uc1.b4087141,"Bagnold, Enid.","Alice and Thomas [and] Jane, | $c: by Enid Bagnold; illustrated by the author and Laurian Jones.",1930,f,mixed,200.11288419108214
uiuo.ark:/13960/t0sq9hv9b,, That little Frenchman,1874,u,mixed,199.8800719568259
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,199.67077185709059
mdp.39015019569493,"Herling-Grudziński, Gustaw,",The island : | three tales. / | $c: Gustaw Herling ; translated by Ronald Strom.,1990,u,high_male,199.48134849391582
inu.32000001014457,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,199.47783742556248
uc1.$b268702,"Frith, Dean, pseud.","Booze-runner, | $c: by ""Dean Frith"".",1935,u,mixed,199.4324608576588
uc1.b4104688,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,199.22069551460464
mdp.39015000630858,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,199.1498282187154
mdp.39015003976985,"Andrews, Kevin.",The flight of Ikaros; | a journey into Greece.,1959,m,mixed,199.11051564041014
mdp.39015066088157,"Okri, Ben.",The famished road / | $c: Ben Okri.,1991,m,high_male,199.08605610522855
mdp.39015010944059,"Barea, Arturo,",The clash. | $c: Translated from the Spanish by Ilsa Barea.,1946,u,high_male,198.60188784635434
wu.89056085640,"Jensen, Carsten,",Earth in the mouth : | a story / | $c: Carsten Jensen ; translated from the Danish by Anne Born.,1994,m,high_male,198.29847118275444
uc1.$b163403,"De Polnay, Peter,",Out of the square.,1950,m,mixed,198.02994349317993
inu.32000014254751,"Richter, Hans Werner,",The odds against us / | $c: Hans Werner Richter ; translated by Robert Kee.,1950,m,,197.9684211537907
mdp.39015049862678,"Kennaway, James,",Silence.,1972,m,mixed,197.94911734164072
mdp.39015066053714,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,197.82828504857784
uc1.b3472637,"Butler, Michael D. (Michael David),",Street & sky : | a verse novella / | $c: Michael D. Butler.,1980,m,mixed,197.76374838366166
mdp.39015011679480,"Loti, Pierre,",A phantom from the east,1892,m,high_male,197.59295850547872
mdp.39015012847250,"Han, Suyin,","Destination Chungking, | $c: an autobiography by Han Suyin.",1942,u,high_male,197.20169169715686
mdp.39015014861895,"Hughes, Owain,",The beholding runner.,1966,u,high_male,197.03491152558584
uc1.b3810593,"Cockburn, Claud,",Jericho Road.,1974,m,high_male,196.9980300196998
mdp.39015050478109,"Spinney, Laura.",The doctor / | $c: Laura Spinney.,2001,f,mixed,196.7042755344418
nyp.33433074866231,"James, Humphrey.",Paddy's woman and other stories,1896,m,,196.6731762717968
mdp.39015004315183,"Cunninghame Graham, R. B.",Brought forward,1916,m,high_male,196.24774315095377
uc1.32106007900464,"Kanafānī, Ghassān.",Palestine's children / | $c: Ghassan Kanafani ; translated from the Arabic by Barbara Harlow.,1984,u,mixed,194.5301017320384
inu.32000007466412,"Polevoĭ, Boris Nikolaevich.","From Belgorod to the Carpathians, | from a Soviet war correspondent's notebook, | $c: by Boris Polevoi. With 35 illustrations.",1945,u,,194.36140658504897
uc1.b4091319,"Lawrence, D. H. (David Herbert),",The spirit of place; | an anthology compiled from the prose of D.H.Lawrence. | $c: Edited with an introd. by Richard Aldington.,1935,m,high_female,193.71099640093774
mdp.39015010520917,"Duras, Marguerite.",The afternoon of Monsieur Andesmas. | $c: Translated from the French by Anne Borchardt. The rivers and forests. Translated from the French by Barbara Bray.,1964,f,mixed,193.01126379166305
uc1.b2848202,"Lyall, Gavin.",Midnight plus one / | $c: by Gavin Lyall.,1965,m,high_male,192.99440625838545
mdp.39015037403378,"Bryher,",West.,1925,u,high_female,192.71198318149965
inu.32000000356511,"Greene, Graham,","Rumour at nightfall, | $c: by Graham Greene.",1931,m,high_male,192.55455712451862
uc1.$b244108,"Mottram, R. H. (Ralph Hale),","Ten years ago : | Armistice & other memories : | $c: forming a pendant to ""The Spanish farm trilogy"" / by R.H. Mottram ; with a foreword by W.E. Bates.",1928,m,high_male,192.23197535725038
uc1.$b189156,"Pélégri, Jean,",The olive-trees of justice / | $c: by Jean Pelegri ; translated from the French by Anthony Burgess and Lynne Wilson.,1962,f,mixed,192.20419773967865
inu.39000000986567,"Ford, James Allan.",The brave white flag / | $c: James Allan Ford.,1985,m,high_male,191.7409924953833
mdp.39015016440474,"Dayan, Yaël,",Death had two sons: | a novel.,1967,u,,191.57699798844152
uc1.$b242755,"Edwards, R. A.","Plain tales from the slums, | $c: by R.A. Edwards.",1933,u,,191.30398619284273
mdp.39015068635419,"Pitcairn, Frank.",Reporter in Spain / | $c: Frank Pitcairn ; with introd. by Ralph Bates.,1936,m,high_male,190.8516363181278
mdp.39015014328374,"Moggach, Deborah.",Driving in the dark / | $c: by Deborah Moggach.,1988,f,high_female,190.08931593885893
uc2.ark:/13960/t1kh0kw82,"Burke, Thomas,",Whispering windows;,1921,m,,189.8501938386433
mdp.39015024864301,"Traven, B.",The carreta / | $c: B. Traven.,1981,u,high_male,189.13324437065913
uc2.ark:/13960/t4rj49j8h,"Tallentyre, S. G.",The starry pool,1918,u,high_female,188.57961831485252
mdp.39015048897980,"Shirazi, Manny,",Javady alley.,1984,m,high_female,187.99889049835116
mdp.39015066017982,"Abrahams, Peter,",Mine boy.,1956,m,high_female,187.93846945999871
mdp.39015017670186,"Alain-Fournier,",Lost domain | (Le grand Meaulnes),1959,u,,187.90759367746213
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,187.70040929117025
uc1.$b479444,"Hámori, Laszlo,",Dangerous journey. | $c: Translated from the Swedish by Annabelle MacMillan. Illustrated by W.T. Mars.,1963,u,high_male,187.6517021233198
uc1.$b322889,"Abrahams, Peter,",Mine boy / | $c: by Peter Abrahams.,1954,m,high_female,187.36512941115663
mdp.39015013318210,"Cunninghame Graham, R. B.",Charity,1912,m,,186.9158878504673
nyp.33433008143475,"Stretton, Hesba,",Nelly's dark days,1870,m,,186.90715387131442
uc1.b3472873,"Williams, Raymond.",The fight for Manod / | $c: by Raymond Williams.,1979,m,mixed,186.82521004933838
inu.30000120952456,"Kavanagh, Patrick,",Tarry Flynn : | a novel / | $c: Patrick Kavanagh.,1965,m,,186.74487391587706
uc1.$b800307,"Hearne, John,",Voices under the window.,1955,m,high_male,186.71037072381387
uc2.ark:/13960/t5j963t4f,"Mackay, Helen,",Chill hours,1919,f,high_female,186.4072677408296
uc1.$b323468,"Brown, Henry Phelps, Sir,",The balloon / | $c: by Henry Phelps Brown.,1953,m,high_male,186.21616433096563
mdp.39015041920052,"O'Grady, Timothy.","I could read the sky : | a novel / | $c: Timothy O'Grady, Steve Pyke ; with a preface by John Berger.",1997,m,mixed,186.02394047233904
mdp.39015011047738,"Saʻdāwī, Nawāl.",Two women in one / | $c: Nawal el-Saadawi ; translated by Osman Nusairi and Jana Gough.,1985,f,mixed,185.98403637021156
mdp.39015000607815,"Raworth, Tom.",A serial biography.,1969,m,high_male,185.80165673143918
uc1.$b301223,"MacColla, Fionn.","The Albannach, | $c: by Fionn Mac Colla ...",1932,u,high_male,185.77601873914622
mdp.39015024989447,"Bolger, Dermot,",The woman's daughter / | $c: Dermot Bolger.,1991,m,high_female,185.738309781381
mdp.39015012266519,"Bellini delle Stelle, Pier Luigi.","Dongo, the last act | $c: [by] Pier Luigi Bellini delle Stelle & Urbano Lazzaro. Translated by W. C. Darwell.",1964,m,high_male,185.66257496627352
mdp.39015011336198,"Pavese, Cesare.",The house on the hill / | $c: Cesare Pavese ; translated from the Italian by W. J. Strachan.,1956,m,mixed,185.55895566117584
mdp.39015084093916,"Mina, Denise.",Still midnight / | $c: Denise Mina.,2009,f,high_male,185.39260746977715
uc2.ark:/13960/t9183883t,"Rae, Herbert,",Maple leaves in Flanders fields,1917,m,,185.1799496762885
uc2.ark:/13960/t4cn7376s,"Mitton, G. E.",The cellar-house of Pervyse;,1917,f,mixed,185.16598278697023
mdp.39015039770782,"Burke, Thomas,",Night-pieces; | eighteen tales.,1935,m,high_male,184.6078109616016
mdp.39015028025560,"Matveev, Vladimir.","The commissar of the gold express; | an episode in the civil war, | $c: by V. Matveyev; illustrations by Ernst.",1933,u,high_male,184.60161479796378
inu.30000044867673,"Abrahams, Peter,",Mine boy / | $c: Peter Abrahams ; illustrated by Ruth Yudelowitz.,1975,m,high_female,184.52767278789497
mdp.39015012414341,"Poliakoff, Stephen,","Runners ; &, Soft targets / | $c: Stephen Poliakoff.",1984,m,,184.3952450612807
uc1.b2802533,"Greer, Herb,",The trip / | $c: Herb Greer.,1963,m,,184.14228060214526
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,183.54761516755153
mdp.39015031228268,"Dawson, Jennifer.",Strawberry boy / | $c: [by] Jennifer Dawson.,1976,f,mixed,183.33355003965727
mdp.39015082751119,"Addonia, Sulaiman S. M. Y.",The consequences of love / | $c: Sulaiman S.M.Y. Addonia.,2008,u,high_male,183.1484804254251
inu.30000068200595,"Gee, Sue.",Spring will be ours / | $c: Sue Gee.,1995,f,,182.96988649605711
inu.39000005880856,"MacManus, Diarmuid A.",The middle kingdom : | the faerie world of Ireland / | $c: D. A. MacManus.,1973,u,mixed,182.9695384307503
inu.30000038744680,"Lloyd-Jones, Robin,",Fallen angels : | stories of los gamines / | $c: Robin Lloyd-Jones.,1992,u,,182.24366806801
mdp.39015000630155,"Lash, Jennifer.",The dust collector / | $c: Jennifer Lash.,1979,f,mixed,181.09047962732103
mdp.39015005183457,"Church, Richard,","Green tide | [by] Richard Church, illustrated by C. F. Tunnicliffe, A. R. A.",1945,m,high_male,180.8187472877188
wu.89079729414,"Moorehead, Alan,","African trilogy : | comprising Mediterranean front, A year of battle, The end in Africa : a personal account of the three years' struggle against the axis in the Middle East and North Africa, 1940-3 / | $c: Alan Moorehead ; with a foreword by Field-Marshal Viscount Wavell.",1944,m,high_male,180.78904102940552
uc2.ark:/13960/t4dn4205x,"Jørgensen, Johannes,",Pilgrim walks in Franciscan Italy,1908,u,high_male,180.49914957131452
uc1.$b119554,"Brathwaite, Errol,",The needle's eye.,1965,m,high_male,180.3000708321707
mdp.39015018943913,"Treherne, John.",The walk to Acorn Bridge.,1989,m,high_female,180.08093048876083
uc1.32106018134871,"Hunt, Chris",Duval's gold / | $c: Chris Hunt,1997,m,high_male,179.72945986567586
mdp.39015010309220,"McEwan, Ian.",The comfort of strangers / | $c: Ian McEwan.,1981,m,high_female,179.18644698873686
uc1.b3117791,"Evans, Colin,",An end to asking why.,1967,m,high_male,178.83905744260147
mdp.39015008289681,"(Jean-Marie Gustave), Le Clézio, J.-M. G.","The flood, | $c: by J. M. G. Le Clézio; translated from the French by Peter Green.",1967,m,high_male,178.68017050735554
mdp.39015013259653,"(Jean-Marie Gustave), Le Clézio, J.-M. G.","The flood, | $c: by J. M. G. Le Clézio; translated from the French by Peter Green.",1967,m,high_male,178.67587555185207
uc2.ark:/13960/t78s4p168,"Bone, Gertrude,",Mr. Paul,1921,f,,178.57649026332945
uc2.ark:/13960/t4dn44315,"Wynne, Ellis,","The sleeping bard; or, Visions of the world, death, and hell",1860,m,high_male,178.4651992861392
