htid,author,title,year,authgender,female_category,gb_subcity_intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,661.2529002320185
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,485.89530072283367
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,470.3668861712136
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,469.7116942014901
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,466.4065357883185
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,465.29294463963544
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,458.3456280121964
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,452.71529015845033
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,425.6491915727585
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,410.1890971737971
mdp.39015059376221,,The New British novelist;,1830,u,,348.2361759607727
mdp.39015063587425,"Burke, Barbara, 1867-1941.",Barbara goes to Oxford,1907,f,mixed,255.2125969085569
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,252.95900840068705
mdp.39015065711627,"Smith, Logan Pearsall,","The youth of Parnassus, and other stories",1895,m,high_male,246.55282622591545
uc2.ark:/13960/t3rv0kp5g,"Tearle, Christian",The pilgrim from Chicago,1913,m,high_male,239.8660156693539
uc2.ark:/13960/t9862t682,"Pease, Howard,",Tales of Northumbria,1899,m,high_male,237.20445867242643
mdp.39015072453833,,"Coventry constables' presentments, 1629-1742 / | $c: edited by Levi Fox.",1986,u,high_male,235.84099531735995
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,232.50691402139063
inu.30000094670670,,Victorian novels of Oxbridge life / | $c: edited and introduced by Christopher Stray.,2004,u,,227.69475638871697
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,222.986748216106
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,221.4960058097313
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,high_female,219.53762188017413
uc1.b3548775,"Thackeray, William Makepeace,",Works,1883,m,mixed,217.2465265816971
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,216.51162443445668
uc1.$b675574,"Lubbock, Percy,",Earlham.,1963,m,high_female,214.0908479220954
uc2.ark:/13960/t9t14vp4t,"Miles, Hamish,",The Oxford circus;,1922,u,,211.231324059763
mdp.39015059978638,"Ballard, J. G.,",Millennium people / | $c: J.G. Ballard.,2003,m,,211.1559017569383
uiuo.ark:/13960/t2x35cg1z,"Parker, Hastings,",Bentley Priory,1859,f,high_female,208.8853644856198
uc2.ark:/13960/t9s18647f,"Thackeray, William Makepeace,",The Newcomes,1869,m,mixed,208.44521713801987
mdp.39015019996829,"Burgess, Anthony,",The worm and the ring.,1961,m,,207.96815116313616
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,204.7273404057325
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,204.10850671582824
njp.32101068599958,"Roberts, S. C.",Doctor Johnson in Cambridge,1922,u,high_male,203.49064725678952
mdp.39015034434293,"Ackroyd, Peter,",Dan Leno and the Limehouse Golem / | $c: Peter Ackroyd.,1994,m,mixed,198.4970934354176
inu.30000005072487,"Rice, James,","The Cambridge freshman, or, Memoirs of Mr. Golightly",1878,m,,197.2627029423173
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,194.62416495713012
mdp.39015000609530,"Spark, Muriel.",The ballad of Peckham Rye.,1960,f,,194.54480485964984
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,192.6232847216565
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,191.2307061876793
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,190.76688286913392
mdp.39015050923211,"Tennant, Emma.",The time of the crack. -,1973,f,,188.83813509582257
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,187.6700760063808
mdp.39015002748807,"Hunt, Violet,","The wife of Rossetti; | her life and death, | $c: by Violet Hunt; with thirty illustrations ...",1932,u,mixed,187.22053245761788
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,185.4027461634481
uc2.ark:/13960/t9765ch2n,"Hone, William,","The report at large of the coroner's inquest on Jane Watson, shot at Mr. Robinson's address, &c",1815,m,high_male,181.9886394970496
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,181.8833556815315
uc1.$b56651,"Herring, Robert.","Adam and Evelyn at Kew, or, Revolt in the gardens / | $c: by Robert Herring ; illustrated by Edward Bawden.",1930,m,,181.75058862406544
mdp.39015060667410,"Gavron, Jeremy,",An acre of barren ground / | $c: Jeremy Gavron / with artwork by Temple Clark.,2005,m,,181.0043029166622
uc1.32106011768030,"Marías, Javier.",All souls / | $c: Javier Marías ; translated from the Spanish by Margaret Jull Costa.,1992,m,mixed,176.78796923430144
uc1.b2808912,"Gwynn, Gordon.",Did Adelaide Bartlett---? : | a medical opinion / | $c: by Gordon Gwynn.,1950,m,,175.2455475404491
uc2.ark:/13960/t56d5w74w,"Matheson, Annie,",A plain friend,1920,f,high_female,171.44081720122867
inu.30000108972955,"Williams, Alfred Rowberry,","Legends of the Severn Valley, | $c: collected and arranged by Alfred Rowberry Williams.",1925,m,,170.48712822181926
njp.32101067627453,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,170.04220690492818
inu.39000005786780,"Sturt, George,",The Bettesworth book;,1901,m,high_male,169.78516978516978
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,169.21201692120167
uiuo.ark:/13960/t1fj34h04,"Woodgate, Walter Bradford,","The O.V.H., or, How Mr. Blake became an M.F.H",1869,m,high_male,168.13415335604617
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,168.01075268817203
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,166.41704110500913
mdp.39015002755885,"Larg, David Class.",John Ruskin.,1932,m,,166.08642882238328
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,165.99130986671872
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,165.85800574314288
mdp.39015025923064,"Ramsay, James Henry,","Bamff charters, A. D. 1232-1703",1915,m,high_male,165.42821500244077
uc1.$b244994,"Mackenzie, Compton, Sir,","Figure of eight, | $c: by Compton Mackenzie.",1936,m,high_female,162.48436772585788
uc2.ark:/13960/t47p8wg3g,"Abbott, J. H. M.",Letters from Queer Street ;,1908,u,,162.25262862034162
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,161.505512253353
umn.319510021396669,"Dilnot, Frank,",I warmed both hands.,1933,m,mixed,161.39906429403237
mdp.49015002777382,"Jetmundsen, Norman.",The Soulbane stratagem : | diabolical subterfuge that threatens to destroy us / | $c: [Norman Jetmundsen].,2000,m,mixed,161.33690531913834
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,159.8721023181455
mdp.39015002758822,"Salkey, Andrew.",The adventures of Catullus Kelly.,1969,m,,159.03021574099077
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,158.86628520012945
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,158.4985408070846
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,158.20184089414855
mdp.39015031325395,"Jenkins, Elizabeth,",Dr. Gully.,1972,f,high_female,157.41638290292377
uc1.b3445494,"Thackeray, William Makepeace,",The Newcomes;,1854,m,mixed,157.04486565356876
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,156.72853178950402
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,156.2771314464317
inu.30000007046091,"Wilson, Colin,","Adrift in Soho, | a novel.",1961,m,,155.9093444202201
mdp.39015001032708,"Waterhouse, Keith.","Maggie Muggins, or, Spring in Earl's court / | $c: Keith Waterhouse.",1981,m,high_female,155.51125630133697
uc1.$b245052,"Thirkell, Angela Mackail,","Coronation summer, | by Angela Thirkell.",1937,f,mixed,154.9002085195114
mdp.39015020062736,"Colman, George,",Random records;,1830,m,high_male,154.7656495753382
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,154.42311934701078
uc1.$b301165,"Leslie, Shane,",The Cantab / | $c: Shane Leslie.,1926,u,mixed,154.24452899329737
uiuo.ark:/13960/t6737599r,"Gore,",Preferment;,1840,f,mixed,153.19860109560213
mdp.39015050979924,"Waten, Judah L.",Scenes of revolutionary life / | $c: Judah Waten.,1982,m,mixed,152.8013582342954
mdp.39015074267256,"Ewing, Barbara.","The mesmerist : | or the Misses Preston, of Bloomsbury / | $c: Barbara Ewing.",2007,f,high_female,152.17391304347825
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,151.9756838905775
uc2.ark:/13960/t01z4824d,"Braddon, M. E.",Rough justice,1898,f,,151.77208750211977
mdp.39015073677190,"Hoban, Russell.",My tango with Barbara Strozzi / | $c: Russell Hoban.,2007,m,,151.72017878377827
uc1.$b783912,"Dame. Macaulay, Rose,","They were defeated, | $c: by Rose Macaulay.",1960,f,high_male,150.85057916929193
uc1.$b787171,"Moore, John,",The blue field.,1948,m,high_male,149.15098669114272
uc1.b3810859,"Burke, Thomas,","The wind and the rain; | a book of confessions, | $c: by Thomas Burke",1924,m,,148.73047912461493
mdp.39015064690533,"Self, Will.",The book of Dave : | a revelation of the recent past and the distant future / | $c: Will Self.,2006,m,high_male,148.6821125164704
mdp.39015047764249,"Elms, Robert,",In search of the crack / | $c: Robert Elms.,1988,m,high_male,148.35893132927168
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,148.29545941590445
inu.30000048164234,"Miss. Read,",The year at Thrush Green / | $c: Miss Read ; illustrated by John S. Goodall.,1995,m,,146.6275659824047
mdp.39015078776922,"Bragg, Melvyn,",Remember me / | $c: Melvyn Bragg.,2009,m,,146.5530386459516
njp.32101067644656,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,145.46042264333914
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,145.42895678179792
mdp.39015055799897,"Abse, Dannie.",The strange case of Dr Simmonds & Dr Glas / | $c: Dannie Abse.,2002,m,mixed,145.0207270190032
mdp.39015030747268,"Henrey, Robert, Mrs.,",Julia: | reminiscences of a year in Madeleine's life as a London shop-girl.,1971,f,high_female,144.75339886657144
mdp.39015068801581,"Tennant, Emma.",Confessions of a sugar mummy / | $c: Emma Tennant.,2007,f,mixed,144.36524406749072
uc2.ark:/13960/t9w090v4w,"Gibbs, A. Hamilton",The compleat Oxford man,1911,m,,144.3001443001443
uc2.ark:/13960/t6sx6503p,"Escott, T. H. S.",A trip to Paradoxia and other humours of the hour,1899,m,,141.84397163120565
uc2.ark:/13960/t4th8qw59,"Everett-Green, Evelyn,",A clerk of Oxford,1898,f,,141.8195882934376
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,141.6163141993958
uc2.ark:/13960/t22b9158b,"Leslie, Shane,",The Oppidan,1922,u,high_male,141.515681750054
uiuo.ark:/13960/t1hh6wn89,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,141.4868105515588
uc1.b3127428,"Disraeli, Benjamin,",Novels and tales by the Earl of Beaconsfield,1881,m,,139.64817816360355
mdp.39015003929737,"Gibbs, Philip,","The long alert, | a novel by Philip Gibbs.",1941,m,,138.14744279215722
mdp.39015022220324,"Sturgeon, Theodore.","Starshine, | $c: by Theodore Sturgeon.",1968,m,mixed,138.00506018554017
uc2.ark:/13960/t5z60fh7d,"Wedmore, Frederick,",English episodes,1894,m,,137.28043929740574
njp.32101067300960,"Gibbs, Philip,",Helen of Lancaster Gate,1912,m,high_female,135.9613636174064
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,135.22936167515374
mdp.39015078805382,"Taylor, D. J. (David John),",Ask Alice : | a novel / | $c: D.J. Taylor.,2009,m,high_female,135.20694337840231
mdp.39015076147670,"Kāniṭakara, Hemanta,",Taking a chance / | $c: V.P. (Hemant) Kanitkar.,2008,u,high_female,135.0563682631751
mdp.39015063543030,"Henrey, Thomas Selby.","Attic salt, the saving grace of humour",1914,m,,134.58637893027034
uc1.31158010777703,"Grant, John,",Legends of the braes o' Mar,1910,m,high_male,134.5685307949459
wu.89097347694,"Shute, Nerina,","We mixed our drinks; | the story of a generation, | $c: by Nerina Shute.",1945,u,high_female,134.3119821421815
uc1.b4101372,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,134.11103542234335
uc1.$b251000,"Vaizey, John,",Barometer man / | $c: a novel by John Vaizey.,1966,m,,134.05298620665326
mdp.39015066896757,"Kops, Bernard,",Bernard Kops' East End : | by the waters of Whitechapel / | $c: Bernard Kops.,2006,m,mixed,133.87264886160438
uc1.$b807356,"Coxhead, Elizabeth,",The midlanders.,1953,f,high_female,133.72130340828858
wu.89014636112,"Lynch, Conor.",Equal citizenship and the end of sectarian politics.,1987,u,high_male,133.09671694764862
inu.39000002347248,"Gore,",The banker's wife,1843,f,mixed,132.80212483399734
uiuo.ark:/13960/t00z7qb46,"Braddon, M. E.",A strange world,1875,f,,132.512049859479
uc1.$b752378,"Jaques, E. T.",Rambles with an American,1910,u,high_male,132.04651355723627
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,131.96005412598834
njp.32101075688976,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,131.84195976693746
nyp.33433075772529,"Willoughby, George,","The adventures, and other stories",1913,m,,131.79143541291558
inu.30000029791955,"Sinclair, Iain,","Downriver, (or the vessels of wrath) : | a narrative in twelve tales / | $c: Iain Sinclair.",1991,m,,131.72946926890145
mdp.39015003659755,"Richardson, Mary R",Laugh a defiance.,1953,f,high_female,131.65634891733663
uc1.b3401748,"Disraeli, Benjamin,",Endymion,1880,m,,131.1101610374804
mdp.39015056678488,"Vakil, Ardashir,",One day / | $c: Ardashir Vakil.,2003,u,,130.57265435553072
mdp.39015059975998,"Ackroyd, Peter,",The Clerkenwell tales / | $c: by Peter Ackroyd.,2003,m,mixed,130.55312650105304
mdp.39015002752197,"Ruskin, John,",Praeterita;,1899,m,,130.2454817222174
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,130.0023494400501
uc1.b3578457,"Gore,","Cecil, a peer",1841,f,,129.74434881128593
uc2.ark:/13960/t7br8pf30,"Russell, George William Erskine,","""For better? For worse?""",1902,m,,129.6373965760476
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,128.8060395720777
mdp.39015030853009,"Burke, Thomas,",The flower of life.,1929,m,high_female,128.73866051914615
mdp.39015084104259,"Evans, Diana,",The wonder / | $c: Diana Evans.,2009,f,,128.70113869117222
uc1.$b101840,"Golding, Louis,",The loving brothers / | $c: by Louis Golding.,1952,m,mixed,128.5816764343624
mdp.39015016455787,"Brahms, Caryl,",You were there | $c: [by] Caryl Brahms [pseud.] & S. J. Simon [pseud.],1950,f,mixed,128.3208972957559
uc1.32106006743667,"Kitchen, Paddy.",The golden veil : | a novel based on the life of Elizabeth Siddall / | $c: by Paddy Kitchen.,1981,f,,128.11464342702837
uiuo.ark:/13960/t6pz5tn4k,"Riddell, J. H.,",Susan Drummond,1884,f,mixed,127.77750120309986
mdp.39015050141392,"Adams, Herbert,",The Sloane square mystery / | $c: by Herbert Adams.,1926,u,,127.62028891061148
inu.32000009218043,"Greene, Graham,",It's a battlefield / | $c: Graham Greene.,1934,m,mixed,127.40460422579626
mdp.39015008579966,"Thackeray, William Makepeace,",Works,1883,m,,127.2252816136252
uiuo.ark:/13960/t9q24g53g,"Middleton, Colin.",Innes of Blairavon,1893,m,high_male,126.80876196431986
uiuo.ark:/13960/t07w7036t,"Stuart, Esmè,",A woman of forty,1893,u,high_female,126.6671634006408
njp.32101068168051,"Crake, A. D.",The Andreds-weald,1878,u,high_male,126.60931112331446
inu.32000005557592,"Burke, Thomas,","Dark nights, | $c: by Thomas Burke.",1944,m,high_male,126.1248977365694
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,125.92656191866288
mdp.39015053238880,,London tales / | $c: edited by Julian Evans.,1983,u,high_female,125.66067049487457
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,125.31328320802004
uc2.ark:/13960/t3hx1810q,"Russell, George William Erskine,",Mr. Woodhouse's correspondence,1903,m,high_female,125.25698103445929
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,125.13360619411353
mdp.39015062319515,"Sala, George Augustus,",The seven sons of Mammon,1862,m,mixed,124.29002933822784
mdp.39015077135542,"Blake, Victoria.",Jumping the cracks / | $c: Victoria Blake.,2008,f,,124.21272224920575
mdp.39015028467465,"Beattie, Geoffrey.",We are the people : | journeys through the heart of Protestant Ulster / | $c: Geoffrey Beattie.,1992,m,,124.1711146944442
mdp.39015005315372,"Wilson, A. N.,",Who was Oswald Fish? / | $c: A.N. Wilson.,1981,m,high_female,123.22563093123368
uc1.b4948381,"Lom, Herbert.",Enter a spy : | the double life of Christopher Marlowe / | $c: by Herbert Lom.,1978,m,high_male,123.0287439883682
uc2.ark:/13960/t4fn13d8b,"McKenna, Stephen,",Sheila intervenes,1919,m,,122.79090073947413
uc1.b3290602,"Ward, R. Plumer",Pictures of the world at home and abroad,1839,m,,122.73928916117664
mdp.39015029969188,"Dickens, Monica,",One of the family / | $c: Monica Dickens.,1993,f,,122.67339752358596
inu.39000002644297,"Story, Jack Trevor.",Morag's flying fortress / | $c: Jack Trevor Story.,1976,m,,122.52513157528335
mdp.39015059177504,"Isalāma, Saiẏada Manajurula.",Burrow / | $c: Manzu Islam.,2004,u,,122.35826189314562
mdp.39015032216973,"Sinclair, Iain.","Radon daughters : | a voyage, between art and terror, from the Mound of Whitechapel to the limestone pavements of the Burren / | $c: Iain Sinclair.",1994,m,,121.9801101853392
uiuo.ark:/13960/t3jw8nr85,"Allen, Grant,",The scallywag,1893,m,,121.7128314830524
uc2.ark:/13960/t1mg7jr51,"Morley, Charles Robert,",Travels in London,1916,m,high_male,121.39107611548556
uc1.32106005534992,"Ackroyd, Peter,",Hawksmoor / | $c: by Peter Ackroyd.,1985,m,high_male,121.30947301491688
mdp.39015030850195,"Ashton, John,",Varia,1894,m,,121.13750099293034
nyp.33433075959613,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,high_female,120.51217675119254
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,120.511275496468
uc1.32106017520823,"Alcoe, Tony",The gardener's boy / | $c: Tony Alcoe,2004,m,high_female,120.36644896685463
uiuo.ark:/13960/t1vd7bz9n,"St. Aubyn, Alan.",The master of St. Benedict's,1893,f,high_female,120.05850123332824
njp.32101013147549,"Lang, Andrew,",Old friends,1890,m,,119.9563794983642
inu.30000001664782,"Gore,",Castles in the air,1847,f,mixed,119.65754348119184
uiuo.ark:/13960/t0sq98b2b,"Gore,",Preferment;,1840,f,mixed,119.38443423225996
mdp.39015043790263,"Planer, Nigel.",The right man / | $c: Nigel Planer.,1998,m,high_female,119.3834422867706
uc2.ark:/13960/t21c1ws0w,"Wedmore, Frederick,",Orgeas and Miradou,1896,m,high_female,119.29615269907548
mdp.39015064746129,"Charles, Edward.",In the shadow of Lady Jane : | a novel of Tudor England / | $c: Edward Charles.,2006,m,high_female,119.23169058559638
mdp.39015060383612,"Rendell, Ruth,",Thirteen steps down / | $c: Ruth Rendell.,2004,f,mixed,118.97036556348692
wu.89042484659,"Breeze, David John.","The Roman fort at Bearsden, 1973 excavations : | an interim report / | $c: by David J. Breeze.",1974,m,high_male,118.9532117367169
wu.89015991284,"Arlen, Michael.","""Piracy""; | a romantic chronicle of these days.",1924,m,,118.89758162318978
uc1.32106015520437,"Woolf, Virginia,",Jacob's room.,1960,f,,118.67029186883178
mdp.39015030747276,"Henrey, Robert, Mrs.,",An exile in Soho.,1952,f,high_female,118.47469952365002
mdp.39015000635394,"Leslie, Shane,","The Anglo-Catholic; | a sequel to ""The Cantab.""",1929,u,mixed,117.60996105235348
uc1.b3334259,"Lethbridge, Mabel.","Fortune grass, | $c: by Mabel Lethbridge.",1934,f,,117.55539456237956
mdp.39015019670390,"Louvish, Simon.",The last trump of Avram Blok / | $c: Simon Louvish.,1990,m,,117.55257009345794
mdp.39015015448262,"Higgins, Aidan,",Helsingør Station & other departures : | fictions and autobiographies 1956-1989 / | $c: Aidan Higgins.,1989,m,mixed,117.37089201877932
njp.32101066459684,"Gore,",The dowager,1840,f,,117.1989452094931
mdp.39015010558420,"Pym, Barbara.",Crampton Hodnet / | $c: Barbara Pym.,1985,f,,117.160235317579
mdp.39015063933264,"Lawler, O'Dermid W.",East London visions,1910,u,mixed,117.08439999206207
mdp.39015066797344,"Sutton, William.",The worms of Euston Square / | $c: William Sutton.,2006,m,mixed,116.98559167253585
mdp.39015046410471,"Selvon, Samuel.",Moses ascending / | $c: [by] Sam Selvon.,1975,m,mixed,116.6564467642792
inu.30000039954809,"Bold, Alan Norman,",East is west : | a novel / | $c: Alan Bold.,1991,m,mixed,116.50561478740175
inu.30000047607704,"Wilson, Colin,",Ritual in the dark / | $c: by Colin Wilson.,1960,m,high_male,116.3530483925511
coo.31924014164572,"Mackenzie, Compton,",Sinister street.,1949,m,,116.08851749458964
hvd.hwkcjs,"Gore,","Cecil, or, The adventures of a coxcomb",1841,f,,116.05289396688404
mdp.39015046342658,"Brooke-Rose, Christine,",Next / | $c: Christine Brooke-Rose.,1998,f,mixed,115.7279841287336
uc1.32106009250041,"Bailey, Hilary,",A stranger to herself / | $c: Hilary Bailey.,1989,f,high_female,115.67637310079417
dul1.ark:/13960/t3902vm2j,"Gore,","Stokeshill Place, or, The man of business",1837,f,high_female,115.48128523877456
njp.32101067301786,"Munford, George Frederick.",Ghosts and legends of South Somerset,1922,m,mixed,115.45728080610176
dul1.ark:/13960/t3708t61x,"Levy, Amy,",Reuben Sachs;,1888,f,,115.16834902784366
uc1.$b120401,"Gordon, Richard,",The facemaker | $c: [by] Richard Gordon.,1967,m,,115.16731855714907
mdp.39015005188258,"Wilson, A. N.,",The sweets of Pimlico / | $c: A. N. Wilson.,1977,m,high_female,114.62372286531004
mdp.39015008792726,"(Alan Patrick), Herbert, A. P.","Mr. Gay's London, | with extracts from the Proceedings at the Sessions of the Peace, and Oyer and Terminer for the city of London and county of Middlesex in the years 1732 and 1733.",1948,m,high_male,114.5920726841147
uc2.ark:/13960/t7hq48h5k,"Sadleir, Michael,",Hyssop;,1915,m,,114.50069518279216
mdp.39015013248656,"Mackenzie, Compton, Sir,","The red tapeworm, | $c: by Compton Mackenzie.",1941,m,,114.4899127448089
mdp.39015021991388,"Lively, Penelope,",City of the mind / | $c: Penelope Lively.,1991,f,mixed,114.31768154012676
mdp.39015013250157,"Hoban, Russell.",The Medusa frequency / | $c: Russell Hoban.,1987,m,high_female,114.29624850216612
mdp.39015050763211,"Tennant, Emma.",The ballad of Sylvia and Ted / | $c: Emma Tennant.,2001,f,high_female,114.19870574800152
nyp.33433074871405,"Keary, Annie,",Janet's home,1882,f,high_female,114.11420050536287
mdp.39015038896026,"Barne, Kitty,",Elizabeth Fry; | $c: illustrated by Ruth Gervis.,1953,f,high_female,113.88062463522613
uc2.ark:/13960/t2g738v8m,"Gould, Nat.",The sweep winner,1920,m,high_male,113.85540363738052
inu.30000027155435,"Ableman, Paul.",Straight up : | the autobiography of Arthur Daley / | $c: Paul Ableman [and Leon Griffiths],1991,m,high_male,113.8195959404344
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,113.65556221106146
njp.32101067644664,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,113.60742757526492
uc2.ark:/13960/t6j09zs35,"Goldring, Douglas,",It's an ill wind,1915,m,,113.37466784765276
uc2.ark:/13960/t7sn0352v,"Oliphant,",Magdalen Hepburn,1854,f,high_female,113.3459731267002
mdp.39015053541333,"Jacob, Alaric,",Eminent nonentities / | $c: by Alaric Jacob ; illustrated by Philippe Jullian.,1970,u,,113.29610746945052
uc1.b3578773,"Hewlett, J.","Peter Priggins, the college scout",1841,m,high_male,113.19087847164708
uc1.$b322734,"Beresford, J. D. (John Davys),",The middle generation.,1932,m,,113.12521884342934
mdp.39015016452115,"Bowen, John,","The birdcage, | a novel.",1962,m,,112.81120331950206
mdp.39015029087049,"Brookner, Anita.",A family romance / | $c: Anita Brookner.,1993,f,high_female,112.49105184814842
mdp.39015068802886,"Walsh, John,",Sunday at the cross bones : | a novel / | $c: John Walsh.,2007,m,,112.41127019890013
uiuo.ark:/13960/t8rb7kb4c,"St. Aubyn, Alan.",The junior dean,1891,f,mixed,112.27597434493988
inu.30000045098336,,The Time Out book of London short stories / | $c: edited by Maria Lexton.,1993,u,high_female,111.91363710711856
uiuo.ark:/13960/t2697rd89,"Pycroft, James,",Dragons' teeth,1863,m,mixed,111.82555213866368
uc1.$b102154,"Greene, Graham,",The bear fell free | $c: [by] Graham Greene.,1935,m,,111.76306230790723
uc1.$b56315,"Barclay, Hubert, Mrs.,","The queen's cause, | Scottish narrative, 1561-1587.",1938,f,,111.69418264972968
mdp.39015003681072,"Gardam, Jane.",The Sidmouth letters / | $c: by Jane Gardam.,1980,f,high_female,111.48962527098176
mdp.39015063928512,"Disraeli, Benjamin,",Lothair,1870,m,,111.45701218340442
nyp.33433082123674,"Dilke, Charles Wentworth,",The fall of Prince Florestan of Monaco,1874,m,high_male,111.42475115138907
mdp.39015019656522,"Wain, John.",Comedies / | $c: John Wain.,1990,m,mixed,111.34558887145978
mdp.39015042816945,,Does the sun rise over Dagenham? : | and other stories : new writing from London : [with stories / | $c: by Nicola Barker ... et al.] ; foreword by Mark Lawson,1998,u,high_female,111.33438331613532
uc1.b3476899,"Nobbs, David.",A piece of the sky is missing.,1969,m,,111.08722138608186
