htid,author,title,year,authgender,female_category,gb_scotland_intensity
mdp.39015025923064,"Ramsay, James Henry,","Bamff charters, A. D. 1232-1703",1915,m,high_male,545.0995281227965
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,494.57399194784495
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,455.92705167173256
inu.30000039146844,"Whitaker, Terence W.",Scotland's ghosts and apparitions / | $c: Terence Whitaker.,1991,m,mixed,403.0862060438201
mdp.39015031305421,"Simpson, Evelyn Blantyre,",Robert Louis Stevenson's Edinburgh days,1898,f,,379.08418075696494
mdp.39015068053472,"Parker, Katherine Borradaile (Kensit) Mrs.","""My Lady Dundie"" | being a very true accompt of her life death & burial, & of the finding of her body so perfect one hundred years later, | $c: all faithfully told by her biographer & scribe Katherine Parker ... With a foreword by Professor Charles Sanford Terry.",1928,f,,342.56476752030414
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,331.63014640856835
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,330.76499019243346
mdp.39015059587298,"Drummond, Andrew.","An abridged history of the construction of the railway line between Garve, Ullapool and Lochinver; And other pertinent matters : | being the professional journal and regular chronicle of Alexander Auchmuty Seth Kininmonth / | $c: edited by Andrew Drummond ; with a foreword by Alfred Marjoribanks.",2004,m,high_male,325.6901034463683
mdp.39015073428784,"Henty, G. A.",In freedom's cause,1885,m,high_male,305.0885348517625
uc1.$b56315,"Barclay, Hubert, Mrs.,","The queen's cause, | Scottish narrative, 1561-1587.",1938,f,,302.6978441040011
inu.39000005770560,"Mackintosh, William R.",Around the Orkney peat-fires,1914,m,high_male,293.34277933981264
mdp.39015000596570,"pseud. Oliver, Jane,",Not peace but a sword.,1939,f,,283.3282833920722
nyp.33433071388346,"Mackintosh, W. R.",Around the Orkney peat-fires,1905,u,high_male,278.3013637875596
wu.89042484659,"Breeze, David John.","The Roman fort at Bearsden, 1973 excavations : | an interim report / | $c: by David J. Breeze.",1974,m,high_male,277.5574940523394
uc1.$b322939,"Barke, James,",The well of the silent harp : | a novel of the life and loves of Robert Burns.,1954,m,,276.6757566843432
wu.89080114168,"Brown, John,",The Enterkin,1865,m,high_male,275.5150934355534
inu.39000001190797,"McGonagall, William.","Further poetic gems / | $c: William McGonagall, poet and tragedian ; died in Edinburgh 29th September, 1902.",1980,m,high_male,274.42908948348526
uc1.b4451122,"McEwen, Todd.",McX / | $c: Todd McEwen.,1990,m,high_female,273.3524110536881
mdp.39015084102576,"Russell, Craig,",Lennox / | $c: Craig Russell.,2009,m,,268.2904264892642
inu.39000005886747,"Robertson, R. MacDonald.","Selected Highland folk tales; | gathered orally | $c: by R. MacDonald Robertson, edited by Jeremy Bruce Watt.",1961,m,high_male,255.75136096259945
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,244.081238233285
uiuo.ark:/13960/t2p566t0s,"Somers, Robert,",The martyr of Glencree,1878,m,high_female,237.94456397924313
mdp.39015063947488,,Patrick Welwood,1841,u,high_male,232.43238115115693
uc1.$b300163,"Douglas, Ronald MacDonald.",The sword of freedom; | a romance of Lord James of Douglas and Scotland's war of independence | $c: [by] Ronald MacDonald Douglas.,1936,m,high_male,230.56034703601867
mdp.39015062821890,"McCall Smith, Alexander,","One city / | $c: Alexander McCall Smith, Ian Rankin, Irvine Welsh ; with an introduction by J.K. Rowling ; foreword by Lesley Hinds.",2005,m,,228.13212912903523
mdp.39015046311257,"McHardy, Stuart.",The silver chanter and other piper tales / | $c: by Stuart McHardy.,2004,m,high_male,224.17563001082232
uc1.$b101965,"Plaidy, Jean,","Royal road to Fotheringay, | $c: by Jean Plaidy.",1956,f,,223.317104457596
mdp.39015005719573,"Mackenzie, Compton, Sir,","The north wind of love, | being volume four of ""The four winds of love.""",1949,m,,218.57700243090312
mdp.39015065549191,"Ross, Martin,",The silver fox,1898,f,,217.54310576354945
uiuo.ark:/13960/t4cn7h270,"Grant, James,",The white cockade =,1867,m,high_male,216.08464557150663
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,215.36304055407683
mdp.39015073624267,"Archibald, Malcolm.",Powerstone : | stealing the Scottish crown jewels / | $c: Malcolm Archibald.,2008,m,high_female,213.9361317612121
uc1.31158010777703,"Grant, John,",Legends of the braes o' Mar,1910,m,high_male,212.4766275709672
inu.32000006980835,"McGonagall, William.","The railway bridge of the silvery Tay, and other disasters; | $c: selected from the works of William McGonagall.",1972,m,,201.19589334737324
nyp.33433075959621,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,high_female,198.90158824402553
uc2.ark:/13960/t91839t3d,"Galt, John,",Ringan Gilhaize,1823,m,high_male,192.72343349365687
mdp.39015079149228,"Knight, Alanna.",Murder in paradise / | $c: Alanna Knight.,2008,f,,189.4472747753514
inu.30000108973037,"Bliss, Douglas Percy,","The devil in Scotland; | being four great Scottish stories of diablerie, | $c: along with an introductory essay and thirty-nine original wood engravings, by Douglas Percy Bliss.",1934,m,high_male,189.14255375630475
mdp.39015061210301,,The book of St Andrews / | $c: edited by Robert Crawford.,2005,u,high_female,187.43179921689452
uiuo.ark:/13960/t3708fq32,"Grant, James,",The white cockade =,1867,m,high_male,185.06117976502105
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,181.7262277235361
mdp.39015043091290,,Echoes of the sea : | Scotland and the sea : an anthology / | $c: edited by Brian D. Osborne & Ronald Armstrong.,1998,u,,181.41811030424375
mdp.39015049970992,"Robertson, James,",The fanatic / | $c: James Robertson.,2000,m,,181.2441113644373
coo.31924013520287,"McGonagall, William.","Poetic gems, | $c: selected from the works of William McGonagall,  with biographical sketch and reminiscences by the author.",1954,m,,180.81192415332853
uiuo.ark:/13960/t3902hh03,"Grant, James,",The white cockade =,1867,m,high_male,180.55104177951105
mdp.39015062852390,"McCall Smith, Alexander,",Espresso tales : | the latest from 44 Scotland Street / | $c: Alexander McCall Smith ; illustrated by Ian McIntosh.,2005,m,,173.35364821398338
uc1.b3332024,"Simpson, E. Blantyre",Robert Louis Stevenson's Edinburgh days,1914,u,,172.59651778955336
mdp.39015000577141,"Brown, George Mackay.",Magnus: | a novel.,1973,m,high_male,170.8713047343854
njp.32101065845875,"Munro, Neil,",Hurricane Jack of the Vital Spark / | $c: by Hugh Foulis.,1923,m,high_male,169.8890181522723
mdp.39015062819795,"Brown, George Mackay.",Beside the ocean of time / | $c: George Mackay Brown.,2005,m,,166.12426639796294
njp.32101068574530,"Orczy, Emmuska Orczy,",Lady Molly of Scotland Yard,1910,f,high_female,164.7413758882141
nyp.33433082227798,"Smollett, T.",The works of Tobias Smollett,1895,m,,164.08012579476312
inu.30000029844648,"Brander, Michael.",Tales of the Borders / | $c: Michael Brander.,1991,m,mixed,160.9899681624317
mdp.39015055899960,"Stephen, Ian,",Mackerel & creamola : | stories and recipes / | $c: Ian Stephen.,2001,m,high_male,160.33436019384243
uc1.b4948526,"Brown, George Mackay.",Magnus: | a novel.,1973,m,,159.74859237920649
uiuo.ark:/13960/t8rb7ph0x,,St. Clyde,1816,u,mixed,158.9094598992935
mdp.39015048881158,"Linklater, Eric,","Magnus Merriman, | a novel.",1934,m,,158.2278481012658
uc2.ark:/13960/t03x84n7m,"Hunter, John Kelso.",Life studies of character,1871,m,high_male,156.14543832255185
hvd.hwadam,"Scott, Walter,",The Waverley novels,1829,m,high_male,155.81312812167278
uiuo.ark:/13960/t3bz6v35r,"Scott, Walter",Rob Roy,1818,m,,155.50389545111835
inu.30000092685563,,Milking the Haggis / | $c: edited by Valerie Thornton and Hamish Whyte ; with Maoilios Caimbeul (Gaelic adviser).,2004,u,,155.09571037916822
uc1.32106006950585,"Defoe, Daniel,","An account of the conduct and proceedings of the late John Gow, alias Smith, captain of the late pirates, executed for murther [sic] and piracy, committed on board the George Galley, afterwards call'd the Revenge : | with a relation of all the horrid murthers [sic] they committed in cold blood : as also of their being taken at the islands of Orkney, and sent up prisoners to London / | $c: by Daniel Defoe.",1978,m,high_male,153.56880550176936
inu.32000005270816,,"The Abduction, or, The adventures of Major Sarney",1825,u,,152.17081173617385
mdp.39015058006282,"Brown, John,"," With brains, sir",1866,m,,151.6875237011756
hvd.32044086801958,,Cameron,1832,u,,148.16311411927128
mdp.39015051177718,"Hoyle, Fred, Sir.","The inferno, | $c: by Fred Hoyle and Geoffrey Hoyle.",1973,m,high_male,147.76223989275817
mdp.39015063748001,"Black, William,",White heather,1885,m,,147.3158191192825
mdp.39015056903779,"Jenkins, Robin,",Lady Magdalen / | $c: Robin Jenkins.,2003,f,mixed,147.06541720844731
uc1.32106007017350,"Hough, Richard Alexander,",Buller's victory / | $c: Richard Hough.,1984,m,high_male,144.6485596341504
mdp.39015063747995,"Black, William,",White heather,1885,m,,144.28777553965054
wu.89066705278,"Larsson, Björn,",The Celtic ring / | $c: Björn Larsson ; translated by George Simpson.,1997,u,,144.2412558136262
uiuo.ark:/13960/t64469q6c,,St. Clyde,1816,u,mixed,142.42702868372186
uc1.$b243577,"O'Flaherty, Liam,","Thy neighbour's wife, | $c: by Liam O'Flaherty.",1923,m,,142.13681661174417
mdp.39015030851821,"Blair, Anna.",A tree in the west / | $c: Anna Blair.,1976,f,mixed,142.04393750066748
mdp.39015059175623,"Rauszer, Rhona,",Consider an island = | An t-eilean sgitheanach / | $c: Rhona Rauszer ; edited by Linda Williamson.,2004,f,mixed,141.6567399632981
inu.30000092779630,,Bringing back some brightness : | 20 years of New writing Scotland / | $c: edited by Valerie Thornton and Hamish Whyte ; with Maoilios Caimbeul (Gaelic adviser).,2004,u,mixed,140.96618221288708
mdp.39015061192186,"Rauszer, Rhona,",The light fantastic : | Skye folk tales and fantasies / | $c: Rhona Rauszer ; edited by Linda Williamson.,2005,f,,139.99270871308786
mdp.39015037060616,"Brown, George Mackay.","Greenvoe, | a novel.",1972,m,,139.51395139513954
inu.30000001706039,"Owen, William,",Strange Scottish stories / | $c: retold and illustrated by William Owen.,1985,m,,138.81065422064862
uc2.ark:/13960/t6j09zj6g,"Steevens, G. W.",Monologues of the dead,1902,m,high_male,138.4019191732792
mdp.39015082699292,"Anderson, Lin.",Easy kill / | $c: Lin Anderson.,2008,u,,137.78035842576097
njp.32101067173052,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,high_female,137.72478652658089
inu.30000101958589,,"Queen of the sheep / | $c: edited by Valery Thornton and Hamish Whyte, with Maoilios Caimbeul (Gaelic advisor).",2005,u,,136.91631756411567
inu.30000116726351,"Paisley, Janet,",White rose rebel / | $c: Janet Paisley.,2007,f,high_female,136.76148796498904
uc1.b4948528,"Brown, George Mackay.","A time to keep, and other stories.",1969,m,mixed,136.47272898398404
mdp.39015001158735,"Kennaway, James,",The Dollar bottom & Taylor's finest hour / | $c: by James Kennaway ; edited & introduced by Trevor Royle.,1981,m,high_male,136.2911410758301
uva.x030825961,"Hardy, Robina F.",The story of a coral necklace,1893,f,high_female,134.7822424395586
mdp.39015029276865,"Greig, Andrew.",Electric Brae : | a modern romance / | $c: Andrew Greig.,1992,m,,134.5163136805953
mdp.39015055183043,,Glasgow kiss : | a collection of the best short stories from Glasgow's writing groups.,2001,u,,133.18969738517288
njp.32101067173011,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,high_male,132.21649284086578
mdp.49015000936683,"Lyle, Sandy.",The championship courses of Scotland / | $c: Sandy Lyle with Bob Ferrier ; [paintings by Ken Turner ; photographs by David Pocknell].,1982,u,high_male,131.1370934137314
hvd.hwadb9,"Scott, Walter,",The Waverley novels,1829,m,,130.99979040033537
njp.32101063694655,"Dickie, John Low.",Forty years of trout and salmon fishing,1921,m,high_male,130.7020799380375
mdp.39015066896872,"Rankin, Ian.",The naming of the dead / | $c: Ian Rankin.,2006,m,mixed,130.16967731622097
coo.31924070489962,"Barbour, John,","The Bruce, the history of Robert, the Bruce, King of Scots / | $c: John Barbour ; translated by George Eyre-Todd.",1996,m,high_male,129.5526051762597
mdp.39015008877378,"Linklater, Eric,",The dark of summer.,1956,m,,129.44159743663195
uiuo.ark:/13960/t8gf15x2b,"Fothergill, Caroline.",Diana Wentworth,1889,f,high_female,129.13126473780738
uiuo.ark:/13960/t4qj82c8k,"Somers, Robert,",The martyr of Glencree,1878,m,high_female,127.14558169103624
mdp.39015062842466,,Nova Scotia : | new Scottish speculative fiction / | $c: edited by Neil Williamson & Andrew J. Wilson.,2005,u,mixed,126.94792854427976
mdp.39015063623451,"Fraser, Norman.",Student life at Edinburgh university,1884,m,high_male,126.78534464914097
mdp.39015001160764,"O'Connor, Ulick.",Irish tales and sagas / | $c: Ulick O'Connor ; illustrations by Pauline Bewick.,1981,u,mixed,126.6713581984518
mdp.39015063548765,"Crockett, S. R.",The men of the Moss Hags,1895,m,,126.18106983521352
mdp.39015020062504,"Colman, George,",Random records;,1830,m,high_male,125.61761996482709
uiuo.ark:/13960/t54f22v91,"Black, William,","Stand fast, Craig-Royston!",1890,m,,125.29665826442016
uiuo.ark:/13960/t4pk0ns7h,"Black, William,",A princess of Thule,1874,m,,124.6710070646904
uiuo.ark:/13960/t6m04mk6h,"Tytler, Sarah,",Saint Mung's city,1884,f,mixed,123.99993205483176
mdp.39015029185181,"Davie, Elspeth.",Coming to light / | $c: by Elspeth Davie.,1989,f,,123.85782056974594
mdp.39015016965918,,And thus will I freely sing : | an anthology of lesbian and gay writing from Scotland / | $c: edited by Toni Davidson ; with an introduction by Edwin Morgan.,1989,u,,123.820119872232
mdp.39015059175748,,North : | new Scottish writing : the Scotsman & Orange short story award 2004 / | $c: Edited by Jackie Kay.,2004,u,mixed,123.69261602054236
mdp.39015020867951,,Original prints : | new writing from Scottish women / | $c: introduction by Elspeth Davie.,1985,u,mixed,123.65683097390414
mdp.39015030752052,"Linklater, Eric,",A spell for old bones.,1949,m,high_male,123.4191258043044
mdp.39015037374256,"Brown, George Mackay.","Andrina, and other stories / | $c: George Mackay Brown.",1983,m,mixed,122.2962489732591
njp.32101064789652,"Picken, Andrew,",The dominies legacy,1830,m,,121.8979695800888
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,120.93151820883146
mdp.39015063994225,"Galt, John,",The spaewife;,1823,m,,119.17679076468808
umn.319510020743192,"Smith, W. McCombie (William McCombie)","The romance of poaching in the Highlands of Scotland as illustrated in the lives of John Farquharson and Alexander Davidson, the last of the freeforesters.",1946,m,high_male,118.910047061582
hvd.hwadan,"Scott, Walter,",The Waverley novels,1829,m,high_male,118.6774816834548
uc2.ark:/13960/t74t6gp9m,"Cushing, Paul.",The bull i' th' thorn,1840,m,,118.49527687840047
mdp.39015029529800,,Original prints III : | new writing from Scottish women / | $c: [Teresa Anderson et al. ; introduction by Loretta Bresciani].,1990,u,high_female,116.37830708355962
nyp.33433067294763,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,high_female,116.27391920623673
mdp.39015014860111,"Stewart, Desmond,","The pyramid inch, | $c: by Desmond Stewart.",1966,m,mixed,115.87909541118782
mdp.39015053230218,"Urquhart, Fred,",A diver in China seas : | stories / | $c: by Fred Urquhart.,1980,m,high_female,115.65741800715188
uiuo.ark:/13960/t5n87j86k,"Black, William,","Stand fast, Craig-Royston!",1890,m,,115.61188661471267
inu.30000100420466,"Czerkawska, Catherine Lucy.",The curiosity cabinet / | $c: Catherine Czerkawska.,2005,f,,115.46263067561244
uc1.$b301217,"McArthur, Alexander, of Glasgow.",No mean city : | a story of the Glasgow slums / | $c: by Alexander McArthur (of Glasgow) and H. Kingsley Long.,1935,m,,115.2820202122199
mdp.39015031310439,"Boas, Louise Schutz,","A great rich man; | the romance of Sir Walter Scott, | $c: by Louise Schutz Boas.",1929,f,high_male,114.43082421544348
mdp.39015059246853,"McCall Smith, Alexander,",44 Scotland Street / | $c: Alexander McCall Smith.,2005,m,mixed,114.16508702395308
uiuo.ark:/13960/t6834cj82,"Oliphant,",Merkland,1851,f,high_female,114.1326678130659
mdp.39015054456663,"Harrison, Paul,",Sea serpents and lake monsters of the British Isles / | $c: Paul Harrison.,2001,m,high_male,113.79523360535816
mdp.39015063994068,"Galt, John,",The entail,1850,m,mixed,113.79368209086716
inu.30000039954809,"Bold, Alan Norman,",East is west : | a novel / | $c: Alan Bold.,1991,m,mixed,113.56849844822356
uiuo.ark:/13960/t2v41c088,"Scott, Walter,",Tales of my landlord,1816,m,mixed,112.73608944759316
inu.39000005672097,"MacLeod, Brenda.",Tales of Dunvegan.,1950,f,,111.65092489212108
uiuo.ark:/13960/t5t732x5h,"Yates, Edmund Hodgson,",The forlorn hope,1867,m,,110.803324099723
uc2.ark:/13960/t4vh5j85b,"Black, William,",The maid of Killeena,1874,m,high_male,110.212531462699
uc1.31822033436643,"O'Connor, Patrick Fitzgerald",Shark-O! / | $c: by P. Fitzgerald O'Connor,1953,m,high_male,109.9810118253088
inu.32000009080054,"Mitchison, Naomi,",Men and herring : | a documentary / | $c: by Naomi Mitchison and Denis MacIntosh.,1949,f,high_male,109.9400109940011
uiuo.ark:/13960/t3dz0mv33,"Gillies, R. P.",The confessions of Sir Henry Longueville,1814,m,high_female,109.54680082768697
mdp.39015030764339,,Modern Scottish short stories / | $c: edited by Fred Urquhart and Giles Gordon.,1978,u,,109.48937334993332
uiuo.ark:/13960/t31267p2q,"Dunn, George.",Red cap and blue jacket,1894,m,,109.48321462400511
uiuo.ark:/13960/t61556w10,"Roy, Gordon.",His cousin Adair,1891,f,,109.30047694753576
uc1.32106018262607,"Aboulela, Leila,",The translator / | $c: Leila Aboulela,1999,f,,108.86882634094528
uiuo.ark:/13960/t46q2mx09,,"The writer's clerk, or, The humours of the Scottish metropolis",1825,u,,108.08129130565744
uiuo.ark:/13960/t54f22d0v,"Black, William,",A princess of Thule,1874,m,,107.98864863507372
uiuo.ark:/13960/t2k653z2b,"Sharp, William,",The sport of chance,1888,m,mixed,107.69626438629204
uc2.ark:/13960/t5r788v3d,"O'Donnell, Elliott,",Scottish ghost stories,1911,m,high_female,107.32931909552308
mdp.39015056801189,"DeMarco, Gordon.",Murder at the Fringe / | $c: by Gordon DeMarco.,1987,m,,107.31148948347403
nyp.33433067294771,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,,107.14652654445112
uc2.ark:/13960/t0js9zf5x,"Service, John,",The life and recollections of Doctor Duguid of Kilwinning,1887,m,,107.04033474431954
hvd.hwadap,"Scott, Walter,",The Waverley novels,1829,m,,106.50146744388348
mdp.39015063994233,"Galt, John,",The spaewife;,1823,m,,106.0753819569197
uiuo.ark:/13960/t4fn1pb9z,"Kennedy, Grace,","Dunallan, or, Know what you judge; ;",1825,f,high_female,105.40796455433868
nyp.33433074858154,"Henry, Alexander.",Rolando: a romance,1821,m,,105.30137981118372
uiuo.ark:/13960/t4mk6zh8s,"Shand, Alexander Innes,",Fortune's wheel,1886,m,,104.68920392584516
hvd.hwadb7,"Scott, Walter,",The Waverley novels,1829,m,mixed,104.63197714193728
mdp.39015055479151,"Frame, Ronald.",Permanent violet / | $c: Ronald Frame.,2002,m,high_male,104.26046158949814
mdp.39015061320605,"Frame, Ronald.",Time in Carnbeg : | short stories / | $c: by Ronald Frame.,2004,m,high_female,103.8306077798791
mdp.39015074051759,"Butlin, Ron,",No more angels : | stories / | $c: by Ron Butlin.,2007,m,,103.777501037775
uc1.b3540934,"Barbour, John,","The Bruce, | an epic poem written around the year A. D. 1375.",1964,m,high_male,103.70886710813774
uiuo.ark:/13960/t3nw0002f,"Leys, John K.",The Lindsays,1888,m,,103.59688380573512
mdp.39015063869757,"Gleig, G. R.",Allan Breck,1834,m,,103.48865709850486
mdp.39015063558210,"Oliphant,",Memoirs and resolutions of Adam Graeme of Mossgray,1852,f,high_female,103.45496476065264
uiuo.ark:/13960/t43r1875n,"Griffiths, Arthur,",The wrong road,1888,m,,103.35839899337908
uiuo.ark:/13960/t03x8wp18,"Sharp, William,",The sport of chance,1888,m,mixed,103.31534309946028
mdp.39015063945193,"Miller, Hugh,",Tales and sketches,1871,f,high_male,103.29721700709509
mdp.39015001159428,"Burrowes, John.",Frontline report : | a journalist's notebook / | $c: John Burrowes.,1984,m,high_male,103.2053190433661
njp.32101068971306,"Kennedy, Grace,",Philip Colville,1825,f,,103.13022005955408
inu.30000042041305,"Spence, Alan,",Its colours they are fine / | $c: Alan Spence.,1992,m,,102.96010296010296
mdp.39015059585508,"MacLeod, Anne,",The blue moon book / | $c: Anne MacLeod.,2004,f,,102.35687838222728
mdp.39015002326968,"Linklater, Eric,",The men of Ness; | the saga of Thorlief Coalbiter's sons.,1952,m,high_male,102.23311613928338
uc1.$b784242,"Hay, J. Macdougall.",Gillespie.,1963,u,mixed,102.12227023604068
mdp.39015016415468,"Hay, J. Macdougall.",Gillespie.,1963,u,mixed,101.7144233729038
uc1.b3872947,"Hay, J. Macdougall.",Gillespie.,1963,u,mixed,101.68856538842356
mdp.39015004901560,"Spark, Muriel.",The prime of Miss Jean Brodie.,1961,f,high_female,101.61310809094374
inu.39000005765644,"Petrie, Winifred M.",Folk tales of the borders / | $c: Winifred M. Petrie ; drawings by Barbara Gray.,1950,f,,101.2034004342546
uiuo.ark:/13960/t77s81j3w,"Craik, Dinah Maria Mulock,",A noble life,1866,f,,100.6795872136924
uiuo.ark:/13960/t5fb5nt9h,"Picken, Andrew,",The black watch,1834,m,high_male,100.43088087601646
uiuo.ark:/13960/t6543cv5p,"Brookfield, Arthur Montagu,",The autobiography of Thomas Allen,1882,m,mixed,100.22704493853423
uc1.b4253908,"Tilden, William A.","Sir William Ramsay, K. C. B., F. R. S;",1918,m,high_male,100.18285803213637
uiuo.ark:/13960/t19k4x25q,"Oliphant,",Merkland,1851,f,high_female,100.15279721626584
mdp.39015031227906,"Davidson, John,","The Great Men ; and, A practical novelist",1891,m,mixed,99.99873419323808
uiuo.ark:/13960/t70v91w95,"Needell, J. H.,","Lucia, Hugh, and another",1884,f,,99.87359747819166
inu.30000110586488,,Scottish folk and fairy tales : | from Burns to Buchan / | $c: selected and edited by Gordon Jarvie.,2008,u,,99.74133017668464
nyp.33433076078926,"Scott, Walter,",The handy volume  Waverly,1877,m,,99.72349394859708
mdp.39015054385169,"MacLeod, Anne,",The dark ship / | $c: Anne MacLeod.,2001,f,,99.39930911344406
nyp.33433074864947,"Glass, Andrew.",Tales and traditions of Ayrshire and Galloway,1873,m,mixed,99.0795651986617
hvd.hwad9z,"Scott, Walter,",The Waverley novels,1829,m,,98.53195664593908
uc2.ark:/13960/t3tt4jv8j,"Grant, James,",The Scottish cavalier;,1850,m,mixed,98.15847980200512
uiuo.ark:/13960/t6zw23d3x,"Stone, Evelyn.",Hugh Moore,1885,f,mixed,97.72896500372302
uc2.ark:/13960/t3nv9pj00,"Falkner, John Meade,",The lost Stradivarius,1896,m,high_male,97.71943956580876
nyp.33433076078934,"Scott, Walter,",The handy volume  Waverly,1877,m,high_male,97.70291940571136
hvd.hwadu6,"Scott, Walter,",The Waverley novels,1829,m,,97.46845446642608
mdp.39015014860103,"Stewart, Desmond,",The round mosaic.,1965,m,mixed,96.4575692692544
nnc1.0315302911,"Wilson, John Mackay,",Wilson's Tales of the Borders and of Scotland,1885,m,mixed,96.30013983307974
hvd.hwadbz,"Scott, Walter,",The Waverley novels,1829,m,,96.19965551361454
hvd.hwadb8,"Scott, Walter,",The Waverley novels,1829,m,high_female,95.97006379186595
uiuo.ark:/13960/t5j96qq51,"Oliphant,",Merkland,1851,f,high_female,95.55120086805836
hvd.hwadvc,"Scott, Walter,",The Waverley novels,1829,m,,95.4055524454572
mdp.39015063986817,"Black, William,",White wings,1880,m,mixed,94.70543037363971
mdp.39015060131888,"Reilly, Graham.",Saigon tea / | $c: Graham Reilly.,2004,m,,94.1898613609906
uc2.ark:/13960/t9c53g23p,"MacGill, Patrick,",Children of the dead end;,1914,m,mixed,93.74330404971074
mdp.39015013248656,"Mackenzie, Compton, Sir,","The red tapeworm, | $c: by Compton Mackenzie.",1941,m,,93.67356497302546
uc2.ark:/13960/t1pg1k841,"Oliphant,",Harry Muir,1853,f,,93.49326649559389
mdp.39015080814299,"Slater, Catherine Ponton.",Marget Pow / | $c: Catherine Ponton Slater ; with an introduction by Anne McManus Scriven and Jan Pilditch.,2008,f,high_female,93.3184023889511
uiuo.ark:/13960/t3417mv2g,"Scott, Walter",Rob Roy,1818,m,,93.2973965583627
uiuo.ark:/13960/t5fb5r230,,"The writer's clerk, or, The humours of the Scottish metropolis",1825,u,,93.10749451558594
mdp.39015063994480,"Galt, John,",The spaewife;,1823,m,,92.47949746990054
hvd.hwadbb,"Scott, Walter,",The Waverley novels,1829,m,high_male,91.8876345497506
uc1.32106015391391,"Frame, Ronald",The lantern bearers : | a novel / | $c: Ronald Frame,1999,m,mixed,91.78700244334416
uc1.31158010745130,"Brodie-Innes, J. W.",For the soul of a witch,1910,u,,91.64181570981094
mdp.39015049647244,"Armstrong, Adam,",Cry of the panther / | $c: Adam Armstrong.,2000,m,,91.4329619669612
mdp.39015063986825,"Black, William,",White wings,1880,m,mixed,91.41914783013964
mdp.39015039590446,"Mitchell, James Leslie,",Cloud howe.,1933,m,,91.38042150421794
uc1.$b243197,"Goodwin, Inge Dorothea Rose,",Bury me in lead.,1952,f,mixed,91.31990209000186
uc2.ark:/13960/t03x89t2h,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,,91.28251939753537
mdp.39015078794321,"Young, Robyn,",Requiem / | $c: Robyn Young.,2008,f,high_male,91.02402022756006
uc2.ark:/13960/t8v984664,"Maclean, Neil N.",Life at a northern university,1906,m,,90.94834918931652
uc1.32106002137740,"Porteus, Stanley David,","The restless voyage; | $c: being an account by Archibald Campbell, seaman, of his wanderings in five oceans from 1806 to 1812;",1949,m,,90.512767282541
uiuo.ark:/13960/t2h712x92,"Walford, Lucy Bethia,",A stiff-necked generation,1889,f,,90.49532884405528
mdp.39015007010823,"Mackenzie, Donald A.",Wonder tales from Scottish myth & legend,1917,m,high_male,90.12192966955293
uiuo.ark:/13960/t1bk1rc2d,"Gibbon, Charles,",The braes of Yarrow,1881,m,,89.42618199884076
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,89.25257595305844
njp.32101065845842,"Munro, Neil,",The daft days.,1923,m,,89.20769006699679
uc1.$b236122,"Coxhead, Elizabeth,",The figure in the mist / | $c: Elizabeth Coxhead.,1955,f,high_female,89.20260626745268
uc1.$b103171,"Mitchison, Naomi,",Five men and a swan; | [Scottish tales & verse],1957,f,high_male,89.14450035945363
njp.32101067173037,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,,88.68448727809258
mdp.39015058599625,"Jókai, Mór,",Timar's two worlds,1888,m,,88.62157136215713
mdp.39015026502933,"Brown, John,",Rab and his friends,1872,m,high_male,88.02816901408451
uc1.32106012911092,,An anthology of Scottish fantasy literature / | $c: [edited by] Colin Manlove,1996,u,,87.98907259517485
inu.39000002570237,"Newman, G. F. (Gordon F.)",The Guvnor / | $c: G. F. Newman.,1977,m,high_male,87.84371877115501
mdp.39015053483924,"Hutchison, Stewart.",Beneath the law / | $c: Stewart Hutchison.,2000,m,,87.81249322434465
mdp.39015035025512,"Gilchrist, Donald,",Castle Commando.,1960,m,high_male,87.27659090046674
uiuo.ark:/13960/t6d22mh0s,"Collins, Wilkie,",The two destinies,1876,m,,87.2457604013305
njp.32101068971330,"Kennedy, Grace,","Dunallan, or, Know what you judge",1825,f,high_female,86.76036786395974
njp.32101066460104,"Grant, James,",The girl he married,1869,m,high_male,86.48399325424853
