htid,author,title,year,authgender,female_category,gb_strict_london_intensity
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,834.0863279349413
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,576.147133339589
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,543.5448309652132
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,505.5571948460706
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,468.7406101640592
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,416.34193363140406
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,383.914003263269
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,372.25660584191655
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,370.27791645864534
mdp.39015059376221,,The New British novelist;,1830,u,,363.8521479769509
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,361.1943962267459
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,350.3098895176502
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,347.46143477609706
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,346.72436716285614
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,346.61522695762255
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,340.27945073476275
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,high_male,328.8490284005979
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,319.2029598819916
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,308.74851378821
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,306.82117461153547
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,305.7616122942756
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,301.5135982632817
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,292.57832376244824
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,289.1217925551138
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,285.1676049600765
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,281.8627450980392
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,279.0646972257045
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,278.7993043293549
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,273.7669268336468
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,272.8325813925131
mdp.39015034434293,"Ackroyd, Peter,",Dan Leno and the Limehouse Golem / | $c: Peter Ackroyd.,1994,m,mixed,271.5701992605438
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,268.77917668694295
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,268.28404462546484
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,267.69399085184887
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,266.16412806963007
mdp.39015060667410,"Gavron, Jeremy,",An acre of barren ground / | $c: Jeremy Gavron / with artwork by Temple Clark.,2005,m,,265.54523481785765
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,263.85602638560266
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,262.40221804139026
uc2.ark:/13960/t47p8wg3g,"Abbott, J. H. M.",Letters from Queer Street ;,1908,u,,260.6262695948795
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,258.7511594981204
mdp.39015002758822,"Salkey, Andrew.",The adventures of Catullus Kelly.,1969,m,,258.04902931556995
uc2.ark:/13960/t3rv0kp5g,"Tearle, Christian",The pilgrim from Chicago,1913,m,high_male,256.8979221074146
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,252.0425184770301
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,250.5004417306897
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,246.37529677024384
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,238.0952380952381
uiuo.ark:/13960/t0bv8241n,"Warden, Florence,",Scheherazade,1887,f,mixed,235.70787189464232
mdp.39015050923211,"Tennant, Emma.",The time of the crack. -,1973,f,,232.2198688340521
uiuo.ark:/13960/t1sf3bm7d,"Warden, Florence,",Scheherazade,1887,f,mixed,230.01725129384704
uc1.b3872923,"Harben, Henry Devenish,","Love letters to a dead woman, | $c: by H. D. Harben.",1923,m,mixed,228.4490451543816
wu.89097347694,"Shute, Nerina,","We mixed our drinks; | the story of a generation, | $c: by Nerina Shute.",1945,u,high_female,227.9520260300405
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,227.01128325623517
mdp.39015064690533,"Self, Will.",The book of Dave : | a revelation of the recent past and the distant future / | $c: Will Self.,2006,m,high_male,226.0993504129774
uiuo.ark:/13960/t1hh6wn89,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,225.4196642685851
uc2.ark:/13960/t5z60fh7d,"Wedmore, Frederick,",English episodes,1894,m,,225.28072089830687
uiuo.ark:/13960/t8ff4947x,"McCarthy, Justin H.",A London legend,1895,m,,224.83644961487693
uc2.ark:/13960/t1mg7jr51,"Morley, Charles Robert,",Travels in London,1916,m,high_male,218.17585301837272
njp.32101075688976,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,216.90128864883255
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,216.746520647958
mdp.39015059975998,"Ackroyd, Peter,",The Clerkenwell tales / | $c: by Peter Ackroyd.,2003,m,mixed,215.5358220536253
uc1.$b244994,"Mackenzie, Compton, Sir,","Figure of eight, | $c: by Compton Mackenzie.",1936,m,high_female,213.60304521264464
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,212.53148614609572
mdp.39015074267256,"Ewing, Barbara.","The mesmerist : | or the Misses Preston, of Bloomsbury / | $c: Barbara Ewing.",2007,f,high_female,212.48246844319775
uc2.ark:/13960/t01z4824d,"Braddon, M. E.",Rough justice,1898,f,,211.12430049177547
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,210.0894161051472
mdp.39015046410471,"Selvon, Samuel.",Moses ascending / | $c: [by] Sam Selvon.,1975,m,mixed,209.3833659871678
nyp.33433075772529,"Willoughby, George,","The adventures, and other stories",1913,m,,207.89634882037385
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,207.553938400041
dul1.ark:/13960/t7mp5q31m,"Dickberry, F.",The storm of London,1904,m,mixed,206.97077572646745
mdp.39015047764249,"Elms, Robert,",In search of the crack / | $c: Robert Elms.,1988,m,high_male,205.51360159546653
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,205.50338053060972
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,205.47548764253057
uc1.b3553822,"Corry, John,",The history of Henry Thomson,1803,m,high_male,205.25451559934316
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,204.89004234394207
uc1.b3811083,"Bennett, Arnold,",The regent : | a five towns story of adventure in London.,1929,m,high_male,204.75256661668013
wu.89013740311,"Sims, George R.,",Behind the veil,1913,m,,202.64900662251657
mdp.39015000550809,"Houghton, Claude,","Three fantastic tales, | $c: by Claude Houghton [pseud.] With a frontispiece by John Farleigh, and a preface by Clemence Dane.",1934,m,high_male,202.4291497975709
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,202.12839472047543
uc2.ark:/13960/t7br8pf30,"Russell, George William Erskine,","""For better? For worse?""",1902,m,,202.08182407442715
uc2.ark:/13960/t4xg9tm3z,"Rutherford, Mark,",Clara Hopgood,1896,m,,201.9787066516039
mdp.39015030747276,"Henrey, Robert, Mrs.,",An exile in Soho.,1952,f,high_female,200.1813888503052
uiuo.ark:/13960/t0ft9464s,"Mexborough, Elizabeth (Stephenson),",Drifted together,1879,f,high_female,200.15011258443835
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,199.1319278832395
mdp.39015034864994,"Norquay, Glenda,",Voices and votes : | a literary anthology of writings of the women's suffrage campaign / | $c: Glenda Norquay.,1995,f,high_female,197.64231840815052
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,196.33416074158217
uc1.b4101372,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,195.84468664850135
uc1.$b102154,"Greene, Graham,",The bear fell free | $c: [by] Graham Greene.,1935,m,,195.58535903883768
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,195.41958975945113
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,195.2110104627484
uc2.ark:/13960/t0pr7p89f,"Williams, Bransby.",My sketches from Dickens,1913,u,,194.7230065232207
uiuo.ark:/13960/t9086vr6d,"McCarthy, Justin.",Red diamonds,1893,m,,194.3996360177028
inu.32000005557592,"Burke, Thomas,","Dark nights, | $c: by Thomas Burke.",1944,m,high_male,192.59612762476135
uc1.b4089222,"Milne, A. A.",Lovers in London,1905,m,high_female,191.8281220026856
mdp.39015073480447,"Henty, G. A.",When London burned,1895,m,high_male,191.2728991585092
nyp.33433074936968,"Barrie, J. M.",Better dead,1888,m,high_male,191.1202587474272
mdp.39015053238880,,London tales / | $c: edited by Julian Evans.,1983,u,high_female,188.87179565290236
inu.39000001687552,"Manifold, J. S. (John Streeter),",The death of Ned Kelly : | and other ballads / | $c: by John Manifold.,1941,m,high_male,188.67924528301887
uc2.ark:/13960/t90868h5r,"Richardson, Dorothy M.",Interim,1919,f,high_female,188.51680323002017
uiuo.ark:/13960/t2x35587p,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,188.49295395386412
mdp.39015068802886,"Walsh, John,",Sunday at the cross bones : | a novel / | $c: John Walsh.,2007,m,,188.4826901179834
mdp.39015030747268,"Henrey, Robert, Mrs.,",Julia: | reminiscences of a year in Madeleine's life as a London shop-girl.,1971,f,high_female,186.38182729878807
uc2.ark:/13960/t88g8mj8t,"Bennett, Arnold,",The regent;,1913,m,high_male,185.76334686231655
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,185.30463848003285
uc1.b3548995,"Topolski, Feliks,",Portrait of G.B.S. / | $c: with an introduction by Hesketh Pearson.,1946,u,high_male,185.0994909763998
mdp.39015000609530,"Spark, Muriel.",The ballad of Peckham Rye.,1960,f,,184.61904950966775
mdp.39015002748807,"Hunt, Violet,","The wife of Rossetti; | her life and death, | $c: by Violet Hunt; with thirty illustrations ...",1932,u,mixed,184.1910740036111
mdp.39015062281574,"Baring, Maurice,",A triangle : | passages from three notebooks / | $c: by Maurice Baring.,1923,m,,183.66677599212852
mdp.39015042816945,,Does the sun rise over Dagenham? : | and other stories : new writing from London : [with stories / | $c: by Nicola Barker ... et al.] ; foreword by Mark Lawson,1998,u,high_female,183.2944115570521
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,183.15018315018315
inu.30000045098336,,The Time Out book of London short stories / | $c: edited by Maria Lexton.,1993,u,high_female,182.5053158977626
mdp.39015073677190,"Hoban, Russell.",My tango with Barbara Strozzi / | $c: Russell Hoban.,2007,m,,182.4742690777873
uc2.ark:/13960/t6sx6503p,"Escott, T. H. S.",A trip to Paradoxia and other humours of the hour,1899,m,,182.370820668693
uc1.b2808912,"Gwynn, Gordon.",Did Adelaide Bartlett---? : | a medical opinion / | $c: by Gordon Gwynn.,1950,m,,181.35876431511593
uc2.ark:/13960/t2g738v8m,"Gould, Nat.",The sweep winner,1920,m,high_male,180.77042156461297
mdp.39015062883080,"Cleave, Chris.",Incendiary / | $c: Chris Cleave.,2005,m,mixed,179.9050268811581
mdp.39015016454343,"Arlen, Michael,",The London venture; | $c: with an introduction by Noel Coward.,1968,m,high_male,179.74683544303798
inu.30000007046091,"Wilson, Colin,","Adrift in Soho, | a novel.",1961,m,,178.72534604269129
uc2.ark:/13960/t9862hm6r,"Sinclair, Catherine,","London homes, including The murder hole; The drowning dragoon; The priest and the curate; Lady Mary Pierrepoint; and Frank Vansittart",1853,f,mixed,178.5373565568185
uc1.b3810859,"Burke, Thomas,","The wind and the rain; | a book of confessions, | $c: by Thomas Burke",1924,m,,176.35185381918626
nyp.33433074892526,"Mathew, Frank James,",A child in the temple,1897,m,mixed,175.8106825919518
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,175.4248570757303
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,174.58000629632812
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,173.8141137060329
nyp.33433082397815,"Sherard, Robert Harborough,","Oscar Wilde, the story of an unhappy friendship",1902,m,high_male,173.0644925874184
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,172.58382642998026
uc1.$b372446,"Jefferies, Richard,","After London, or, Wild England",1886,m,mixed,172.1041604310087
mdp.39015063170917,"Black, William,",Shandon bells,1883,m,,172.06965379585657
inu.30000120843341,"Sisson, Rosemary Anne.",The Stratford story / | $c: Rosemary Anne Sisson.,1975,f,,171.41888996302532
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,171.4032953665819
mdp.39015001032708,"Waterhouse, Keith.","Maggie Muggins, or, Spring in Earl's court / | $c: Keith Waterhouse.",1981,m,high_female,171.1667519021427
mdp.39015063541489,"Boddingon, Harry.","Outline of an address delivered to the ""Link Association of Spirit Circles"" Wortley Hall, Finsbury Park, | preliminary to the public demonstration o[f] kilnascrene, November 28th, 1936. The development of clairvoyance and the scientific formation of circles.",1937,m,high_female,170.94017094017096
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,170.81093189964156
mdp.39015057606397,"Ferris, Paul,",Cora Crane / | $c: Paul Ferris.,2003,m,,170.51931753954037
njp.32101067632578,"Ouida,",Syrlin,1890,f,,169.54678839256604
uc1.$b245001,"McKenna, Stephen,","To-morrow and to-morrow; | a novel, | $c: by Stephen McKenna.",1924,m,,168.9957751056224
uiuo.ark:/13960/t69316638,"Ouida,",Syrlin,1890,f,,168.92550385280092
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,168.3660624370594
nyp.33433074859913,"Gull, Cyril Arthur Edward Ranger,",The hypocrite,1898,m,,168.2104649337251
mdp.39076002870140,"Arlen, Michael,",The London venture,1919,m,high_male,168.08895784846135
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,167.0843776106934
uc2.ark:/13960/t78s4zk39,"Wylde, Henry,",Severed ties,1889,f,,166.21017393543556
uc1.$b684914,"Ash, Bernard.",Silence for his worship.,1953,m,,165.59637513446555
mdp.49015000534751,"James, Henry,",A London life,1889,m,high_female,165.29916579591978
mdp.39015066411953,"Miller, Miranda,",Loving Mephistopheles / | $c: Miranda Miller.,2007,f,high_female,164.37311381851893
uc2.ark:/13960/t56d5w74w,"Matheson, Annie,",A plain friend,1920,f,high_female,164.29744981784415
mdp.39015078805382,"Taylor, D. J. (David John),",Ask Alice : | a novel / | $c: D.J. Taylor.,2009,m,high_female,164.13768672137925
uc2.ark:/13960/t21c1ws0w,"Wedmore, Frederick,",Orgeas and Miradou,1896,m,high_female,164.03220996122874
uva.x030794682,"Trask, Katrina,",In my lady's garden;,1907,u,high_female,163.9757820383451
mdp.39015056426698,"Hawes, James.","White powder, green light / | $c: James Hawes.",2002,m,high_female,163.97005077144945
uiuo.ark:/13960/t9280q47h,"Gambier, James W.",Swifter than a weaver's shuttle,1887,m,,163.6943223916602
mdp.39015031332862,"Beresford, J. D.",Goslings,1913,m,high_female,163.68157637948943
mdp.39015059978638,"Ballard, J. G.,",Millennium people / | $c: J.G. Ballard.,2003,m,,162.6607664252013
inu.39000002347248,"Gore,",The banker's wife,1843,f,mixed,162.3137081304412
uiuo.ark:/13960/t2p567g2p,"Westall, William,",Her two millions,1887,m,mixed,162.17969510217318
njp.32101068175320,"Caine, Hall,",The Christian;,1897,m,,161.82601080723333
mdp.39015077126889,"Peacock, Caro.",Death of a dancer / | $c: Caro Peacock.,2008,f,,161.40040211757326
uc2.ark:/13960/t8cf9mk7r,"Wingate, Ashmore Kyle Patterson,",That mighty city: a study in contemporary manners,1911,u,,160.43795888624214
mdp.39015039402428,"Johnson, Samuel,","Rasselas, prince of Abyssinia",1884,m,high_female,160.41288882689358
mdp.39015077682931,"Esler, Gavin.",A scandalous man / | $c: Gavin Esler.,2008,m,,159.6811835514733
mdp.39015008792726,"(Alan Patrick), Herbert, A. P.","Mr. Gay's London, | with extracts from the Proceedings at the Sessions of the Peace, and Oyer and Terminer for the city of London and county of Middlesex in the years 1732 and 1733.",1948,m,high_male,159.61038695287402
uc1.b4948680,"Allbeury, Ted.",The girl from Addis / | $c: Ted Allbeury.,1984,m,high_male,159.6030237518318
uc1.31822038206421,"Sadleir, Michael,",The anchor,1918,m,mixed,159.4771241830065
mdp.39015037443770,"Bracewell, Michael,",Saint Rachel / | $c: Michael Bracewell,1995,m,mixed,159.3518697782477
uiuo.ark:/13960/t2t449x5x,"Russell, William.",Autobiography of an English detective,1863,m,,159.2587230346026
mdp.39015018984065,"Dixon, Ella Hepworth.",The story of a modern woman / | $c: by Ella Hepworth Dixon ; introduction by Kate Flint.,1990,f,high_female,159.10574412532637
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,158.49854080708465
mdp.39015066896757,"Kops, Bernard,",Bernard Kops' East End : | by the waters of Whitechapel / | $c: Bernard Kops.,2006,m,mixed,157.7784790154623
mdp.39015078576058,"Purves, William Laidlaw,","The ""O"" edition of 'Robeson Cruso'",1903,m,high_male,157.3299728873105
mdp.39015039762805,"Sharp, Margery,",The gipsy in the parlour.,1953,f,high_female,156.85525669703748
uva.x030581129,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,156.79052288395013
mdp.39015063588324,"Horn, Holloway.",The folly of innocence,1917,u,mixed,156.25673520410362
mdp.39015000604796,"Gissing, George,",Eve's ransom.,1929,m,mixed,156.19013939233196
mdp.39015030853009,"Burke, Thomas,",The flower of life.,1929,m,high_female,155.6839615580372
mdp.39015063276797,,Underwords : | the hidden city / | $c: edited by Maggie Hamand.,2005,u,mixed,155.54180395042732
uc2.ark:/13960/t6j09zs35,"Goldring, Douglas,",It's an ill wind,1915,m,,154.70918216710953
uc2.ark:/13960/t5r78880b,"Goldring, Douglas,",Polly,1917,m,high_female,154.0253202599647
uiuo.ark:/13960/t0tq6jr5n,"Strauss, G. L. M.",The old ledger,1865,u,,153.97775876817792
uc1.b4104688,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,153.8100958017168
njp.32101066459684,"Gore,",The dowager,1840,f,,153.39273711242484
uc1.$b299542,"Agate, James,","Gemel in London, | $c: by James Agate.",1928,m,,153.02417263201576
wu.89015991284,"Arlen, Michael.","""Piracy""; | a romantic chronicle of these days.",1924,m,,152.98155502183755
inu.32000001014457,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,152.5418756783713
mdp.39015029187476,"Bracewell, Michael,",The conclave / | $c: Michael Bracewell.,1992,m,mixed,152.50760631686506
uiuo.ark:/13960/t1cj8rk2q,"Ouida,",Syrlin,1890,f,,152.01394268009295
uiuo.ark:/13960/t8ff45v3r,"Hardinge, William M.",The willow-garth,1886,m,high_female,151.9604902725291
uc2.ark:/13960/t8mc8tj6d,"Horn, Holloway.",Half-caste,1920,u,mixed,151.85260174124318
njp.32101013498363,"Dunn, Henry Treffry,",Recollections of Dante Gabriel Rossetti and his circle (Cheyne Walk life),1904,m,high_male,151.7996244956657
mdp.49015001132548,"Burmeister, Jon.",The Weatherman Guy / | $c: Jon Burmeister.,1975,m,,151.67223438159965
mdp.39015038101666,"Naher, Gaby,",The underwharf / | $c: Gaby Naher.,1996,u,,151.66788432549407
mdp.39015048892155,"Levi, Peter.",To the goat / | $c: Peter Levi ; with illustrations by André Yaniw.,1988,m,,151.41828459907802
mdp.39015040341086,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,151.13710550085403
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,151.07595558612556
mdp.39015062319531,"Sala, George Augustus,",The seven sons of Mammon,1862,m,mixed,150.8083043227016
uc2.ark:/13960/t04x5ms7c,"Norway, Arthur H.",The government official,1887,f,high_male,150.1744673959453
uc2.ark:/13960/t5q81cb58,"Gissing, George,",Human odds and ends,1898,m,mixed,150.1010761278764
mdp.39015003659755,"Richardson, Mary R",Laugh a defiance.,1953,f,high_female,149.86414185271298
uc1.b3127428,"Disraeli, Benjamin,",Novels and tales by the Earl of Beaconsfield,1881,m,,149.72116150655202
mdp.39015005315372,"Wilson, A. N.,",Who was Oswald Fish? / | $c: A.N. Wilson.,1981,m,high_female,149.63112327364092
mdp.39015070772671,"McKay, Malcolm.",Forgotten voices / | $c: Malcolm McKay ; adapted from Forgotten voices of the Great War by Max Arthur.,2007,m,high_male,149.44491887275834
uiuo.ark:/13960/t2q530s7d,"Hamilton, Rowan.",Betwixt two lovers,1891,m,mixed,149.42004761181175
mdp.39015055799897,"Abse, Dannie.",The strange case of Dr Simmonds & Dr Glas / | $c: Dannie Abse.,2002,m,mixed,149.12508721765423
mdp.39015062319515,"Sala, George Augustus,",The seven sons of Mammon,1862,m,mixed,148.8589886260171
uiuo.ark:/13960/t5n87vx0x,"Riddell, J. H.,",A struggle for fame,1883,f,,148.79936657884318
mdp.39015008870134,"Macqueen-Pope, W. (Walter),",Twenty shillings in the pound.,1949,m,high_male,148.4571729244184
nyp.33433074868278,"Hocking, Joseph,",Fields of fair renown,1896,m,mixed,148.19859873495156
mdp.39015029969188,"Dickens, Monica,",One of the family / | $c: Monica Dickens.,1993,f,,147.3845855139486
uiuo.ark:/13960/t88g8zb4b,"Craik, Dinah Maria Mulock,",Mistress and maid,1863,f,high_female,147.30762499270756
mdp.39015080837696,"Airth, Rennie,",The dead of winter / | $c: Rennie Airth.,2009,u,,147.2582567362091
mdp.39015021991388,"Lively, Penelope,",City of the mind / | $c: Penelope Lively.,1991,f,mixed,147.1536113442057
uc2.ark:/13960/t9q242h30,"Makino, Yoshio,",My idealed John Bullesses,1912,m,high_male,147.03688707993263
uc1.b3872914,"Earl of, Halsbury, Hardinge Goulburn Giffard,",Nineteen forty-four / | $c: by the Earl of Halsbury.,1926,u,mixed,146.9947056991591
uc1.$b783870,"Greenwall, Harry J. (Harry James),",Such is life / | $c: Harry J. Greenwall.,1948,m,mixed,146.74918649907485
mdp.39015038896026,"Barne, Kitty,",Elizabeth Fry; | $c: illustrated by Ruth Gervis.,1953,f,high_female,146.62130421785363
mdp.39015005162063,"Sharp, Margery,",The faithful servants / | $c: Margery Sharp.,1975,f,,146.59174199853408
uiuo.ark:/13960/t6pz5tn4k,"Riddell, J. H.,",Susan Drummond,1884,f,mixed,146.03142994639984
uc1.32106006743667,"Kitchen, Paddy.",The golden veil : | a novel based on the life of Elizabeth Siddall / | $c: by Paddy Kitchen.,1981,f,,145.75917515649934
uc2.ark:/13960/t3610z158,"Courlander, Alphonse,",Mightier than the sword,1912,m,,145.62942391709285
hvd.32044004468302,"Croker, Marianne Nicholson,",The adventures of Barney Mahoney,1832,f,,145.53344623200678
inu.30000114433927,"Waller, Leslie,",Steal big / | $c: Patrick Mann [i.e. L. Waller ].,1979,m,,145.51245092386677
pst.000065163054,"Bailey, Hilary,",Fifty-first state / | $c: Hilary Bailey.,2008,f,,145.51036561478128
uiuo.ark:/13960/t76t0zs2q,"Collins, Mortimer,",Sweet Anne Page,1868,m,mixed,145.17452502682573
dul1.ark:/13960/t3vt27q8k,"Riddell, J. H.,",Did he deserve it?,1897,f,high_male,145.00354795915217
mdp.39015016415252,"Henrey, Robert, Mrs.,",Paloma.,1957,f,high_female,144.68029972575525
mdp.39015005183457,"Church, Richard,","Green tide | [by] Richard Church, illustrated by C. F. Tunnicliffe, A. R. A.",1945,m,high_male,144.654997830175
uc1.$b245052,"Thirkell, Angela Mackail,","Coronation summer, | by Angela Thirkell.",1937,f,mixed,144.4742329460828
inu.39000003271397,"Dawson, W. J.",London idylls,1895,u,,144.45455031833504
mdp.39015066797344,"Sutton, William.",The worms of Euston Square / | $c: William Sutton.,2006,m,mixed,144.44139379976363
uc1.b3827538,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1927,m,high_male,144.05096362042124
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,143.8498110447397
mdp.39015026262207,"Stevens, C.L. McCluer",Queens of frailty,1912,u,high_female,143.68713687761604
mdp.39015030716776,"(Henry Major), Tomlinson, H. M.",London river.,1928,m,,143.60757340992404
njp.32101067300960,"Gibbs, Philip,",Helen of Lancaster Gate,1912,m,high_female,143.4684327741957
uc1.$b120401,"Gordon, Richard,",The facemaker | $c: [by] Richard Gordon.,1967,m,,143.41590612777054
uc1.32106007376988,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,143.3357819862756
uva.x030825961,"Hardy, Robina F.",The story of a coral necklace,1893,f,high_female,143.206132592031
mdp.39015015448262,"Higgins, Aidan,",Helsingør Station & other departures : | fictions and autobiographies 1956-1989 / | $c: Aidan Higgins.,1989,m,mixed,143.1666924624671
mdp.39015003929737,"Gibbs, Philip,","The long alert, | a novel by Philip Gibbs.",1941,m,,143.08128003473422
mdp.39015014583184,"Baring, Maurice,","Cat's cradle, | $c: by Maurice Baring ; illustrated by Daphne Baring.",1926,m,high_female,143.05381438383031
