htid,author,title,year,authgender,female_category,urban_generics
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1044.0835266821346
coo.31924003623588,"Crowder, Dorothy Elizabeth.",The flying nation. | $c: Illustrated by Helen Haywood.,1952,f,high_female,1000.3820903817431
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,997.6180467983746
uc1.32106015901462,"Carey, Edward,",Alva & Irva / | $c: Edward Carey,2003,m,mixed,949.4617224880383
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,898.0074798740677
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,720.6266318537859
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,690.3693476009665
umn.319510020680239,"Rowdon, Maurice.",Perimeter West.,1956,m,,636.3772132154058
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,624.5890861275477
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,618.8525575765349
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,611.6207951070336
uc1.b3929709,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,608.3166878518249
mdp.39015063642733,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,607.0698660207403
mdp.39015005201168,"Calvino, Italo.","Marcovaldo, or, The seasons in the city / | $c: Italo Calvino ; translated from the Italian by William Weaver.",1983,m,,600.8100810081008
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,579.1348323771717
inu.39000003654576,"Barber, Noel,",A handful of ashes; | a personal testament of the battle of Budapest.,1957,m,,569.0332509821393
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,563.414412504165
uc1.b4362247,"Anderman, Janusz,",The edge of the world / | $c: by Janusz Anderman ; preface by Jerzy Pilch ; translated by Nina Taylor.,1988,u,high_male,562.8302320238915
pst.000032008142,"Brook, Peter.",Peter Brook.,1994,m,high_male,562.1135469364812
uc1.32106009000859,"Okri, Ben.",Stars of the new curfew / | $c: Ben Okri.,1988,m,,560.598936670404
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,560.0105551727677
mdp.39015025221246,"Crace, Jim.",Arcadia / | $c: Jim Crace.,1992,m,,557.6598442919652
mdp.39015029213868,"Modiano, Patrick,",Honeymoon / | $c: Patrick Modiano ; translated from the French by Barbara Wright.,1992,m,high_female,545.3726317786261
mdp.39015020711639,"Schulz, Bruno,","Cinnamon shops, and other stories. | $c: Translated from the Polish by Celina Wieniewska.",1963,m,,542.9156410315397
mdp.39015033319909,"Wilson, Paul.",The fall from grace of Harry Angel / | $c: Paul Wilson.,1994,m,high_male,540.4148991806613
wu.89100103373,"La Barre, Georges.",Captive of the kaiser in Belgium (with the fall of Namur),1914,u,high_male,539.8338323984649
wu.89087886859,"Fadeev, Aleksandr,","Leningrad in the days of the blockade, | $c: by A. Fadeyev. Translated from the Russian by R. D. Charques.",1946,u,,522.9505420054201
inu.39000003288250,"Ekwensi, Cyprian.",Samankwe and the highway robbers / | $c: Cyprian Ekwensi.,1975,m,high_male,518.7646915781795
inu.30000042624605,"Mullen, Michael.",The midnight country / | $c: Michael Mullen.,1995,m,mixed,517.5114542178787
uc1.$b295058,"Hobart, Alice Tisdale,","Within the walls of Nanking, | $c: by Alice Tisdale Hobart; proem by Florence Ayscough.",1928,f,high_male,515.571657493207
mdp.39015011346924,"Kubly, Herbert.",Easter in Sicily.,1956,m,mixed,510.83682749660426
uc1.32106018341088,"Prinz, Martin,",On the run / | $c: Martin Prinz ; translated by Mike Mitchell,2005,m,high_male,510.0534213846608
mdp.39015059287584,"Momjian, Serge.",The singer of the opera / | $c: Serge Momjian.,2004,m,high_female,508.49198739898645
uc1.b4076279,"Langstaff,","Diary of a driver, | $c: by Langstaff, illustrated by the author.",1943,u,high_male,504.1558795476223
njp.32101063580326,"Hume, Fergus,",The harlequin opal,1893,m,high_male,502.9126213592233
mdp.39015019780264,"Clarke, Pauline,",The white elephant. | $c: Illustrated by Richard Kennedy.,1952,f,high_female,501.8699481240198
mdp.39015032814553,"Moyano, Daniel.",The devil's trill / | $c: Daniel Moyano ; translated by Giovanni Pontiero.,1988,m,high_male,496.36002647253474
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,494.9213017581216
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,494.89240164335155
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,488.302882624315
mdp.39015034655129,"Rothnie, Niall.",Unknown Bath : | secrets and scandals from the past / | $c: Niall Rothnie ; cartoons by Fraser May.,1986,u,,484.77087716088903
uc1.32106018853751,"Rosendorfer, Herbert,",Grand solo for Anton / | $c: Herbert Rosendorfer ; translated by Mike Mitchell,2006,m,high_male,480.3447550977507
mdp.39015072453833,,"Coventry constables' presentments, 1629-1742 / | $c: edited by Levi Fox.",1986,u,high_male,480.226954233175
wu.89018081877,"Gibson, Ronald.","Nine days, 17th to 25th September, 1944. | $c: Illustrated by Gordon C. Power.",1956,m,high_male,478.2122905027933
uc1.32106013111692,"Balle, Solvej,",According to the law : | four accounts of mankind / | $c: Solvej Balle ; translated from the Danish by Barbara Haveland,1996,u,mixed,476.94208070271753
mdp.39015012847250,"Han, Suyin,","Destination Chungking, | $c: an autobiography by Han Suyin.",1942,u,high_male,475.8916857485108
mdp.39015030945557,"Appiah, Peggy.",A smell of onions / | $c: Peggy Appiah.,1979,f,,475.15134450232296
mdp.39015015527248,"Ashford, Kent.",The Singalong tribe / | $c: Kent Ashford.,1986,m,,473.4794464283677
uc1.b3752397,"Ionesco, Eugène.",The hermit / | $c: Eugène Ionesco ; translated from the French by Richard Seaver.,1983,u,high_female,471.8910246327115
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,470.6949396384562
mdp.39015065134689,"Mrabet, Mohammed,",Love with a few hairs;,1967,m,mixed,468.73637394261794
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,463.3581270576759
uc2.ark:/13960/t89g5js2d,"Mack, Louise,",A woman's experiences in the great war,1915,f,,460.2086279113198
inu.30000084051147,"Cossu, Antoni,",The Sardinian hostage / | $c: Antonio Cossu ; translated from the Italian by Isabel Quigly.,1971,m,high_male,459.1442850757791
inu.30000038744680,"Lloyd-Jones, Robin,",Fallen angels : | stories of los gamines / | $c: Robin Lloyd-Jones.,1992,u,,455.60917017002504
inu.32000006722955,"Buchanan, Meriel,","Petrograd, the city of trouble, 1914-1918",1918,u,high_male,449.07778668805133
mdp.39015025927370,"Koš, Erih.",The strange story of the great whale also known as Big Mac. | $c: Translated from the Serbo-Croat by Lovett F. Edwards.,1962,u,,448.2317013102157
uc1.$b119620,"Rathbone, Julian,",Hand out.,1968,m,,448.1776925895651
mdp.39015018913940,"Bolger, Dermot,",The journey home / | $c: Dermot Bolger.,1990,m,mixed,447.9324769555399
inu.30000057588091,"Royle, Nicholas,",Saxophone dreams / | $c: Nicholas Royle.,1996,m,,447.7736163129422
uc1.32106015045849,"Daoud, Hassan",The house of Mathilde / | $c: Hassan Daoud ; translated from the Arabic by Peter Theroux,1999,m,high_female,447.5355306924705
mdp.39015019638587,"Perec, Georges,",Things : | a story of the Sixties / | $c: translated from the French by David Bellos ; A man asleep / translated from the French by Andrew Leak.,1990,m,,445.45100038995713
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,444.71455306669753
inu.30000060703083,"Ajima, Maria,",The web : | a collection of short stories / | $c: Maria Ajima.,1997,f,mixed,443.6607701495933
mdp.39015024076401,"Carter, Peter.",Under Goliath / | $c: Peter Carter ; ill. by Ian Ribbons.,1977,m,high_male,443.61304115446285
mdp.39015050183634,"Waṭṭār, al-Ṭāhir",The earthquake / | $c: Tahir Wattar ; translated from the Arabic and introduction by William Granara ; preface by Gaber Asfour,2000,u,high_male,442.28090581427074
mdp.39015064690574,"Anderson, Martin,",The Hoplite Journals : | I-XXIX / | $c: Martin Anderson.,2006,m,high_male,441.3296713703949
mdp.39015037403378,"Bryher,",West.,1925,u,high_female,440.48453298628493
mdp.39015050498065,"Smith, Ali,",Hotel world / | $c: Ali Smith.,2001,m,high_female,439.4092542677448
mdp.39015008009964,"Wain, John.",A winter in the hills.,1970,m,,438.5022815739979
njp.32101073695114,"Kennedy, Bart,",The German danger,1914,m,high_male,437.3709148341635
mdp.39015076865743,"Jha, Raj Kamal,",Fireproof / | $c: Raj Kamal Jha.,2007,m,mixed,436.929446499474
mdp.39015010309220,"McEwan, Ian.",The comfort of strangers / | $c: Ian McEwan.,1981,m,high_female,435.16708554407523
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,431.91800878477306
mdp.39015032226394,"Gee, Sue.",Letters from Prague / | $c: Sue Gee.,1994,f,high_female,427.91042013696097
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,427.5398211632211
uc1.32106017248482,,Further up in the air / | $c: Will Self ... [et al.],2003,u,high_male,427.50565816312275
mdp.39015040570791,"Morandini, Giuliana.",The Café of mirrors / | $c: Giuliana Morandini ; translated from the Italian by Luisa Quartermaine.,1997,u,high_female,423.8836512460718
mdp.39015028467465,"Beattie, Geoffrey.",We are the people : | journeys through the heart of Protestant Ulster / | $c: Geoffrey Beattie.,1992,m,,423.38900913175075
mdp.39015019622474,"Renwick, Alistair.",Last night another soldier- / | $c: Aly Renwick.,1989,u,high_male,423.05000388832724
mdp.39015017751713,"Taylor, Alistair.",Yesterday : | the Beatles remembered / | $c: Alistair Taylor with Martin Roberts.,1988,u,high_male,422.62157445403517
coo.31924087514372,,"The Vintage book of office life, or, Love among the filing cabinets / | $c: edited, with an introduction, by Jeremy Lewis.",1998,u,,420.6981191312042
uc1.$b119734,"Coulter, Stephen,",A stranger called the blues.,1968,m,high_male,420.3873361939
uc1.b3475735,"Harvey, J. R. (John Robert)",The plate shop / | $c: [by] John Harvey,1979,m,high_male,419.5050103889956
mdp.39015019807505,"La Guma, Alex.",In the fog of the season's end.,1972,m,high_male,418.90588397409397
mdp.39015000607815,"Raworth, Tom.",A serial biography.,1969,m,high_male,418.05372764573815
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,417.7609854244421
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,415.70157259539195
mdp.39015008794425,"Brecht, Bertolt,",Threepenny novel. | $c: Translated by Desmond I. Vesey. Verses translated by Christopher Isherwood.,1972,u,,415.34099229222966
mdp.39015021924884,"Kiely, Benedict.","The cards of the gambler, | a folktale.",1953,m,mixed,413.7380502716069
mdp.39015052653873,"Kat, Otto de,",The figure in the distance / | $c: Otto de Kat ; translated from the Dutch by Arnold and Erica Pomerans.,1998,m,high_male,413.17435957974266
mdp.39015041621841,"Karagiōrgas, Geōrgios,",The fall of a dictator / | $c: George Karagiorgas.,1997,u,high_male,412.44616970946805
mdp.39015013278679,"Anthony, Michael,",The games were coming / | $c: Michael Anthony ; introductin by Kenneth Ramchand ; study questions by Jean D'Costa.,1977,m,mixed,412.2331054893947
uc1.$b704633,"Mallea, Eduardo,",Chaves and other stories. | $c: Translated from the Spanish by Maria Mercedes,1970,m,,410.6942624390376
uc1.32106012238371,"Stangerup, Henrik",Snake in the heart : | a novel / | $c: Henrik Stangerup ; translated from the Danish by Anne Born,1996,u,mixed,409.96821594730295
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,409.87872794462083
mdp.39015024986732,"Poliakoff, Stephen,",Close my eyes / | $c: Stephen Poliakoff.,1991,m,high_female,408.68191496668726
mdp.39015016424627,"Henrey, Robert, Mrs.,",Madeleine grown up.,1953,f,mixed,408.3663273978566
inu.39000002585144,"Burley, W. J. (William John)",The schoolmaster : | a novel / | $c: by W. J. Burley.,1977,m,,407.78701331166803
mdp.39015027338147,"Kuncewiczowa, Maria Szczepańska,","The keys; | a journey through Europe at war, translated from the Polish.",1945,f,,406.61070304302206
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,406.0968192064117
uc1.32106010068143,"Miller, David,",True points : | eight prose texts 1981-1987 / | $c: David Miller.,1992,m,mixed,405.939536374319
uc1.b3272210,"Dubkin, Leonard,",The murmur of wings | $c: [by] Leonard Dubkin. Illustrations by Susanne Suba.,1944,m,,404.59147245665747
mdp.39015030747276,"Henrey, Robert, Mrs.,",An exile in Soho.,1952,f,high_female,404.44811216694313
uc1.b3810593,"Cockburn, Claud,",Jericho Road.,1974,m,high_male,403.9959600403996
mdp.39015037260877,"Price, David,",Alphabet city : | a novel / | $c: by David Price.,1984,m,high_male,403.9587962027873
uc1.32106011414197,"Simenon, Georges,",Madame Maigret's friend / | $c: Georges Simenon ; translated from the French by Helen Sebba,1967,m,high_male,403.84015272500324
mdp.39015064690475,"Warner, Alan.",The worms can carry me to heaven / | $c: Alan Warner.,2006,m,high_female,403.63058390496906
njp.32101075688976,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,403.1812189001829
mdp.39015011047738,"Saʻdāwī, Nawāl.",Two women in one / | $c: Nawal el-Saadawi ; translated by Osman Nusairi and Jana Gough.,1985,f,mixed,402.9654121354584
mdp.39015000638018,"Leacock, Stephen,",Sunshine sketches of a little town,1912,m,high_male,401.68213457076564
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,401.3646397752358
mdp.39015064983177,"Johnston, Fred,",The neon rose / | $c: Fred Johnston.,2007,m,,401.0288464197804
uc1.32106017532174,"Stark, Richard",The green eagle score / | $c: Richard Stark,1986,m,mixed,401.0201953770392
wu.89004684510,"Thackeray, William Makepeace,",The Irish sketch-book,1845,m,high_male,400.3316663643666
mdp.39015021991388,"Lively, Penelope,",City of the mind / | $c: Penelope Lively.,1991,f,mixed,400.11188539044355
mdp.39015013518900,"Simenon, Georges,",The night-club / | $c: Georges Simenon ; translated from the French by Jean Stewart.,1979,m,high_female,400.0921678292381
uc1.b4137344,"Acōkamittiran̲,",Water (Tannir) / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström.,1993,u,high_female,399.4995280637443
mdp.39015053577055,"Mokoso, Ndeley.","Man pass man, and other stories / | $c: Ndeley Mokoso.",1987,u,high_male,399.05114505509124
uc1.b3898302,"Beechey, Winifred.",The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.,1984,f,high_female,398.5628178194884
mdp.39015032967500,"Ashokamitran,",Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström,1993,u,high_female,398.415095991769
uc1.32106011930507,"Ashokamitran,",Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström,1993,u,high_female,398.3716829570934
inu.30000045132572,"Chitambo, John.",Secret blood / | $c: John Chitambo.,1993,m,,398.27107131830815
mdp.39015054134492,"Curtin, Michael,",Sing! / | $c: Michael Curtin.,2001,m,,398.23276644677117
mdp.39015080822862,"Fitch, Stona.",Printer's devil / | $c: Stona Fitch.,2009,u,mixed,397.52650176678446
uc1.b2840598,"Simenon, Georges,",Maigret takes the waters / | $c: Georges Simenon ; translated from the French by Eileen Ellenbogen.,1969,m,high_female,397.49646960372394
mdp.39015029242545,"McKenzie, Earl,",Two roads to Mount Joyful / Earl McKenzie.,1992,m,,396.9034966870039
mdp.39015018991425,"Livia, Anna,",Bulldozer rising / | $c: Anna Livia.,1988,f,high_male,396.0561497326203
mdp.39015047616571,"Davie, Elspeth.",The night of the funny hats / | $c: Elspeth Davie.,1980,f,mixed,395.6619509834619
mdp.39015064708210,"Collins, Richard,",Overland / | $c: Richard Collins.,2006,m,mixed,394.2539125888977
mdp.39015004257146,"Ekwensi, Cyprian.","Restless city and Christmas gold, with other stories / | $c: Cyprian Ekwensi.",1975,m,,394.1454419730322
uc2.ark:/13960/t3pv6db05,"Lorimer, Norma Octavia,",By the waters of Carthage,1906,f,,393.86560724507666
uc1.b3632621,"Foster, Harry L.",The adventures of a tropical tramp,1922,m,high_male,393.7809072223692
uc1.b4358582,"Hindus, Maurice Gerschon,",We shall live again,1939,m,high_male,393.3060846764865
uc1.b3346079,"Blight, Leslie,",Love and idleness.,1958,m,,393.0896849234987
uc1.$b56595,"Galbraith, Winifred.",Men against the sky / | $c: by Winifred Galbraith.,1940,f,,393.00515083045093
mdp.39015031305769,"Stuart, Francis,",Redemption / | $c: [by] Francis Stuart.,1974,m,,391.68549105755085
inu.32000007466461,"Mackworth, Cecily.",I came out of France.,1942,u,,391.3919273821362
uc1.b3475417,"Jay, Simon.",Sleepers can kill.,1968,m,high_male,390.69822508558855
uc1.b3378150,"Chiang, Yee,",The men of the Burma road / | $c: written and illustrated by Chiang Yee.,1943,m,high_male,390.6488433131905
pst.000068121068,"Ballard, J. G.,",Crash / | $c: J.G. Ballard.,1975,m,,390.2253661103154
mdp.39015029191700,"Bolger, Dermot,",Emily's shoes / | $c: Dermot Bolger.,1992,m,high_female,389.9800121665073
inu.30000039942168,"Conton, Paul,",The price of liberty / | $c: Paul Conton.,1992,m,mixed,388.5943956280567
mdp.39015028025560,"Matveev, Vladimir.","The commissar of the gold express; | an episode in the civil war, | $c: by V. Matveyev; illustrations by Ernst.",1933,u,high_male,387.84985735329764
uc1.$b163403,"De Polnay, Peter,",Out of the square.,1950,m,mixed,387.5241135599297
uc2.ark:/13960/t4sj1fg8f,"Bashford, H. H.",Vagabonds in Périgord,1914,m,mixed,387.28445254451145
uc1.b3810859,"Burke, Thomas,","The wind and the rain; | a book of confessions, | $c: by Thomas Burke",1924,m,,386.69924572399873
uc1.$b322847,"Boden, Frederick C.","Flo; | a novel, | $c: by F. C. Boden.",1933,m,,385.7371342553392
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,385.5513067661094
mdp.39015022027471,"Shirazi, Manny,",Siege of Azadi Square / | $c: Manny Shirazi.,1991,m,high_female,385.01459329506844
mdp.39015012414341,"Poliakoff, Stephen,","Runners ; &, Soft targets / | $c: Stephen Poliakoff.",1984,m,,384.7714113612057
mdp.39015000630858,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,383.1596110172946
mdp.39015010944059,"Barea, Arturo,",The clash. | $c: Translated from the Spanish by Ilsa Barea.,1946,u,high_male,383.0985279763483
uc2.ark:/13960/t78s4p168,"Bone, Gertrude,",Mr. Paul,1921,f,,382.66390770713457
mdp.39015066090047,"Hamilton, Hugo.",Last shot / | $c: Hugo Hamilton.,2006,m,high_female,382.5830628596516
uc1.b4392665,"Verma, Nirmal,",The world elsewhere : | and other stories / | $c: by Nirmal Verma.,1988,u,,382.4360794546129
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,382.36617183985607
mdp.39015066017982,"Abrahams, Peter,",Mine boy.,1956,m,high_female,382.313187874107
inu.32000002882506,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,382.0628751222866
inu.30000035441025,"Bolger, Dermot,",Night shift / | $c: Dermot Bolger.,1993,m,,381.5748947674618
inu.30000044867673,"Abrahams, Peter,",Mine boy / | $c: Peter Abrahams ; illustrated by Ruth Yudelowitz.,1975,m,high_female,380.5087873350386
mdp.39015059975840,"Darling, Julia,",The taxi driver's daughter / | $c: Julia Darling.,2003,f,high_female,379.6775958042408
uc1.$b245242,"Tuohy, Frank,",The admiral and the nuns : | with other stories / | $c: by Frank Tuohy.,1962,m,mixed,379.2169416399901
uc1.32106012556582,"Özdamar, Emine Sevgi,","Life is a caravanserai : | has two doors, I came in one, I went out the other = ; Das Leben ist eine Karawanserai ; hat Zwei Türen aus einer kam ich rein aus der anderen ging ich raus / | $c: by Emine Sevgi Özdamar ; translated by Luise von Flotow",2000,u,mixed,378.93451654209224
mdp.39015034348261,"Pasolini, Pier Paolo,",A dream of something / | $c: Pier Paolo Pasolini ; translated from the Italian and with an introduction by Stuart Hood.,1988,m,high_female,378.61578070573984
uc1.$b322889,"Abrahams, Peter,",Mine boy / | $c: by Peter Abrahams.,1954,m,high_female,378.60677874116476
mdp.39015000619869,"Greenwood, Walter,",There was a time.,1967,m,mixed,378.06342569941734
uc1.$b796103,"Werfel, Franz,","Verdi; | a novel of the opera / | $c: Franz Werfel, translated  by Helen Jessiman.",1923,m,mixed,377.2885529329221
mdp.39015038105360,"Zoshchenko, Mikhail,","The woman who could not read and other tales, | $c: by Michael Zoshchenko. Translated by Elisaveta Fen.",1940,u,high_male,377.0715168414715
uc1.b3435455,"Khanna, Balraj.","Nation of fools, or, Scenes from Indian life / | $c: Balraj Khanna.",1984,u,high_male,376.4721843017882
uc1.b3472748,"Levine, Norman,","I don't want to know anyone too well, and other stories.",1971,m,,375.7977830030232
mdp.49015001034512,"(Gilbert Keith), Chesterton, G. K.","The sword of wood, | a story | $c: by G.K. Chesterton.",1928,u,high_male,375.55479685899627
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,375.46550840782743
inu.30000100685415,"Daeninckx, Didier,",Murder in memoriam / | $c: Didier Daeninckx ; translated by Liz Heron.,2005,m,mixed,375.22160450265926
mdp.39015014681624,"Johnson, Uwe,",An absence; | $c: translated from the German by Richard and Clara Winston.,1969,u,high_male,374.8715158111131
mdp.39015066053714,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,374.77469556425024
uc1.$b395224,"La Guma, Alex.","A walk in the night, | and other stories.",1967,m,high_male,374.73866908603213
uc1.32106001617320,"Ibrāhīm, Ṣunʻ Allāh.","The smell of it, & other stories, | $c: by Sonallah Ibrahim; translated from the Arabic by Denys Johnson-Davies ; translation of Tilka al-rāʾiḥah.",1971,u,high_male,374.65474334782726
mdp.39015058467526,"Marotta, Giuseppe,",Return to Naples. | $c: Translated from the Italian by Frances Frenaye. With illustrations by Laboccetta.,1951,u,,373.03380100719124
mdp.39015000614423,"Smith, Anthony,",Sea never dry.,1958,m,high_male,373.02016897695984
mdp.39015050478109,"Spinney, Laura.",The doctor / | $c: Laura Spinney.,2001,f,mixed,372.9958432304038
inu.30000068200595,"Gee, Sue.",Spring will be ours / | $c: Sue Gee.,1995,f,,372.8968028969073
mdp.39076001621874,"Hemingway, Ernest,","The essential Hemingway. | Containing one complete novel, extracts from three others, twenty-three short stories and a chapter from Death in the afternoon.",1947,m,high_male,372.86365757532354
mdp.39015019119463,"Trevor, William,",Mrs. Eckdorf in O'Neill's Hotel.,1969,m,,372.3764387271496
mdp.39015011039826,"Khan, Ismith.",The obeah man.,1964,u,high_male,371.0479527944549
mdp.39015071561669,"Macdonald, Ross,",The dark tunnel / | $c: Ross Macdonald.,1972,m,,368.28354685385125
mdp.39015074275531,"Stasiuk, Andrzej,",Nine / | $c: Andrzej Stasiuk ; translated from the Polish by Bill Johnston.,2007,m,,368.2468652402927
inu.39000004090481,"Swift, Graham,",The sweet shop owner / | $c: Graham Swift.,1983,m,,368.19740209570716
wu.89081044299,"Hobson, Charlotte,",Black earth city : | a year in the heart of Russia / | $c: Charlotte Hobson.,2002,f,,366.90944070358665
uc1.$b684901,"Altman, Phyllis.",The law of the vultures / | $c: by Phyllis Altman.,1954,f,high_male,366.7287342749444
uc1.32106011414114,"Simenon, Georges,",Maigret and the lazy burglar; | $c: translated from the French by Daphne Woodward,1966,m,,366.34829255527933
inu.30000003994732,"Morley, Des.",Children of fear / | $c: Des Morley.,1990,u,high_male,366.2846555037057
uc2.ark:/13960/t09w0bw7q,"Pawlowska, Yoï.",In a grain of sand,1922,u,mixed,366.09299516908214
mdp.39015062110344,"Follett, Ken.",On wings of eagles / | $c: by Ken Follett.,1983,m,high_male,366.03098728084103
uc1.$b149289,"Priestley, J. B. (John Boynton),",The world of J. B. Priestley; | $c: chosen and introduced by Donald G. MacRae.,1967,m,,365.6413910727428
mdp.39015022004801,"Buchan, James.",Slide / | $c: James Buchan.,1991,m,high_female,365.4150481945044
mdp.39015049624565,"Vallejo, Fernando.",Our lady of the assassins / | $c: Fernando Vallejo ; translated by Paul Hammond.,2001,m,high_female,365.1336233685519
mdp.39015030945532,"Anthony, Michael,",Cricket in the road.,1973,m,,364.5279579924925
uc1.b3634960,"Weiss, Peter,",Leavetaking [and] Vanishing point; | $c: translated by Christopher Levenson.,1966,m,,364.4435899004553
uc1.31158011310967,"Mackail, J. W.",Biblia innocentium; part second,1901,u,high_male,364.26116838487974
mdp.39015003976985,"Andrews, Kevin.",The flight of Ikaros; | a journey into Greece.,1959,m,mixed,363.79538138037555
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,363.46280931052206
uc1.$b435114,"Vinogradov, Anatoliĭ,","The condemnation of Paganini,",1946,u,,363.3002963765576
mdp.39015058342216,"Ketlinskai͡a, V.",Days of our life | $c: [tr. by A. Bostock],1956,u,mixed,361.936008886937
njp.32101074257377,"Graham, Stephen,",A vagabond in the Caucasus,1915,m,mixed,361.6014796021198
mdp.39015019151714,"Steffens, Lincoln,",The autobiography of Lincoln Steffens ...,1931,m,high_male,361.33561441802846
mdp.39015014392008,"Clitandre, Pierre.",Cathedral of the August heat / | $c: Pierre Clitandre ; translated by Bridget Jones.,1987,m,high_male,360.81408678330484
mdp.39015032951421,"Vik, Bjørg,",An aquarium of women / | $c: by Bjørg Vik ; translated by Janet Garton.,1987,u,high_female,360.77112060379363
uc1.$b105433,"Stonier, George Walter,",The memoirs of a ghost / | $c: G. W. Stonier.,1947,m,high_female,360.505303301156
mdp.39015077113721,"Hollywood, Peter,",Luggage / | $c: Peter Hollywood.,2008,m,,360.44326853023506
uc1.32106014173949,"Petterson, Per,",To Siberia / | $c: Per Petterson ; translated from the Norwegian by Anne Born,1998,m,mixed,359.78592097513507
uc1.b4027238,"Downing, Rupert,","If I laugh: the chronicle of my strange adventures in the great Paris exodus--June 1940, | $c: [by] Rupert Downing.",1941,m,high_male,359.68718817441345
mdp.39015002699091,"Williams, Gordon M.,","Walk, don't walk / | $c: Gordon Williams.",1972,m,high_male,359.29496836396504
mdp.39015082679369,"Donovan, Gerard,",Country of the grand : | a collection of stories / | $c: Gerard Donovan.,2008,m,mixed,359.2521806607366
uc1.32106013836728,"Vassanji, M. G.",Uhuru Street : | short stories / | $c: M.G. Vassanji.,1991,u,,359.05971237820955
mdp.39015019626616,"Marshall, Robert,",In the sewers of Lvov : | the last sanctuary from the Holocaust / | $c: Robert Marshall.,1990,m,mixed,358.90000713046373
mdp.39015011821892,"Sillitoe, Alan.",The ragman's daughter.,1963,m,mixed,358.8481271686586
mdp.39076002869522,"Hacikyan, A. J. (Agop Jack),",The lamppost diary / | $c: Agop J. Hacikyan.,2009,m,high_male,358.8120804480517
mdp.39015013790400,"O'Flaherty, Liam,",Insurrection.,1950,m,,358.69077865789865
mdp.39015080866216,"Cartwright, Anthony,",Heartland / | $c: Anthony Cartwright.,2009,m,,358.5289225651451
mdp.39015037443770,"Bracewell, Michael,",Saint Rachel / | $c: Michael Bracewell,1995,m,mixed,357.42475464279863
