htid,author,title,year,authgender,female_category,intl_subcountry_intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1357.308584686775
nyp.33433082290879,"Yonge, Charlotte M.",Aunt Charlotte's stories of German history for the little ones,1878,f,high_male,1302.358324533615
uc1.b4374032,"Vaphopoulou-Richardson, C. E.",Greek terracottas / | $c: by C.E. Vafopoulou-Richardson.,1981,u,mixed,1240.6947890818858
uiuo.ark:/13960/t0cv52b6x,"Craik, Georgiana M.",Sydney,1881,f,high_female,1235.804943219773
mdp.39015038144393,"de Tudèle, Guillaume,",The song of the Cathar wars : | a history of the Albigensian Crusade / | $c: William of Tudela and an anonymous successor ; translated by Janet Shirley.,1996,u,high_male,1201.7479970866716
mdp.39015073316914,"Carlyle, Thomas,",[Works],1885,m,high_female,1140.123418083368
uiuo.ark:/13960/t1rf6927n,"Craik, Georgiana M.",Sydney,1881,f,high_female,1105.003054028541
mdp.39015073316757,"Carlyle, Thomas,",[Works],1885,m,high_male,1084.3123746349552
uiuo.ark:/13960/t8qc0k82w,"Craik, Georgiana M.",Sydney,1881,f,high_female,1063.869779331604
mdp.39015012192483,"Farah, Nuruddin,",From a crooked rib.,1970,m,high_female,1026.1430186832288
nyp.33433074964960,"O'Keeffe, Adelaide,","Zenobia, queen of Palmyra;",1814,f,high_female,962.94035872919
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,952.1498655724706
mdp.39015016869177,"Cieza de León, Pedro de,",The war of Chupas,1918,m,high_male,942.58412062478
uc2.ark:/13960/t1pg1p49w,"James, G. P. R.",Dark scenes of history,1849,m,high_male,940.2213055719244
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,935.046573816554
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,934.2632592515484
mdp.39015018941461,"White, Kenneth,",The blue road / | $c: Kenneth White.,1990,m,high_male,932.1959370328028
mdp.39015060652222,"Evans, Diana.",26a / | $c: Diana Evans.,2005,f,high_female,911.6429028044134
mdp.39015073317078,"Carlyle, Thomas,",[Works],1885,m,high_male,893.0302741846207
nnc1.cu01579681,"Sharp, Jonathan,","Jonathan Sharp; or, The adventures of a Kentuckian",1845,m,high_male,888.5776532835357
mdp.39015063970274,"Fuller, Roy,","Savage gold, | a story of adventure. | $c: With illus. by Robert Medley.",1957,m,high_male,872.4011414594374
wu.89079729414,"Moorehead, Alan,","African trilogy : | comprising Mediterranean front, A year of battle, The end in Africa : a personal account of the three years' struggle against the axis in the Middle East and North Africa, 1940-3 / | $c: Alan Moorehead ; with a foreword by Field-Marshal Viscount Wavell.",1944,m,high_male,868.4547390389059
uc1.b3331992,"Paterson, Arthur,",The daughter of the Nez Percés,1894,m,mixed,855.5511341026661
mdp.39015025220321,"Sinclair, Clive,",Augustus Rex : | a novel / | $c: by Clive Sinclair ; original drawings by Yosl Bergner.,1992,m,,851.955127793269
uc2.ark:/13960/t3gx46g5z,"Morison, Margaret Cotter.",A lonely summer in Kashmir,1904,u,high_male,849.0891328084592
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,841.8740849194728
mdp.39015061187673,"Zhou, Weihui,",Marrying Buddha / | $c: Wei Hui.,2005,u,,834.6936176617002
mdp.39015073316922,"Carlyle, Thomas,",[Works],1885,m,high_male,815.3480969345258
uc2.ark:/13960/t2p55g671,"Lytton, Edward Bulwer Lytton,",Rienzi,1835,m,,795.5685559653512
inu.30000110620394,"Drake, John,",Flint and Silver / | $c: John Drake.,2008,m,,779.7227652390261
uc1.b3331991,"Paterson, Arthur,",The daughter of the Nez Percés,1894,m,mixed,777.5188171015934
uc2.ark:/13960/t74t6jf5c,"Murray, John Wilson,",Memoirs of a great detective,1904,m,high_male,776.116466653551
njp.32101072790544,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,762.2544928503868
uc2.ark:/13960/t7xk89r6g,"Festing, Gabrielle.",From the land of princes,1904,f,high_male,737.093268894664
inu.30000011905878,"Feuchtwanger, Lion,",The Ugly Duchess. | An historical romance.,1946,m,,732.982216006586
wu.89095837944,"McMillan, Richard.","Miracle before Berlin, | $c: by Richard McMillan.",1946,m,high_male,731.8134586179028
mdp.39015066901128,"McCullough, Colleen,",Antony and Cleopatra / | $c: Colleen McCullough.,2007,f,mixed,731.6870949465917
uc2.ark:/13960/t80k2b87q,"Garstin, Crosbie,",The coasts of romance,1922,u,high_male,729.7467833529945
mdp.39015000542558,"Pemba, Tsewang Y.",Idols on the path | $c: [by] Tsewang Pemba. -,1966,u,high_male,726.6149870801032
uc1.b3296373,"Turquan, Joseph,",The Empress Josephine,1913,m,high_female,722.9642476741665
uiuo.ark:/13960/t8sb4qd43,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,722.137896140932
uc1.$b322835,"Blair, Andrew James Fraser,","1957, | $c: by Hamish Blair.",1930,m,high_male,713.4424447294439
inu.30000041710629,"Weindel, Henri de.",Behind the scenes at the court of Vienna;,1914,m,high_female,709.6134318841948
uc2.ark:/13960/t7kp7zc3h,"Weindel, Henri de.",The real Francis-Joseph,1909,m,high_female,709.4010147569345
mdp.39015031238739,"Handl, Irene.",The Gold Tip Pfitzer: | a novel.,1973,f,,705.7882635209437
mdp.39015069768946,"Ėrenburg, Ilʹi͡a,",A soviet writer looks at Vienna / | $c: Ilya Ehrenburg ; translated by Ivor Montagu.,1934,u,high_male,704.5715222021956
inu.30000100855364,"Plivier, Theodor,",Berlin | $c: [by] Theodor Plievier; [translated from the German by Louis Hagen],1969,m,high_male,702.4694317909374
uc1.b4503874,"Harrison, Marion Chilton",Byliny book;,1915,u,high_male,700.4954724073125
mdp.39015011299693,"Cooke, Alistair,",Christmas Eve; | $c: illustrated by Marc Simont.,1952,u,high_male,699.2403314917127
mdp.39015027936700,"Ganzhorn, John W.",I've killed men,1910,m,high_male,698.9742931491184
mdp.39015073317086,"Carlyle, Thomas,",[Works],1885,m,high_male,698.3161570085036
mdp.39015000550114,"Pomeroy, Miggs.",The rays of July.,1966,u,,697.4998183594225
uc1.b4084788,"Viscount Samuel, Samuel, Edwin,","My friend Musa, and other stories.",1963,m,,696.6683521546154
uiuo.ark:/13960/t04x5xf7m,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,688.680911177821
uc1.b4937384,,The water house / | $c: Antonio Olinto ; translated by Dorothy Heapy.,1982,u,high_female,686.4177573289396
umn.319510020966623,"Woodward, William Harrison,",Elena.,1929,m,high_female,682.6014206088009
mdp.39015056825758,"Sibal, Nina.",Yatra : | the journey / | $c: Nina Sibal.,1987,f,,676.2843772678361
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,675.3698868581374
umn.31951002056112q,"Knight, Brigid.",The cloister and the citadel / | $c: Brigid Knight.,1958,f,mixed,673.2953228572753
mdp.39015032577176,"Stangerup, Henrik.",Brother Jacob : | a novel / | $c: by Henrik Stangerup ; translated from the Danish by Anne Born.,1993,u,high_male,672.8000203878793
uc1.b3346146,"Allister, William,",A handful of rice.,1961,m,high_male,671.5756460080453
mdp.39015031326153,"Ike, Vincent Chukwuemeka,",Sunset at dawn : | a novel about Biafra / | $c: Chukwuemeka Ike.,1976,m,,670.8564018155519
uiuo.ark:/13960/t8gf1fc8c,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,669.7181402071789
uc1.$b435114,"Vinogradov, Anatoliĭ,","The condemnation of Paganini,",1946,u,,666.0505433570222
uc1.32106007020925,"Battye, Evelyn.",Costumes and characters of the British Raj / | $c: Evelyn Battye ; illustrated by Cecil Elgee ; introduction by M.M. Kaye.,1982,f,mixed,665.557404326123
wu.89002047405,"Leasor, James.","Boarding party / | $c: James Leasor ; with a foreword by Admiral of the Fleet, the Earl Mountbatten of Burma.",1978,m,high_male,665.3866525423731
uc1.b4184454,Sister of Notre Dame.,Vittorino da Feltre,1920,f,,664.2215612094607
mdp.39015070219079,"Sala, George Augustus,",Under the sun,1886,m,,663.9091116439919
mdp.39015003666040,"Goddard, Donald.",Easy money / | $c: Donald Goddard.,1980,m,high_male,663.89306895636
wu.89087886859,"Fadeev, Aleksandr,","Leningrad in the days of the blockade, | $c: by A. Fadeyev. Translated from the Russian by R. D. Charques.",1946,u,,662.6863143631434
uc1.31822001403641,"Huskinson, Janet",Roman sculpture from Cyrenaica in the British Museum / | $c: Janet Huskinson,1975,f,high_male,661.1026693579479
inu.30000092668809,"Mulrine, Stephen.",Moscow stations : | a play / | $c: by Stephen Mulrine ; translated and adapted from Moscow-Petushki by Venedikt Yerofeev.,1993,m,,660.2978364709188
uc1.$b102383,"King-Hall, Stephen, Sir,","Men of destiny : | or, The moment of no return / | $c: Stephen King- Hall.",1960,m,,659.8569430147544
mdp.39015001610214,"Cid,",The poem of the Cid (El poema del mio Cid),1959,u,high_male,659.4309435267666
nyp.33433057525101,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,659.0938679859393
njp.32101072795097,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,657.8947368421052
uc2.ark:/13960/t3125v37k,"Grant, Marjorie.",Verdun days in Paris,1918,f,,651.6169754576171
inu.30000004090332,"Sitwell, Sacheverell,",Touching the Orient; | six sketches | $c: by Sacheverell Sitwell.,1934,u,high_male,650.479809364333
inu.32000011265255,"Coryn, M. S.,","The acquirer, 1027-1087, | $c: by M. Coryn.",1934,u,high_male,648.5580702552857
njp.32101068601168,"Peacock, Thomas Love,",The misfortunes of Elphin,1891,m,high_male,647.1510187572677
uc1.$b188484,"Dekobra, Maurice,",The golden-eyed Venus. | $c: Translated by Sheila O'Callaghan from the French.,1963,m,mixed,645.7369264737017
mdp.39015002758228,"Viscount Samuel, Samuel, Edwin,",A coat of many colors.,1960,m,,645.1281524474807
mdp.39015030130374,"Sharp, William,",Life of Heinrich Heine,1888,m,high_male,644.5006625707747
uc1.$b323496,"Burnett, W. R. (William Riley),",The Widow Barony.,1962,m,high_male,643.9115383925531
mdp.39015013763571,"Druon, Maurice,",The poisoned crown ; | a novel / | $c: translated from the French by Humphrey Hare.,1957,m,mixed,643.7286919074107
mdp.39015031236279,"Howells, William Dean,",The lady of the Aroostook,1891,m,,643.1211674465312
mdp.39015047753259,"Kirst, Hans Hellmut,","No one will escape, | a novel;",1959,m,,639.9763628305511
uc1.$b86445,"Elvin, Harold,",A cockney in Moscow.,1958,m,high_male,639.6103896103896
inu.32000009069933,"Samuel, Edwin, Viscount Samuel,",A cottage in Galilee / | $c: Edwin Samuel.,1957,m,,638.9690583260622
mdp.39015020731942,"Eiselin, Max.",The ascent of Dhaulagiri / | $c: by Max Eiselin ; translated from the German by E. Joel Bowman.,1961,m,high_male,638.2232612507307
mdp.39015001143810,"Schirach, Henriette von,",The price of glory. | $c: Translated and adapted by Willi Frischauer.,1960,f,,637.4304835517014
uc1.32106018775459,"Platonov, Andreĭ","Happy Moscow / | $c: Andrey Platonov ; translated from the Russian by Robert and Elizabeth Chandler with Angela Livingstone, Nadya Bourova and Eric Naiman ; with an introduction by Eric Naiman",2001,u,,635.912399498882
mdp.39015050321846,"Waage, Johan.",The Narvik campaign. | $c: Translated from the Norwegian by Ewan Butler.,1964,m,high_male,635.7921087816119
mdp.39015053122043,"Lynn, Jack,",The Hallelujah flight / | $c: Jack Lynn,1989,m,high_male,634.1213223294633
mdp.39015034399488,"Carson, Michael,",The knight of the flaming heart / | $c: Michael Carson.,1995,m,,633.974704409294
mdp.39015061750611,"Clarke, Lindsay.",The war at Troy / | $c: Lindsay Clarke.,2004,u,,633.3463978778635
uc1.b4363354,"Voznesenskai͡a, I͡Ulii͡a.",The star Chernobyl / | $c: Julia Voznesenskaya ; translated from the Russian by Alan Myers,1987,u,high_female,632.5396466814259
uc2.ark:/13960/t77s7kw62,"Pearce, Charles E.",A star of the east,1912,m,,630.385749812041
uc2.ark:/13960/t8jd4zv1w,"Martin, Frederick Townsend,",Things I remember,1913,m,,629.5626548791105
mdp.39015064126637,"Gavin, Catherine Irvine.",The house of war / | $c: [by] Catherine Gavin.,1970,f,,626.3021414053889
uc1.b3945613,"Baroness, Orczy, Emmuska Orczy,",The turbulent duchess (H. R. H. Madame la Duchesse de Berri),1935,f,high_female,626.0778285971359
mdp.39015070528594,"Donatti, Arthur Louis.","The orphan of Novogorod, an Illyrian tale",1841,m,high_male,624.3953917861226
mdp.39015047504686,"Ortese, Anna Maria.",The lament of the linnet / | $c: Anna Maria Ortese ; translated from the Italian by Patrick Creagh.,1997,f,,624.2596702384034
nnc1.cu01579690,"Sharp, Jonathan,","Jonathan Sharp; or, The adventures of a Kentuckian",1845,m,high_male,623.883390522644
mdp.39015048917853,"Ali, Tariq.",Fear of mirrors / | $c: Tariq Ali.,1998,u,,622.1700763459695
mdp.39015030847415,"Balchin, Nigel,",The Borgia testament.,1948,m,mixed,617.9858604835119
wu.89092582881,"Bibesco, Marthe,",Prince imperial / | $c: Princess Marthe Bibesco ; translated by Roland Grant.,1949,u,,617.6732856303964
mdp.39015063547627,"Coryn, Marjorie,","Black Mastiff, / | $c: by M. Coryn.",1933,f,high_male,616.8300300196383
uc1.31822004859112,,"Catalogue of the George Ortiz collection of African and Oceanic works of art ... / | $c: sold by auction by Sotheby Parke Bernet and Co. ... 29th June, 1978",1978,u,high_male,616.7565547071074
nyp.33433074876644,"King, Charles,",A wounded name,1898,m,,615.2452990997712
mdp.39015022430345,"Birabongse Bhanudej, Prince,","Blue wings to Bangkok, | $c: by H.H. Prince Birabongse (B. Bira)",1954,m,high_male,614.3734819259894
uc1.$b528548,"Lyall, Archibald,",Russian roundabout : | a non-political pilgrimage / | $c: by Archibald Lyall.,1933,m,mixed,614.2944535073409
mdp.39015017721922,"De Rosa, Peter,",Rebels : | the Irish rising of 1916 / | $c: Peter De Rosa.,1990,m,high_male,613.6362662461487
uc1.b3442223,"Habe, Hans,",Palazzo : | a novel / | $c: by Hans Habe ; translated by Salomé Hangartner.,1977,m,,609.9854342043177
loc.ark:/13960/t5m90wb3j,"Moore, G. Greville","Memories of an old Etonian, 1860-1912",1919,u,,608.8411321340486
uc2.ark:/13960/t89g5js2d,"Mack, Louise,",A woman's experiences in the great war,1915,f,,608.2757516740922
uc1.b4948380,"Lloyd-Jones, Robin,",Lord of the dance / | $c: Robin Lloyd-Jones.,1983,u,,606.7915778450955
hvd.hn21hk,"Porter, Jane,",Thaddeus of Warsaw,1805,f,,601.1042228042736
mdp.39015005256261,"Murray, Margaret Alice.",Ancient Egyptian legends / | $c: by M. A. Murray.,1927,f,high_female,600.9045194345173
njp.32101073313676,"Walmsley, Leo,",Flying and sport in East Africa,1920,m,high_male,599.2399883075122
mdp.39015030703774,"Marshall, Bruce,",Peter the Second / | $c: Bruce Marshall.,1976,m,high_male,597.757545393293
mdp.39015019670390,"Louvish, Simon.",The last trump of Avram Blok / | $c: Simon Louvish.,1990,m,,595.0642523364486
uc2.ark:/13960/t3pv6db05,"Lorimer, Norma Octavia,",By the waters of Carthage,1906,f,,594.643085992567
mdp.39015057600408,"McEwen, Todd.",Who sleeps with Katz? / | $c: Todd McEwen.,2003,m,high_male,593.809447614984
mdp.39015002204744,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,593.8001862373311
mdp.39015040132147,"Farki, Neville.",The death of Tarzana Clayton : | a novel / | $c: by Neville Farki.,1985,m,,593.5629125518091
wu.89100004720,"Zbyszewski, Karol.","The fight for Narvik; | impressions of the Polish campaign in Norway. | $c: Text by Karol Zbyszewski, drawings by Józef Natanson.",1940,u,high_male,588.5619100499723
mdp.39015002141342,"Dowrick, Stephanie.",Greek island mythology.,1974,f,mixed,587.9765735317947
uc1.$b322693,"Baker, George.",The last shore / | $c: by George Baker.,1953,m,,587.7561031157206
mdp.39015032814538,"Higgins, Aidan,",Lions of the Grunewald / | $c: Aidan Higgins.,1993,m,,587.5992083732887
mdp.39015019157687,"Tournier, Michel.",Gilles & Jeanne / | $c: Michel Tournier ; translated from the French by Alan Sheridan.,1987,m,,587.1043054315732
mdp.39015053777424,"Brun, Vincenz,","Alcibiades, forsaken by gods and men. | $c: [Translated from the German by Carl Ehrenstein and John Dorman]",1936,u,,586.7279176237129
uc1.$b582056,"Macdonald, Mina",Some experiences in Hungary,1916,f,mixed,585.6930307252674
uc1.b4567288,"Divine, A. D. (Arthur Durham),","The wake of the raiders : | the exploits and the failure of the pocket battleships, and a consecutive account of events at sea / | $c: A.D. Divine.",1940,m,high_male,585.3289415116176
uc1.b3632621,"Foster, Harry L.",The adventures of a tropical tramp,1922,m,high_male,582.0224261787992
uc1.$b80840,"Delarue-Mardrus, Lucie,",William the Conqueror; | $c: translated by Colin Shepherd.,1933,u,high_male,581.5121228061786
mdp.39015050674871,"Jones, Tristan,",Somewheres east of Suez / | $c: Tristan Jones.,1988,m,high_male,581.4375385508508
nyp.33433074895842,"Marks, Mary A. M.",A great treason;,1883,f,mixed,581.4125514098885
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,580.4039121823646
uc2.ark:/13960/t3ws8kw5r,"Wedmore, Frederick,",Pastorals of France,1877,m,mixed,580.2276277616603
mdp.39015033984231,"Rendell, Ruth,",Simisola / | $c: Ruth Rendell.,1994,f,high_female,580.15559052339
uc2.ark:/13960/t4qj78t14,"Thayer, John Adams,",Getting on;,1911,m,high_male,580.1205919970764
inu.39000005519793,"King, Rosa E. (Rosa Eleanor),",Tempest over Mexico : | a personal chronicle / | $c: by Rosa E. King ; illustrated by Carroll Bill.,1936,f,mixed,577.6288888341502
mdp.39015016975818,"Endō, Shūsaku,",Foreign studies / | $c: Shusaku Endo ; translated from the Japanese by Mark Williams.,1989,m,high_male,576.5658237960943
uc1.31822010874279,"Harsányi, Zsolt,",Hungarian melody; | $c: translated  from the Hungarian by Lynton Hudson,1936,u,,576.5153069699722
mdp.39015030703824,"Marshall, Bruce,",Urban the Ninth.,1973,m,,573.9646944972803
inu.39000000965470,"Sharp, Colin Ainsworth.",Border line / | $c: Colin Ainsworth Sharp.,1984,m,,573.6439202286691
uiuo.ark:/13960/t5w66tq0x,"Eaton, Charlotte A.",Vittoria Colonna,1827,f,high_male,572.2981952244181
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,570.6978366324603
uc2.ark:/13960/t72v2fs3v,"Mühlbach, L.",Queen Hortense,1870,f,high_female,570.600651092906
mdp.39015058659890,"Dutt, Romesh Chunder,",The slave girl of Agra;,1909,u,,570.5377689640179
mdp.39015073480157,"Henty, G. A.",With Frederick the Great,1898,m,high_male,570.1348809030325
uiuo.ark:/13960/t84j0w803,"Gore,","Greville, or, A Season in Paris",1841,f,,570.0532049657968
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,569.501271701869
uc1.$b56451,"Cummins, Geraldine Dorothy,","When Nero was dictator, | $c: by Geraldine Cummins. Introduction by A.H.E. Lee.",1939,f,high_male,569.4823894262719
mdp.39015068635419,"Pitcairn, Frank.",Reporter in Spain / | $c: Frank Pitcairn ; with introd. by Ralph Bates.,1936,m,high_male,566.2974782554282
uc1.b4538467,"Beaty, David.",The white sea-bird / | $c: David Beaty.,1979,m,,566.2413096561181
mdp.39015003931790,"Golding, Louis,","Adventures in living dangerously, | $c: by Louis Golding.",1930,m,mixed,563.5760055585579
mdp.39015035870156,"Wadia, Ardaser Sorabjee N.,",In the land of Lalla Rookh;,1921,u,,562.8666560964008
uc1.$b283074,"Tuohy, Ferdinand,","The battle of brains, | $c: by Ferdinand Tuohy.",1930,m,mixed,561.7630717945552
mdp.39015065402359,"Landsborough, Gordon.",Tobruk Commando.,1956,m,high_male,561.3651605852108
uc1.b3810867,"Byrne, Donn,",Brother Saul / | $c: by Donn Byrne.,1927,m,high_male,560.9189383774584
mdp.39015048890001,"Liyong, Taban lo.","Fixions, & other stories.",1969,f,high_male,559.6597268860532
uc2.ark:/13960/t6h12x84w,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,559.4870321143761
uiuo.ark:/13960/t9086v22h,"James, G. P. R.",Agincourt,1844,m,,559.4177710189008
uc1.$b557778,"Mackenzie, Kenneth,","Been places and seen things, | $c: by Kenneth Mackenzie. Introduction by George Blake.",1935,m,high_male,558.9949271210363
mdp.39015041369060,"Everett, Peter",Matisse's war / | $c: Peter Everett.,1997,m,mixed,554.9792201014492
njp.32101064911876,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,,553.6903203778525
njp.32101072790536,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,553.2971996386628
mdp.39015058467526,"Marotta, Giuseppe,",Return to Naples. | $c: Translated from the Italian by Frances Frenaye. With illustrations by Laboccetta.,1951,u,,551.261061488405
mdp.39015060112565,"Haylock, John.",Loose connections / | $c: by John Haylock.,2003,m,mixed,550.9440846483626
uiuo.ark:/13960/t56d69q4h,"Hartstonge, Matthew Weld,",The eve of All-Hallows;,1825,m,high_male,549.8394929623837
nyp.33433074964952,"O'Keeffe, Adelaide,","Zenobia, queen of Palmyra;",1814,f,high_female,549.292141480661
uiuo.ark:/13960/t78s50349,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,548.4150616260224
mdp.39015019554131,"Ballard, J. G.,",War fever / | $c: J.G. Ballard.,1990,m,mixed,546.8341552330755
uc2.ark:/13960/t7cr5q352,"Callwell, J. M.",Old Irish life,1912,u,,545.3273401635023
mdp.39015031309316,"Themba, Can,",The will to die; | $c: selected by Donald Stuart and Roy Holland. -,1972,u,mixed,544.8112259257769
mdp.39015056187845,"Rendell, Ruth,",The babes in the wood / | $c: Ruth Rendell.,2002,f,,544.8025545348086
uc1.$b492992,,The books of the Maccabees.,1949,u,high_male,543.7772417587067
uiuo.ark:/13960/t7pn9p41f,"James, G. P. R.",Agincourt,1844,m,,543.4860134373707
mdp.39015032814553,"Moyano, Daniel.",The devil's trill / | $c: Daniel Moyano ; translated by Giovanni Pontiero.,1988,m,high_male,542.6869622766379
wu.89010520096,"Southey, Robert,",Chronicle of the Cid,1885,m,high_male,542.3470012460295
inu.30000042624605,"Mullen, Michael.",The midnight country / | $c: Michael Mullen.,1995,m,mixed,542.1039406786457
mdp.39015047457992,"Preston, Peter,",51st state / | $c: Peter Preston.,1998,m,,541.3484497748938
uc1.$b298821,"Graham, Stephen,",St. Vitus day | $c: [by] Stephen Graham.,1930,m,high_male,540.9395508702321
uc2.ark:/13960/t28913n40,"Eccott, W. J.",The mercenary,1913,u,,539.511836045854
uc2.ark:/13960/t83j3cg3v,"Patterson, J. H.",The man-eaters of Tsavo and other East African adventures,1907,u,,539.488465658228
mdp.39015022242401,"Coyle, William.",Chief of staff : | a novel / | $c: William Coyle.,1991,m,high_male,538.1097394588342
nyp.33433057525093,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,536.8659578176747
wu.89100133453,"Vioux, Marcelle,",Henry of Navarre.,1936,f,,535.9592307622431
inu.32000000359739,"Greene, Graham,","Stamboul train, | $c: by Graham Greene.",1932,m,mixed,533.6489081409369
uc1.32106012238371,"Stangerup, Henrik",Snake in the heart : | a novel / | $c: Henrik Stangerup ; translated from the Danish by Anne Born,1996,u,mixed,533.5728653246733
uc1.b4104233,"Trollope, Anthony,",Harry Heathcote of Gangoil,1874,m,,533.552808956876
mdp.39015009349294,"Abdullah, Achmed,","My nine lives; | adventures and reminiscences, | $c: by Achmed Abdullah. Illustrated by Erick Berry.",1934,m,,532.2903187860252
mdp.39015010826439,"Moraes, Dom,","Gone away, | an Indian journal.",1960,m,high_male,531.2282792175555
uc1.31822011370293,"Mielche, Hakon,",Round the world with Galathea. | $c: [Tr. from the Danish by M. A. Michael],1953,u,high_male,531.1490991431726
mdp.39015005213262,"Steegmann, Mary G.",Bianca Cappello,1913,f,,529.4907931824768
nyp.33433075761837,"Sladen, Douglas Brooke Wheelton,",The Douglas romance,1916,m,high_female,527.8573323443904
inu.30000026294847,"Gifford, Barry,",The wild life of Sailor and Lula / | $c: Barry Gifford.,1992,m,mixed,527.6703997774046
umn.31951002218072c,"McLeish, Kenneth,",Myths and legends of ancient Rome / | $c: by Kenneth McLeish.,1987,m,mixed,527.3081385711918
uc1.$b795583,"Roberts, Cecil,",So immortal a flower / | $c: Cecil Roberts.,1944,m,,526.8227622999407
mdp.39015022004801,"Buchan, James.",Slide / | $c: James Buchan.,1991,m,high_female,526.5429434613726
mdp.39015047454767,"Ali, Tariq.",The book of Saladin / | $c: Tariq Ali.,1998,u,mixed,525.5049279277378
mdp.39015062110344,"Follett, Ken.",On wings of eagles / | $c: by Ken Follett.,1983,m,high_male,525.3686773300351
inu.30000110619701,"Gardner, Frank,",Far horizons : | unusual journeys and strange encounters from a travelling life / | $c: Frank Gardner ; with a foreword by Michael Palin.,2009,m,,524.9487568650154
uc2.ark:/13960/t1qf8mt9n,"Larrouy, Maurice,",The odyssey of a torpedoed tramp,1918,m,high_male,524.2776288352696
uc1.32106017093730,"Enquist, Per Olov",Plays / | $c: Per Olov Enquist,2004,m,mixed,523.5083860324444
inu.30000100685415,"Daeninckx, Didier,",Murder in memoriam / | $c: Didier Daeninckx ; translated by Liz Heron.,2005,m,mixed,523.2448062789376
uc2.ark:/13960/t1bk18c52,"Lytton, Edward Bulwer Lytton,",Rienzi,1835,m,,523.0070951585977
uc1.b3339478,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,522.7597536714258
inu.32000007466461,"Mackworth, Cecily.",I came out of France.,1942,u,,522.7058313572502
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,522.3387740048545
mdp.39015077124553,"Carr, Reg.",The last tango of Señor Menendez / | $c: Reg Carr.,2008,m,mixed,522.1976964897665
wu.89099400848,"Klimov, Grigoriĭ Petrovich.","The terror machine; | the inside story of the Soviet administration in Germany, | $c: by Gregory Klimov.  Translated from the German by H. C. Stevens.  Introduced by Edward Crankshaw and Ernst Reuter.",1953,u,,521.4897223067228
mdp.39015010528738,"Druon, Maurice,",The lily and the lion; | a novel. | $c: Translated from the French by Humphrey Hare.,1961,m,,521.131184908943
uc2.ark:/13960/t0zp44k24,"Castellane, Antione Marie Eugène Philippe Boniface,",Men and things of my time,1911,f,,521.0521892596018
mdp.39015038020676,"Borodin, Sergeĭ,","Dmitri Donskoi, | $c: a novel translated from the Russian by Eden and Cedar Paul.",1944,u,high_male,520.9081764621354
nyp.33433082548144,"Bayley, Henry,","Employment, the true source of happiness, or, The good uncle and aunt",1825,f,high_female,520.7899341721525
uc1.32106014434168,"Hamilton, Hugo",Headbanger / | $c: Hugo Hamilton,1996,m,high_male,520.1340252325484
uc1.$b295058,"Hobart, Alice Tisdale,","Within the walls of Nanking, | $c: by Alice Tisdale Hobart; proem by Florence Ayscough.",1928,f,high_male,519.0552497735665
uc1.b3327536,"Normanby, Constantine Henry Phipps,","Historiettes; or, Tales of continental life",1827,m,mixed,517.46232582283
nyp.33433066579156,"Boswell, Thomas Alexander.",The journal of an exile,1825,m,,517.1226845551623
mdp.39015002235896,"O'Faoláin, Seán,",And again : | a novel / | $c: by Seán O'Faoláin.,1979,m,,516.7848295891347
uc2.ark:/13960/t2b854q62,"Nicholson, John Gambril,",In Carrington's duty-week,1910,m,high_male,516.512337419044
mdp.39015050291916,"Hopkins, John,",All I wanted was company / | $c: John Hopkins.,1999,m,,516.4519220530295
uc2.ark:/13960/t4wh2gg7b,"Butler, Patrick Richard,",A galloper at Ypres,1920,m,high_male,516.1821101100039
nyp.33433074909924,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,515.9071367153913
