htid,author,title,year,authgender,female_category,home
mdp.39015043828345,"Wagner, Martin,",Rachel's machine / | $c: Martin Wagner.,1997,m,high_female,32.89428598840476
mdp.39015063914702,"Farjeon, B. L.",Miser Farebrother,1888,m,mixed,32.89419581914771
hvd.hn2hfk,"Kendall, Edward Augustus,",Keeper's travels in search of his master,1812,m,,32.887009631195674
mdp.39015005190379,"Mulisch, Harry,",Two women / | $c: Harry Mulisch ; translated from the Dutch by Els Early.,1980,m,high_female,32.88391976323578
mdp.39015000618820,"Greene, Graham,",The collected edition.,1970,m,,32.87491096378281
uc2.ark:/13960/t8ff43d6j,"Balzac, Honoré de,",A harlot's progress =,1896,m,mixed,32.87130882594642
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,32.87124672704397
njp.32101067627545,"Armstrong, F. C.",The cruize of the daring,1860,m,high_male,32.86986819182855
mdp.39015064701389,"Murray, John,",A gentleman's relish / | $c: John Murray.,2006,m,,32.86528632464103
uc1.32106012230790,,The Mandrake root / | $c: selected and arranged by Jeremy Scott,1946,u,,32.84996949645689
uc1.$b312489,"Shelby, Gertrude Mathews,","Po'buckra | $c: [by] Gertrude Mathews Shelby, Samuel Gaillard Stoney.",1931,f,high_female,32.84811397078951
uc1.b3727281,"Baird, Thomas,",Sheba's landing / | $c: Thomas Baird.,1965,m,,32.847819509875954
uiuo.ark:/13960/t6f197g9r,"Cameron, H. Lovett,",Pure gold,1884,f,high_female,32.84688658439303
mdp.39015029193433,"Tremain, Rose",Sacred country : | a novel / | $c: Rose Tremain.,1992,f,,32.846565480996894
mdp.39015020644186,"Amis, Kingsley.",Jake's thing / | $c: [by] Kingsley Amis.,1978,m,,32.82597052573383
hvd.32044086797222,"Boswell, George.",Maria of the mountain;,1827,m,,32.82224410371829
mdp.39015039925386,"Clewes, Howard,",Man on a horse / | $c: Howard Clewes.,1964,m,high_male,32.82132072994617
mdp.39015030738119,"Firbank, Ronald,","The artificial princess, | $c: by Ronald Firbank, with an introduction by Sir Coleridge Kennard.",1934,m,high_female,32.81782007630143
mdp.39015053245026,,Nineteenth century short stories / | $c: edited with an introduction by Peter Keating.,1981,u,mixed,32.81683769856404
njp.32101065841817,"Brooke, Frances,",Manners,1817,f,high_female,32.81448402790658
mdp.39015047457992,"Preston, Peter,",51st state / | $c: Peter Preston.,1998,m,,32.80899695605417
mdp.39015054182723,"Lasdun, James.",The horned man / | $c: James Lasdun.,2002,m,high_female,32.80693120983015
inu.30000027389893,"Brooke, Cassandra.",Dear Venus / | $c: Cassandra Brooke.,1992,f,mixed,32.80652707251669
mdp.39015000655095,"Gordimer, Nadine.",The conservationist / | $c: Nadine Gordimer.,1974,f,high_male,32.80365085337733
uc2.ark:/13960/t87h1tb1m,"Lowndes, Marie Belloc,",The Red cross barge,1916,f,,32.79840693452032
mdp.49015002350081,"Beyala, Calixthe.",Loukoum : | the 'little prince' of Belleville / | $c: Calixthe Beyala ; translated from the French by Marjolijn de Jager.,1995,u,high_female,32.796778044524906
mdp.39015073668363,,The rivals of Sherlock Holmes : | an anthology of crime stories 1890-1914 / | $c: edited with an introduction by Nick Rennison.,2008,u,mixed,32.79202726015483
uc1.$b176818,"Zangrandi, Ruggero.",A train to the Brenner (La tradotta del Brennero). | $c: Translated from the Italian by Roger Wolcott-Behnke.,1963,u,high_male,32.78903534658011
inu.32000004061869,"Carew, Jan.",Black Midas.,1958,u,,32.78745103453036
mdp.39015048751518,"Fernyhough, Charles,",The auctioneer / | $c: Charles Fernyhough.,1999,m,,32.787096027618304
mdp.39015029198408,"St Aubin de Terán, Lisa,",Nocturne / | $c: Lisa St Aubin de Terán.,1992,f,,32.78688524590164
uc1.32106014882739,"Valenzuela, Luisa,",Symmetries : | stories / | $c: by Luisa Valenzuela ; translated from the Spanish by Margaret Jull Costa,1998,f,mixed,32.786252917012206
nyp.33433074857370,"Gaskell, Catherine Milnes.",Old Shropshire life,1904,f,,32.784965751419705
uiuo.ark:/13960/t7rn3tq31,"Yates, Edmund Hodgson,",The rock ahead,1868,m,mixed,32.776676117274945
mdp.39015013239200,"Kinsella, W. P.",The moccasin telegraph and other stories / | $c: by W.P. Kinsella.,1983,m,mixed,32.77479618173624
uc1.32106018531399,,Afsaneh : | short stories by Iranian women / | $c: edited and translated by Kaveh Basmenji,2005,u,mixed,32.772420747463286
uc2.ark:/13960/t0zp47s8z,"Everett-Green, Evelyn,",Sir Aylmer's heir;,1890,f,mixed,32.76949004431683
njp.32101067643989,"Fenn, George Manville,",The Mynns' mystery,1891,m,,32.76289492939596
mdp.39015063914629,"Ewing, Juliana Horatia Gatty,",The story of a short life,1885,f,,32.76003276003276
uc1.$b120380,"Jones, Richard,",The toy crusaders.,1968,m,,32.75979945305378
mdp.39015072764007,"Finch, Matthew,",Teething troubles / | $c: Matthew Finch.,1956,m,mixed,32.75520398303281
uiuo.ark:/13960/t4pk0r814,"Douglas, John,",Measure for measure,1886,m,,32.74729323154383
njp.32101066459684,"Gore,",The dowager,1840,f,,32.746764102652484
mdp.39015063542032,"Beckett, Arthur,",Emancipation,1907,m,mixed,32.743323825175835
mdp.39015002968793,"Achebe, Chinua.",No longer at ease.,1960,m,,32.73999276273844
njp.32101063882656,"Norris, W. E.",Adrian Vidal,1885,f,high_female,32.73739155739047
uc1.$b300341,"Gerhardie, William Alexander,","Pending heaven, | a novel, | $c: by William Gerhardi.",1930,m,mixed,32.73437225995768
njp.32101065768515,"Southey, Caroline Bowles,",Chapters on churchyards,1829,f,mixed,32.726407235511125
mdp.39015034869423,"Kennedy, A. L.",So I am glad / | $c: A.L. Kennedy.,1995,u,high_male,32.723772858517805
njp.32101068168101,"Crommelin, May.","Joy, or, The light of Cold-home Ford",1884,f,high_female,32.723182329481546
inu.30000028599573,"Nabokov, Vladimir Vladimirovich,",Five novels / | $c: Vladimir Nabokov ; with an introduction by Peter Quennell.,1979,m,,32.7200329788355
uiuo.ark:/13960/t0ft93q3m,"Braddon, M. E.","Lucius Davoren, or, Publican and sinners",1873,f,,32.719218765730396
mdp.39015002264037,"Orwell, George,",Animal farm : | a fairy story / | $c: by George Orwell ; illustrated by Joy Batchelor & John Halas.,1954,m,high_male,32.71083620792197
mdp.39015039590446,"Mitchell, James Leslie,",Cloud howe.,1933,m,,32.704571906772735
uc1.b3258588,"Jones, Mervyn,",The new town.,1953,m,mixed,32.700625771065894
mdp.39015072207031,"Wallace, Clare Marc.","Thank you, Mr. Freud.",1966,u,,32.69423880806146
mdp.39015064948303,"Buckley, Jonathan,",So he takes the dog / | $c: Jonathan Buckley.,2006,m,mixed,32.691393247741324
uc2.ark:/13960/t4rj49j8h,"Tallentyre, S. G.",The starry pool,1918,u,high_female,32.687133841241106
uc2.ark:/13960/t5q81cb58,"Gissing, George,",Human odds and ends,1898,m,mixed,32.68329883429568
wu.89002447233,"Bennett, Arnold,",The card,1912,m,,32.68231661275963
mdp.39015054241818,"Vaculík, Ludvík.",The axe. | $c: Translated from the Czech by Marian Sling.,1973,u,,32.67821296858223
mdp.39015005735223,"Green, G. F. (George Frederick),",The power of Sergeant Streater | $c: [by] G. F. Green.,1972,m,high_male,32.67802990693297
uiuo.ark:/13960/t41r79t5b,"Lloyd, Jessie Sale,",Scamp;,1887,f,,32.674399607907205
mdp.39015050483307,"Sillitoe, Alan,",Birthday / | $c: Alan Sillitoe.,2001,m,,32.66611847663246
uc1.b2800312,"Asturias, Miguel Angel.",The president / | $c: by Miguel Angel Asturias ; translated from the Spanish by Frances Partridge.,1963,m,,32.662603897164374
uc1.$b252533,"Drabble, Margaret,",The millstone : | a novel / | $c: by Margaret Drabble.,1965,f,,32.66085470944401
uc1.b4101374,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,32.65212046711739
mdp.39015001741860,"Cooper, William,",Scenes from later life : | a novel / | $c: by William Cooper.,1983,m,,32.65117976395118
mdp.39015028044512,"Sologub, Fyodor,","The sweet-scented name, and other fairy tales, fables and stories",1915,u,high_female,32.637075718015666
mdp.39015040037064,,The star : | & other Korean short stories / | $c: translated from the Korean by Agnita Tennant,1996,u,high_male,32.63663189958796
uc1.$b251256,,The Mercury story book. | $c: With an introd. by J. B. Priestley.,1929,u,mixed,32.631660453746
uc1.$b252072,"Green, John.","Reunion, | $c: by John Green.",1966,m,,32.6255017944026
nyp.33433074940663,"Blake, Cecilia.",Cecile Raye: an autobiography,1868,f,high_female,32.62460267894595
uc1.b3445681,"Meckel, Christoph.","The figure on the boundary line : | selected prose / | $c: Christoph Meckel : edited by Christopher Middleton ; graphics by the author ; translations by Christopher Middleton, Brian Harris and Margaret Woodruff.",1983,u,high_male,32.61965482474349
njp.32101064919036,"Maxwell, W. H.",My life,1835,m,mixed,32.61809879029399
mdp.39015002280207,"Leitch, Maurice,",Silver's city / | $c: Maurice Leitch.,1981,m,high_male,32.61657405170331
mdp.39015056205076,"Echenoz, Jean.",I'm off ; | + One year / | $c: Jean Echenoz ; translated from the French by Guido Waldman.,2002,f,,32.61496776135879
uiuo.ark:/13960/t7cr65n7z,"Daniel, Mackenzie,",The student's wife,1852,f,high_female,32.60987716946266
mdp.39015016434741,"Green, John.","Reunion, | $c: by John Green.",1966,m,,32.606538319770905
nyp.33433040405858,"Balzac, Honoré de,",Beatrix,1896,m,high_female,32.60447305621844
nyp.33433074871405,"Keary, Annie,",Janet's home,1882,f,high_female,32.60405728724654
nyp.33433074868989,,Hyde Nugent,1827,u,mixed,32.602114479996274
uc1.$b248811,"Mitcalfe, Barry.",Salvation Jones. | $c: Drawings by Anthony Stones.,1962,m,high_male,32.60089978483406
uc1.$b787395,"O'Connor, Frank,",Traveller's samples : | stories and tales / | $c: by Frank O'Connor.,1951,m,mixed,32.59958396721413
uc2.ark:/13960/t5db7w778,"Arthur, T. S.",Anna Lee: The maiden - the wife - the mother,1876,m,high_female,32.59288973574688
mdp.39015063554565,"Jesse, F. Tennyson",Beggars on horseback,1915,f,,32.58731655086531
inu.30000050702665,"Umelo, Rosina.",Please forgive me / | $c: Rosina Umelo.,1993,f,,32.587026529673366
uc1.32106014853367,"Branton, Matthew",The love parade / | $c: Matthew Branton,1997,m,,32.58637283357457
mdp.39015050134397,"Francis, Dick.",Shattered / | $c: Dick Francis.,2000,m,,32.5827660441031
mdp.39015084099517,"Hill, Joe.",Gunpowder / | $c: Joe Hill.,2008,m,,32.57918552036199
inu.30000110593211,"McNicoll, Andrea.",Moonshine in the morning / | $c: Andrea McNicoll.,2008,f,high_female,32.57682701704854
uiuo.ark:/13960/t13n2tk4s,"Wood, Henry,",The shadow of Ashlydyat,1863,f,high_female,32.574406802907696
mdp.39015021848109,"Abse, Dannie.",There was a young man from Cardif / | $c: Dannie Abse.,1991,m,mixed,32.56898008203312
mdp.39015021306439,"MacCall, Seamus.","Gods in motley, | $c: by Seamus MacCall; with a foreword by Lord Dunsany.",1935,u,,32.564096997590255
uc2.ark:/13960/t3mw2f43j,"Glyn, Elinor,",The letters of her mother to Elizabeth,1901,f,,32.560695170841896
uc1.b3834693,"De la Mare, Walter,",Ding dong bell / | $c: by Walter de la Mare.,1924,m,mixed,32.555615843733044
mdp.39015043790180,"Lively, Penelope,",Spiderweb / | $c: Penelope Lively.,1998,f,high_female,32.55252485520908
uc1.$b312575,"Stallings, Laurence,",Plumes / | $c: by Laurence Stallings.,1925,m,high_male,32.551268247489794
inu.30000109858138,"Hellaby, Madeline.",The Wentworths : | alias 'un-named' / | $c: written and illustrated by Madeline Hellaby.,2006,f,,32.54839805275671
uiuo.ark:/13960/t5cc1cg2j,"Erroll, Henry.",The academician,1888,m,,32.54224680969759
uc1.32106018410123,"Byrd, Max.",California thriller / | $c: Max Byrd.,1981,m,,32.540394973070015
mdp.39015084096117,"Moyes, Jojo,",The horse dancer / | $c: Jojo Moyes.,2009,f,high_female,32.53483063521633
uc1.$b242654,"Mann, Leonard,",Andrea Caslin | [a novel],1959,m,high_female,32.52943462035439
uiuo.ark:/13960/t3tt5591t,"Braddon, M. E.",Sir Jasper's tenant,1865,f,,32.526142887345706
nyp.33433034410880,"Alexander,",Look before you leap,1882,f,high_female,32.52105457930091
uc1.32106005864431,"Fitzgerald, F. Scott (Francis Scott),",The Bodley Head Scott Fitzgerald / | $n: Scott Fitzgerald with an introd. by J.B. Priestley.,1963,m,high_female,32.51797521407667
uc2.ark:/13960/t6zw1d58j,"Bojer, Johan,",Our kingdom,1920,m,,32.5138890852288
uiuo.ark:/13960/t0xp78m8z,"Carter, Mary Elizabeth.",Mrs. Severn,1889,m,high_female,32.51371672424304
mdp.39015082715627,"Lathrop, John.",The desert contract / | $c: John Lathrop.,2008,m,,32.5114735258315
mdp.39015013961159,"Waugh, Evelyn,",Love among the ruins : | a romance of the near future.,1953,m,mixed,32.50975292587776
mdp.39015040177100,"Gale, Patrick,",Tree surgery for beginners / | $c: Patrick Gale,1998,m,mixed,32.50719098467237
mdp.39015038110683,"Ilʹf, Ilʹi͡a,",The twelve chairs / | $c: Ilf & Petrov ; translated from the Russian by John Richardson ; introd. by Maurice Friedberg.,1961,u,,32.505978778239566
mdp.39015063536505,"Collins, Mortimer,",[Works,1883,m,,32.503508901529145
inu.39000000974274,,Misfits : | an anthology of short stories / | $c: edited by Peggy Woodford.,1984,u,,32.50307923908581
uiuo.ark:/13960/t7mp5q48f,"Wood, Henry,",East Lynne,1862,f,,32.50302869130987
mdp.39015002704834,"Scott, John Dick,",The end of an old song; | a romance.,1954,m,mixed,32.501073696184605
mdp.39015014204542,"Rybakov, Vladimir.",The burden / | $c: Vladimir Rybakov ; translated by J.R. Dorrell.,1984,m,,32.500947944315044
uc1.32106012743099,"MacAndrew, Amanda,","Party pieces : | a novel set in England and Scotland, 1968-1995 / | $c: Amanda MacAndrew",1996,f,,32.49840517085735
uiuo.ark:/13960/t7zk5z20n,"MacDonald, George,",St. George and St. Michael,1876,m,,32.48771117012261
uiuo.ark:/13960/t3xs62m41,"Diehl, Alice M.",Griselda,1886,f,high_female,32.478077297823965
mdp.39015038889534,"Osman, Shaukat,",Janani / | $c: Shaukat Osman ; translated from the Bengali by Osman Jamal,1993,u,high_male,32.47431050080026
mdp.39015038919224,"Binchy, Maeve.",Silver wedding / | $c: Maeve Binchy.,1988,f,high_female,32.47174957786726
uc1.$b621354,"Lawrie, Jenn.",The marriage of Gor : | the true account of a white girl's life with a black man / | $c: by Jenn Lawrie.,1960,u,high_female,32.46652855508488
uc1.b4949039,"Swift, Graham,",Shuttlecock / | $c: Graham Swift.,1981,m,,32.46428928179003
wu.89011120391,"Martenson, Jan,",Death calls on the witches : | a novel / | $c: by Jan Martenson ; translated from the Swedish by Joan Tate.,1979,u,high_female,32.46339172879155
wu.89013829759,"Boothby, Guy,",Uncle Joe's legacy,1902,u,high_male,32.46050638389959
mdp.39015068802878,"Preston, John,",The dig / | $c: John Preston,2007,m,high_male,32.459830959188004
uc1.$b266678,"Houghton, Claude,","The sins of the fathers, | $c: novelized by Claude Houghton [pseud.] Based on the film of the same name. Illustrated with scenes from the photoplay, a Paramount production starring Emil Jannings.",1930,m,,32.45910153206959
wu.89087910576,"Towers, Frances,","Tea with Mr. Rochester, and other stories.",1949,f,high_female,32.44865676081284
uc1.b3578892,"Collins, Wilkie,",The law and the lady;,1875,m,mixed,32.44460560719125
mdp.39015029863118,"McCrum, Robert.",The psychological moment / | $c: Robert McCrum.,1993,m,,32.43634367553676
mdp.39015034413834,"Ranga Rao,",The drunk tantra / | $c: Ranga Rao.,1994,u,mixed,32.43293332715563
uc1.b3325612,"Marsh-Caldwell, Anne,",Angela,1848,f,high_female,32.432297578804246
mdp.39015009011118,"O'Brien, Darcy.","A way of life, like any other / | $c: Darcy O'Brien.",1977,m,,32.432063362010105
mdp.39015047519585,"Stevenson, Jane,",Several deceptions / | $c: Jane Stevenson.,1999,f,high_female,32.42366927857336
uc1.32106014341942,"Blanchard, Stephen,",Wilson's island / | $c: Stephen Blanchard,1997,m,mixed,32.4114088159032
uc1.b3940922,"Remizov, Alekseĭ,","The fifth pestilence : | together with The history of the tinkling cymbal and sounding brass, Ivan Semyonovitch Stratilatov / | $c: by Alexei Remizov ; translated from the Russian, with a preface, by Alec Brown.",1927,u,high_male,32.41061300254865
uc1.32106011912992,"Osman, Shaukat,",Janani / | $c: Shaukat Osman ; translated from the Bengali by Osman Jamal,1993,u,high_male,32.405907133928984
uc1.$b318397,"Escholier, Raymond,","Comes the blind fury, | $c: by Raymond Escholier, translated from the French by J. Lewis May.",1925,m,high_female,32.39427179911083
mdp.39015033358451,"Coppard, A. E. (Alfred Edgar),",Silver circus; | $c: tales by A. E. Coppard.,1928,m,,32.38924677007233
uc1.$b300352,"Gibbs, Philip,",Called back / | $c: by Philip Gibbs.,1953,m,mixed,32.38883316616516
mdp.39015018496359,"Nizan, Paul.",The conspiracy / | $c: Paul Nizan ; translated by Quintin Hoare ; with an afterword by Jean-Paul Sartre.,1988,m,,32.38754005066337
uiuo.ark:/13960/t4xg9x52w,"Christie, Mary Elizabeth,",Lady Laura,1880,f,high_female,32.38465348420772
mdp.39015064708152,"Haig, Matt,",The dead fathers club / | $c: Matt Haig.,2006,m,mixed,32.38216131497481
mdp.39015061135292,"Shacklady, Helen,",The stolen crate / | $c: Helen Shacklady.,2002,f,high_female,32.37681819817011
mdp.39015017702849,"Callow, Philip.",Another flesh / | $c: Philip Callow.,1989,m,,32.37211749055392
mdp.39015005667848,"Lie, J. L. I.",The commodore's daughters,1892,u,high_female,32.369308915254656
uc1.b4281548,"Nizan, Paul.",The conspiracy / | $c: Paul Nizan ; translated by Quintin Hoare ; with an afterword by Jean-Paul Sartre.,1988,m,,32.368819578511726
uiuo.ark:/13960/t0qr5b57j,"Leys, John K.",The Lindsays,1888,m,,32.36769703835572
mdp.39015049864096,"Katiyo, Wilson.",Going to heaven / | $c: Wilson Katiyo.,1982,m,,32.3594674556213
mdp.39015016452388,"Branfield, John.",In the country.,1966,m,mixed,32.35198964736331
inu.30000101870990,"Hart, Maarten 't,",The sundial / | $c: Maarten 't Hart ; translated from the Dutch by Michiel Horn.,2004,m,mixed,32.347867001254706
uc1.32106013189789,"Byatt, A. S. (Antonia Susan),",The virgin in the garden / | $c: by A. S. Byatt.,1978,f,mixed,32.34534336330377
nyp.33433034410542,"Erroll, Henry.",An ugly duckling,1890,m,high_female,32.33767338949877
mdp.39015043787442,"Sillitoe, Alan.",The broken chariot / | $c: Alan Sillitoe.,1998,m,mixed,32.32940726970808
uc1.$b236122,"Coxhead, Elizabeth,",The figure in the mist / | $c: Elizabeth Coxhead.,1955,f,high_female,32.31978487951184
inu.30000036504193,"McLeay, Alison.",The wayward tide / | $c: Alison McLeay.,1990,f,mixed,32.318286993264735
mdp.39015077132697,"McLeod, Suzanne.",The sweet scent of blood / | $c: by Suzanne McLeod.,2008,f,,32.31634766514388
uc2.ark:/13960/t1cj89j1d,"Talbot, L. A.",Lance-in-rest,1904,u,high_female,32.31413799251204
mdp.39015055109303,"Stuart, Francis,","Black list, section H / | $c: Francis Stuart.",1971,m,mixed,32.31394320162311
uc1.$b243320,"Hoult, Norah,",Sister Marvis.,1953,f,high_female,32.30984095220228
mdp.39015055184561,"Rower, Ann.",Lee & Elaine / | $c: Ann Rower.,2002,f,high_female,32.30592514597492
mdp.39015078800672,"Haynes, Fredwyn.",The new revolution : | a political thriller / | $c: Fredwyn Haynes.,2008,u,high_male,32.29807245103612
uc1.b3473131,"Selvon, Samuel.",Turn again tiger / | $c: Samuel Selvon ; introd. and study questions by Sandra Pouchet Paquet.,1979,m,high_male,32.28931223764934
uc1.$b298745,"Phillpotts, Eden,",Lying prophets / | $c: by Eden Phillpotts.,1926,m,high_female,32.28747246068525
uc1.32106009291227,,Modern Irish short stories / | $c: edited by Ben Forkner ; pref. by Anthony Burgess.,1980,u,,32.28372245356291
mdp.39015030763281,"Middleton, Stanley,",Cold gradations.,1972,m,,32.27516886829426
nyp.33433073356820,"Turgenev, Ivan Sergeevich,",Liza,1869,m,high_female,32.27408142999007
mdp.39015038124551,"Rendell, Ruth,",The brimstone wedding / | $c: Barbara Vine.,1996,f,high_female,32.26960553914794
mdp.39015009373690,"Freeling, Nicolas.",A city solitary / | $c: Nicolas Freeling.,1985,m,mixed,32.268809593204814
mdp.39015002751272,"Ruhumbika, Gabirel,",Village in uhuru.,1969,u,mixed,32.261684340458956
uc1.32106015852061,"Yahia, Mona",When the grey beetles took over Baghdad / | $c: Mona Yahia,2000,f,high_male,32.257427437246136
uc1.b3346079,"Blight, Leslie,",Love and idleness.,1958,m,,32.25351260910759
hvd.hn2tj4,"Lathom, Francis,",Human beings,1807,m,,32.25286244154169
uc1.32106012238371,"Stangerup, Henrik",Snake in the heart : | a novel / | $c: Henrik Stangerup ; translated from the Danish by Anne Born,1996,u,mixed,32.24469114192271
mdp.39015080739181,"Campbell, Karen,",After the fire / | $c: Karen Campbell.,2009,f,mixed,32.24346939730715
mdp.39015016441993,"David, Janina,",A part of the main.,1969,f,high_female,32.23726627981947
mdp.39015030853074,"Burke, John Frederick,",The suburbs of pleasure | $c: [by] John Burke.,1967,m,mixed,32.229534245753946
uiuo.ark:/13960/t84j0zr25,"Eliot, George,",Adam Bede,1899,f,mixed,32.21748335430026
uiuo.ark:/13960/t98635n8d,"Tabor, Eliza.",Jeanie's quiet life,1868,f,high_female,32.21096031609689
mdp.39015002218462,"Straub, Peter.",Marriages; | a novel. -,1973,m,mixed,32.21046944161593
mdp.39015011507582,"Graham, Winston.","The loving cup : | a novel of Cornwall, 1813-1815 / | $c: Winston Graham.",1984,m,,32.202271818337636
mdp.39015063933637,"Howitt, Mary Botham,",Wood Leighton;,1836,f,,32.20050179115291
uc1.$b156278,"Mittelhölzer, Edgar.",Children of Kaywana.,1952,m,mixed,32.19476298522107
mdp.39015011404855,"Norris, Kathleen Thompson,","Josselyn's wife, | $c: by Kathleen Norris.",1929,f,high_female,32.19173814617126
uiuo.ark:/13960/t6g16ns50,"Wood, Henry,",Anne Hereford,1868,f,,32.184036717787976
mdp.39015000610306,"Woolf, Virginia,",The voyage out.,1949,f,high_female,32.173274328762304
mdp.39015066885149,"Malouf, David,",Every move you make / | $c: David Malouf.,2007,m,mixed,32.17081511313403
inu.30000125114367,"Jones, Nina.",Bush town blues : | a '70s African tale / | $c: Nina Jones.,2007,f,,32.16977470945076
mdp.39015014863099,"Mittelhölzer, Edgar.",The aloneness of Mrs. Chatham.,1965,m,high_female,32.16695433861604
uc1.32106012161714,"Fenton, Kate",Lions and liquorice / | $c: Kate Fenton,1995,f,,32.16435987898159
uiuo.ark:/13960/t3hx1p71v,"Craik, Dinah Maria Mulock,",The Ogilvies,1849,f,,32.16261417728033
uiuo.ark:/13960/t3708nx0s,"MacDonald, George,",St. George and St. Michael,1876,m,,32.14729305180098
mdp.39015003964148,"Murdoch, Iris.",The Flight from the enchanter.,1962,f,mixed,32.14702953606348
mdp.39015084102907,"Dobbs, Michael,",The edge of madness / | $c: Michael Dobbs.,2009,m,high_male,32.1469963707733
uc1.b4948512,"Boylan, Clare.",Last resorts / | $c: Clare Boylan.,1984,f,high_female,32.14548126377664
uc2.ark:/13960/t41r6qk68,"Moore, George,",A modern lover,1897,m,,32.14357463336235
mdp.39015005395770,"Hansen, Martin Alfred,",The Liar.,1954,m,mixed,32.14212663997896
mdp.39015014282761,"Dahl, Tessa.",Working for love / | $c: Tessa Dahl.,1988,f,mixed,32.139872726104
mdp.39015011877555,"Kuznet͡sov, Ėduard.",Russian novel / | $c: Edward Kuznetsov ; translated by Jennifer Bradshaw.,1986,u,mixed,32.13912670850705
mdp.39015002759036,"(Jerome David), Salinger, J. D.","For Esmé-- | with love and squalor, and other stories.",1953,u,high_female,32.137431342760316
uiuo.ark:/13960/t2n58wn84,"Dickens, Mary Angela.",Cross currents,1891,f,high_female,32.13690320766465
uc1.$b189631,"Masson, René,","The bottle organ, | a novel. Being L'orgue á bouteilles, | $c: translated by Constantine Fitz-Gibbon.",1952,u,high_female,32.13688094947861
nyp.33433075763502,"Thackeray, William Makepeace,",The history of Pendennis;,1906,m,mixed,32.135384757655274
mdp.39015063914728,"Farjeon, B. L.",Miser Farebrother,1888,m,mixed,32.13530655391121
uc1.$b170834,"Buhet, Gil,",The honey siege; | $c: translated from the French by Geoffrey Sainsbury.,1953,u,,32.13519465421585
mdp.39015066900740,"Stace, Wesley.",By George : | a novel / | $c: Wesley Stace.,2007,m,,32.12933987058302
mdp.39015053114644,"Nicoll, Ruaridh.",White male heart / | $c: Ruaridh Nicoll.,2001,u,,32.128874144475326
uc2.ark:/13960/t2x350r2g,"Pickthall, Marmaduke William,",Enid,1904,m,high_female,32.128634084744874
mdp.39015025220321,"Sinclair, Clive,",Augustus Rex : | a novel / | $c: by Clive Sinclair ; original drawings by Yosl Bergner.,1992,m,,32.125004818750725
uiuo.ark:/13960/t2794hz6s,"Hopton, Anna Maria,",Dawn and twilight,1858,f,mixed,32.12021338993939
uc1.$b244768,"Strong, L. A. G. (Leonard Alfred George),",Light above the lake / | $c: L.A.G. Strong.,1958,m,,32.119639232212144
mdp.39015063975463,"Shorthouse, J. H.",Sir Percival;,1888,u,high_male,32.1193411966239
mdp.39015080887105,"LeBor, Adam.",The Budapest protocol / | $c: by Adam LeBor.,2009,m,,32.11615592020256
uiuo.ark:/13960/t2x35fw6k,"Woodgate, Walter Bradford,","The O.V.H., or, How Mr. Blake became an M.F.H",1869,m,high_male,32.110828230005275
mdp.39015060827410,"Nicholson, William.",The trial of true love / | $c: William Nicholson.,2005,m,,32.09978447287568
uiuo.ark:/13960/t9v12jj5b,"Stuart, Esmè,",A mine of wealth,1896,u,high_female,32.09893228814705
nyp.33433082170949,"Aldrich, Thomas Bailey,",The story of a bad boy,1877,m,,32.09340709722774
uc1.32106014700428,"Lawrence, D. H. (David Herbert),",The complete short stories / | $c: D.H. Lawrence.,1960,m,high_female,32.08413869738397
uc1.32106009522654,"Humphreys, Emyr.",Bonds of attachment / | $c: Emyr Humphreys.,1991,m,mixed,32.07728739362605
uc1.b3324572,"Le Fanu, Joseph Sheridan,",Willing to die,1873,m,mixed,32.07488892584761
mdp.39015077682931,"Esler, Gavin.",A scandalous man / | $c: Gavin Esler.,2008,m,,32.07271635435575
uiuo.ark:/13960/t6pz5vh5p,"Robinson, F. W.",Mattie,1864,m,mixed,32.068568429952045
mdp.39015008272265,"baron, Reith, John Charles Walsham Reith,","Wearing spurs,",1966,m,high_male,32.06559704996507
mdp.39015048736949,"Boyle, Jimmy,",Hero of the underworld / | $c: Jimmy Boyle.,1999,m,,32.06155819172812
inu.39000005843045,"Pilkington, Francis Meredith.","Shamrock and spear: tales and legends from Ireland; | $c: retold by F. M. Pilkington, drawings by Roy Spencer.",1966,m,high_male,32.05813207950417
uiuo.ark:/13960/t3xs6768n,"Lucy, Henry W.",Gideon Fleyce,1883,m,high_male,32.04768695819379
uc1.$b301028,"Keable, Robert,",Numerous Treasure; | a romantic novel | $c: by Robert Keable.,1925,m,,32.047594786924584
mdp.39015015453874,"Kharrāṭ, Idwār,",City of saffron / | $c: Edwar al-Kharrat ; translated by Frances Liardet.,1989,u,,32.0474301966911
mdp.39015046879600,"Warner, Alan.",The Sopranos / | $c: Alan Warner.,1998,m,,32.04505729267819
mdp.39015005594836,"Shadbolt, Maurice.",The New Zealanders: | a sequence of stories.,1960,m,mixed,32.043945983062486
uiuo.ark:/13960/t76t14c4r,"Harrison, F. Bayford.",The ideal artist;,1893,m,,32.04101249599487
mdp.39015051371626,"Wills, C. J.",Laura Ruthven's widowhood,1892,m,high_female,32.03807954597465
uc1.b3322575,"Griffin, Gerald,",The rivals,1830,m,,32.03531003061152
uiuo.ark:/13960/t8hd8h57n,"MacDonald, George,",Wilfrid Cumbermede,1872,m,mixed,32.028519307626965
