htid,author,title,year,authgender,female_category,intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,2459.3967517401393
nyp.33433082290879,"Yonge, Charlotte M.",Aunt Charlotte's stories of German history for the little ones,1878,f,high_male,2390.003519887364
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,1762.1813439286636
uc1.31822022095780,"Mathews, Basil,",The ships of peace. | $c: Rev. and edited by Joyce Reason,1947,m,high_male,1692.3021763292818
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,1512.258064516129
uc1.$b582056,"Macdonald, Mina",Some experiences in Hungary,1916,f,mixed,1509.1042202961528
uc1.b4374032,"Vaphopoulou-Richardson, C. E.",Greek terracottas / | $c: by C.E. Vafopoulou-Richardson.,1981,u,mixed,1508.2956259426846
wu.89079729414,"Moorehead, Alan,","African trilogy : | comprising Mediterranean front, A year of battle, The end in Africa : a personal account of the three years' struggle against the axis in the Middle East and North Africa, 1940-3 / | $c: Alan Moorehead ; with a foreword by Field-Marshal Viscount Wavell.",1944,m,high_male,1493.329612395576
uc2.ark:/13960/t1qf8mt9n,"Larrouy, Maurice,",The odyssey of a torpedoed tramp,1918,m,high_male,1492.4039320822162
mdp.39015073316757,"Carlyle, Thomas,",[Works],1885,m,high_male,1488.8337468982631
uc2.ark:/13960/t4rj4bm4w,"Mathews, Basil,",The ships of peace,1919,m,high_male,1482.1501368586569
uc1.b4567288,"Divine, A. D. (Arthur Durham),","The wake of the raiders : | the exploits and the failure of the pocket battleships, and a consecutive account of events at sea / | $c: A.D. Divine.",1940,m,high_male,1448.856049140924
mdp.39015016869177,"Cieza de León, Pedro de,",The war of Chupas,1918,m,high_male,1436.8858449960749
mdp.39015038144393,"de Tudèle, Guillaume,",The song of the Cathar wars : | a history of the Albigensian Crusade / | $c: William of Tudela and an anonymous successor ; translated by Janet Shirley.,1996,u,high_male,1433.4195967829414
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,1404.1597031753522
wu.89014636112,"Lynch, Conor.",Equal citizenship and the end of sectarian politics.,1987,u,high_male,1397.51552795031
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,1376.8389287061486
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,1363.118678438947
mdp.39015050674871,"Jones, Tristan,",Somewheres east of Suez / | $c: Tristan Jones.,1988,m,high_male,1352.454555349951
wu.89016963142,"Elsbree, Elizabeth Sellers,",Across the Isthmus of Panama.,1937,f,high_male,1348.4173237344305
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,1346.7443918180395
wu.89095837944,"McMillan, Richard.","Miracle before Berlin, | $c: by Richard McMillan.",1946,m,high_male,1341.065925379895
mdp.39015073316914,"Carlyle, Thomas,",[Works],1885,m,high_female,1334.5087436511244
uiuo.ark:/13960/t0cv52b6x,"Craik, Georgiana M.",Sydney,1881,f,high_female,1324.8719661545315
uc2.ark:/13960/t1pg1p49w,"James, G. P. R.",Dark scenes of history,1849,m,high_male,1313.428926864401
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,1313.1616620420282
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,1299.784527698617
uc1.b4084788,"Viscount Samuel, Samuel, Edwin,","My friend Musa, and other stories.",1963,m,,1278.1616944772177
mdp.39015070528594,"Donatti, Arthur Louis.","The orphan of Novogorod, an Illyrian tale",1841,m,high_male,1272.9751121273416
mdp.39015059447808,"Frey, Albert R.",Sobriquets and nicknames,1895,m,high_male,1269.186900351123
nnc1.cu01579681,"Sharp, Jonathan,","Jonathan Sharp; or, The adventures of a Kentuckian",1845,m,high_male,1266.7289137877372
uc1.32106018651312,"Markham, E. A. (Edward Archibald),",Meet me in Mozambique / | $c: E.A. Markham.,2005,m,high_male,1260.1154715478574
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,1257.6972891908474
nyp.33433074964960,"O'Keeffe, Adelaide,","Zenobia, queen of Palmyra;",1814,f,high_female,1247.7537042688095
mdp.39015002758228,"Viscount Samuel, Samuel, Edwin,",A coat of many colors.,1960,m,,1245.0562432585134
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1235.4546760522917
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1234.567901234568
mdp.39015073317078,"Carlyle, Thomas,",[Works],1885,m,high_male,1233.9541885693534
mdp.39015051144783,"Byrne, Donn,","The power of the dog, | $c: by Donn Byrne.",1929,m,,1229.916384215687
uc2.ark:/13960/t74t6jf5c,"Murray, John Wilson,",Memoirs of a great detective,1904,m,high_male,1222.2112925437734
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,1215.6809179073891
mdp.39015018941461,"White, Kenneth,",The blue road / | $c: Kenneth White.,1990,m,high_male,1213.613578401196
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,1205.3522061262852
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,1190.8247925817473
uc1.31822011370293,"Mielche, Hakon,",Round the world with Galathea. | $c: [Tr. from the Danish by M. A. Michael],1953,u,high_male,1182.5056259871683
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,1177.8357992457209
wu.89100004720,"Zbyszewski, Karol.","The fight for Narvik; | impressions of the Polish campaign in Norway. | $c: Text by Karol Zbyszewski, drawings by Józef Natanson.",1940,u,high_male,1177.1238200999446
inu.32000011265255,"Coryn, M. S.,","The acquirer, 1027-1087, | $c: by M. Coryn.",1934,u,high_male,1176.0933427117384
inu.30000004090332,"Sitwell, Sacheverell,",Touching the Orient; | six sketches | $c: by Sacheverell Sitwell.,1934,u,high_male,1172.151735686224
inu.30000110619701,"Gardner, Frank,",Far horizons : | unusual journeys and strange encounters from a travelling life / | $c: Frank Gardner ; with a foreword by Michael Palin.,2009,m,,1170.377556289215
uiuo.ark:/13960/t1rf6927n,"Craik, Georgiana M.",Sydney,1881,f,high_female,1164.2326984655822
inu.32000009470826,"De Polnay, Peter,",Death and to-morrow.,1942,m,,1155.8219178082193
mdp.39015025923064,"Ramsay, James Henry,","Bamff charters, A. D. 1232-1703",1915,m,high_male,1151.8956446276509
uc2.ark:/13960/t8jd4zv1w,"Martin, Frederick Townsend,",Things I remember,1913,m,,1150.2913401647577
mdp.39015001160764,"O'Connor, Ulick.",Irish tales and sagas / | $c: Ulick O'Connor ; illustrations by Pauline Bewick.,1981,u,mixed,1149.425287356322
wu.89095735338,"Ari Þorgilsson,",The book of the settlement of Iceland,1908,u,high_male,1148.2820976491862
uc1.31822004859112,,"Catalogue of the George Ortiz collection of African and Oceanic works of art ... / | $c: sold by auction by Sotheby Parke Bernet and Co. ... 29th June, 1978",1978,u,high_male,1140.0651465798046
mdp.39015001068413,"Walker, David Esdaile,",Operation Amsterdam.,1980,m,,1133.9928185185713
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,1125.6720430107523
mdp.39015027913014,"Kuncewiczowa, Maria Szczepańska,","Polish millstones, | $c: by Maria Kuncewiczowa; translated by Stephen Garry. The cover designed by Janina Konarska.",1942,f,high_female,1125.468945393914
wu.89100006006,"Aldor, Francis.","Germany's ""death space"" : | the Polish tragedy.",1940,m,high_male,1123.5579334559436
mdp.39015073316922,"Carlyle, Thomas,",[Works],1885,m,high_male,1121.543569308499
uc2.ark:/13960/t72v2fs3v,"Mühlbach, L.",Queen Hortense,1870,f,high_female,1120.631059278074
mdp.39015017721922,"De Rosa, Peter,",Rebels : | the Irish rising of 1916 / | $c: Peter De Rosa.,1990,m,high_male,1120.1432960666432
uc1.b4027911,"Hume, Martin Andrew Sharp,",True stories of the past,1910,m,,1120.0033432935622
uiuo.ark:/13960/t8qc0k82w,"Craik, Georgiana M.",Sydney,1881,f,high_female,1118.3790083079582
uc2.ark:/13960/t0wp9vk7h,"Mathews, Basil,",Yarns on African pioneers to be told to boys,1920,m,mixed,1117.4005734029254
mdp.39015060652222,"Evans, Diana.",26a / | $c: Diana Evans.,2005,f,high_female,1116.391969389551
uc2.ark:/13960/t8df6pd80,"Mathews, Basil,","John Williams, the shipbuilder",1915,m,high_male,1110.0707192666882
mdp.39015070219079,"Sala, George Augustus,",Under the sun,1886,m,,1108.3645150751136
uc1.$b528548,"Lyall, Archibald,",Russian roundabout : | a non-political pilgrimage / | $c: by Archibald Lyall.,1933,m,mixed,1104.965334420881
loc.ark:/13960/t5m90wb3j,"Moore, G. Greville","Memories of an old Etonian, 1860-1912",1919,u,,1103.8479449455838
uc1.32106007020925,"Battye, Evelyn.",Costumes and characters of the British Raj / | $c: Evelyn Battye ; illustrated by Cecil Elgee ; introduction by M.M. Kaye.,1982,f,mixed,1101.3390381110848
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,1100.409507904189
mdp.39015030703774,"Marshall, Bruce,",Peter the Second / | $c: Bruce Marshall.,1976,m,high_male,1097.040581863414
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,1092.0191339375629
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,1088.6429679664664
mdp.49015001248211,,The Holy Bible. | The Authorized or King James version of 1611 now reprinted with the Apocrypha. | $c: With reproductions of 105 of the sixteenth-century woodcuts of Bernard Salomon.,1963,u,high_male,1083.881251245268
wu.89092582881,"Bibesco, Marthe,",Prince imperial / | $c: Princess Marthe Bibesco ; translated by Roland Grant.,1949,u,,1083.103155788512
uc1.$b86445,"Elvin, Harold,",A cockney in Moscow.,1958,m,high_male,1081.168831168831
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,1078.6308419603854
uc1.32106006093162,,The Holy Bible. | The Authorized or King James version of 1611 now reprinted with the Apocrypha. | $c: With reproductions of 105 of the sixteenth-century woodcuts of Bernard Salomon.,1963,u,high_male,1078.243133143798
uc2.ark:/13960/t80k2b87q,"Garstin, Crosbie,",The coasts of romance,1922,u,high_male,1075.416312309676
mdp.39015078576058,"Purves, William Laidlaw,","The ""O"" edition of 'Robeson Cruso'",1903,m,high_male,1075.3427273074428
njp.32101075688935,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,1074.4968530882811
mdp.39015019670390,"Louvish, Simon.",The last trump of Avram Blok / | $c: Simon Louvish.,1990,m,,1073.306074766355
mdp.39015012192483,"Farah, Nuruddin,",From a crooked rib.,1970,m,high_female,1068.3363993856642
uc2.ark:/13960/t7kp7zc3h,"Weindel, Henri de.",The real Francis-Joseph,1909,m,high_female,1068.165194069361
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,1067.8427324763068
inu.32000009069933,"Samuel, Edwin, Viscount Samuel,",A cottage in Galilee / | $c: Edwin Samuel.,1957,m,,1061.8162292771326
mdp.39015030703824,"Marshall, Bruce,",Urban the Ninth.,1973,m,,1061.1672840124138
umn.31951002056112q,"Knight, Brigid.",The cloister and the citadel / | $c: Brigid Knight.,1958,f,mixed,1058.035507347147
uc1.$b298821,"Graham, Stephen,",St. Vitus day | $c: [by] Stephen Graham.,1930,m,high_male,1055.3511493523722
inu.30000041710629,"Weindel, Henri de.",Behind the scenes at the court of Vienna;,1914,m,high_female,1052.0225753890477
uc1.b3296373,"Turquan, Joseph,",The Empress Josephine,1913,m,high_female,1050.0419451225837
nyp.33433082548144,"Bayley, Henry,","Employment, the true source of happiness, or, The good uncle and aunt",1825,f,high_female,1049.912507291059
uc1.b4253908,"Tilden, William A.","Sir William Ramsay, K. C. B., F. R. S;",1918,m,high_male,1048.515737462553
njp.32101065836619,"Michel,","Henry of Monmouth, or, The field of Agincourt",1841,m,mixed,1047.7244734093138
uc2.ark:/13960/t1wd3tw5d,"Trowbridge, W. R. H.",Court beauties of old Whitehall,1906,m,mixed,1046.345830161776
uc1.$b80840,"Delarue-Mardrus, Lucie,",William the Conqueror; | $c: translated by Colin Shepherd.,1933,u,high_male,1046.3392472861174
mdp.39015032577176,"Stangerup, Henrik.",Brother Jacob : | a novel / | $c: by Henrik Stangerup ; translated from the Danish by Anne Born.,1993,u,high_male,1036.38386978941
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,1036.1529500725512
mdp.39015077129032,"Fache, Abdulaziz Anako.",The preordained / | $c: Abdulaziz Anako Fache.,2008,u,,1034.7821216534112
mdp.39015010528738,"Druon, Maurice,",The lily and the lion; | a novel. | $c: Translated from the French by Humphrey Hare.,1961,m,,1034.2077919985825
uc2.ark:/13960/t4nk3bv1m,"James, G. P. R.",Dark scenes of history,1849,m,high_male,1033.1367826592475
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,1030.1479775271348
inu.39000000965470,"Sharp, Colin Ainsworth.",Border line / | $c: Colin Ainsworth Sharp.,1984,m,,1027.0394585537338
mdp.39015063974300,"White, Richard Grant,",Mr. Washington Adams in England,1883,m,,1023.6344952968144
mdp.39015073317086,"Carlyle, Thomas,",[Works],1885,m,high_male,1022.1321169116408
mdp.39015047457992,"Preston, Peter,",51st state / | $c: Peter Preston.,1998,m,,1021.6357107704646
nyp.33433074895818,"Markham, Clements R.",The paladins of Edwin the Great,1908,u,,1020.7466761936356
uc1.$b102383,"King-Hall, Stephen, Sir,","Men of destiny : | or, The moment of no return / | $c: Stephen King- Hall.",1960,m,,1020.13883390081
wu.89002047405,"Leasor, James.","Boarding party / | $c: James Leasor ; with a foreword by Admiral of the Fleet, the Earl Mountbatten of Burma.",1978,m,high_male,1017.390536723164
mdp.39015060112565,"Haylock, John.",Loose connections / | $c: by John Haylock.,2003,m,mixed,1016.1452157256222
mdp.39015050321846,"Waage, Johan.",The Narvik campaign. | $c: Translated from the Norwegian by Ewan Butler.,1964,m,high_male,1014.1381958865528
mdp.39015056946067,"Markham, E. A. (Edward Archibald),",Taking the drawing room through customs : | selected stories (1972-2002) / | $c: E.A. Markham.,2002,m,,1010.6208768071866
mdp.39015009349294,"Abdullah, Achmed,","My nine lives; | adventures and reminiscences, | $c: by Achmed Abdullah. Illustrated by Erick Berry.",1934,m,,1009.6851350821472
uc2.ark:/13960/t3ws8kw5r,"Wedmore, Frederick,",Pastorals of France,1877,m,mixed,1007.0296808748044
uc1.b4505377,"Tantri, K'tut.",Revolt in paradise.,1960,u,high_male,1005.94803297506
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,1003.2605969400552
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,997.4361281036344
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,997.284878863826
uc1.b3347084,"Kenyon, F. W. (Frank Wilson),","I, Eugenia.",1962,m,mixed,994.8786835698096
uc2.ark:/13960/t01z45s71,"Gilbreath, Olive.",Russia in travail,1918,f,,994.714604218962
mdp.39015066901128,"McCullough, Colleen,",Antony and Cleopatra / | $c: Colleen McCullough.,2007,f,mixed,992.5103983860048
uc1.b4503874,"Harrison, Marion Chilton",Byliny book;,1915,u,high_male,990.9448146249786
uc1.b4358582,"Hindus, Maurice Gerschon,",We shall live again,1939,m,high_male,990.6804847808936
mdp.39015020731942,"Eiselin, Max.",The ascent of Dhaulagiri / | $c: by Max Eiselin ; translated from the German by E. Joel Bowman.,1961,m,high_male,990.0642898889538
uc1.31822010542447,"La Croix, Robert de",Mysteries of the Pacific / | $c: by Robert de La Croix. Translated from the French by James Cleugh,1957,m,high_male,988.9059164079796
mdp.39015068635419,"Pitcairn, Frank.",Reporter in Spain / | $c: Frank Pitcairn ; with introd. by Ralph Bates.,1936,m,high_male,988.6740504348912
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,986.7703714472632
mdp.39015005719573,"Mackenzie, Compton, Sir,","The north wind of love, | being volume four of ""The four winds of love.""",1949,m,,982.5751230772372
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,981.8690688302452
uc1.b3945613,"Baroness, Orczy, Emmuska Orczy,",The turbulent duchess (H. R. H. Madame la Duchesse de Berri),1935,f,high_female,979.9805053610258
uc1.b3632621,"Foster, Harry L.",The adventures of a tropical tramp,1922,m,high_male,979.8734202975234
mdp.39015077124553,"Carr, Reg.",The last tango of Señor Menendez / | $c: Reg Carr.,2008,m,mixed,979.1206809183122
uc2.ark:/13960/t3gx46g5z,"Morison, Margaret Cotter.",A lonely summer in Kashmir,1904,u,high_male,976.955347393828
njp.32101067627453,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,974.706221722892
uc2.ark:/13960/t5h991x77,"Little, Frances Delanoy.",Sketches in Poland,1914,f,high_female,974.5955428497172
mdp.39015025220321,"Sinclair, Clive,",Augustus Rex : | a novel / | $c: by Clive Sinclair ; original drawings by Yosl Bergner.,1992,m,,974.030146104522
uc2.ark:/13960/t07w6dh59,"Trowbridge, W. R. H.",Seven splendid sinners,1908,m,high_female,972.7777061024384
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,969.6554871092858
wu.89000839811,Sundowner.,Told by the taffrail,1901,u,high_male,964.7458137221298
uiuo.ark:/13960/t4xh06r8n,"Prickett,",Warwick Castle,1815,f,mixed,964.000310342152
uc1.$b795583,"Roberts, Cecil,",So immortal a flower / | $c: Cecil Roberts.,1944,m,,961.7664493183164
uc1.$b42205,"Gray, Bernard.",War reporter.,1942,m,high_male,960.8307306690008
nnc1.1002331357,"Neele, Henry,",The romance of history,1833,m,,956.524909756068
mdp.39015005279495,"Alpers, Antony,","Maori myths & tribal legends,",1964,m,,956.4160096268348
uc2.ark:/13960/t3125v37k,"Grant, Marjorie.",Verdun days in Paris,1918,f,,956.0761890617458
mdp.39015005724094,"Mackenzie, Compton, Sir,","The north wind of love, | being volume four of ""The four winds of love.""",1949,m,mixed,956.0311173168436
mdp.39015069768946,"Ėrenburg, Ilʹi͡a,",A soviet writer looks at Vienna / | $c: Ilya Ehrenburg ; translated by Ivor Montagu.,1934,u,high_male,955.8140805068546
mdp.39015016975818,"Endō, Shūsaku,",Foreign studies / | $c: Shusaku Endo ; translated from the Japanese by Mark Williams.,1989,m,high_male,955.8094541394346
inu.30000110620394,"Drake, John,",Flint and Silver / | $c: John Drake.,2008,m,,950.0325810082344
mdp.39015014860111,"Stewart, Desmond,","The pyramid inch, | $c: by Desmond Stewart.",1966,m,mixed,948.9888024200434
inu.39000005875807,"Anstruther, F. C. (Fay Carmichael)",Old Polish legends / | $c: retold by F. C. Anstruther  ; wood-engravings by J. Selkalsi ; foreword by Z. Nowakowski.,1945,f,mixed,948.981368622671
mdp.39015030130374,"Sharp, William,",Life of Heinrich Heine,1888,m,high_male,948.0785447536442
umn.31951d00413670x,,Catalogue of the Batrachia Salientia s. Ecaudata in the collection of the British Museum.,1966,u,high_male,945.1196208820608
nnc1.cu01579690,"Sharp, Jonathan,","Jonathan Sharp; or, The adventures of a Kentuckian",1845,m,high_male,944.3325865638204
mdp.39015063970274,"Fuller, Roy,","Savage gold, | a story of adventure. | $c: With illus. by Robert Medley.",1957,m,high_male,944.1500203832044
mdp.39015063239969,"Knight, Margaret,",Ginger Lily / | $c: Margaret Knight.,2004,f,mixed,942.8231876403012
mdp.39015063619194,"Joubert, Carl.",Russia as it really is,1904,m,high_male,940.6885887328236
mdp.39015051349788,"Boland, Bridget.",The wild geese : | a novel / | $c: by Bridget Boland.,1988,f,,940.286258745636
uc1.b4937384,,The water house / | $c: Antonio Olinto ; translated by Dorothy Heapy.,1982,u,high_female,940.0938850374608
mdp.39015010916305,"Mackenzie, Compton, Sir,","The west wind of love, | being volume three of ""The four winds of love.""",1949,m,,938.3179999881824
uc1.$b322835,"Blair, Andrew James Fraser,","1957, | $c: by Hamish Blair.",1930,m,high_male,937.6672130729836
mdp.39015063547627,"Coryn, Marjorie,","Black Mastiff, / | $c: by M. Coryn.",1933,f,high_male,936.924154994766
mdp.39015022242401,"Coyle, William.",Chief of staff : | a novel / | $c: William Coyle.,1991,m,high_male,936.5074167458006
uiuo.ark:/13960/t3805gj3d,"Gore,",The diary of a désennuyée,1836,f,,935.2444851072482
uc1.$b675277,"Hill, Constance,",Juniper Hall,1904,u,,934.510777730432
mdp.39015001159428,"Burrowes, John.",Frontline report : | a journalist's notebook / | $c: John Burrowes.,1984,m,high_male,933.809665575072
uc2.ark:/13960/t89g5js2d,"Mack, Louise,",A woman's experiences in the great war,1915,f,,932.4226982898916
mdp.39015047753259,"Kirst, Hans Hellmut,","No one will escape, | a novel;",1959,m,,931.8954055251884
mdp.39015013417376,"Selvon, Samuel.",Moses migrating / | $c: Sam Selvon.,1983,m,,930.8802104150284
nyp.33433057525093,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,929.0569984312358
mdp.39015037403378,"Bryher,",West.,1925,u,high_female,928.521373510862
mdp.39015061187673,"Zhou, Weihui,",Marrying Buddha / | $c: Wei Hui.,2005,u,,928.4664096597552
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,925.3076409424784
uc1.$b753692,"Meynell, Mrs. Esther Hallam (Moorhouse)",Nelson's Lady Hamilton,1911,f,high_female,924.2743635479164
uc1.32106017112365,"James, Richard",Red / | $c: Richard James,2002,m,high_male,922.868803595176
uc2.ark:/13960/t2p55g671,"Lytton, Edward Bulwer Lytton,",Rienzi,1835,m,,922.7464778781072
uc2.ark:/13960/t7xk89r6g,"Festing, Gabrielle.",From the land of princes,1904,f,high_male,922.506421070229
njp.32101072795097,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,922.34262125903
uc1.32106018190436,"Dobbs, Michael,",Churchill's hour / | $c: Michael Dobbs,2004,m,,921.4298735519797
nyp.33433082123674,"Dilke, Charles Wentworth,",The fall of Prince Florestan of Monaco,1874,m,high_male,921.1112761848168
nyp.33433075739346,"Samarow, Gregor,",For sceptre and crown,1875,m,high_male,919.7093718384992
uiuo.ark:/13960/t78s50349,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,919.6788662319552
mdp.39015080879938,"Stock, Jon.",Dead spy running / | $c: Jon Stock.,2009,m,,918.76631125513
njp.32101072790544,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,918.0437322650644
loc.ark:/13960/t0sq8z82b,"Snider, C. H. J.",In the wake of the eighteen-twelvers;,1913,u,,917.517416383736
uc2.ark:/13960/t6f191d5f,"Cooper, Arthur Nevile.",Quaint talks about long walks,1907,m,,917.328916564476
inu.32000005542370,"Baring, Maurice,",Darby and Joan / | $c: by Maurice Baring.,1935,m,high_female,916.74847208588
mdp.39015032138300,"Nayman, Michele.",Jetlag : | a novel / | $c: Michèle Nayman.,1994,f,,912.4138122005924
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,911.9799340062584
uiuo.ark:/13960/t0000gm33,"Curling, Henry,",John of England,1846,m,mixed,911.8644645565952
uc2.ark:/13960/t9377c56z,"Mackay, Charles,",Luck;,1881,m,,910.0274725274726
mdp.39015056943023,"Colquhoun, Keith.",Killing Stalin / | $c: Keith Colquhoun.,2002,m,,909.1216902552992
inu.30000011905878,"Feuchtwanger, Lion,",The Ugly Duchess. | An historical romance.,1946,m,,907.5490225250692
mdp.39015002141342,"Dowrick, Stephanie.",Greek island mythology.,1974,f,mixed,907.4284126947382
uiuo.ark:/13960/t9q24kd0d,"Tupper, Martin Farquhar,",Stephan Langton,1858,m,,906.497870511468
nyp.33433074909924,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,905.1825216915502
uiuo.ark:/13960/t04x5xf7m,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,904.9973512272647
mdp.39015011346924,"Kubly, Herbert.",Easter in Sicily.,1956,m,mixed,903.5610937223172
mdp.39015022004801,"Buchan, James.",Slide / | $c: James Buchan.,1991,m,high_female,903.4671270320816
mdp.39015008778162,"Silverberg, Robert.",The gate of worlds / | $c: Robert Silverberg.,1978,m,high_male,903.1186287095068
mdp.39015084096109,"Oliver, Christian.",The viper of Kerman / | $c: by Christian Oliver.,2009,m,high_male,902.9565066937736
mdp.39015022430345,"Birabongse Bhanudej, Prince,","Blue wings to Bangkok, | $c: by H.H. Prince Birabongse (B. Bira)",1954,m,high_male,902.3267060129468
uc1.$b435114,"Vinogradov, Anatoliĭ,","The condemnation of Paganini,",1946,u,,901.8770515312788
mdp.39015003929836,"Gibbs, Philip,",Cities of refuge ...,1936,m,mixed,901.872197693124
mdp.39015066896856,"Markham, E. A. (Edward Archibald),",At home with Miss Vanesa / | $c: E.A. Markham.,2006,m,,900.5751848808546
uc2.ark:/13960/t89g5h85q,"Henty, G. A.",St. George for England;,1884,m,high_male,896.5712845077525
mdp.39015048917853,"Ali, Tariq.",Fear of mirrors / | $c: Tariq Ali.,1998,u,,896.4867633935949
njp.32101068601168,"Peacock, Thomas Love,",The misfortunes of Elphin,1891,m,high_male,894.8885181252842
uc1.b3234350,"Jesse, F. Tennyson (Fryniwyd Tennyson),",The dragon in the heart; | a love story.,1956,f,high_female,894.6117165276423
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,891.33827271577
uc1.b3331992,"Paterson, Arthur,",The daughter of the Nez Percés,1894,m,mixed,890.9227572180218
mdp.39076006480441,"Kessel, Joseph,",The magic touch. | $c: Translated from the French by Denise Folliot. With an introd. by H. R. Trevor-Roper.,1961,m,high_male,890.1819445047548
inu.30000100855364,"Plivier, Theodor,",Berlin | $c: [by] Theodor Plievier; [translated from the German by Louis Hagen],1969,m,high_male,889.4749460561017
mdp.39015062110344,"Follett, Ken.",On wings of eagles / | $c: by Ken Follett.,1983,m,high_male,888.0569158685854
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,887.5781195140792
nyp.33433057525101,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,886.9287853144123
uiuo.ark:/13960/t8gf1fc8c,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,886.5333654541073
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,886.3084970619994
uva.x030825961,"Hardy, Robina F.",The story of a coral necklace,1893,f,high_female,884.5084660096031
mdp.39015059774995,"[Weldon, A. E.],",The clanking of chains,1920,u,high_male,883.8879439428961
mdp.39015031326153,"Ike, Vincent Chukwuemeka,",Sunset at dawn : | a novel about Biafra / | $c: Chukwuemeka Ike.,1976,m,,882.0057525728629
inu.32000007466461,"Mackworth, Cecily.",I came out of France.,1942,u,,880.9505596777072
uc1.$b557778,"Mackenzie, Kenneth,","Been places and seen things, | $c: by Kenneth Mackenzie. Introduction by George Blake.",1935,m,high_male,879.0195228978296
