htid,author,title,year,authgender,female_category,shops
mdp.39015008794425,"Brecht, Bertolt,",Threepenny novel. | $c: Translated by Desmond I. Vesey. Verses translated by Christopher Isherwood.,1972,u,,248.27274058493856
inu.39000004090481,"Swift, Graham,",The sweet shop owner / | $c: Graham Swift.,1983,m,,223.33285045149452
uc1.b3475735,"Harvey, J. R. (John Robert)",The plate shop / | $c: [by] John Harvey,1979,m,high_male,220.93053838668104
mdp.39015058342216,"Ketlinskai͡a, V.",Days of our life | $c: [tr. by A. Bostock],1956,u,mixed,219.59001252954778
uc1.b3898302,"Beechey, Winifred.",The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.,1984,f,high_female,208.1165452653486
mdp.39015025200398,"Dibba, Ebou.",Fafa : | an idyll on the banks of a river : a novel / | $c: by Ebou Dibba.,1989,u,mixed,207.75892198361228
uc1.b3726483,"Dibba, Ebou.",Fafa : | an idyll on the banks of a river : a novel / | $c: by Ebou Dibba.,1989,u,mixed,207.15557964841634
mdp.39015035763963,"(Vasiliĭ), Ilʹenkov, V.",Driving axle; | a novel of socialist construction.,1933,u,high_male,186.57629013661298
uc1.b3473131,"Selvon, Samuel.",Turn again tiger / | $c: Samuel Selvon ; introd. and study questions by Sandra Pouchet Paquet.,1979,m,high_male,173.5550532773652
uc1.$b244761,"Strong, L. A. G. (Leonard Alfred George),",Deliverance.,1955,m,mixed,167.3773562348065
uiuo.ark:/13960/t0cv5585s,"Robinson, F. W.",Mattie,1864,m,mixed,166.0427924319443
uc1.b3435455,"Khanna, Balraj.","Nation of fools, or, Scenes from Indian life / | $c: Balraj Khanna.",1984,u,high_male,165.3425133757854
mdp.39015059404098,"Evans, Caradoc.",My neighbours,1919,m,mixed,156.68660068419817
uiuo.ark:/13960/t9f48648v,"Macquoid, Katharine S.",At the red glove,1885,f,high_female,154.12860672272717
uc2.ark:/13960/t0tq5tn4r,"Douie, Marjorie.",The pointing man,1917,f,high_male,153.84108216212653
uc2.ark:/13960/t0dv1fp6r,"Acorn, George.",One of the multitude,1911,m,high_male,146.8186542173246
mdp.39015020711639,"Schulz, Bruno,","Cinnamon shops, and other stories. | $c: Translated from the Polish by Celina Wieniewska.",1963,m,,135.72891025788493
uc1.$b176021,"Palumbo, Nino,",Tomorrow will be better / | $c: Nino Palumbo ; translated by Isabel Quigly.,1965,m,mixed,132.31688072058074
mdp.39015005584464,"Totovents, Vahan,","Tell me, Bella: | a selection of stories; | $c: compiled and translated from the Armenian [MSS.] by Misoha Kudian. -",1972,u,,132.20163623474411
wu.89004716627,"Ervine, St. John G.",Mrs. Martin's man,1914,m,high_female,131.3996496009344
uc1.$b244144,"Murry, John Middleton,","The voyage, | $c: by John Middleton Murry.",1924,m,,128.52875107107292
uc1.$b252534,"Everett, Peter.",Negatives / | $c: by Peter Everett.,1964,m,high_female,128.25155410706742
mdp.39015030945532,"Anthony, Michael,",Cricket in the road.,1973,m,,128.01874715212531
nyp.33433074795414,"Rider, Dan,",Adventures with Bernard Shaw,1907,u,high_male,127.0863339828857
mdp.39015064809968,"Sicking, Anja,",The silent sin / | $c: by Anja Sicking ; translated from the Dutch by David Colmer.,2006,f,high_male,125.2845370648127
mdp.39015050740557,"Sarif, Shamim.",The world unseen / | $c: Shamim Sarif.,2001,u,high_female,122.98159969958694
mdp.39015030855608,"Bates, H. E. (Herbert Ernest),",Sally go round the moon.,1932,m,,122.6116276693573
uc1.b4973405,"Martin, Kenneth,",Aubade / | $c: Kenneth Martin.,1989,m,,120.77294685990339
mdp.39015030854148,"Banks, Lynne Reid,",The backward shadow.,1970,f,,119.93685677246391
uc1.$b56754,"Holt, William,","I was a prisoner, | $c: by William Holt; illustrations by Arthur Wragg; foreword by H. R. L. ʻDickʼ Sheppard.",1935,m,high_male,116.85043144774689
uiuo.ark:/13960/t09w0zp7g,"Macquoid, Katharine S.",At the red glove,1885,f,high_female,114.67100887553609
mdp.39015055583226,"Spadoni, Adriana.",Mrs. Phelps' husband / | $c: by Adriana Spadoni.,1924,f,high_female,114.27923035775072
inu.30000110548389,"Prest, Thomas Peckett.",Sweeney Todd : | the demon barber of Fleet Street / | $c: edited by Robert L. Mack.,2007,m,,111.14739274590576
mdp.39015034285356,"Khan, Ismith,",A day in the country and other stories / | $c: Ismith Khan.,1994,u,high_male,110.25777507413885
uc1.$b312621,"Swinnerton, Frank,","Sketch of a sinner, | $c: by Frank Swinnerton.",1929,m,high_female,109.57505891535702
mdp.39015018855174,"Ernaux, Annie,",A woman's story / | $c: Annie Ernaux ; translated by Tanya Leslie.,1990,f,high_male,108.93762137071946
mdp.39015030747276,"Henrey, Robert, Mrs.,",An exile in Soho.,1952,f,high_female,108.66989680445138
mdp.39015019622516,"Wilson, Anna.",Cactus / | $c: by Anna Wilson.,1980,f,high_female,108.4059227894757
inu.32000002529529,"Young, Francis Brett,",The Christmas box / | $c: by Francis Brett Young ; with illustrations by Kay Ambrose.,1938,m,high_male,108.39716722069663
umn.31951000890449t,"Jones, Elizabeth Orton,","Ragman of Paris and his ragamuffins, | $c: told and illustrated by Elizabeth Orton Jones.",1937,f,,108.19583446037328
mdp.39015046883206,"Fowler, Bo,","Scepticism, Inc. / | $c: Bo Fowler.",1998,m,,108.15272302941469
mdp.39015000619869,"Greenwood, Walter,",There was a time.,1967,m,mixed,107.85927144953965
mdp.39015000674310,"Orwell, George,",Coming up for air.,1954,m,,107.18559758572246
mdp.39015028918616,"Guibert, Hervé.",The man in the red hat / | $c: Hervé Guibert ; translated by James Kirkup.,1993,u,,106.37605019212818
mdp.39015079340884,"Rogers, John.",Marriage secrets / | $c: John Rogers.,2008,m,,105.33602190989255
mdp.39015030717279,"Tlali, Miriam.",Muriel at Metropolitan : | a novel / | $c: by Miriam Tlali.,1979,f,,105.2542943752105
mdp.39015059168438,"Davey, Janet,",First aid / | $c: Janet Davey.,2004,f,high_female,104.93336731175704
inu.32000006900031,"Collins, Mortimer,",You play me false,1878,m,high_female,103.35798612706142
uc1.32106018011129,"Paling, Chris",A town by the sea / | $c: Chris Paling,2005,m,high_male,102.8924202583743
mdp.39015076147670,"Kāniṭakara, Hemanta,",Taking a chance / | $c: V.P. (Hemant) Kanitkar.,2008,u,high_female,102.35851068366955
uc1.32106018477379,,Home-made : | contemporary Russian folk artifacts / | $c: [compiled by] Vladimir Arkhipov,2006,u,,101.81538757083854
uc1.32106017607919,"Kidd, John",A light in the darkness / | $c: John Kidd,2004,m,,100.98413631022326
mdp.39015037803718,Pepetela.,Yaka / | $c: Pepetela ; translated from the Portuguese by Marga Holness.,1996,u,,98.62412401636327
uc2.ark:/13960/t36110241,"Tozzi, Federigo,",Three crosses,1921,u,high_male,98.45162445180345
mdp.39015032439906,"Gurnah, Abdulrazak,",Paradise / | $c: Abdulrazak Gurnah.,1994,u,high_male,97.81579412897116
mdp.39015031241113,"Jacobson, Dan.",The wonder-worker; | a novel.,1973,m,,96.6258261508136
mdp.39015028467465,"Beattie, Geoffrey.",We are the people : | journeys through the heart of Protestant Ulster / | $c: Geoffrey Beattie.,1992,m,,96.57753365123438
mdp.39015069302597,"Harris, Joanne,",The lollipop shoes / | $c: Joanne Harris.,2007,f,,95.93840873337464
mdp.39015063959798,"Wedmore, Frederick,",Renunciations,1893,m,,95.92632857965083
uc1.b3314599,"Marryat, Frederick,","Japhet, in search of a father",1836,m,,95.78383101715707
mdp.39015046800887,"Pym, Barbara.",The sweet dove died / Barbara Pym.,1978,f,,94.53461729502811
nyp.33433075904908,"Reade, Charles,",Singleheart and Doubleface;,1884,m,high_female,93.27790733042684
uc1.$b236158,"Davies, Rhys,",Rings on her fingers / | $c: Rhys Davies.,1930,m,high_female,93.16616284255909
mdp.39015050483075,"Buckley, Jonathan,",Ghost MacIndoe / | $c: Jonathan Buckley.,2001,m,mixed,92.90758510663257
uc2.ark:/13960/t03x8895t,"Mather, Marshall,",The sign of the wooden shoon,1896,m,high_male,92.85913269570062
wu.89069435592,"Lindgren, Torgny,",The way of a serpent / | $c: Torgny Lindgren ; translated from the Swedish by Tom Geddes.,1997,u,mixed,92.78320623967062
mdp.39076002869191,"Salibian-Best, Marie.",Antaram / | $c: by Marie Salibian-Best.,2005,f,mixed,92.58043335521997
mdp.39015048877891,"Nelson, Michael.","Knock or ring, | a novel.",1957,m,high_male,92.48938743567244
umn.31951p00009051h,"Vassanji, M. G.",The gunny sack / | $c: M.G. Vassanji.,1989,u,,92.45330324683465
mdp.39015047554657,"Brookner, Anita.",Undue influence / | $c: Anita Brookner.,1999,f,high_female,92.18986384266263
uiuo.ark:/13960/t5cc0z277,"Zola, Émile,",The  Assommoir,1885,m,high_female,91.98646102185349
mdp.39015030736170,"Caine, Jeffrey,",The cold room / | $c: by Jeffrey Caine.,1976,m,high_female,91.86181912278433
mdp.39015038163658,"Panova, Vera Fedorovna,",The factory. | $c: by Vera Panova ; translated from the Russian by Moura Budberg.,1949,f,mixed,91.85519076523896
inu.30000120967363,"Hobson, Mary.",Oh Lily / | $c: Mary Hobson.,1981,f,high_female,91.4023903460564
mdp.39015054134492,"Curtin, Michael,",Sing! / | $c: Michael Curtin.,2001,m,,90.78254554257701
mdp.39015061320605,"Frame, Ronald.",Time in Carnbeg : | short stories / | $c: by Ronald Frame.,2004,m,high_female,89.9247228093596
mdp.39015063935244,"Maxwell, W. B.",Vivien,1905,m,high_female,89.86700468171776
inu.32000004617660,"Gibbons, Stella,","Miss Linsey and Pa, | $c: by Stella Gibbons.",1936,f,,87.37042329149868
uc1.b4087141,"Bagnold, Enid.","Alice and Thomas [and] Jane, | $c: by Enid Bagnold; illustrated by the author and Laurian Jones.",1930,f,mixed,87.22869310893324
mdp.39015038555606,"Pervent͡sev, Arkadiĭ Alekseevich,",The test.,1944,u,high_male,86.89984792526613
mdp.39015019780264,"Clarke, Pauline,",The white elephant. | $c: Illustrated by Richard Kennedy.,1952,f,high_female,86.86210640608034
uc2.ark:/13960/t09w0bw7q,"Pawlowska, Yoï.",In a grain of sand,1922,u,mixed,86.80555555555556
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,86.55369986590271
uc2.ark:/13960/t47p9421d,"Gorky, Maksim,",Three of them,1905,m,,86.33408714588528
mdp.39015038105360,"Zoshchenko, Mikhail,","The woman who could not read and other tales, | $c: by Michael Zoshchenko. Translated by Elisaveta Fen.",1940,u,high_male,85.55404163630027
wu.89101029130,"Freeman, Gwendolen.",When you are old.,1951,f,high_female,85.49977289122826
mdp.39015012276666,"Wilson, A. N.,",Stray / | $c: A.N. Wilson.,1987,m,high_female,85.41935110248875
uc1.32106005120107,"Conrad, Joseph,","The secret agent, | a simple tale.",1923,m,mixed,84.93073122619884
uc1.32106001965901,"Anand, Mulk Raj,","The big heart, | a novel.",1945,m,high_male,84.8504275518766
mdp.39015062631083,"Mehran, Marsha,",Pomegranate soup / | $c: Marsha Mehran.,2005,f,mixed,83.96193725511101
mdp.39015014138377,"Johns, Geoffrey.",Any advance? | $c: Illustrated by Derek Williams.,1961,m,high_male,83.81864692755674
mdp.39015039770782,"Burke, Thomas,",Night-pieces; | eighteen tales.,1935,m,high_male,83.41538124931627
mdp.39015054151413,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,83.29033684676052
uc1.32106019365060,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,83.24677142499318
mdp.39015060589291,"Aw, Tash.",The harmony silk factory / | $c: Tash Aw.,2005,u,high_male,82.93447473661276
mdp.39015063009057,"(Herbert George), Wells, H. G.",Kipps; | the story of a simple soul.,1926,m,,82.22086017968995
uc1.b3322306,"Banks, G. Linnaeus",In his own hand,1885,f,,82.13618501578303
uc2.ark:/13960/t3pv6db05,"Lorimer, Norma Octavia,",By the waters of Carthage,1906,f,,82.01973599897475
uc1.32106002032487,"McEwan, Ian.","In between the sheets, and other stories / | $c: Ian McEwan.",1978,m,,81.7922476908652
mdp.39015054151504,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,81.58209719583871
mdp.39015041105654,"Chatzēs, Dēmētrēs,",The end of our small town / | $c: Dimitris Hatzis ; translated by David Vere ; edited by Dimitris Tziovas.,1995,u,mixed,81.41561398822017
mdp.39015059774995,"[Weldon, A. E.],",The clanking of chains,1920,u,high_male,81.41073167895097
mdp.39015046012889,"Carr, Rocky.",Brixton bwoy : | a novel / | $c: Rocky Carr.,1998,m,high_male,81.28737152462043
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,81.20649651972158
mdp.39015013938082,"Francis, Dick.",Proof / | $c: Dick Francis.,1984,m,,81.16033092470416
mdp.39015013539344,"Laurence, Margaret.",Jason's quest / | $c: Margaret Laurence ; illustrated by Staffan Torell.,1970,f,high_male,80.7551503840356
uc1.b3168257,"Wain, John.",King Caliban : | and other stories / | $c: John Wain,1978,m,,80.70523963248075
uc1.b3782596,"Duncan, Dorothy.",Portrait of Jan.,1948,f,,80.27107938283383
njp.32101005842180,"Zola, Émile,",Fat and thin,1888,m,mixed,80.21203878077701
mdp.39015064869327,"Kerrigan, Gene.",The midnight choir / | $c: Gene Kerrigan.,2006,m,high_male,80.20002830589235
mdp.39015063338175,"Schonstein, Patricia.",A quilt of dreams / | $c: Patricia Schonstein.,2006,f,high_male,80.08285906484576
mdp.39015030743259,"Hegarty, Walter.",The price of chips.,1973,m,mixed,80.01406840763211
mdp.39015068038887,"Anand, Mulk Raj,",Coolie.,1972,m,,79.90110353976965
uc2.ark:/13960/t1kh0kw82,"Burke, Thomas,",Whispering windows;,1921,m,,79.76898900783331
uc1.b3322305,"Banks, G. Linnaeus",In his own hand,1885,f,,79.65930328747817
uc2.ark:/13960/t6445kt74,"Gorky, Maksim,",Three men,1902,m,high_male,79.62582553245589
mdp.39015077136367,"Lake, Carol.",Wendy and her year of wonders / | $c: Carol Lake.,2008,f,high_female,78.96260681885978
uc1.$b120293,"Easmon, R. Sarif (Raymond Sarif)","The burnt-out marriage, | $c: by R. Sarif Easmon.",1967,m,high_male,78.81906520588666
mdp.39015029242545,"McKenzie, Earl,",Two roads to Mount Joyful / Earl McKenzie.,1992,m,,78.72466049990159
uc1.b3810859,"Burke, Thomas,","The wind and the rain; | a book of confessions, | $c: by Thomas Burke",1924,m,,78.61468182301073
mdp.39076002869522,"Hacikyan, A. J. (Agop Jack),",The lamppost diary / | $c: Agop J. Hacikyan.,2009,m,high_male,78.11775921193745
uc1.$b739103,"Bianchi, Oliviero Honoré,","Devil's night, | $c: translated by Isabel Quigly.",1961,u,high_female,78.00447225640937
mdp.39015016442520,"Kimenye, Barbara.",Kalasandra revisted.,1966,f,high_female,77.88749026406371
uc1.$b242447,"Dickens, Monica,",Joy and Josephine / | $c: Monica Dickens.,1948,f,high_female,77.7500423825419
uiuo.ark:/13960/t8jd57r2q,"Gaskell, Elizabeth Cleghorn,",Sylvia's lovers,1863,f,,77.4631435281388
mdp.39015016424627,"Henrey, Robert, Mrs.,",Madeleine grown up.,1953,f,mixed,77.38921940534676
uc1.b5015186,"Cochrane, Ian,",Gone in the head : | a novel / | $c: by Ian Cochrane.,1974,m,,77.12174474496018
mdp.39015033593578,"Simenon, Georges,",The watchmaker of Everton / | $c: Georges Simenon ; [translated by Norman Denny].,1975,m,high_male,76.72299257096877
uc1.$b391733,"Thomas, Dylan,",The followers : | a story / | $c: by Dylan Thomas ; with illustrations by Meg Stevens.,1976,m,high_female,76.64793050587635
uiuo.ark:/13960/t15m6t77j,"McCarthy, Justin.",Red diamonds,1893,m,,76.40681466184822
pst.000067154463,"Chen, Willi.",Crossbones / | $c: Willi Chen.,2009,m,,76.33894491542449
inu.30000110628389,"Phelps, Jeff.",Box of tricks / | $c: Jeff Phelps.,2009,m,mixed,76.26068443964284
mdp.39015050183634,"Waṭṭār, al-Ṭāhir",The earthquake / | $c: Tahir Wattar ; translated from the Arabic and introduction by William Granara ; preface by Gaber Asfour,2000,u,high_male,76.10677924726087
inu.30000107316949,"Abdolah, Kader,",My father's notebook / | $c: Kader Adbolah ; translated from the Dutch by Susan Massotty.,2006,u,mixed,75.86893641234767
mdp.39015016415468,"Hay, J. Macdougall.",Gillespie.,1963,u,mixed,75.83970163769143
uc1.32106013101248,"Saro-Wiwa, Ken,",A forest of flowers : | short stories / | $c: Ken Saro-Wiwa,1995,m,,75.82818596862609
uc1.b3872947,"Hay, J. Macdougall.",Gillespie.,1963,u,mixed,75.82042156154388
uc1.$b784242,"Hay, J. Macdougall.",Gillespie.,1963,u,mixed,75.8112923149647
njp.32101068574555,"Smith, Frederick R.",Doxie Dent,1899,m,,75.76213096025495
mdp.39015001158735,"Kennaway, James,",The Dollar bottom & Taylor's finest hour / | $c: by James Kennaway ; edited & introduced by Trevor Royle.,1981,m,high_male,75.3950993185443
mdp.39015030167012,"Böll, Heinrich,","The bread of our early years, | $c: translated by Mervyn Savill.",1957,u,high_female,75.164060015611
uc1.$b792347,"Rubens, Bernice.",The elected member.,1969,f,,74.91189938593344
uc1.$b245288,"Lavin, Mary,","The patriot son, and other stories.",1956,f,mixed,74.88736698433405
uiuo.ark:/13960/t0ns1dm01,"Tabor, Eliza.",The blue ribbon,1873,f,high_female,74.88596909251821
uc1.b2838857,"Carter, Angela,",The magic toyshop / | $c: Angela Carter.,1968,f,high_female,74.83195066252081
mdp.39015014328374,"Moggach, Deborah.",Driving in the dark / | $c: by Deborah Moggach.,1988,f,high_female,74.21295211311616
mdp.39015080837720,"Tóibín, Colm,",Brooklyn / | $c: Colm Tóibín.,2009,m,high_female,73.90837332597535
mdp.39015065866504,"Bloom, Ursula.",Rosemary for Stratford-on-Avon.,1966,f,,73.65543421294919
uc1.b4973436,"Thomas, Gwyn,",The thinker and the thrush / | $c: by Gwyn Thomas.,1988,m,mixed,73.32355685908546
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,73.1618095354225
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,73.09941520467837
inu.30000067345466,"Buss, Louis,",The luxury of exile / | $c: Louis Buss.,1998,m,,72.96256828240354
mdp.39015077113721,"Hollywood, Peter,",Luggage / | $c: Peter Hollywood.,2008,m,,72.85555427738794
uc1.b4937384,,The water house / | $c: Antonio Olinto ; translated by Dorothy Heapy.,1982,u,high_female,72.74536015170827
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,72.54344105278669
mdp.39015031301693,"Rive, Richard,","Buckingham Palace, District Six / | $c: Richard Rive.",1987,m,mixed,72.48835559394182
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,71.93344592481391
inu.39000002528433,"Eden, Dorothy,","The house on Hay Hill, and other stories / | $c: Dorothy Eden.",1977,f,high_female,71.86076258641256
uc1.$b704633,"Mallea, Eduardo,",Chaves and other stories. | $c: Translated from the Spanish by Maria Mercedes,1970,m,,71.60130233312168
inu.30000092859432,"Nisbet, Robert,",Downtrain / | $c: Robert Nisbet.,2004,m,,71.19689897951112
mdp.39015059246713,"Harris, Denise,",In remembrance of her / | $c: Denise Harris.,2004,f,high_female,71.11329082883766
wu.89058974940,Ólafur Gunnarsson.,Troll's cathedral / | $c: Ólafur Gunnarsson ; translated from the Icelandic by David McDuff and Jill Burrows.,1996,u,high_male,71.0915788793382
uc2.ark:/13960/t4cn70x6h,"MacDonald, George,",Alec Forbes of Howglen,1865,m,mixed,70.90278583491254
wu.89057817041,"Lindgren, Torgny,","In praise of truth : | the personal account of Theodore Marklund, picture-framer / | $c: Torgny Lindgren ; translated from the Swedish by Tom Geddes.",1994,u,high_female,70.83343338055562
mdp.39015059573587,"Koumantareas, Menēs.",Their smell makes me want to cry : | / | $c: Menis Koumantareas ; translated by Patricia Felisa Barbeito & Vangelis Calotychos.,2004,u,mixed,70.72590497010223
inu.30000041291562,"Patterson, Glenn,",Fat lad / | $c: Glenn Patterson.,1993,m,,70.66602730737198
mdp.39015034024847,"James, Siân.",Storm at Arberth / | $c: Siân James.,1994,u,high_female,70.60659738136233
inu.30000011863622,"Wodehouse, P. G. (Pelham Grenville),",If I were you.,1958,m,,70.53350341412171
mdp.39015063239993,"Unsworth, Tania.",Before we began / | $c: Tania Unsworth.,2006,f,high_female,70.52261532050392
mdp.39015005774578,"Trevor, William,","The distant past, and other stories / | $c: [by] William Trevor.",1979,m,,69.92807398104806
inu.32000005557592,"Burke, Thomas,","Dark nights, | $c: by Thomas Burke.",1944,m,high_male,69.88001090809927
wu.89087886859,"Fadeev, Aleksandr,","Leningrad in the days of the blockade, | $c: by A. Fadeyev. Translated from the Russian by R. D. Charques.",1946,u,,69.8678861788618
mdp.39015011518480,"Heeresma, Heere.",A day at the beach; | $c: translated from the Dutch by James Brockway.,1967,u,,69.63788300835654
uc1.$b111246,"Black, Edward Loring,","Starting work; | a prose anthology, | $c: chosen and edited by E.L. Black and J.P. Parry.",1957,m,,69.60274234804851
mdp.39015018885163,"Sharqāwī, ʻAbd al-Raḥmān,",Egyptian earth / | $c: Abdel Rahman al-Sharqawi ; translated by Desmond Stewart ; foreword by Robin Ostle.,1990,u,high_male,69.49270326615705
mdp.39015027913014,"Kuncewiczowa, Maria Szczepańska,","Polish millstones, | $c: by Maria Kuncewiczowa; translated by Stephen Garry. The cover designed by Janina Konarska.",1942,f,high_female,69.47339169098235
mdp.39015050982449,"Warren, Clarence Henry,",A boy in Kent / | $c: C. Henry Warren ; with a new introduction by Geoffrey Warren ; and illustrations by Charles Stewart.,1984,m,mixed,69.4727621464063
njp.32101041998731,"Henty, G. A.","Sturdy and strong: or, How George Andrews made his way",1888,m,,69.4691266276778
mdp.39015060123414,"Weldon, Fay.",Mantrapped / | $c: Fay Weldon.,2004,f,,69.45423066857246
uc1.$b391310,"Freeman, Gillian.",Jack would be a gentleman / | $c: by Gillian Freeman.,1959,f,,69.4483975636136
nyp.33433074868534,"Hofland,",The affectionate brothers,1816,f,,69.32190572220821
mdp.39015048736881,"Phillips, Linda.","Old dogs, new tricks / | $c: Linda Phillips.",1999,f,high_female,69.12027875356253
uiuo.ark:/13960/t0qr5616m,"Farjeon, B. L.",Jessie Trim;,1874,m,,68.89273254961742
mdp.39015041167530,"Mackay, Shena.","Babies in rhinestones, and other stories / | $c: Shena Mackay.",1983,f,mixed,68.83336743995685
uc2.ark:/13960/t1wd3rv0q,"Robertson, Andrew.",The kidnapped squatter and other australian tales,1891,m,high_male,68.80240808428294
mdp.39015012848902,"Brookner, Anita.",A friend from England / | $c: Anita Brookner.,1987,f,high_female,68.63941427699817
uiuo.ark:/13960/t0pr84m1t,"Dalton, James,",The maiden's talisman,1834,m,,68.57926620185164
uc2.ark:/13960/t41r6qp2p,"Bryusov, Valery Yakovlevich,","The Republic of the Southern Cross, and other stories",1913,u,high_female,68.40247131509267
mdp.39015047616571,"Davie, Elspeth.",The night of the funny hats / | $c: Elspeth Davie.,1980,f,mixed,68.31573254390709
uc1.b3752240,"Simenon, Georges,",The door; | $c: translated from the French by Daphne Woodward.,1964,m,high_male,68.11989100817439
mdp.39015054153757,"King, Martin.",The estate : | a novel / | $c: Martin King.,2001,m,,67.954854340247
mdp.39015011812420,"Hoban, Russell.",Turtle diary / | $c: Russell Hoban.,1975,m,,67.79981709816782
mdp.39015030855368,"Barstow, Stan,",Joby.,1964,m,,67.60039715233327
uc1.$b119435,"Rodoreda, Mercè,",The pigeon girl: | a novel; | $c: translated from the Catalan by Eda O'Shiel.,1967,u,high_female,67.59831004224894
mdp.39015026867310,"Lao, She,","Heavensent, | $c: by Shu She-yu.",1951,u,mixed,67.46548332842387
uc1.32106013836728,"Vassanji, M. G.",Uhuru Street : | short stories / | $c: M.G. Vassanji.,1991,u,,67.3236960709143
uiuo.ark:/13960/t3pv7527f,"Tabor, Eliza.",Jeanie's quiet life,1868,f,high_female,67.27691586308129
mdp.39015013951606,"Naipaul, V. S. (Vidiadhar Surajprasad),",The suffrage of Elvira.,1958,m,,66.90123395609297
mdp.39015058017560,,All men are brothers <Shui hu chuan> | $c: translated from the Chinese by Pearl S. Buck.,1937,u,high_male,66.504719664779
inu.30000045089632,"Macgoye, Marjorie Oludhe.","Victoria ; and, Murder in Majengo / | $c: Marjorie Oludhe Macgoye.",1993,f,high_female,66.49070137615603
mdp.39015022004801,"Buchan, James.",Slide / | $c: James Buchan.,1991,m,high_female,66.17752841317797
mdp.39015050498065,"Smith, Ali,",Hotel world / | $c: Ali Smith.,2001,m,high_female,65.98158131176999
nyp.33433084128275,"Travers, Graham,","Mona Maclean, medical student;",1898,m,high_female,65.9748978708581
uc1.$b119569,"Lovelace, Earl,",The schoolmaster.,1968,m,,65.95773320769956
mdp.39015078812941,"Jones, Susanna,",The missing person's guide to love : | a novel / | $c: Susanna Jones.,2008,f,high_female,65.89925916478003
uc1.$b103974,"Manhood, H. A. (Harold Alfred),",Three nails / | $c: by H.A. Manhood.,1933,m,high_male,65.83760058522311
uc2.ark:/13960/t9571n27r,"Black, William,",The beautiful wretch ;,1881,m,,65.81834137779728
mdp.39015005973097,"Moravia, Alberto,",Roman tales / | $c: by Alberto Moravia ; selected and translated by Angus Davidson.,1956,m,mixed,65.37946452109543
mdp.39015043053746,"Britton, Lionel,",Hunger and love / | $c: Lionel Britton ; with an introduction by Bertrand Russell.,1931,m,high_male,65.20956369131494
mdp.39015013928133,"Simenon, Georges,",The second Simenon omnibus.,1974,m,,65.07885528829088
inu.30000125237242,,A Rhondda anthology / | $c: edited by Meic Stephens ; introduced by Dai Smith.,1993,u,,64.79765918456195
nyp.33433075744254,"Sherard, Robert Harborough,",After the fault;,1906,m,high_female,64.47750195735274
uiuo.ark:/13960/t3tt50b0q,"Farjeon, B. L.",Jessie Trim;,1874,m,,64.15951041358207
inu.39000003475303,"O'Brien, Edna.",The country girls / | $c: Edna O'Brien.,1976,f,,63.96479377750486
uc1.32106013460719,"Magrs, Paul,",Does it show? / | $c: Paul Magrs,1997,m,,63.95293064304672
uc1.32106011377782,"Andrić, Ivo,",The bridge over the Drina / | $c: Ivo Andrić ; translated from the Serbo-Croat by Lovett F. Edwards ; with an introduction by William H. McNeill,1944,u,high_male,63.90908458145877
mdp.39015067689730,"Clark, Clare.",The nature of monsters / | $c: Clare Clark.,2007,f,high_female,63.83767383753655
mdp.39015080866216,"Cartwright, Anthony,",Heartland / | $c: Anthony Cartwright.,2009,m,,63.75900942524487
mdp.39015080878039,"Grace, Harriet.",Cells / | $c: by Harriet Grace.,2008,f,,63.73597590256254
umn.31951002096203z,"Moore, Reginald Arthur,",Silence comes after : | twenty-two stories.,1947,m,,63.65965375359056
uiuo.ark:/13960/t8rb7s318,"Black, William,",Highland cousins,1894,m,,63.649865122904856
mdp.39015015524013,"Story, Jack Trevor.","Live now, pay later : | a trilogy / | $c: Jack Trevor Story.",1989,m,,63.61927189167632
uc1.b3768656,"Queneau, Raymond,",The Sunday of life / | $c: Raymond Queneau ; translated by Barbara Wright.,1976,m,,63.56605572624218
mdp.39015063933264,"Lawler, O'Dermid W.",East London visions,1910,u,mixed,63.503403385525196
uiuo.ark:/13960/t6057xr4s,"Gaskell, Elizabeth Cleghorn,",Sylvia's lovers,1863,f,,63.311600840562534
mdp.39015056944732,"Smith, Ali,",The whole story and other stories / | $c: Ali Smith.,2003,m,high_female,63.14971339745458
uc1.32106001601159,"Gorky, Maksim,","The outcasts, and other stories",1905,m,,63.080111741912226
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,63.037837362379605
mdp.39015060845776,"Lott, Tim,",The Seymour tapes / | $c: Tim Lott.,2005,m,,62.7997877800275
