htid,author,title,year,authgender,female_category,gb_suba1_intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1044.0835266821346
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1020.7837807226186
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1019.9683953454964
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,945.169002934662
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,938.4775808133472
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,834.0863279349413
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,722.5779426724912
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,714.4174041297933
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,707.2387970997268
uiuo.ark:/13960/t13n2j57j,"Gore,",The birthright and other tales,1844,f,,659.2011458706338
njp.32101069186110,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,620.945923921901
mdp.39015025923064,"Ramsay, James Henry,","Bamff charters, A. D. 1232-1703",1915,m,high_male,606.7961165048544
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,600.5442432204185
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,581.8226359627635
mdp.39015064746129,"Charles, Edward.",In the shadow of Lady Jane : | a novel of Tudor England / | $c: Edward Charles.,2006,m,high_female,578.1920337986454
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,569.9088145896656
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,560.6082685433614
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,558.9778690394706
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,558.2118917434971
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,557.8873276154225
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,556.7030589161011
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,553.4869678977559
mdp.39015048416500,"Newby, P. H. (Percy Howard),","A guest and his going, | a novel.",1959,m,mixed,553.238751859846
uc1.b3322565,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,552.6606663508605
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,,549.8996804636993
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,542.6167540543836
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,526.4336917562725
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,524.8044360827804
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,522.3844163452619
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,514.6674543843308
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,514.1710559317783
inu.32000001703182,"Wilson, Violet A.",Queen Elizabeth's maids of honour and ladies of the privy chamber,1922,f,high_female,507.0062212919355
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,503.7062476746517
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,499.8537661854244
mdp.39015030746641,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,498.91427980560434
uiuo.ark:/13960/t9s18j533,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,498.6425840766802
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,497.91391240149034
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,496.4449493037149
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,495.62682215743433
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,494.3473070711327
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,493.78026778083745
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,493.4696115508442
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,489.8915493707734
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,487.67653033751856
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,482.4183569582582
inu.30000118485758,"Maddock, Llywelyn W.,","West Country folk tales, | $c: by Llywelyn W. Maddock. Illus. by Harold W. Hailstone.",1965,u,mixed,480.1330762542059
inu.30000114945995,"Lane, Jane,",Heirs of Squire Harry / | $c: Jane Lane.,1974,f,mixed,473.1012831911834
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,470.7437751647604
uiuo.ark:/13960/t41r72858,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,470.67772838567055
njp.32101075688935,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,458.6753456019017
mdp.39015068053472,"Parker, Katherine Borradaile (Kensit) Mrs.","""My Lady Dundie"" | being a very true accompt of her life death & burial, & of the finding of her body so perfect one hundred years later, | $c: all faithfully told by her biographer & scribe Katherine Parker ... With a foreword by Professor Charles Sanford Terry.",1928,f,,455.58485706025107
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,445.4542201867687
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,443.1270397317285
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,441.0199869232445
mdp.39015031305421,"Simpson, Evelyn Blantyre,",Robert Louis Stevenson's Edinburgh days,1898,f,,440.7605752452013
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,439.77611397833834
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,438.92494591446143
uiuo.ark:/13960/t4xh06r8n,"Prickett,",Warwick Castle,1815,f,mixed,438.3582900147411
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,438.3427138674101
uc2.ark:/13960/t12n5226r,"Buchanan, Robert Williams,",Andromeda; an idyll of the great river,1901,m,,438.24960687800655
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,436.64177306673093
inu.39000005593822,"Dixon, Geoffrey M.",Folktales and legends of Kent / | $c: by Geoffrey M. Dixon ; and illustrated by Susy-Jane Tanner.,1984,m,mixed,434.8951592026922
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,434.32679347012134
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,434.02254505997945
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,433.2631664997649
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,430.42279950741806
mdp.39015029992768,"Tennant, Emma.",Tess / | $c: Emma Teennant.,1993,f,high_female,429.28550426345186
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,428.81988237324583
njp.32101065853366,"Reid, Mayne,",No quarter!,1888,m,,428.03865061874893
njp.32101067301786,"Munford, George Frederick.",Ghosts and legends of South Somerset,1922,m,mixed,426.8420684346792
inu.30000004380105,"Holland, Richard.",Supernatural Clwyd : | the folk tales of North-East Wales / | $c: Richard Holland.,1989,m,,425.0255015300918
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,424.97853858380154
uc1.b3321304,"Crake, A. D.",The last abbot of Glastonbury,1886,u,mixed,423.4560306719504
inu.30000060903774,"Ainsworth, William Harrison,",Windsor castle ;,1863,m,mixed,419.43535055589774
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,419.29687140026726
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,417.71094402673344
uc1.b4501323,"Birch-Reynardson, Charles Thomas Samuel,",'Down the road';,1875,m,high_male,416.68163367937063
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,416.34193363140406
nyp.33433074870076,"Holt, Emily Sarah,",The White Rose of Langley: a story of the court of England in the olden time,1875,f,,416.3182678343529
wu.89042045070,"Wardle, C      Francis.","All dogs, | $c: by C. Francis Wardle.",1935,u,high_male,413.2993837410976
uiuo.ark:/13960/t1zc8db1h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,413.1610576923077
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,410.270138153377
uc2.ark:/13960/t3rv0kp5g,"Tearle, Christian",The pilgrim from Chicago,1913,m,high_male,407.34642897695016
uc2.ark:/13960/t6m048z3v,"Middleton, Thomas.",Legends of Longdendale;,1906,m,high_male,407.00760927269505
uiuo.ark:/13960/t9d516b21,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,406.5512835404809
uc1.b4104570,"Simpkinson, John Nassau,",The Washingtons,1860,m,mixed,404.9345512760147
mdp.39015054456663,"Harrison, Paul,",Sea serpents and lake monsters of the British Isles / | $c: Paul Harrison.,2001,m,high_male,404.24402033141496
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,401.01308569016464
uc1.b4027911,"Hume, Martin Andrew Sharp,",True stories of the past,1910,m,,399.1056689721462
uc2.ark:/13960/t8x926w87,"Baring-Gould, S.",The vicar of Morwenstow,1886,m,high_male,398.313246252957
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,395.78794480755266
inu.39000005770560,"Mackintosh, William R.",Around the Orkney peat-fires,1914,m,high_male,394.07558281122016
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,393.91552027149874
uc1.$b56315,"Barclay, Hubert, Mrs.,","The queen's cause, | Scottish narrative, 1561-1587.",1938,f,,393.90374472922406
mdp.39015064739819,"Drabble, Margaret,",The sea lady : | a late romance / | $c: Margaret Drabble.,2006,f,high_female,393.7903497831017
uc2.ark:/13960/t9k35vq9k,"Newbigging, Thomas.",Lancashire humour,1901,m,high_male,391.69604386995695
mdp.39015063587425,"Burke, Barbara, 1867-1941.",Barbara goes to Oxford,1907,f,mixed,388.83806038426354
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,388.4645772978667
wu.89092530534,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,388.01949717804
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,387.75314329590174
njp.32101067627453,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,387.14966750675626
inu.39000005886747,"Robertson, R. MacDonald.","Selected Highland folk tales; | gathered orally | $c: by R. MacDonald Robertson, edited by Jeremy Bruce Watt.",1961,m,high_male,384.8449050675306
wu.89080114168,"Brown, John,",The Enterkin,1865,m,high_male,383.325347388596
mdp.39015030931433,,England invaded : | a collection of fantasy fiction / | $c: edited and introduced by Michael Moorcock.,1977,u,high_female,382.1897073662966
uc2.ark:/13960/t3zs2pc7k,"Roper, Edward.",A sportsman's memories,1921,m,high_male,379.2648330476204
mdp.39015028467465,"Beattie, Geoffrey.",We are the people : | journeys through the heart of Protestant Ulster / | $c: Geoffrey Beattie.,1992,m,,378.5494399365347
uiuo.ark:/13960/t2j67qd9f,"Lyall, Edna,",To right the wrong,1894,f,high_male,377.6902288933025
njp.32101068584737,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,377.31912155935373
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,376.6719622815559
mdp.39015059376221,,The New British novelist;,1830,u,,376.34492558989336
mdp.39015030850195,"Ashton, John,",Varia,1894,m,,375.3276670108825
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,374.5403886998424
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,374.0616433091644
nyp.33433071388346,"Mackintosh, W. R.",Around the Orkney peat-fires,1905,u,high_male,373.6556159219425
wu.89095872966,"Brown, Beatrice Curtis.","Anne Stuart, queen of England, | $c: by Beatrice Curtis Brown ...",1929,f,high_female,370.8140068301139
mdp.39015051293119,"Sinclair, Iain.","Landor's tower, or The imaginary conversations / | $c: Iain Sinclair.",2001,m,high_male,370.5236475563545
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,369.7677858304985
njp.32101068177532,"Edgar, John G.",Runnymede and Lincoln Fair,1866,m,high_male,369.7632467308887
uc2.ark:/13960/t2w37sp12,"Bell, May.",What of the night?,1918,f,high_female,369.0459161779431
uiuo.ark:/13960/t5x645x9n,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,367.43853419151185
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,364.52214774376336
uc1.b3164053,"Raven, Simon,",The rich pay late / | $c: by Simon Raven.,1964,m,,364.4554680974918
uc1.b3322533,"Gore,",Peers and parvenus,1846,f,,364.18816388467377
inu.30000125237242,,A Rhondda anthology / | $c: edited by Meic Stephens ; introduced by Dai Smith.,1993,u,,363.47436948840226
njp.32101067644664,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,362.3685189900691
inu.39000005534958,"Sheffield, John.",The original Robin Hood : | a translation of the early tales / | $c: John Sheffield ; illustrated by John Clark.,1982,m,high_male,362.0336848732882
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,361.9120292145855
inu.30000039146844,"Whitaker, Terence W.",Scotland's ghosts and apparitions / | $c: Terence Whitaker.,1991,m,mixed,361.0465403828083
uiuo.ark:/13960/t1bk1zz7x,"Ponsonby, Emily,",Violet Osborne,1865,f,high_female,360.23796290578235
mdp.39015031233144,"Duggan, Alfred Leo,",Leopards and Lilies.,1954,m,,359.9236838034342
uc1.b4091143,"Hopkins, Kenneth.",The girl who died / | $c: Kenneth Hopkins.,1955,m,mixed,359.6286419315931
mdp.39015059587298,"Drummond, Andrew.","An abridged history of the construction of the railway line between Garve, Ullapool and Lochinver; And other pertinent matters : | being the professional journal and regular chronicle of Alexander Auchmuty Seth Kininmonth / | $c: edited by Andrew Drummond ; with a foreword by Alfred Marjoribanks.",2004,m,high_male,359.5729379874979
njp.32101063882664,"Norris, W. E.",Adrian Vidal,1885,f,high_female,358.3033283568982
inu.30000108972955,"Williams, Alfred Rowberry,","Legends of the Severn Valley, | $c: collected and arranged by Alfred Rowberry Williams.",1925,m,,358.02296926582045
uc1.b3322564,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,357.2459584295612
mdp.39015032316997,"Hudson, Mark.",Coming back brockens : | a year in a mining village / | $c: Mark Hudson.,1994,m,,356.7743072160278
uc1.b3578457,"Gore,","Cecil, a peer",1841,f,,356.34011293240513
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,356.18260376419323
njp.32101067644656,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,355.56992201705117
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,355.14274006283284
nyp.33433074895818,"Markham, Clements R.",The paladins of Edwin the Great,1908,u,,354.70946997728834
mdp.39015073484456,"Henty, G. A.",Friends though divided,1883,m,high_male,354.2135552769511
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,353.7388228358062
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,352.43153283242367
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,352.2662461837824
njp.32101065853358,"Reid, Mayne,",No quarter!,1888,m,,350.23969529146507
nyp.33433074947924,"Ashby-Sterry, J.",A tale of the Thames,1896,u,high_female,350.23292189465803
umn.31951002375620f,"Griffith, George Chetwynd.",The world peril of 1910,1907,m,high_male,350.1533617437095
uc2.ark:/13960/t56d5w74w,"Matheson, Annie,",A plain friend,1920,f,high_female,350.0250017858419
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,349.89603498960344
uiuo.ark:/13960/t8ff4f989,"Vincent, Francis,",Arundel,1840,m,mixed,347.1758579249566
nyp.33433075876734,"Thurston, E. Temple","The ""Flower of Gloster,""",1911,f,high_male,346.61749137724956
inu.30000026046338,"Janaway, John.",Ghosts of Surrey / | $c: John Janaway.,1991,m,high_male,345.8932267301749
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,345.5732271689267
inu.30000094851403,"Pugh, Jane.",Welsh ghostly encounters / | $c: Jane Pugh.,1990,f,,345.4690406590486
mdp.39015005291011,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,,343.79136807180805
mdp.39015002752197,"Ruskin, John,",Praeterita;,1899,m,,343.59998511480205
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,high_male,342.43783122706884
inu.32000009540487,"Jarman, Rosemary Hawley.",The King's grey mare.,1973,f,mixed,342.267202359762
uc1.$b469407,"Meek, George,",George Meek,1910,m,high_female,341.6428893227211
uc2.ark:/13960/t3qv3dp2s,"Temple, Dorothy Osborne,","Letters from Dorothy Osborne to Sir William Temple, 1652-54",1888,f,,341.4409575692472
mdp.39015014513736,"Hamilton, Patrick,",Hangover square; | a story of darkest Earl's Court. With an introd. by J. B. Priestley.,1972,m,high_male,341.1866111190921
mdp.39015020062736,"Colman, George,",Random records;,1830,m,high_male,339.7294746775715
uc1.$b100785,"Harwood, Alice.",Merchant of the ruby / | $c: Alice Harwood.,1951,f,mixed,339.4571341320386
hvd.32044086790011,"Little, Thomas,",Holly-grove,1828,m,,339.2206335856462
nyp.33433075909915,"Borrow, George Henry,",Wild Wales,1862,m,high_male,338.8754774290799
mdp.39015059376056,,The New British novelist;,1830,u,high_female,338.00508714727124
uva.x004061217,"Marshall, Emma,",The white king's daughter;,1895,f,,336.5529731361304
mdp.39015082679484,"Ripley, Mike.",Angels unaware / | $c: Mike Ripley.,2008,m,high_female,336.1041687885364
uc2.ark:/13960/t9t14vp4t,"Miles, Hamish,",The Oxford circus;,1922,u,,334.8789283874292
mdp.39015063064987,,"The life and adventures of Bampfylde Moore Carew, commonly called the King of the beggars",1835,u,high_male,334.4867358708189
hvd.hwadc2,"Scott, Walter,",The Waverley novels,1829,m,mixed,333.2830896514765
mdp.39015028701145,"Tongue, Ruth L.","Forgotten folk tales of the English counties; | $c: collected by Ruth L. Tongue, with an introduction by Katharine Briggs.",1970,f,mixed,331.4946082991575
njp.32101062933443,"West, Jane,",Alicia de Lacy,1814,f,,331.46312674826584
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,high_female,331.1461335622738
mdp.39015068802886,"Walsh, John,",Sunday at the cross bones : | a novel / | $c: John Walsh.,2007,m,,329.965840540737
uc2.ark:/13960/t1vd6rn1b,"Cooper, Arthur Nevile.",Round the home of a Yorkshire parson;,1910,m,,329.1387535947603
njp.32101007059759,"James, G. P. R.",Forest days;,1843,m,,327.62060078337726
uiuo.ark:/13960/t2x35cg1z,"Parker, Hastings,",Bentley Priory,1859,f,high_female,326.86691294509023
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,326.45757260658235
mdp.39015077113697,"Ó Muirí, Pól,",Milltown : | a Belfast novella / | $c: Pól Ó Muirí.,2007,u,high_male,326.12746925083854
uc1.$b675574,"Lubbock, Percy,",Earlham.,1963,m,high_female,325.4180888415851
uiuo.ark:/13960/t3st8845k,"Wood, Henry,","Lady Grace, and other stories",1887,f,mixed,324.3198578776674
mdp.39015063933876,"Letts, E. F.","Nicholas Mosley, loyalist;",1903,u,mixed,324.2982471813747
uc2.ark:/13960/t7br8pf30,"Russell, George William Erskine,","""For better? For worse?""",1902,m,,324.093491440119
mdp.39015024482492,"Radcliffe, Ann Ward,",The posthumous works of Anne Radcliffe,1833,f,,322.2051893487765
uiuo.ark:/13960/t9k36fx9p,"Wilbraham, Frances M.",For and against,1858,f,mixed,321.95602607729234
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,321.6084922634041
uc1.32106007017350,"Hough, Richard Alexander,",Buller's victory / | $c: Richard Hough.,1984,m,high_male,321.564874878996
mdp.39015002748807,"Hunt, Violet,","The wife of Rossetti; | her life and death, | $c: by Violet Hunt; with thirty illustrations ...",1932,u,mixed,321.1225961247167
uc2.ark:/13960/t47p8wg3g,"Abbott, J. H. M.",Letters from Queer Street ;,1908,u,,319.39493822901886
uc1.b3457588,"Farrington, Robert,",The killing of Richard the Third.,1971,m,,319.187642642146
mdp.39015084102576,"Russell, Craig,",Lennox / | $c: Craig Russell.,2009,m,,318.75257567219785
mdp.39015060667410,"Gavron, Jeremy,",An acre of barren ground / | $c: Jeremy Gavron / with artwork by Temple Clark.,2005,m,,317.5704236801318
mdp.39015073316773,"Carlyle, Thomas,",[Works],1885,m,high_male,317.42874070742505
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,317.38891388014196
uc1.b3548775,"Thackeray, William Makepeace,",Works,1883,m,mixed,317.37283270180274
njp.32101068168051,"Crake, A. D.",The Andreds-weald,1878,u,high_male,317.2859845018
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,317.0631923464249
uiuo.ark:/13960/t3708fq32,"Grant, James,",The white cockade =,1867,m,high_male,316.5520180191148
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,316.4192843171097
mdp.39015057606397,"Ferris, Paul,",Cora Crane / | $c: Paul Ferris.,2003,m,,316.13131903397937
mdp.39015065711627,"Smith, Logan Pearsall,","The youth of Parnassus, and other stories",1895,m,high_male,315.0397223997809
nyp.33433075959621,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,high_female,313.1957844738014
mdp.39015077129537,"Frewin, Anthony,",The Reich stuff / | $c: Anthony Frewin.,2008,m,mixed,313.1935603798879
uc1.b3575696,"Radcliffe, Ann Ward,",Gaston de Blondeville,1826,f,mixed,313.043966533775
mdp.39015014550514,"King, Alison.",Golden wings : | the story of some of the women ferry pilots of the Air Transport Auxiliary / | $c: by Alison King.,1975,f,high_female,313.01651381514466
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,312.18144750254834
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,311.68012713809145
mdp.39015050923211,"Tennant, Emma.",The time of the crack. -,1973,f,,311.3277362390589
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,310.9246789564706
mdp.39015034434293,"Ackroyd, Peter,",Dan Leno and the Limehouse Golem / | $c: Peter Ackroyd.,1994,m,mixed,310.8333605994176
mdp.39015024086392,"Harnett, Cynthia.",The wool-pack / | $c: written and illustrated by Cynthia Harnett.,1951,f,high_male,310.1818660658112
uc1.32106011768030,"Marías, Javier.",All souls / | $c: Javier Marías ; translated from the Spanish by Margaret Jull Costa.,1992,m,mixed,309.9529330731259
inu.39000002347248,"Gore,",The banker's wife,1843,f,mixed,309.87162461266047
uc2.ark:/13960/t5z60fh7d,"Wedmore, Frederick,",English episodes,1894,m,,309.7609912351719
mdp.39015031325395,"Jenkins, Elizabeth,",Dr. Gully.,1972,f,high_female,309.03321485679254
njp.32101075688976,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,308.7653638412793
inu.39000001190797,"McGonagall, William.","Further poetic gems / | $c: William McGonagall, poet and tragedian ; died in Edinburgh 29th September, 1902.",1980,m,high_male,308.7327256689209
njp.32101067643625,"Conway, Hugh,",Living or dead,1886,m,mixed,308.6362020912441
umn.319510021396669,"Dilnot, Frank,",I warmed both hands.,1933,m,mixed,308.4969456759352
uiuo.ark:/13960/t8mc9h99c,"Kingsley, Charles,",Hereward the Wake,1866,m,,308.4691219742023
mdp.39015059978638,"Ballard, J. G.,",Millennium people / | $c: J.G. Ballard.,2003,m,,308.14617242041237
uc2.ark:/13960/t9s18647f,"Thackeray, William Makepeace,",The Newcomes,1869,m,mixed,308.11662009266246
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,307.1919045898085
mdp.39015021319069,"Webster, Henry Charles,",2750: | legend of a locomotive. | $c: Illustrated by R. Barnard Way.,1953,m,high_male,307.0863513468406
mdp.39015005315372,"Wilson, A. N.,",Who was Oswald Fish? / | $c: A.N. Wilson.,1981,m,high_female,304.8634115896107
uc2.ark:/13960/t6f191d5f,"Cooper, Arthur Nevile.",Quaint talks about long walks,1907,m,,304.18372059690086
njp.32101067643609,"Conway, Hugh,",Living or dead,1886,m,mixed,304.1348927700875
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,303.862866016634
mdp.39015077129032,"Fache, Abdulaziz Anako.",The preordained / | $c: Abdulaziz Anako Fache.,2008,u,,303.85347821216544
mdp.39015038896026,"Barne, Kitty,",Elizabeth Fry; | $c: illustrated by Ruth Gervis.,1953,f,high_female,303.20716309128954
wu.89097347694,"Shute, Nerina,","We mixed our drinks; | the story of a generation, | $c: by Nerina Shute.",1945,u,high_female,302.67488933449346
uiuo.ark:/13960/t1hh6wn89,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,302.158273381295
uc2.ark:/13960/t12n5553w,"Rawnsley, H. D.",Lake country sketches;,1903,m,high_male,302.01849024312486
mdp.39015066080386,"Littlewood, Joan.",Joan's book : | Joan Littlewood's peculiar history as she tells it.,1994,f,,301.91426491370817
mdp.39015078576058,"Purves, William Laidlaw,","The ""O"" edition of 'Robeson Cruso'",1903,m,high_male,301.6764043227556
uc1.32106001932869,"Darton, F. J. Harvey (Frederick Joseph Harvey),","Vincent Crummles, | his theatre and his times, | $c: arranged by F. J. Harvey Darton ... With an historical introductory note and appendices from Nicholas Nickleby by Charles Dickens.",1926,m,,301.33941359120956
