htid,author,title,year,authgender,female_category,intl_subcity_intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1252.9002320185614
uiuo.ark:/13960/t0cv52b6x,"Craik, Georgiana M.",Sydney,1881,f,high_female,1233.578267646404
uiuo.ark:/13960/t1rf6927n,"Craik, Georgiana M.",Sydney,1881,f,high_female,1093.8974956965965
uiuo.ark:/13960/t8qc0k82w,"Craik, Georgiana M.",Sydney,1881,f,high_female,1039.4346077215143
mdp.39015012192483,"Farah, Nuruddin,",From a crooked rib.,1970,m,high_female,977.1986970684038
mdp.39015025220321,"Sinclair, Clive,",Augustus Rex : | a novel / | $c: by Clive Sinclair ; original drawings by Yosl Bergner.,1992,m,,737.5901106385165
uc2.ark:/13960/t2b854q62,"Nicholson, John Gambril,",In Carrington's duty-week,1910,m,high_male,500.4549590536852
uc2.ark:/13960/t3gx46g5z,"Morison, Margaret Cotter.",A lonely summer in Kashmir,1904,u,high_male,484.1675765760587
inu.32000007536644,"Bowen, Elizabeth,",The hotel.,1960,f,high_female,483.8572461610447
mdp.39015020827344,"Bowen, Elizabeth,",The hotel.,1950,f,high_female,483.6720809592652
uc1.$b662550,"Tushkan, Georgiĭ.",The hunter of the Pamirs; | a novel of adventure in Soviet Central Asia | $c: [by] Georgi Tushkan. Translated from the Russian by Gerard Shelley.,1944,u,,455.61595102998024
uiuo.ark:/13960/t5gb2g06d,"Eden, Eleanor.",Dumbleton Common,1867,f,high_female,454.1539425260355
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,451.6129032258064
mdp.39015018941461,"White, Kenneth,",The blue road / | $c: Kenneth White.,1990,m,high_male,451.440799695131
uc1.32106017093730,"Enquist, Per Olov",Plays / | $c: Per Olov Enquist,2004,m,mixed,445.4220511410504
uiuo.ark:/13960/t85h81r5f,"Lauder, Thomas Dick,",Lochandhu,1825,m,mixed,445.3985221531004
uc1.b4104233,"Trollope, Anthony,",Harry Heathcote of Gangoil,1874,m,,434.22116899150006
uiuo.ark:/13960/t9d514t6d,"Keary, Annie,",Clemency Franklyn,1866,f,high_female,427.3755151401299
nnc1.1002391503,,"Temugin; or, The Tartar chief",1843,u,high_male,420.5312323393504
njp.32101068169513,"Gerard, E.",Beggar my neighbor,1882,f,high_female,420.3816405874352
mdp.39015031238739,"Handl, Irene.",The Gold Tip Pfitzer: | a novel.,1973,f,,411.8764370688794
mdp.39015064948212,"Boyne, John,",Next of kin / | $c: John Boyne.,2006,m,,406.8860876458883
mdp.39015004280551,"Scott, Walter,",The bride of Lammermoor,1875,m,,395.0537979765536
mdp.39015048897980,"Shirazi, Manny,",Javady alley.,1984,m,high_female,394.4894751440811
uc1.$b322693,"Baker, George.",The last shore / | $c: by George Baker.,1953,m,,387.1657191909814
hvd.hwadba,"Scott, Walter,",The Waverley novels,1829,m,,386.2243587391288
nyp.33433076071475,"Harte, Bret,",In the Carquinez woods,1883,m,,382.0613117438371
uc1.32106010943360,"Darvas, Robert.",Right through the pack : | a bridge fantasy / | $c: by Robert Darvas and Norman de V. Hart ; introduction by Guy Ramsey.,1978,m,,376.8826814094304
njp.32101068601168,"Peacock, Thomas Love,",The misfortunes of Elphin,1891,m,high_male,376.662116386066
njp.32101068169505,"Gerard, E.",Beggar my neighbor,1882,f,high_female,374.15283011331104
uiuo.ark:/13960/t2b85x75t,"Robinson, Emma,","Whitefriars, or, The days of Charles the Second",1844,f,high_male,373.9219588685845
uc2.ark:/13960/t7qn61j6j,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,high_female,372.64069963543824
uc1.31822001403641,"Huskinson, Janet",Roman sculpture from Cyrenaica in the British Museum / | $c: Janet Huskinson,1975,f,high_male,369.6731907559022
mdp.39015064913356,"Tennant, Emma.",Pemberley revisited / | $c: Emma Tennant.,2005,f,high_female,367.1903686747552
mdp.39015003763490,"(John Ronald Reuel), Tolkien, J. R. R.","The lord of the rings, | $c: by J. R. R. Tolkien.",1966,m,high_male,365.6579978359016
uc1.b4937384,,The water house / | $c: Antonio Olinto ; translated by Dorothy Heapy.,1982,u,high_female,364.34855597351327
mdp.39015054025773,"(John Ronald Reuel), Tolkien, J. R. R.",The lord of the rings.,1954,m,high_male,362.2125371414549
mdp.39015005607919,"(John Ronald Reuel), Tolkien, J. R. R.",The lord of the rings.,1954,m,high_male,362.2009441762463
uiuo.ark:/13960/t7br92c7z,"Bennett, William,","The cavalier, a romance",1821,m,high_male,361.7407570422536
uiuo.ark:/13960/t0jt0603z,,The Master of Wingbourne,1866,u,,361.6031604434816
uc2.ark:/13960/t5cc13k70,"Field, Isobel,",Memories of Vailima,1903,u,high_male,359.2487016283338
njp.32101067173060,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,mixed,356.75622478102554
mdp.39015073316757,"Carlyle, Thomas,",[Works],1885,m,high_male,356.66164698422756
inu.32000011265255,"Coryn, M. S.,","The acquirer, 1027-1087, | $c: by M. Coryn.",1934,u,high_male,354.7933302991435
uiuo.ark:/13960/t2p562z2w,"Lauder, Thomas Dick,",Lochandhu,1825,m,mixed,354.7093626447579
uiuo.ark:/13960/t0pr89j9v,,The Master of Wingbourne,1866,u,,352.2922171232559
mdp.39015005498665,"Cooper, William,",Scenes from provincial life | $c: [by] William cooper [pseud.],1961,m,high_male,352.21189067342914
inu.30000107641361,"Sullivan, K. E.",Viking myths & legends / | $c: K.E. Sullivan.,2004,u,high_male,351.57865710740384
mdp.39015073316914,"Carlyle, Thomas,",[Works],1885,m,high_female,349.30342184566473
wu.89095735338,"Ari Þorgilsson,",The book of the settlement of Iceland,1908,u,high_male,344.4846292947559
mdp.39015030700333,"Kitchin, C. H. B. (Clifford Henry Benn),","A short walk in Williams Park, | $c: by C. H. B. Kitchin; with a foreword by L. P. Hartley.",1971,m,,341.3144455564965
uc1.32106007762690,"Roy, Namba.",Black Albino / | $c: Namba Roy.,1986,u,mixed,340.861111969271
njp.32101073313676,"Walmsley, Leo,",Flying and sport in East Africa,1920,m,high_male,340.5437006723179
uiuo.ark:/13960/t6h139225,"Bennett, William,","The cavalier, a romance",1821,m,high_male,337.9100902519355
uc1.b3346146,"Allister, William,",A handful of rice.,1961,m,high_male,337.49232971977904
nyp.33433082548144,"Bayley, Henry,","Employment, the true source of happiness, or, The good uncle and aunt",1825,f,high_female,337.4718773435547
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,337.1791300778444
njp.32101068169497,"Gerard, E.",Beggar my neighbor,1882,f,high_female,333.7595270909785
nyp.33433082290879,"Yonge, Charlotte M.",Aunt Charlotte's stories of German history for the little ones,1878,f,high_male,329.6961163909423
umn.319510020873846,"Westheimer, David.",The long bright days.,1950,m,,327.5824415811312
uiuo.ark:/13960/t9b56xk7j,"Daniel,",Tried in the fire. A tale,1860,f,high_female,323.13281632082726
uiuo.ark:/13960/t00z7fd2t,"Bradshaw, John,",Roger North,1885,f,high_female,319.8992766936033
mdp.39015038028505,"Doyle, Roddy,",The woman who walked into doors / | $c: Roddy Doyle.,1996,m,,318.2257689436129
mdp.39015059774995,"[Weldon, A. E.],",The clanking of chains,1920,u,high_male,316.9203483216305
mdp.39015073317078,"Carlyle, Thomas,",[Works],1885,m,high_male,315.5397139341633
mdp.39015040132147,"Farki, Neville.",The death of Tarzana Clayton : | a novel / | $c: by Neville Farki.,1985,m,,312.1322212556926
mdp.39015062842474,"Winterson, Jeanette,",Weight / | $c: Jeanette Winterson.,2005,f,high_male,310.2517985611511
mdp.39015002141342,"Dowrick, Stephanie.",Greek island mythology.,1974,f,mixed,310.1923655640177
mdp.39015007061131,"(John Ronald Reuel), Tolkien, J. R. R.","The lord of the rings, | $c: by J. R. R. Tolkien.",1966,m,high_male,309.3720041361237
mdp.39015005607976,"(John Ronald Reuel), Tolkien, J. R. R.","The lord of the rings, | $c: by J. R. R. Tolkien.",1966,m,high_male,308.9986434205898
mdp.39015059429897,"Dasent, George Webbe,",The vikings of the Baltic;,1875,m,high_male,308.7285994948077
uiuo.ark:/13960/t8v98nj98,"Laffan, De Courcy,",Bonnie Kate,1891,f,high_female,307.6541651640822
mdp.39015053570704,"Lacaze, André.",The tunnel / | $c: André Lacaze ; translated from the French by Julian Evans and Anne Gray.,1980,u,high_male,307.06597937430547
dul1.ark:/13960/t4rj56g8r,,The spirit of the moist hand,1875,f,high_male,306.8303094983991
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,306.68385143505907
mdp.39015011541946,"Keary, A.",The heroes of Asgard,1907,u,,304.20742266111296
mdp.39015005256261,"Murray, Margaret Alice.",Ancient Egyptian legends / | $c: by M. A. Murray.,1927,f,high_female,303.6149150827034
mdp.39015000613615,"Middleton, Stanley,",Blind understanding / | $c: Stanley Middleton.,1982,m,,303.6019572009668
mdp.39015049526307,"Pekárková, Iva,",Gimme the money / | $c: Iva Pekárková ; translated by Raymond johnston and Iva Pekárková.,2000,f,mixed,302.85714285714283
uiuo.ark:/13960/t8cg02x3m,"Eden, Eleanor.",Dumbleton Common,1867,f,high_female,302.84556842539973
uiuo.ark:/13960/t3417936t,"Coxe, Frances Clare Adeline.","The Camisard, or, The Protestants of Languedoc",1825,f,high_male,302.72178103577
nyp.33433074964960,"O'Keeffe, Adelaide,","Zenobia, queen of Palmyra;",1814,f,high_female,301.7665208693588
uc1.b3727131,"Bongartz, Roy.",Twelve chases on West Ninety-ninth Street.,1966,m,,301.0472873853533
nyp.33433074936984,"Bayly, George,",Sea-life sixty years ago;,1885,m,high_male,300.1200480192077
mdp.39015083385156,"Monro, W. D.",Stories of Indian gods & heroes,1911,u,,297.35965137144325
mdp.39015027250318,"Ekwensi, Cyprian,",Jagua Nana.,1961,m,high_female,296.4289035617967
mdp.39015057600408,"McEwen, Todd.",Who sleeps with Katz? / | $c: Todd McEwen.,2003,m,high_male,296.01578750866713
uc1.$b244403,"Wilson, Ethel,",The equations of love: | Tuesday and Wednesday. Lily's story.,1952,f,high_female,293.99001952701246
hvd.hn2hfl,"Roberts,","Rose and Emily, or, Sketches of youth",1812,f,high_female,291.79248803990095
mdp.39015031591715,"Crossley-Holland, Kevin.",The Norse myths / | $c: introduced and retold by Kevin Crossley-Holland.,1980,m,high_male,291.62939117081453
inu.30000007177755,"Plaidy, Jean,",The bastard king / | $c: Jean Plaidy [i.e. E. Hibbert].,1974,f,high_male,289.79063010296
mdp.39015031309316,"Themba, Can,",The will to die; | $c: selected by Donald Stuart and Roy Holland. -,1972,u,mixed,289.49378794580025
mdp.39015011299693,"Cooke, Alistair,",Christmas Eve; | $c: illustrated by Marc Simont.,1952,u,high_male,284.87569060773484
mdp.39015054476059,"Napier, Charles James,",William the Conqueror,1858,m,,284.47468323226343
uc2.ark:/13960/t3125sd0d,"Nivedita,",Myths of the Hindus & Buddhists,1913,u,,284.19553208491124
mdp.39015065769393,"Surr, T. S.",Splendid misery,1801,m,mixed,284.18378894952593
uc1.$b114284,"Young, Miriam,","Mother wore tights | $c: [by] Miriam Young, illustrated by Howard Williamson.",1944,f,high_female,283.7798057109214
uc1.b3331992,"Paterson, Arthur,",The daughter of the Nez Percés,1894,m,mixed,282.9729849228456
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,282.360901472961
mdp.39015080890158,"Akinti, Peter.",Forest gate / | $c: Peter Akinti.,2009,m,high_male,281.3230709275135
mdp.39015073316922,"Carlyle, Thomas,",[Works],1885,m,high_male,280.7769465702587
mdp.39015031301693,"Rive, Richard,","Buckingham Palace, District Six / | $c: Richard Rive.",1987,m,mixed,280.6995897467534
mdp.39015053493857,"Neate, Patrick.",Twelve bar blues / | $c: Patrick Neate.,2001,m,,279.11806022109585
uiuo.ark:/13960/t0cv4w656,"Fitzgerald, Geraldine Penrose.",The silver whistle;,1890,f,mixed,278.6428454351745
mdp.39015025198402,"(Christian Karlson), Stead, C. K.",Sister Hollywood / | $c: C.K. Stead.,1991,u,high_female,278.01038352034834
uiuo.ark:/13960/t41r7c04x,"Milton, Henry.",Rivalry,1840,m,,277.9652940475717
mdp.39015058132948,"Merriman, Catherine.",Brotherhood / | $c: C.A. Merriman.,2003,f,mixed,276.33887762285525
mdp.39015031234647,"Hartley, L. P. (Leslie Poles),",The collections | $c: [by] L. P. Hartley.,1972,m,,273.6009044657999
nyp.33433057525101,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,273.40190079416743
uiuo.ark:/13960/t0rr2bv7p,"Keary, Annie,",Clemency Franklyn,1866,f,high_female,272.71927509457197
uc1.$b87155,"Connolly, Roy.",Southern saga.,1940,m,,268.4324965408183
mdp.39015038920172,"Achebe, Chinua.",Anthills of the Savannah / | $c: Chinua Achebe.,1987,m,mixed,268.3306675646098
uiuo.ark:/13960/t9x06bv3q,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,266.8142379983003
mdp.39015027234049,"McHugh, Roger Joseph.",Dublin 1916 : | an illustrated anthology / | $c: edited by Roger McHugh.,1976,m,high_male,265.2443750394708
uc1.b3741279,"Sinclair, Andrew,",A patriot for hire / | $c: [by] Andrew Sinclair,1978,m,mixed,263.94800224355805
uc1.b4099881,"Baker, George Edward,",Whom Athene loved.,1950,m,high_male,263.4534871847238
mdp.39015056943023,"Colquhoun, Keith.",Killing Stalin / | $c: Keith Colquhoun.,2002,m,,262.40942642378275
mdp.39015005709608,"McHugh, Roger Joseph.",Dublin 1916; | $c: edited by Roger McHugh.,1966,m,,262.4015266997917
uiuo.ark:/13960/t24b3m25x,"Mallock, W. H.",The new republic;,1877,m,,262.14680220923714
uc1.b4018255,"Fisher, Ruth B.",Twilight tales of the black Baganda,1911,f,high_male,262.0826837266814
uc2.ark:/13960/t0vq2w88r,"Hamilton, Mary Agnes,",Greek legends,1916,f,,259.98087497011716
mdp.39015076142705,"Janssens, Monica.",Castle in the clouds / | $c: Monica Janssens.,2008,f,high_female,258.92256276305733
uc2.ark:/13960/t3mw29z63,"Hutton, Catherine,",Oakwood Hall,1819,f,mixed,256.6797858557215
mdp.39015005279495,"Alpers, Antony,","Maori myths & tribal legends,",1964,m,,255.71279942840667
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,255.59434261649693
inu.30000056655057,"Mahlobo, Si.",Pinkie of White City / | $c: Si Mahlobo.,1996,m,high_female,253.76953496732716
mdp.39015003463588,"Kent, John.","Stories from ancient Greece, | $c: with decorations by Ann Buckmaster.",1947,m,,253.7340762248554
uc1.32106013199671,"Kadare, Ismail",The pyramid / | $c: Ismail Kadare ; translated by David Bellos from the French version of the Albanian by Jusuf Vrioni,1996,m,,253.60134699731853
uiuo.ark:/13960/t0cv4tn6p,"Coxe, Frances Clare Adeline.","The Camisard, or, The Protestants of Languedoc",1825,f,high_male,253.43686917058363
mdp.39015054055697,"(John Ronald Reuel), Tolkien, J. R. R.","The lord of the rings, | $c: by J. R. R. Tolkien.",1966,m,high_male,251.95116712014897
umn.31951002218072c,"McLeish, Kenneth,",Myths and legends of ancient Rome / | $c: by Kenneth McLeish.,1987,m,mixed,249.66848997182163
uiuo.ark:/13960/t9j39b076,"Needell, J. H.,","Lucia, Hugh, and another",1884,f,,249.24103294479215
uc1.$b86978,"Brophy, John,",Portrait of an unknown lady : | a novel / | $c: by John Brophy.,1945,m,mixed,248.92032509266505
mdp.39015059414964,"Manners-Sutton, D.",Black god; | a story of the Congo.,1939,u,high_male,248.7530937095619
uc1.$b101734,"Manners-Sutton, D. (Doris),","Black god; | a story of the Congo, | $c: by D. Manners-Sutton.",1934,f,high_male,246.02098709645023
inu.39000005573477,"Falconar, A. E. I.",Tales of myth and fantasy / | $c: by A.E.I. Falconar ; illustrated by Charlotte J. Henry.,1984,u,,245.57479089671273
mdp.39015027243370,"(John Ronald Reuel), Tolkien, J. R. R.","The lord of the rings, | $c: by J. R. R. Tolkien.",1966,m,high_male,245.57252455725248
uc1.b4954689,"Konsalik, Heinz G.,",The heart of the 6th army / | $c: Heinz G. Konsali,1977,m,high_male,245.0592885375494
uc1.b3122262,"Yates, Dornford,",Adele and Co. / | $c: Dornford Yates.,1953,u,,244.45007786187665
uc2.ark:/13960/t7xk89r6g,"Festing, Gabrielle.",From the land of princes,1904,f,high_male,243.92467970637853
uc1.31822022095780,"Mathews, Basil,",The ships of peace. | $c: Rev. and edited by Joyce Reason,1947,m,high_male,243.80624574235415
nyp.33433074895818,"Markham, Clements R.",The paladins of Edwin the Great,1908,u,,243.70326894123053
uc2.ark:/13960/t4dn4205x,"Jørgensen, Johannes,",Pilgrim walks in Franciscan Italy,1908,u,high_male,242.97962442292345
wu.89094594793,"Skeat, Walter William,",Fables and folk-tales from an eastern forest,1901,m,high_male,242.77737314882256
uc1.$b119551,"Brathwaite, Errol,",The evil day.,1967,m,high_male,241.8298252702984
njp.32101067301786,"Munford, George Frederick.",Ghosts and legends of South Somerset,1922,m,mixed,241.41067804912183
uc1.b4363354,"Voznesenskai͡a, I͡Ulii͡a.",The star Chernobyl / | $c: Julia Voznesenskaya ; translated from the Russian by Alan Myers,1987,u,high_female,240.967484450067
uc1.b3296373,"Turquan, Joseph,",The Empress Josephine,1913,m,high_female,240.3596912084908
nnc1.1002317605,"Bray,",The protestant;,1828,f,,239.6739286431872
uc1.$b661999,"Mardrus, Joseph C. V.","The queen of Sheba, | $c: translated into French from his own Arabic text...",1924,m,high_male,239.64395754878467
mdp.39015012956739,"Kuhn, Isobel.",Stones of fire.,1965,f,high_female,239.62278735410064
uiuo.ark:/13960/t78s50349,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,239.34265576118503
mdp.39015058212286,"Reed, Jeremy.",Blue rock / | $c: Jeremy Reed.,1987,m,mixed,238.97081584388891
inu.30000092668809,"Mulrine, Stephen.",Moscow stations : | a play / | $c: by Stephen Mulrine ; translated and adapted from Moscow-Petushki by Venedikt Yerofeev.,1993,m,,238.83113234054508
inu.30000118529696,"Elliot, Geraldine.",Where the leopard passes : | a book of African folk tales / | $c: by Geraldine Elliot ; illustrated by Sheila Hawkins.,1949,f,high_male,238.17366407378313
mdp.39015029227561,"(Vidiadhar Surajprasad), Naipaul, V. S.",Miguel Street / | $c: V. S. Naipaul.,1971,u,,237.61358892849117
uiuo.ark:/13960/t54f22d0v,"Black, William,",A princess of Thule,1874,m,,237.3238906049876
mdp.39015061750611,"Clarke, Lindsay.",The war at Troy / | $c: Lindsay Clarke.,2004,u,,236.8658725695687
mdp.39015035870156,"Wadia, Ardaser Sorabjee N.,",In the land of Lalla Rookh;,1921,u,,236.24544157285553
mdp.39015020169515,"Kuhn, Isobel.",Precious things of the lasting hills / | $c: Isobel Kuhn.,1950,f,,235.94377510040164
uc1.b3872886,"Graves, Robert,","The Golden Fleece, | $c: by Robert Graves.",1944,m,,235.81070092698008
inu.30000120952456,"Kavanagh, Patrick,",Tarry Flynn : | a novel / | $c: Patrick Kavanagh.,1965,m,,235.6244046723818
mdp.39015029934554,"Pownall, David,",The Sphinx and the Sybarites / | $c: David Pownall.,1993,m,high_male,235.09472130340887
mdp.39015059159825,"Louvish, Simon.",The cosmic follies / | $c: Simon Louvish.,2004,m,,235.07171331114128
uc1.$b784296,"Standish, Robert.",Gentleman of China : | a novel / | $c: by Robert Standish [pseud.].,1949,m,high_male,234.20620516809265
uc1.$b102383,"King-Hall, Stephen, Sir,","Men of destiny : | or, The moment of no return / | $c: Stephen King- Hall.",1960,m,,233.5893578272231
uc1.b3339470,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,233.58520185733337
wu.89079729414,"Moorehead, Alan,","African trilogy : | comprising Mediterranean front, A year of battle, The end in Africa : a personal account of the three years' struggle against the axis in the Middle East and North Africa, 1940-3 / | $c: Alan Moorehead ; with a foreword by Field-Marshal Viscount Wavell.",1944,m,high_male,233.2663968986793
nyp.33433074949524,"Craik, Georgiana M.",Riverston,1857,f,,233.23293910232863
uc1.b4363372,"Stadni͡uk, Ivan,",People are not angels / | $c: by Ivan Stadnyuk. Translated from the Russian by P. A. Spalding and I. Antonenko.,1963,m,high_male,232.9838575470128
uc2.ark:/13960/t4rj4bm4w,"Mathews, Basil,",The ships of peace,1919,m,high_male,232.95090559664547
uc1.$b492992,,The books of the Maccabees.,1949,u,high_male,230.6292581778173
njp.32101069165353,"Bury, Charlotte (Campbell)",The devoted,1836,f,,229.91786382519905
uc1.b4098288,"Rolleston, T. W.","The high deeds of Finn, and other bardic romances;",1910,u,high_male,229.57673300225952
mdp.39015049559878,Homer.,The anger of Achilles : | Homer's Iliad / | $c: translated by Robert Graves.,1961,m,,229.23548925501927
uc1.31822011370293,"Mielche, Hakon,",Round the world with Galathea. | $c: [Tr. from the Danish by M. A. Michael],1953,u,high_male,229.23276910389555
nyp.33433076075864,"Logan, Olive,","Chateau Frissac, or, Home scenes in France",1862,f,high_female,229.0925987961832
uiuo.ark:/13960/t95721n6t,"Reid, Mayne,","Lost Lenore, or, The adventures of a rolling stone",1864,m,mixed,228.55955534777416
mdp.39015055184561,"Rower, Ann.",Lee & Elaine / | $c: Ann Rower.,2002,f,high_female,228.53450751411893
uc2.ark:/13960/t4vh5hq9p,Léonard,"Recollections of Léonard, hairdresser to Queen Marie-Antoinette",1912,u,,228.39791405373288
mdp.39015047753259,"Kirst, Hans Hellmut,","No one will escape, | a novel;",1959,m,,228.0986851824494
nnc1.1002391600,,"Temugin; or, The Tartar chief",1843,u,high_male,227.9233448206699
uc2.ark:/13960/t5q81761w,"Young, Filson,",The Wagner stories,1907,m,mixed,227.3253793582763
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,227.25943321627344
mdp.39015038144393,"de Tudèle, Guillaume,",The song of the Cathar wars : | a history of the Albigensian Crusade / | $c: William of Tudela and an anonymous successor ; translated by Janet Shirley.,1996,u,high_male,227.02267127427132
inu.32000006995510,"Holbrook, Ann Catherine,",Constantine Castriot,1829,f,mixed,225.722054070692
uiuo.ark:/13960/t8cg0bk4x,"Delorme, Charles.",The pedlar,1857,m,mixed,225.3786886105142
mdp.39015029966465,"Boult, Katharine F.,",Asgard & the Norse heroes,1914,f,,225.3290990789179
mdp.39015016869177,"Cieza de León, Pedro de,",The war of Chupas,1918,m,high_male,225.2240058471617
njp.32101037078985,"Ford, Emanuel.","The famous and pleasant history of Parismus, the valiant and renowned Prince of Bohemia",1835,m,mixed,224.36027004082953
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,224.2258308157099
uiuo.ark:/13960/t3gx4zs4m,"Gray, Maxwell,",The silence of Dean Maitland,1886,f,,224.04392815053677
mdp.39015028872714,"Malouf, David,",Johnno / | $c: David Malouf.,1993,m,high_male,223.98009065860825
uiuo.ark:/13960/t5h99q32b,"Hunter, P. Hay",My ducats and my daughter,1884,m,,223.97408480645856
mdp.49015001015586,"Amadi, Elechi,",The great ponds.,1969,u,high_male,223.58669375432703
mdp.39015008285564,"Howells, William Dean,",The undiscovered country,1884,m,,222.940226171244
uc1.$b80840,"Delarue-Mardrus, Lucie,",William the Conqueror; | $c: translated by Colin Shepherd.,1933,u,high_male,222.8492181148678
uc2.ark:/13960/t0zp44k24,"Castellane, Antione Marie Eugène Philippe Boniface,",Men and things of my time,1911,f,,222.70779057063615
nyp.33433074949516,"Craik, Georgiana M.",Riverston,1857,f,,222.11672148936893
uc1.b5015166,"Leopold, Keith.",My brow is wet / | $c: by Keith Leopold.,1970,m,high_male,221.8387971407444
mdp.39015000675234,"Sargeson, Frank.",Sunset Village / | $c: Frank Sargeson.,1976,m,mixed,221.00583352607097
uc2.ark:/13960/t7kp7zc3h,"Weindel, Henri de.",The real Francis-Joseph,1909,m,high_female,220.59933355780288
njp.32101066477744,"Baker, Henry Barton,",Strafford,1878,m,,220.4767810389968
uiuo.ark:/13960/t72v3222s,"James, G. P. R.",The gentleman of the old school,1839,m,mixed,220.15751746189835
njp.32101067193985,Cuchulain.,Cuchulain of Muirthemme,1907,u,mixed,220.1286704490363
mdp.39015051349788,"Boland, Bridget.",The wild geese : | a novel / | $c: by Bridget Boland.,1988,f,,219.7710486417315
mdp.39015054287589,"Falla, Jonathan.",Blue poppies / | $c: Jonathan Falla.,2001,m,mixed,219.33013426397167
mdp.39015082753966,"Price, Katie,",Angel uncovered : | Katie Price.,2008,f,high_female,217.7489596438595
mdp.39015066607188,"Preti, Luigi,","Through the Fascist fire; | $c: translated from the Italian Giovinezza, giovinezza by Isabel Quigly.",1968,m,,217.2426792411841
uiuo.ark:/13960/t43r1gx91,"Savage, M. W.",My uncle the curate,1849,m,mixed,216.90220539695795
mdp.39015017721922,"De Rosa, Peter,",Rebels : | the Irish rising of 1916 / | $c: Peter De Rosa.,1990,m,high_male,216.82957452552463
uiuo.ark:/13960/t65437139,"Knight, Ellis Cornelia,",Sir Guy de Lusignan,1833,f,mixed,216.39925101191875
mdp.49015001248211,,The Holy Bible. | The Authorized or King James version of 1611 now reprinted with the Apocrypha. | $c: With reproductions of 105 of the sixteenth-century woodcuts of Bernard Salomon.,1963,u,high_male,216.3208379586144
uiuo.ark:/13960/t3223dc0z,"Malet, Lucas,",Colonel Enderby's wife,1885,f,high_female,214.86531905699331
uiuo.ark:/13960/t02z1vj99,"Savage, M. W.",My uncle the curate,1849,m,mixed,214.3912083723737
uiuo.ark:/13960/t1hh7524f,,Rose Aylmer's home,1865,u,,214.2291351623821
mdp.39015022242401,"Coyle, William.",Chief of staff : | a novel / | $c: William Coyle.,1991,m,high_male,213.93409520067237
mdp.39015019670390,"Louvish, Simon.",The last trump of Avram Blok / | $c: Simon Louvish.,1990,m,,213.93107476635515
uc1.32106007020925,"Battye, Evelyn.",Costumes and characters of the British Raj / | $c: Evelyn Battye ; illustrated by Cecil Elgee ; introduction by M.M. Kaye.,1982,f,mixed,213.9291656762539
mdp.39015050979924,"Waten, Judah L.",Scenes of revolutionary life / | $c: Judah Waten.,1982,m,mixed,213.9219015280136
mdp.39015053112770,"Rathbone, Julian,",Homage / | $c: Julian Rathbone.,2001,m,,213.44606061868117
uiuo.ark:/13960/t9086sk6b,"Mallock, W. H.",The new republic;,1877,m,,212.55561047948592
uiuo.ark:/13960/t5j96sf1b,,Rose Aylmer's home,1865,u,,212.44309559939305
uc1.$b675277,"Hill, Constance,",Juniper Hall,1904,u,,211.58734590122987
inu.30000041710629,"Weindel, Henri de.",Behind the scenes at the court of Vienna;,1914,m,high_female,211.3490920254091
uc1.32106006790882,"Campbell, John.",Saturday night in York Street / | $c: John Campbell ; illustrated by Hector McDonnell.,1982,m,,211.3420218386756
inu.30000100855364,"Plivier, Theodor,",Berlin | $c: [by] Theodor Plievier; [translated from the German by Louis Hagen],1969,m,high_male,210.9805801965955
uc2.ark:/13960/t7br8r429,"Maxwell-Scott, Mary Monica,","Madame Elizabeth de France, 1764-1794",1908,f,high_female,210.77630993023604
mdp.39015063536828,"Browne, Thos. Alex.",A modern buccaneer,1894,m,high_male,210.61788878459743
uc1.32106006093162,,The Holy Bible. | The Authorized or King James version of 1611 now reprinted with the Apocrypha. | $c: With reproductions of 105 of the sixteenth-century woodcuts of Bernard Salomon.,1963,u,high_male,210.236045511261
uc1.32106018984861,,The tale of Lady Ochikubo : | Ochikubo monogatari / | $c: translated by Wilfred Whitehouse and Eizo Yanagisawa,2006,u,high_male,210.0379684019804
mdp.39015008778162,"Silverberg, Robert.",The gate of worlds / | $c: Robert Silverberg.,1978,m,high_male,209.9222230612399
uiuo.ark:/13960/t9280wh3k,"Needell, J. H.,","Lucia, Hugh, and another",1884,f,,209.8751794985088
