htid,author,title,year,authgender,period,diff
hvd.hn2hei,"Semple, Elizabeth,","Summer rambles, or, Conversations, instructive and entertaining",1801,f,1800-1850,-0.6447091158562772
hvd.hn2hej,"Semple, Elizabeth,","Summer rambles, or, Conversations, instructive and entertaining",1801,f,1800-1850,-0.6447091158562772
hvd.hn2hep,"Kilner, Dorothy,","The rational brutes, or, Talking animals",1803,f,1800-1850,-0.6447091158562772
uiuo.ark:/13960/t9s18j533,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,1800-1850,-0.5480907583683544
njp.32101068584737,"Miller, Thomas,",Lady Jane Grey,1840,m,1800-1850,-0.5443075094305743
uiuo.ark:/13960/t80k32n48,"Chamier, Frederick,",Passion and principle,1842,m,1800-1850,-0.5315015686864658
uc2.ark:/13960/t1qf91q47,"Lamb, Caroline,",Graham Hamilton,1822,f,1800-1850,-0.5270620570327478
mdp.39015070192151,"James, G. P. R.",The Step-mother,1846,m,1800-1850,-0.5216321927793542
njp.32101038064893,"Miller, Thomas,",Lady Jane Grey,1840,m,1800-1850,-0.5197091158562771
mdp.39015063751906,"Banim, John,",The smuggler;,1831,m,1800-1850,-0.5177249888721503
hvd.32044019953504,"Mant, Alicia Catherine,",The cottage in the chalk-pit,1822,f,1800-1850,-0.5131301684878561
uiuo.ark:/13960/t2n58t51n,"Blessington, Marguerite,",Meredith,1843,f,1800-1850,-0.5105627743928627
njp.32101068584745,"Miller, Thomas,",Lady Jane Grey,1840,m,1800-1850,-0.5097091158562772
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,1800-1850,-0.5093880149388461
uiuo.ark:/13960/t5z61419r,,The ordeal;,1813,u,1800-1850,-0.5091158955172941
uiuo.ark:/13960/t13n2j57j,"Gore,",The birthright and other tales,1844,f,1800-1850,-0.5074140338890643
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,1800-1850,-0.5063370228330212
uc2.ark:/13960/t9765ch2n,"Hone, William,","The report at large of the coroner's inquest on Jane Watson, shot at Mr. Robinson's address, &c",1815,m,1800-1850,-0.5047091158562771
hvd.hn5bux,,"Goody Two Shoes; or, The history of little Margery Meanwell",1825,u,1800-1850,-0.5018519729991343
mdp.39015059376056,,The New British novelist;,1830,u,1800-1850,-0.501249200244463
njp.32101007059759,"James, G. P. R.",Forest days;,1843,m,1800-1850,-0.4984506124549166
uc1.b3321271,"Bury, Charlotte Campbell,",The divorced,1837,f,1800-1850,-0.4960604672076289
uiuo.ark:/13960/t9j39g25s,"Hewlett, J.",Dunster Castle,1846,m,1800-1850,-0.4912437693216234
uiuo.ark:/13960/t0000gm33,"Curling, Henry,",John of England,1846,m,1800-1850,-0.4876997700618847
uiuo.ark:/13960/t10p1rt7k,"Davenport, Selina.",An angel's form and a devil's heart,1818,f,1800-1850,-0.4856182067653684
njp.32101038161764,"Lewis, Alethea,",Rhoda,1816,f,1800-1850,-0.4847091158562773
uiuo.ark:/13960/t2b85xv1z,"Huish, Robert,",Fitzallan,1832,m,1800-1850,-0.4847091158562772
njp.32101064789652,"Picken, Andrew,",The dominies legacy,1830,m,1800-1850,-0.4834187932756321
uiuo.ark:/13960/t4wh34q48,,The Observant pedestrian mounted; or A donkey tour to Brighton,1815,u,1800-1850,-0.4829444099739242
uiuo.ark:/13960/t78s5d297,"West,",The infidel father,1802,f,1800-1850,-0.48254695369411515
njp.32101068971330,"Kennedy, Grace,","Dunallan, or, Know what you judge",1825,f,1800-1850,-0.4810727522199139
uc1.b3321272,"Bury, Charlotte Campbell,",The divorced,1837,f,1800-1850,-0.4798739510211124
uc1.b3322474,"Cathcart,",The heir of Mordaunt,1835,f,1800-1850,-0.4780424491896106
uc2.ark:/13960/t0ms3qg7s,"James, G. P. R.",The smuggler,1845,m,1800-1850,-0.4780424491896105
nnc1.50207065,"Oliver, Nathan.","A few remarkable events in the life of Rev. Josiah Thompson, a Secession minister",1836,m,1800-1850,-0.47616979001358084
uiuo.ark:/13960/t80k31t81,"West,",The infidel father,1802,f,1800-1850,-0.4713757825229439
uc1.b3327073,"Massie, W.",Fitzwiggins,1840,u,1800-1850,-0.47079607237801613
hvd.32044086801958,,Cameron,1832,u,1800-1850,-0.4701059412531026
wu.89092531763,"Hogg, James,",The three perils of woman,1823,m,1800-1850,-0.4692705193650492
mdp.39015010964859,"Hook, Theodore Edward,",Gilbert Gurney,1836,m,1800-1850,-0.46888494003210135
uc2.ark:/13960/t8sb4332n,"Lamb, Caroline,",Graham Hamilton,1822,f,1800-1850,-0.4682385276209831
dul1.ark:/13960/t04x5tt3c,"Bury, Charlotte Campbell,",The exclusives,1830,f,1800-1850,-0.4682385276209831
uiuo.ark:/13960/t46q2mx09,,"The writer's clerk, or, The humours of the Scottish metropolis",1825,u,1800-1850,-0.4674939259828596
njp.32101038161772,"Lewis, Alethea,",Rhoda,1816,f,1800-1850,-0.4661376872848485
uc1.b3339472,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,1800-1850,-0.46590116883640964
uiuo.ark:/13960/t1jh43q68,"Merrywhistle, Marmaduke.",Isn't it odd?,1822,m,1800-1850,-0.465604638244337
uc1.b3321286,"Cooper, Thomas,",Wise saws and modern instances,1845,m,1800-1850,-0.4643812470038181
mdp.39015070310894,,John Bull and his wonderful lamp,1849,u,1800-1850,-0.4628909340380955
hvd.hwadva,"Scott, Walter,",The Waverley novels,1829,m,1800-1850,-0.4619679991050081
hvd.hnp67l,,The Vale of Glamorgan: scenes and tales among the Welsh,1839,u,1800-1850,-0.4595239306710919
uiuo.ark:/13960/t7dr3cg9b,"Mangin, Edward,",George the third,1807,m,1800-1850,-0.45866260422837035
mdp.39015063751914,"Banim, John,",The smuggler;,1831,m,1800-1850,-0.456303318754828
uc1.b3322565,"Griffin, Gerald,",The Duke of Monmouth,1836,m,1800-1850,-0.4557139005452725
njp.32101068169547,"Gaspey, Thomas William,","Calthorpe; or, Fallen fortunes",1821,m,1800-1850,-0.454232925380087
nyp.33433066722590,,"Rosemay Lodge, or, Domestic vicissitudes",1820,u,1800-1850,-0.4542329253800868
uiuo.ark:/13960/t5db8r27r,"Davenport, Selina.",An angel's form and a devil's heart,1818,f,1800-1850,-0.4532197541541495
uiuo.ark:/13960/t8kd2jc54,"Stevens, Grace Buchanan.","Llewellen, or, The vale of Phlinlimmon",1818,f,1800-1850,-0.452928293938469
mdp.39015059417702,"James, G. P. R.",The Step-mother,1846,m,1800-1850,-0.4527899239370854
uc1.b3322473,"Cathcart,",The heir of Mordaunt,1835,f,1800-1850,-0.4511607287595031
nyp.33433075744494,"Scott, Walter,","Woodstock ; or, The cavalier",1826,m,1800-1850,-0.4509918383693663
uiuo.ark:/13960/t51g18r1b,,"Husband hunting, or, The mother and daughters",1825,u,1800-1850,-0.45067926511000844
uiuo.ark:/13960/t5fb5r230,,"The writer's clerk, or, The humours of the Scottish metropolis",1825,u,1800-1850,-0.4497938616189888
njp.32101066459288,"Gleig, G. R.",The country curate,1830,m,1800-1850,-0.4495871646367649
wu.89092531755,"Hogg, James,",The three perils of woman,1823,m,1800-1850,-0.4482805444277056
uiuo.ark:/13960/t6qz2xw44,"Davenport, Selina.",An angel's form and a devil's heart,1818,f,1800-1850,-0.4447091158562773
nyp.33433074868245,"Hogg, James,",The brownie of Bodsbeck;,1818,m,1800-1850,-0.4447091158562773
nyp.33433075766786,"Picken, Andrew,",Mary Ogilvie,1840,m,1800-1850,-0.4447091158562773
uiuo.ark:/13960/t97664b4v,"Stevens, Grace Buchanan.","Llewellen, or, The vale of Phlinlimmon",1818,f,1800-1850,-0.4447091158562773
uiuo.ark:/13960/t03x8mz6z,"Finch, Emily.",The last days of Mary Stuart,1841,f,1800-1850,-0.4447091158562772
mdp.39015018043540,"Galt, John,",The stolen child,1833,m,1800-1850,-0.44470911585627715
mdp.39015063940418,"Lowndes, Hannah Maria (Jones)",The Scottish chieftains;,1831,f,1800-1850,-0.4443001179012671
njp.32101069186110,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,1800-1850,-0.44395864681312525
nyp.33433067294771,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,1800-1850,-0.44309621263047094
njp.32101068971306,"Kennedy, Grace,",Philip Colville,1825,f,1800-1850,-0.4430962126304706
njp.32101007059791,"James, G. P. R.",Forest days;,1843,m,1800-1850,-0.4405206341808847
uiuo.ark:/13960/t5db8cm5d,"Curling, Henry,",John of England,1846,m,1800-1850,-0.4393519729991342
uiuo.ark:/13960/t20c5m89d,"Robinson, Emma,","The armourer's daughter, or, The border riders",1850,f,1800-1850,-0.439035356991029
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,1800-1850,-0.4387643175547911
uc2.ark:/13960/t2c82659b,"Watson, William Davy,",Trevethlan,1848,m,1800-1850,-0.4381873767258424
mdp.39015039248045,"Mackenzie, Henry,",The works of Henry Mackenzie,1815,m,1800-1850,-0.4378125641321393
nyp.33433067294722,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,1800-1850,-0.43637578252294396
uc2.ark:/13960/t46q1vc8h,"Watson, William Davy,",Trevethlan,1848,m,1800-1850,-0.43418280006680354
